MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3050566	Akap6	A kinase (PRKA) anchor protein 6	12		regulation of membrane repolarization			ISO	Q13023 	J:164563 	
MGI:1859150	Akap7	A kinase (PRKA) anchor protein 7	10		regulation of membrane repolarization			ISO	O43687 	J:164563 	
MGI:2178217	Akap9	A kinase (PRKA) anchor protein (yotiao) 9	5		regulation of ventricular cardiac muscle cell membrane repolarization			IBA	PTN001053428 	J:265628 	
MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	3		membrane repolarization			ISO	P05023 	J:164563 	
MGI:88108	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1		membrane repolarization			ISO	P05026 	J:164563 	
MGI:88109	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide	11		membrane repolarization			ISO	P14415 	J:164563 	
MGI:107788	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	9		membrane repolarization			ISO	P54709 	J:164563 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		regulation of atrial cardiac muscle cell membrane repolarization			IMP		J:130245 	
MGI:88295	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1	5		regulation of membrane repolarization during action potential			ISO	RGD:2247 	J:155856 	
MGI:88295	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1	5		regulation of ventricular cardiac muscle cell membrane repolarization			ISO	P54289 	J:164563 	
MGI:103307	Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	15		regulation of membrane repolarization during action potential			ISO	RGD:2248 	J:155856 	
MGI:1309469	Casq2	calsequestrin 2	3		regulation of membrane repolarization			IDA		J:186034 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		regulation of membrane repolarization during action potential			ISO	Q03135 	J:164563 	
MGI:107570	Cav3	caveolin 3	6		regulation of ventricular cardiac muscle cell membrane repolarization			ISO	P56539 	J:164563 	
MGI:107231	Dlg1	discs large MAGUK scaffold protein 1	16		regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization			IMP		J:237676 	
MGI:95556	Flna	filamin, alpha	X		regulation of membrane repolarization during atrial cardiac muscle cell action potential			IC	GO:1905031 	J:212181 	
MGI:95556	Flna	filamin, alpha	X		regulation of membrane repolarization during cardiac muscle cell action potential	happens in fetal cardiomyocyte		IMP		J:212181 	
