MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	11		negative regulation of axon extension	regulates a function/process that happens in neuron of cerebral cortex	PR:000035700	IGI	MGI:101764 	J:184851 	
MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	11		negative regulation of axon extension	regulates a function/process that happens in neuron of cerebral cortex	PR:000035700	IMP		J:184851 	
MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	11		negative regulation of axon extension	regulates a function/process that happens in neuron of cerebral cortex		IMP	MGI:5428170 	J:184851 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of axon extension			ISO	P00519 	J:164563 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		negative regulation of axon extension			ISO	RGD:71024 	J:155856 	
MGI:87915	Ad	adult obesity and diabetes	7		negative regulation of cell size	regulates a function/process that happens in adipose tissue,regulates a function/process that happens in fat cell		IMP	MGI:87915 	J:6095 	
MGI:87918	Add1	adducin 1 (alpha)	5		cell volume homeostasis	happens in platelet		IMP	MGI:3799499 	J:138919 	
MGI:1338758	Adnp	activity-dependent neuroprotective protein	2		positive regulation of axon extension			ISO	RGD:71030 	J:155856 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		positive regulation of cell size			IMP		J:64483 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		negative regulation of cell size			ISO	P47196 	J:103933 	
MGI:1914855	Akt1s1	AKT1 substrate 1 (proline-rich)	7		negative regulation of cell size			ISO	Q96B36 	J:164563 	
MGI:1345147	Akt3	thymoma viral proto-oncogene 3	1		positive regulation of cell size			IMP	MGI:3574346 	J:96823 	
MGI:2139135	Anapc2	anaphase promoting complex subunit 2	2		positive regulation of axon extension			ISO	RGD:1305546 	J:155856 	
MGI:2145890	Ano6	anoctamin 6	15		negative regulation of cell volume	happens in macrophage		IMP		J:220493 	
MGI:2145890	Ano6	anoctamin 6	15		negative regulation of cell volume			ISO	Q4KMQ2 	J:164563 	
MGI:88031	Anxa7	annexin A7	14		cellular water homeostasis	happens in erythrocyte		IMP	MGI:2159006 	J:91188 	
MGI:88057	Apoe	apolipoprotein E	7		positive regulation of axon extension			ISO	RGD:2138 	J:155856 	
MGI:103201	Aqp1	aquaporin 1	6		cell volume homeostasis			ISO	P29972 	J:164563 	
MGI:1096865	Aqp2	aquaporin 2	15		cell volume homeostasis			ISO	RGD:2142 	J:155856 	
MGI:107387	Aqp4	aquaporin 4	18		cellular water homeostasis			IDA		J:273546 	
