"","tissue","cluster","cluster_name","num_cells","cluster_class","num_subcluster_cells","num_ics","num_real_ics","num_doublet_ics","num_outlier_ics","num_artifact_ics","resolution","nn"
"1","P60Cerebellum_ALT","1","GranularNeuron_Gabra6",21331,"Neuron",10243,14,3,7,2,2,20,20
"2","P60Cerebellum_ALT","2","PurkinjeNeuron_Pcp2",178,"Neuron",89,2,0,0,0,2,NA,NA
"3","P60Cerebellum_ALT","3","Interneurons_Pvalb",1547,"Neuron",730,10,3,2,3,2,20,20
"4","P60Cerebellum_ALT","4","Interneurons_and_Other_Nnat",229,"Neuron",113,4,3,0,1,0,20,20
"5","P60Cerebellum_ALT","5","Microglia_Macrophage_C1qb",64,"Microglia_Macrophage",32,2,0,0,0,2,NA,NA
"6","P60Cerebellum_ALT","6","Oligodendrocyte_Polydendrocyte_Tfr_Tnr",347,"Oligodendrocyte_Polydendrocyte",169,7,4,3,0,0,5,5
"7","P60Cerebellum_ALT","7","BergmannGlia_Gpr37l1",1404,"Astrocyte",702,13,0,3,9,1,NA,NA
"8","P60Cerebellum_ALT","8","Astrocyte_Gja1",326,"Astrocyte",148,6,1,2,3,0,20,20
"9","P60Cerebellum_ALT","9","Choroid_Plexus_Ttr",50,"Choroid_Plexus",25,2,0,0,0,2,NA,NA
"10","P60Cerebellum_ALT","10","Endothelial_Stalk_Flt1",422,"Endothelial_Stalk",201,7,2,3,2,0,5,5
"11","P60Cerebellum_ALT","11","Endothelial_Tip_Dcn",241,"Endothelial_Tip",117,6,3,1,2,0,5,5
"12","P60Cortex_noRep5_FRONTALonly","1","Interneuron_CGE_Cplx3-Synpr",6280,"Neuron",2918,23,11,7,0,5,5,5
"13","P60Cortex_noRep5_FRONTALonly","2","Interneuron_MGE_Sst-Pvalb",5386,"Neuron",2490,21,9,8,0,4,5,5
"14","P60Cortex_noRep5_FRONTALonly","3","Neuron_Layer6Subplate_Syt6",14250,"Neuron",6765,29,11,11,0,7,5,5
"15","P60Cortex_noRep5_FRONTALonly","4","Neuron_Layer5b_Fezf2",3294,"Neuron",1572,21,5,10,2,4,5,5
"16","P60Cortex_noRep5_FRONTALonly","5","Neuron_Claustrum_Nr4a2",1149,"Neuron",567,8,3,2,0,3,5,5
"17","P60Cortex_noRep5_FRONTALonly","6","Neuron_Layer23_Nptxr",83536,"Neuron",38930,39,16,15,0,8,5,5
"18","P60Cortex_noRep5_FRONTALonly","7","Neuron_Layer5_Parm1",5367,"Neuron",2561,25,11,8,0,6,5,5
"19","P60Cortex_noRep5_FRONTALonly","8","Astrocyte_Gja1",10394,"Astrocyte",4822,15,3,8,0,4,5,5
"20","P60Cortex_noRep5_FRONTALonly","9","Oligodendrocyte_Tfr",8718,"Oligodendrocyte",3806,17,4,10,0,3,20,20
"21","P60Cortex_noRep5_FRONTALonly","10","Polydendrocyte_Tnr",2865,"Polydendrocyte",1247,15,7,5,1,2,5,5
"22","P60Cortex_noRep5_FRONTALonly","11","Microglia_Macrophage_C1qb",2193,"Microglia_Macrophage",694,13,4,9,0,0,20,20
"23","P60Cortex_noRep5_FRONTALonly","12","Endothelial_Stalk_Flt1",9227,"Endothelial_Stalk",3860,22,5,13,1,3,5,5
"24","P60Cortex_noRep5_FRONTALonly","13","Mural_Rgs5Acta2",2529,"Mural",1057,10,3,5,0,2,5,5
"25","P60Cortex_noRep5_FRONTALonly","14","Endothelial_Tip_Dcn",944,"Endothelial_Tip",350,15,4,9,1,1,5,5
"26","P60Cortex_noRep5_FRONTALonly","15","Tcell_Ccl4",9,"PBMC",0,0,0,0,0,0,NA,NA
"27","P60Cortex_noRep5_FRONTALonly","16","Tcell_Ccl5",4,"PBMC",0,0,0,0,0,0,NA,NA
"28","P60Cortex_noRep5_FRONTALonly","17","Bcell_Cd74",15,"PBMC",0,0,0,0,0,0,NA,NA
"29","P60Cortex_noRep5_FRONTALonly","18","Melanocyte_Dct",7,"Outlier",0,0,0,0,0,0,NA,NA
"30","P60Cortex_noRep5_POSTERIORonly","1","Neuron_Layer6Subplate_Syt6",8164,"Neuron",3907,23,8,8,0,7,5,5
"31","P60Cortex_noRep5_POSTERIORonly","2","Neuron_Layer23_5_6_Subiculum_Calb1-Rorb-Fermt1-Tshz2-Oprk1-Crym-Sema3e",51800,"Neuron",24411,39,18,13,1,7,5,5
"32","P60Cortex_noRep5_POSTERIORonly","3","Neuron_Layer5_Bcl6",4764,"Neuron",2287,28,11,8,0,9,5,5
"33","P60Cortex_noRep5_POSTERIORonly","4","Interneuron_CGE_Cplx3-Synpr",3161,"Neuron",1448,19,9,6,0,4,5,5
"34","P60Cortex_noRep5_POSTERIORonly","5","Interneuron_MGE_Sst-Pvalb",2779,"Neuron",1268,18,8,6,0,4,5,5
"35","P60Cortex_noRep5_POSTERIORonly","6","RSG_Tshz2-Shisa8",7869,"Neuron",3787,19,7,7,0,5,5,5
"36","P60Cortex_noRep5_POSTERIORonly","7","Layer5b_Fezf2",1224,"Neuron",596,10,3,2,1,4,5,5
"37","P60Cortex_noRep5_POSTERIORonly","8","Astrocyte_Gja1",7430,"Astrocyte",3416,18,3,8,1,6,5,5
"38","P60Cortex_noRep5_POSTERIORonly","9","Oligodendrocyte_Tfr",3814,"Oligodendrocyte",1676,14,5,7,0,2,5,5
"39","P60Cortex_noRep5_POSTERIORonly","10","Polydendrocyte_Tnr",1353,"Polydendrocyte",578,16,5,5,4,2,5,5
"40","P60Cortex_noRep5_POSTERIORonly","11","Microglia_Macrophage_Tmem119-Mrc1",1017,"Microglia_Macrophage",453,10,3,7,0,0,4,4
"41","P60Cortex_noRep5_POSTERIORonly","12","Endothelial_Stalk_Flt1",3797,"Endothelial_Stalk",1686,16,4,9,0,3,5,5
