"","CB_cluster1","CB_cluster2","CB_cluster3","CB_cluster4","CB_cluster5","CB_cluster6","CB_cluster7","CB_cluster8","CB_cluster9","CB_cluster10","CB_cluster11","CB_first_round","FC_cluster1","FC_cluster2","FC_cluster3","FC_cluster4","FC_cluster5","FC_cluster6","FC_cluster7","FC_cluster8","FC_cluster9","FC_cluster10","FC_cluster11","FC_cluster12","FC_cluster13","FC_cluster14","FC_first_round","PC_cluster1","PC_cluster2","PC_cluster3","PC_cluster4","PC_cluster5","PC_cluster6","PC_cluster7","PC_cluster8","PC_cluster9","PC_cluster10","PC_cluster11","PC_cluster12","PC_cluster13","PC_cluster14","PC_first_round","EP_cluster1","EP_cluster2","EP_cluster3","EP_cluster4","EP_cluster5","EP_cluster6","EP_cluster7","EP_cluster8","EP_first_round","GPNB_cluster1","GPNB_cluster2","GPNB_cluster3","GPNB_cluster4","GPNB_cluster5","GPNB_cluster6","GPNB_cluster7","GPNB_cluster8","GPNB_cluster9","GPNB_cluster10","GPNB_cluster11","GPNB_first_round","HP_cluster1","HP_cluster2","HP_cluster3","HP_cluster4","HP_cluster5","HP_cluster6","HP_cluster7","HP_cluster8","HP_cluster9","HP_cluster10","HP_cluster11","HP_cluster12","HP_cluster13","HP_cluster14","HP_cluster15","HP_cluster16","HP_cluster17","HP_first_round","STR_cluster1","STR_cluster2","STR_cluster3","STR_cluster4","STR_cluster5","STR_cluster6","STR_cluster7","STR_cluster8","STR_cluster9","STR_cluster10","STR_cluster11","STR_cluster12","STR_cluster13","STR_cluster14","STR_cluster15","STR_first_round","SNVTA_cluster1","SNVTA_cluster2","SNVTA_cluster3","SNVTA_cluster4","SNVTA_cluster5","SNVTA_cluster6","SNVTA_cluster7","SNVTA_cluster8","SNVTA_cluster9","SNVTA_cluster10","SNVTA_cluster11","SNVTA_cluster12","SNVTA_cluster13","SNVTA_cluster14","SNVTA_first_round","TH_cluster1","TH_cluster2","TH_cluster3","TH_cluster4","TH_cluster5","TH_cluster6","TH_cluster7","TH_cluster8","TH_cluster9","TH_cluster10","TH_cluster11","TH_cluster12","TH_first_round"
"1","0610009L18Rik","0610007P14Rik","1110004E09Rik","1110004F10Rik","1110004E09Rik","1300002E11Rik","0610007P14Rik","1110001J03Rik","0610040B10Rik","1110032A03Rik","0610009B22Rik","0610010F05Rik","1700020I14Rik","1700020I14Rik","1110008P14Rik","1700020I14Rik","1110008P14Rik","1110008P14Rik","1110008P14Rik","1110037F02Rik","1110004E09Rik","1110059G10Rik","1110032A03Rik","1110008L16Rik","1700020I14Rik","1500015O10Rik","0610005C13Rik","0610043K17Rik","1110008P14Rik","1110004F10Rik","0610043K17Rik","1700020I14Rik","0610010F05Rik","1110004E09Rik","1110001J03Rik","1200014J11Rik","1190002F15Rik","2810474O19Rik","1200014J11Rik","1110004F10Rik","1110002L01Rik","0610040J01Rik","1110004F10Rik","1700037C18Rik","1110004F10Rik","1110017D15Rik","1110004F10Rik","2810004N23Rik","1810037I17Rik","1500012F01Rik","1110008L16Rik","2310033P09Rik","1700020I14Rik","1110046J04Rik","0610009B22Rik","1110004E09Rik","1110017D15Rik","0610010F05Rik","1110032A03Rik","2310022B05Rik","1110004F10Rik","1500026H17Rik","0610040J01Rik","1500015A07Rik","1110008P14Rik","1110008P14Rik","0610030E20Rik","1110008P14Rik","0610043K17Rik","1500015O10Rik","1110059G10Rik","1190002F15Rik","2810004N23Rik","1110004E09Rik","1110019D14Rik","1110004F10Rik","1600002K03Rik","1200014J11Rik","0610010F05Rik","1700020I14Rik","0610040J01Rik","1110004E09Rik","0610037L13Rik","1110001J03Rik","1110004E09Rik","1110059G10Rik","2210016L21Rik","1110004E09Rik","1500011K16Rik","1500035N22Rik","1110004E09Rik","0610009L18Rik","1500011K16Rik","1110004F10Rik","0610011F06Rik","1110001J03Rik","0610005C13Rik","1110001J03Rik","1700020I14Rik","1110046J04Rik","1810041L15Rik","0610007P14Rik","3110035E14Rik","1110001J03Rik","0610010F05Rik","2010107E04Rik","0610010F05Rik","1500015A07Rik","0610010F05Rik","0610009O20Rik","2210016L21Rik","0610009E02Rik","1700023E05Rik","1810041L15Rik","1500015O10Rik","1110004E09Rik","0610009B22Rik","0610007P14Rik","1600010M07Rik","1110004E09Rik","1500011K16Rik","1110004E09Rik","0610011F06Rik","1500011K16Rik","1110008L16Rik"
"2","0610010F05Rik","1110004E09Rik","1110008F13Rik","1110012L19Rik","2810474O19Rik","1700096K18Rik","0610009B22Rik","1500015O10Rik","1110004E09Rik","1300002E11Rik","1700021F05Rik","0610030E20Rik","2210018M11Rik","2410089E03Rik","1700016P03Rik","1700025G04Rik","1700020I14Rik","1700020I14Rik","1110034G24Rik","1500011K16Rik","1110004F10Rik","1190002F15Rik","1500011K16Rik","1200014J11Rik","2700029M09Rik","1810058I24Rik","0610009E02Rik","1110008P14Rik","1190003K10Rik","1110008P14Rik","1700018L02Rik","1810013L24Rik","0610011F06Rik","1700008O03Rik","1110004E09Rik","1700020I14Rik","1700025G04Rik","4632428N05Rik","1300002E11Rik","2210016L21Rik","1500015O10Rik","1110007C09Rik","1200014J11Rik","1810010H24Rik","1600014C10Rik","1500011B03Rik","1110019D14Rik","2810417H13Rik","2310035C23Rik","1700021K19Rik","1110017D15Rik","2610044O15Rik8","1700055D18Rik","1500009L16Rik","0610011F06Rik","1700020I14Rik","1500015O10Rik","1110008L16Rik","1810011O10Rik","2810004N23Rik","1110019D14Rik","2500004C02Rik","1110019D14Rik","1700020I14Rik","1700020I14Rik","1500009L16Rik","1110019D14Rik","1110046J04Rik","1700017B05Rik","2210016L21Rik","1700020I14Rik","1500015O10Rik","2810474O19Rik","1110017D15Rik","1500012F01Rik","1110017D15Rik","1700020I14Rik","2700049A03Rik","0610043K17Rik","Abca9","1110001J03Rik","1500015O10Rik","1110004E09Rik","1110004E09Rik","1200014J11Rik","1700037H04Rik","2310033P09Rik","1110004F10Rik","2010107E04Rik","1700086L19Rik","1110015O18Rik","1110001J03Rik","1700020I14Rik","1110037F02Rik","1110001J03Rik","1110004E09Rik","0610009E02Rik","2810474O19Rik","4930402H24Rik","1700020I14Rik","2010107E04Rik","1110019D14Rik","9330159F19Rik","1500015O10Rik","1500015O10Rik","2610203C20Rik","0610011F06Rik","1810037I17Rik","0610030E20Rik","1110004F10Rik","5830428H23Rik","1110008L16Rik","1810041L15Rik","2810021J22Rik","1700020I14Rik","1110004F10Rik","1700020I14Rik","2310035C23Rik","2610015P09Rik","1110004F10Rik","1810037I17Rik","1110017D15Rik","1500015O10Rik","1810037I17Rik","1110017D15Rik"
"3","0610011F06Rik","1110012L19Rik","1190002N15Rik","1700020I14Rik","5730455P16Rik","1810037I17Rik","1110004E09Rik","2210016L21Rik","1110017D15Rik","1500015O10Rik","1700123O20Rik","1110004E09Rik","2510009E07Rik","2610203C20Rik","1700020I14Rik","2210016L21Rik","2210016L21Rik","1700024P16Rik","1700020I14Rik","1500015O10Rik","1110019D14Rik","1500011K16Rik","1700020I14Rik","1500011K16Rik","2810004N23Rik","2210016L21Rik","0610009L18Rik","1700020I14Rik","1700020I14Rik","1700020I14Rik","1700020I14Rik","2310035C23Rik","1110004E09Rik","1700020I14Rik","1500012F01Rik","1700025G04Rik","1810037I17Rik","9030612E09Rik","1810024B03Rik","2810474O19Rik","1700020I14Rik","1110019D14Rik","1500011K16Rik","2810004N23Rik","2310039H08Rik","1500015O10Rik","1810037I17Rik","3110035E14Rik","5830428H23Rik","1810037I17Rik","1190002F15Rik","5430400D12Rik","1810041L15Rik","1810041L15Rik","1190002F15Rik","1700096K18Rik","1700040D17Rik","1110034G24Rik","2200002D01Rik","2810405F17Rik","1300002E11Rik","2700029M09Rik","1190002F15Rik","2010107E04Rik","2010012O05Rik","1700020I14Rik","1700020I14Rik","1190002N15Rik","1700020I14Rik","2310022B05Rik","2310033P09Rik","1700025G04Rik","4632428N05Rik","1110032A03Rik","1500015O10Rik","1110038F14Rik","2010107E04Rik","2810004N23Rik","1700025G04Rik","Abcf1","1110007C09Rik","1700001L19Rik","1110004F10Rik","1110032A03Rik","1500011K16Rik","2210016L21Rik","2810004N23Rik","1200014J11Rik","2810428I15Rik","1810010H24Rik","1110046J04Rik","1110004E09Rik","1810058I24Rik","1110059G10Rik","1110004E09Rik","1700020I14Rik","0610030E20Rik","4831440E17Rik","A830018L16Rik","1810041L15Rik","2310033P09Rik","1500011K16Rik","Abca1","1700020I14Rik","1700016K19Rik","9330159F19Rik","0610030E20Rik","2700049A03Rik","1110004E09Rik","1110008F13Rik","Abca8a","1110017D15Rik","2010107E04Rik","2810417H13Rik","1700021K19Rik","1110059G10Rik","1700021F05Rik","2310067B10Rik","2810474O19Rik","1200014J11Rik","A430035B10Rik","1110032A03Rik","1700040D17Rik","1810041L15Rik","1190002F15Rik"
"4","0610030E20Rik","1700020I14Rik","1700020I14Rik","1700025G04Rik","9930111J21Rik2","2210016L21Rik","1110007C09Rik","2610305D13Rik","1500015O10Rik","1700020I14Rik","2210016L21Rik","1110019D14Rik","2610008E11Rik","2810021J22Rik","1700105P06Rik","2610008E11Rik","2210404O09Rik","2210017G18Rik","2010012O05Rik","2310033P09Rik","1500011K16Rik","1700025G04Rik","1810037I17Rik","2210016L21Rik","2810428I15Rik","2410015M20Rik","0610040J01Rik","1810037I17Rik","2010107E04Rik","1700024P16Rik","2310033P09Rik","2410089E03Rik","1110008P14Rik","1700025G04Rik","1700020I14Rik","2210016L21Rik","2410015M20Rik","9930111J21Rik2","2210016L21Rik","4833422C13Rik","1700123O20Rik","1190002F15Rik","2210016L21Rik","2810013P06Rik","2810428I15Rik","1700020I14Rik","1810041L15Rik","Actb","Abcd2","4933427D14Rik","1500015O10Rik","5730455P16Rik","2010300C02Rik","2610008E11Rik","1200014J11Rik","2010012O05Rik","2210016L21Rik","1110059G10Rik","2610015P09Rik","2810474O19Rik","1500011K16Rik","2810474O19Rik","1190003K10Rik","2210016L21Rik","2210016L21Rik","2010107E04Rik","1700080G11Rik","1500015O10Rik","1700024P16Rik","2610015P09Rik","2700029M09Rik","1700086L19Rik","AF251705","1500009C09Rik","2010107E04Rik","1190002F15Rik","2810474O19Rik","2810006K23Rik","1700037H04Rik","Acadl","1110015O18Rik","1700007K13Rik","1190002F15Rik","1700019D03Rik","1700026D08Rik","2410089E03Rik","2810474O19Rik","1300002E11Rik","4833422C13Rik","2210016L21Rik","1190002N15Rik","1110046J04Rik","2010107E04Rik","1500011K16Rik","1110004F10Rik","1700025G04Rik","0610040J01Rik","9530068E07Rik","AI593442","2210013O21Rik","2610002J02Rik","1600014C10Rik","Aco2","1810013L24Rik","2410015M20Rik","Acta2","1110004E09Rik","2810004N23Rik","1110004F10Rik","1500011K16Rik","Abcd2","1110019D14Rik","2410015M20Rik","2900011O08Rik","1810041L15Rik","1500011K16Rik","1810034E14Rik","2810474O19Rik","3830403N18Rik","1500011K16Rik","Abt1","1500011K16Rik","1810037I17Rik","2010107E04Rik","1500015O10Rik"
"5","0610040B10Rik","2010012O05Rik","2010107E04Rik","1810041L15Rik","Acbd5","2810004N23Rik","1110008F13Rik","2810474O19Rik","1500017E21Rik","2210016L21Rik","2700049A03Rik","1110037F02Rik","2610015P09Rik","2810474O19Rik","1810037I17Rik","2810004N23Rik","2310033P09Rik","2610015P09Rik","2310033P09Rik","2410089E03Rik","1500015L24Rik","1700123M08Rik","2010107E04Rik","2210404O09Rik","2810474O19Rik","2610008E11Rik","1010001B22Rik","2010107E04Rik","2210017G18Rik","2010107E04Rik","2410004B18Rik","2610203C20Rik","1110019D14Rik","1810037I17Rik","1700021F05Rik","2410089E03Rik","2700029M09Rik","Abcf1","2310010J17Rik","4930523C07Rik","1810037I17Rik","1190003K10Rik","2610015P09Rik","2810474O19Rik","2810474O19Rik","2210016L21Rik","2010107E04Rik","Actr2","Acsbg1","5730455P16Rik","1700020I14Rik","5830428H23Rik","2210016L21Rik","2610015P09Rik","1500009C09Rik","2310003H01Rik","2410015M20Rik","1200014J11Rik","2700029M09Rik","5430405H02Rik","1700025G04Rik","4632428N05Rik","1700016K19Rik","2610015P09Rik","2210408F21Rik","2210016L21Rik","2010107E04Rik","1700016P03Rik","1700025G04Rik","2610203C20Rik","2810004N23Rik","2700049A03Rik","Abcf1","1500011K16Rik","AU022252","1500012F01Rik","2900011O08Rik","2810013P06Rik","2810004N23Rik","Acbd3","1110017D15Rik","1700016K19Rik","1500012F01Rik","1700025G04Rik","1810037I17Rik","2700029M09Rik","3830403N18Rik","1500011K16Rik","9430020K01Rik","2410015M20Rik","1500011K16Rik","1110059G10Rik","2510009E07Rik","1700020I14Rik","1500011K16Rik","1810037I17Rik","1110001J03Rik","Acot13","AI597479","2210016L21Rik","2610301B20Rik","1700020I14Rik","Actb","2310022B05Rik","4430402I18Rik","Actb","1110019D14Rik","5330426P16Rik","1110007C09Rik","1500015O10Rik","Abcd3","1500015O10Rik","2610021A01Rik","2900022M07Rik","2010107E04Rik","1700020I14Rik","2010107E04Rik","5730455P16Rik","4632428N05Rik","1700020I14Rik","Acsl6","1500015O10Rik","2610203C20Rik","2410089E03Rik","1600010M07Rik"
"6","0610043K17Rik","2010107E04Rik","2210016L21Rik","2010107E04Rik","Acin1","2810468N07Rik","1500011K16Rik","5430403G16Rik","1700001C02Rik","2610002M06Rik","2810004N23Rik","1110046J04Rik","2810474O19Rik","2900011O08Rik","2010107E04Rik","2810474O19Rik","2810021J22Rik","2700038G22Rik","2310058D17Rik","2610008E11Rik","1700020I14Rik","2410089E03Rik","2810004N23Rik","2310033P09Rik","4632415L05Rik","2810474O19Rik","1110001J03Rik","2210011C24Rik","2410089E03Rik","2410089E03Rik","2610002M06Rik","2810474O19Rik","1110037F02Rik","2010012O05Rik","1700025G04Rik","2510009E07Rik","2810013P06Rik","Abi3","2610015P09Rik","9930111J21Rik2","2610203C20Rik","1190005I06Rik","2700049A03Rik","4632428N05Rik","9530059O14Rik","2410004P03Rik","2210011C24Rik","Adgra1","Acsl3","Abat","1700084C01Rik","6330403A02Rik","2210017G18Rik","2810004N23Rik","1500011K16Rik","2310022B05Rik","2610037D02Rik","1700020I14Rik","2810004N23Rik","Abca1","2010012O05Rik","4921524J17Rik","1700017B05Rik","2610203C20Rik","2310033P09Rik","2210017G18Rik","2010300C02Rik","1700020I14Rik","1810041L15Rik","2810004N23Rik","2810013P06Rik","2810428I15Rik","Abi3","1500015O10Rik","Abhd2","1500015O10Rik","4632428N05Rik","2810474O19Rik","2810013P06Rik","Acta2","1190002F15Rik","1700026D08Rik","1700025G04Rik","2010012O05Rik","2210016L21Rik","2810013P06Rik","4632415L05Rik","1700020I14Rik","9930021J03Rik","2810474O19Rik","1500035N22Rik","1500011K16Rik","2610507B11Rik","1700025G04Rik","1700020I14Rik","2210016L21Rik","1110007C09Rik","Actb","Abcg2","2210017G18Rik","2810428I15Rik","1810022K09Rik","Akap9","2510009E07Rik","Actb","Actn1","1110059G10Rik","Abcf1","1110008L16Rik","2010107E04Rik","Acbd3","1700012B09Rik","3632451O06Rik","3110035E14Rik","2210016L21Rik","2010002M12Rik","2210016L21Rik","9430038I01Rik","9430020K01Rik","1700025G04Rik","Actb","1700001C02Rik","2810474O19Rik","2610301B20Rik","1700001C02Rik"
"7","1110001J03Rik","2210016L21Rik","2410089E03Rik","2210016L21Rik","Actb","2810474O19Rik","1500015O10Rik","5430405H02Rik","1700007G11Rik","2810004N23Rik","2810428I15Rik","1110059G10Rik","2900011O08Rik","2900022M07Rik","2210017G18Rik","2900011O08Rik","2810474O19Rik","2810417H13Rik","2610015P09Rik","2610203C20Rik","2210016L21Rik","2610507B11Rik","2810474O19Rik","2510009E07Rik","4930523C07Rik","3632451O06Rik","1110007C09Rik","2210016L21Rik","2510009E07Rik","2610015P09Rik","2700081O15Rik","2900022M07Rik","1200014J11Rik","2010107E04Rik","1810043H04Rik","2810004N23Rik","2810417H13Rik","Acin1","2810004N23Rik","A830082K12Rik","2700029M09Rik","1500015O10Rik","2810004N23Rik","5730508B09Rik","Abca9","2810474O19Rik","2210016L21Rik","Ahi1","Acta2","Abcf1","1810011O10Rik","6330403K07Rik","2310022B05Rik","2810021J22Rik","1700025G04Rik","2310033P09Rik","2810004N23Rik","1700025G04Rik","2810013P06Rik","Abca9","2210016L21Rik","9130019O22Rik","1700084C01Rik","2810428I15Rik","2410089E03Rik","2310022B05Rik","2610015P09Rik","1700024P16Rik","2010107E04Rik","2810474O19Rik","2810474O19Rik","2810474O19Rik","Acbd3","1700003M02Rik","Acbd3","2210016L21Rik","A430035B10Rik","2900011O08Rik","3222401L13Rik","Actb","1190005I06Rik","1700088E04Rik","1810022K09Rik","2210016L21Rik","2310033P09Rik","2810402E24Rik","4632428N05Rik","1700025G04Rik","9930111J21Rik2","4932442L08Rik","1700010I14Rik","1500015O10Rik","2900011O08Rik","1810022K09Rik","1700025G04Rik","2510009E07Rik","1110015O18Rik","Actr2","Acsl3","2210018M11Rik","2900011O08Rik","1810041L15Rik","Alcam","2610008E11Rik","Actn4","Adap2","1190002F15Rik","Abhd17b","1110059G10Rik","2210016L21Rik","Acsl3","1700016K19Rik","4932438A13Rik","4930447C04Rik","2310033P09Rik","2210016L21Rik","2410015M20Rik","Aak1","A530017D24Rik","1700096K18Rik","Add3","1700007G11Rik","3110052M02Rik","2700060E02Rik","1700003M02Rik"
"8","1110004E09Rik","2310061I04Rik","2810474O19Rik","2410006H16Rik","Aif1","3110035E14Rik","1700020I14Rik","5730455P16Rik","1700012B09Rik","2810402E24Rik","4921524J17Rik","1190003K10Rik","5730455P16Rik","3110035E14Rik","2310033P09Rik","2900026A02Rik","3110035E14Rik","2810454H06Rik","2610020C07Rik","2700029M09Rik","2310033P09Rik","2700094K13Rik","4632427E13Rik","2610015P09Rik","A830009L08Rik","4930405A21Rik","1110015O18Rik","2310033P09Rik","2600014E21Rik","2610203C20Rik","2810428I15Rik","2900026A02Rik","1500011K16Rik","2210016L21Rik","2010107E04Rik","2810013P06Rik","2810474O19Rik","Acly","2810013P06Rik","Abcc9","2810013P06Rik","1700003F12Rik","2810013P06Rik","6330408A02Rik","Abcc9","2900011O08Rik","2310036O22Rik","Aida","Actb","Acbd3","1810041L15Rik","9030617O03Rik","2310033P09Rik","2810474O19Rik","1700096K18Rik","2610015P09Rik","4833420G17Rik","1810030O07Rik","2810428I15Rik","Abcd2","2610008E11Rik","9930021J03Rik","1810011O10Rik","2810474O19Rik","2610015P09Rik","2610008E11Rik","2700049A03Rik","1810011O10Rik","2010300C02Rik","2900052N01Rik","2900011O08Rik","2900011O08Rik","Acta2","1700007G11Rik","Acbd6","2410006H16Rik","Abcf1","3830403N18Rik","4930523C07Rik","Actn4","1500015O10Rik","1700101E01Rik","1810026B05Rik","2510009E07Rik","2310040G24Rik","2810428I15Rik","5830428H23Rik","1810037I17Rik","A830082K12Rik","5031425E22Rik","1700020I14Rik","1700020I14Rik","4932438A13Rik","2010107E04Rik","1810037I17Rik","2610015P09Rik","1110017D15Rik","Adgrl1","Acta2","2310033P09Rik","2900022M07Rik","2210011C24Rik","Aldoc","2810004N23Rik","Akap9","Adgrf5","1300002E11Rik","Acsl3","1500011K16Rik","2210018M11Rik","Acta2","1700017B05Rik","5730455P16Rik","5330434G04Rik","2700049A03Rik","2310009A05Rik","2700029M09Rik","Abca1","AI413582","1810037I17Rik","Aggf1","1700012B09Rik","4632427E13Rik","2700097O09Rik","1700007G11Rik"
"9","1110004F10Rik","2610301B20Rik","4930523C07Rik","2610507I01Rik","Akap17b","4930402H24Rik","1700025G04Rik","AW047730","1700016K19Rik","2810474O19Rik","4930523C07Rik","1200014J11Rik","5830428H23Rik","4930447C04Rik","2610015P09Rik","3110035E14Rik","4930447C04Rik","2810474O19Rik","2610203C20Rik","2810004N23Rik","2610015P09Rik","2810004N23Rik","4632428N05Rik","2610305D13Rik","Aatf","5830428H23Rik","1110020A21Rik","2510009E07Rik","2610015P09Rik","2700049A03Rik","2810474O19Rik","5330434G04Rik","1700020I14Rik","2900011O08Rik","2310022B05Rik","2810474O19Rik","2900052N01Rik","Acp2","2810474O19Rik","Abcf1","3110035E14Rik","1700017B05Rik","2810474O19Rik","8430408G22Rik","Ablim1","2900022M07Rik","2610301B20Rik","Akap9","Actn1","Acbd5","2200002D01Rik","9630010A21Rik","2410089E03Rik","2900002M20Rik","1810041L15Rik","2610203C20Rik","A430108G06Rik","1810037I17Rik","2810474O19Rik","Abcf1","2610015P09Rik","9930111J21Rik2","2010007H06Rik","2900011O08Rik","2700029M09Rik","2810474O19Rik","2810004N23Rik","2010007H06Rik","2210016L21Rik","3222401L13Rik","2900052N01Rik","3110035E14Rik","Actb","1700007K13Rik","Ace","2610203C20Rik","Acan","4632415L05Rik","5730409E04Rik","Adam33","1500035N22Rik","1810037I17Rik","1810037I17Rik","2610015P09Rik","2410004B18Rik","2810474O19Rik","9930111J21Rik2","2210408F21Rik","Abcc9","A130010J15Rik","1700025G04Rik","1700025G04Rik","4933427D14Rik","2210016L21Rik","2010107E04Rik","2700029M09Rik","1110020A21Rik","Agap1","Actb","2310035C23Rik","4930447C04Rik","2210016L21Rik","Ankrd11","2810474O19Rik","Ankrd11","Aes","1500011K16Rik","Actb","1700020I14Rik","2310009A05Rik","Actb","1700020I14Rik","6330403A02Rik","6330403A02Rik","2810474O19Rik","2310015A10Rik","2700049A03Rik","Abca9","Aatk","2010012O05Rik","Akap12","1700030J22Rik","4833439L19Rik","2810004N23Rik","1700007K13Rik"
"10","1110019D14Rik","2810004N23Rik","4930525G20Rik","2700029M09Rik","Akap9","Abca2","1700084C01Rik","AW146154","1700025G04Rik","3110045C21Rik","5730508B09Rik","1300002E11Rik","6330403K07Rik","5730522E02Rik","2810474O19Rik","4632428N05Rik","4932438A13Rik","2900011O08Rik","2810474O19Rik","2810013P06Rik","2700029M09Rik","2810013P06Rik","4933403L11Rik","2700029M09Rik","Abca9","AI593442","1110025M09Rik","2610008E11Rik","2700049A03Rik","2810474O19Rik","2900011O08Rik","5730455P16Rik","2010107E04Rik","2900026A02Rik","2410002F23Rik","2900011O08Rik","3110035E14Rik","Acsl3","2900011O08Rik","Ablim1","5830428H23Rik","1700019G17Rik","3222401L13Rik","9430020K01Rik","Acadm","4930447C04Rik","2810004N23Rik","Alcam","Adcyap1r1","Actb","2510002D24Rik","A730046J19Rik","2600014E21Rik","2900011O08Rik","2010107G23Rik","2700029M09Rik","Abcf1","2210016L21Rik","2900052N01Rik","Ablim1","2610044O15Rik8","A230046K03Rik","2010300C02Rik","3110035E14Rik","2810004N23Rik","2900011O08Rik","2810021J22Rik","2010107E04Rik","2310022B05Rik","4632427E13Rik","3830406C13Rik","3632451O06Rik","Adgrf5","1700012B09Rik","Aco2","2700029M09Rik","Acbd5","4921524J17Rik","5730455P16Rik","Adam9","1700001C02Rik","2210408I21Rik","2210016L21Rik","2700029M09Rik","2610015P09Rik","2900011O08Rik","AW047730","2610015P09Rik","Abcf1","Acin1","1700029J07Rik","1700040D17Rik","5430400D12Rik","2310033P09Rik","2010107G23Rik","2700049A03Rik","1110046J04Rik","Ahi1","Adarb1","2410089E03Rik","5330417C22Rik","2410015M20Rik","Ankrd12","2900022M07Rik","Ap3d1","Ahi1","1500012F01Rik","Add3","1810024B03Rik","2700029M09Rik","Actn1","1700024G13Rik","6330403K07Rik","6330403K07Rik","2900011O08Rik","2310033P09Rik","2810004N23Rik","Acadsb","Abca1","2010107E04Rik","Aktip","1700086L19Rik","4930402H24Rik","2810006K23Rik","1700012B09Rik"
