,tissue,cluster,cluster_name,subcluster,full_name,num_cells
1,P60Cerebellum_ALT,1,GranularNeuron_Gabra6,1-1,Neuron.Slc17a7.Gabra6,10243
2,P60Cerebellum_ALT,2,PurkinjeNeuron_Pcp2,2-1,Neuron.Gad1Gad2.Pcp2,89
3,P60Cerebellum_ALT,3,Interneurons_Pvalb,3-1,Neuron.Gad1Gad2.Pvalb-Nefh,360
4,P60Cerebellum_ALT,3,Interneurons_Pvalb,3-2,Neuron.Gad1Gad2.Pvalb-Rab3b,196
5,P60Cerebellum_ALT,3,Interneurons_Pvalb,3-3,Neuron.Gad1Gad2.Pvalb-Cadm1,101
6,P60Cerebellum_ALT,3,Interneurons_Pvalb,3-4,Neuron.Gad1Gad2.Pvalb-Chrm2,73
7,P60Cerebellum_ALT,4,Interneurons_and_Other_Nnat,4-1,Neuron.Slc17a6.Sln,55
8,P60Cerebellum_ALT,4,Interneurons_and_Other_Nnat,4-2,Neuron.Gad1Gad2.Lgi2,38
9,P60Cerebellum_ALT,4,Interneurons_and_Other_Nnat,4-3,Neuron.Slc17a6.Nrgn,20
10,P60Cerebellum_ALT,5,Microglia_Macrophage_C1qb,5-1,Microglia.C1qb.Mrc1-Tmem119,32
11,P60Cerebellum_ALT,6,Oligodendrocyte_Polydendrocyte_Tfr_Tnr,6-1,Oligodendroyte.Trf.Il33,127
12,P60Cerebellum_ALT,6,Oligodendrocyte_Polydendrocyte_Tfr_Tnr,6-2,Oligodendrocyte.Trf.Klk6,34
13,P60Cerebellum_ALT,6,Oligodendrocyte_Polydendrocyte_Tfr_Tnr,6-3,Polydendrocyte.Tnr.Tnr,8
14,P60Cerebellum_ALT,7,BergmannGlia_Gpr37l1,7-1,BergmannGlia_Gpr37l1,702
15,P60Cerebellum_ALT,8,Astrocyte_Gja1,8-1,Gja1.Gfap,23
16,P60Cerebellum_ALT,8,Astrocyte_Gja1,8-2,Gja1.Htra1,125
17,P60Cerebellum_ALT,9,Choroid_Plexus_Ttr,9-1,Choroid_Plexus.Ttr,25
18,P60Cerebellum_ALT,10,Endothelial_Stalk_Flt1,10-1,Endothelial_Stalk.Flt1.Mgp,73
19,P60Cerebellum_ALT,10,Endothelial_Stalk_Flt1,10-2,Endothelial_Stalk.Flt1.Car4,76
20,P60Cerebellum_ALT,10,Endothelial_Stalk_Flt1,10-3,Endothelial_Stalk.Flt1.Lrg1,52
21,P60Cerebellum_ALT,11,Endothelial_Tip_Dcn,11-1,Endothelial_Tip.Dcn.Nnat,29
22,P60Cerebellum_ALT,11,Endothelial_Tip_Dcn,11-2,Endothelial_Tip.Dcn.Apod,21
23,P60Cerebellum_ALT,11,Endothelial_Tip_Dcn,11-3,Mural.Acta2Rgs5.Acta2,35
24,P60Cerebellum_ALT,11,Endothelial_Tip_Dcn,11-4,Mural.Acta2Rgs5.Kcnj8,18
25,P60Cerebellum_ALT,11,Endothelial_Tip_Dcn,11-5,Mural.Acta2Rgs5.Rgs5,14
26,P60Cortex_noRep5_FRONTALonly,1,Interneuron_CGE_Cplx3-Synpr,1-1,Neuron.Gad1Gad2.Cplx3,658
27,P60Cortex_noRep5_FRONTALonly,1,Interneuron_CGE_Cplx3-Synpr,1-2,Neuron.Gad1Gad2.Cplx3-Reln,484
28,P60Cortex_noRep5_FRONTALonly,1,Interneuron_CGE_Cplx3-Synpr,1-3,Neuron.Gad1Gad2.Synpr-Nnat,100
29,P60Cortex_noRep5_FRONTALonly,1,Interneuron_CGE_Cplx3-Synpr,1-4,Neuron.Gad1Gad2.Synpr-Crispld2,223
30,P60Cortex_noRep5_FRONTALonly,1,Interneuron_CGE_Cplx3-Synpr,1-5,Neuron.Gad1Gad2-Chat.Synpr-Slc5a7,376
31,P60Cortex_noRep5_FRONTALonly,1,Interneuron_CGE_Cplx3-Synpr,1-6,Neuron.Gad1Gad2.Synpr-Pcdh11x,359
