NW_name	Human_distance	Mouse_distance	Chicken_distance	Ensembl98ID	SpeciesCommonName	Order
Mus musculus	0.20935553600000004	0.0	0.27432778299999994	mmusculus	Mouse	Rodentia
Mus musculus c57bl6nj	0.210052649	0.0008971130000000001	0.2750248959999998			
Mus musculus akrj	0.209429057	0.0022185390000000003	0.27440130399999996			
Mus musculus aj	0.20949552780000003	0.0022850098000000004	0.27446777479999995			
Mus musculus nzohlltj	0.20992051700000003	0.002509999	0.27489276399999985			
Mus musculus fvbnj	0.209802146	0.0025916280000000003	0.27477439299999995			
Mus musculus 129s1svimj	0.20964005100000002	0.002629533	0.27461229799999987			
Mus musculus lpj	0.209766107	0.002755589	0.2747383539999999			
Mus musculus c3hhej	0.210056861	0.002846343	0.2750291079999998			
Mus musculus balbcj	0.21012774580000002	0.0029172278000000004	0.27509999279999986			
Mus musculus cbaj	0.21018619100000002	0.0029756730000000003	0.27515843799999984			
Mus musculus nodshiltj	0.21040682800000002	0.00319631	0.2753790749999998			
Mus musculus dba2j	0.210619668	0.00340915	0.2755919149999998			
Mus musculus wsbeij	0.20971926400000002	0.0035448520000000002	0.2746915109999999			
Mus musculus pwkphj	0.210429934	0.009788522000000001	0.2754021809999999			
Mus musculus casteij	0.209769668	0.009931668000000001	0.2747419149999999			
Mus spicilegus	0.20868846800000002	0.019934008	0.2736607149999999	mspicilegus	Steppe mouse	Rodentia
Mus spretus	0.209115548	0.020361088000000003	0.2740877949999999	mspretus	Algerian mouse	Rodentia
Mus caroli	0.208583298	0.041638238	0.2735555449999999	mcaroli	Ryukyu mouse	Rodentia
Mus pahari	0.207796998	0.07463573800000001	0.2727692449999999	mpahari	Shrew mouse	Rodentia
Rattus norvegicus	0.211067598	0.124182338	0.2760398449999999	rnorvegicus	Rat	Rodentia
Meriones unguiculatus	0.208245798	0.153780738	0.2732180449999999	munguiculatus	Mongolian gerbil	Rodentia
Peromyscus maniculatus bairdii	0.20936421100000002	0.15598574499999998	0.27433645799999995	pmbairdii	Northern American deer mouse	Rodentia
Cricetulus griseus picr	0.210077448	0.15669898200000001	0.27504969499999987	cgpicr	Chinese hamster PICR	Rodentia
Cricetulus griseus chok1gshd	0.21052291300000003	0.157144447	0.27549515999999996	cgchok1gshd	Chinese hamster CHOK1GS	Rodentia
Cricetulus griseus crigri	0.21089583500000003	0.157517369	0.2758680819999999	cgcrigri	Chinese hamster CriGri	Rodentia
Microtus ochrogaster	0.212159901	0.15878143499999997	0.27713214799999986	mochrogaster	Prairie vole	Rodentia
Mesocricetus auratus	0.214187911	0.16080944499999997	0.27916015799999994	mauratus	Golden Hamster	Rodentia
Nannospalax galili	0.207902301	0.178332835	0.2728745479999999	ngalili	Upper Galilee mountains blind mole rat	Rodentia
Jaculus jaculus	0.204460161	0.194794575	0.2694324079999999	jjaculus	Lesser Egyptian jerboa	Rodentia
