Gene name	pvampyrus_dNdS
0610010F05Rik	0.12970890410958905
1110004F10Rik	0.044897959183673466
1110012L19Rik	0.19684343434343435
1110032A03Rik	0.2298767222625091
1110038F14Rik	0.3406682966585168
1190007I07Rik	0.3164265129682997
1700001C19Rik	0.2282020112719637
1700017B05Rik	0.2537783375314861
1700020L24Rik	0.17332100529545266
1700021F05Rik	0.1843278217109993
1700030K09Rik	0.3444684245097119
1700037C18Rik	0.2477391066045492
1700066M21Rik	0.2879904401513643
2210016F16Rik	0.13887302493813058
2210016L21Rik	0.31115233016461863
2310009B15Rik	0.29541517496246683
2310011J03Rik	0.20445562342795545
2310022A10Rik	0.13065245478036175
2310022B05Rik	0.1873689507674243
2310033P09Rik	0.0906370002258866
2310061I04Rik	0.24365695114279726
2410004B18Rik	0.08146623386905234
2510009E07Rik	0.03890489913544668
2610002M06Rik	0.1162227602905569
2610301B20Rik	0.4691029900332226
2610507B11Rik	0.10933599600599099
2700062C07Rik	0.30123997082421594
2810004N23Rik	0.2182177240187608
3110009E18Rik	0.14540059347181009
3110082I17Rik	0.12054166666666667
4430402I18Rik	0.5438155136268343
4833420G17Rik	0.27995466321243523
4833439L19Rik	0.21397220190197516
4921524J17Rik	0.06898817345597898
4930430F08Rik	0.19220532319391634
4930503L19Rik	0.3421594586643131
4930579G24Rik	0.22379434037465126
4931406P16Rik	0.08665287118468702
5031439G07Rik	0.1185327405012126
5730409E04Rik	0.14222162307899702
5730455P16Rik	0.10069790628115652
6030458C11Rik	0.2291390728476821
6430548M08Rik	0.05537590945836702
8030462N17Rik	0.08745980707395498
9530068E07Rik	0.2804057661505606
9930012K11Rik	0.39956391387299
9930021J03Rik	0.364
9930104L06Rik	0.21988462843569728
A3galt2	0.1685148514851485
A430005L14Rik	0.1960475440355148
Aacs	0.09316663812296626
Aak1	0.1853961677887105
Aars2	0.150871293182513
Aatf	0.22360371028221826
Abca2	0.039367341618145466
Abca3	0.07680928538916705
Abcb7	0.12600806451612906
Abcb8	0.13501284089519386
Abcc1	0.0633729216152019
Abcc10	0.19688073394495406
Abcc9	0.03077103077103077
Abcd1	0.043212056988107865
Abcf1	0.056483691328560064
Abcf2	0.013033175355450238
Abhd12	0.140928849233585
Abhd14a	0.18417115499700776
Abhd14b	0.1146320093457944
Abhd8	0.0450065703022339
Abi1	0.03571428571428572
Abl1	0.08493353028064993
Ablim1	0.0994818652849741
Abt1	0.10822243764871772
Abtb1	0.0631780472239949
Acaa2	0.12745822859677658
Acacb	0.08438301192732138
Acad8	0.15905113746840366
Acadl	0.11713470491064724
Acadsb	0.271624322009706
Acadvl	0.18054532056005895
Acap2	0.05049484952534842
Acap3	0.031689762595337845
Acat1	0.14922089825847845
Acbd3	0.13679544015199493
Acbd6	0.17055924576815942
Accs	0.23500840650102744
Acd	0.4017607042817127
Acin1	0.16932543299908842
Acly	0.018977332630469163
Aco2	0.020721686316541626
Acot7	0.10256663376110564
Acot8	0.17957020900794818
Acp5	0.12127337038908538
Acp6	0.2593499252005984
Acsbg1	0.15912667191188046
Acsf2	0.2128679898761156
Acsl1	0.14992626577093235
Acss3	0.07576601671309192
Actg1	0.0040785355211989
Actl6a	0.010343730108211331
Actn4	0.004293193717277486
Actr10	0.0504182156133829
Actr3	0.005920344456404737
Acy1	0.10801393728222997
Acy3	0.21677162744448128
Acyp2	0.0956627978008552
Adal	0.2039232289020604
Adam15	0.20393019101278
Adam9	0.12386411295959734
Adamts1	0.11811787533349505
Adamts10	0.0323175227328582
Adamts9	0.09609849696194436
Adap2	0.13297763184896366
Adarb1	0.039875265392781314
Adat2	0.12758813654169002
Adck1	0.06850425618159707
Adck5	0.12557055453044574
Adcy6	0.04685974617637488
Add1	0.08825503355704699
Add3	0.0840715360187197
Adh5	0.10363836824696802
Adi1	0.0827723944078704
Adipor2	0.13999479573250065
Adk	0.13661322205139467
Adm	0.24756577584420966
Adnp2	0.13713418986438258
Adora2a	0.1431205346854114
Adpgk	0.1595744680851064
Adprh	0.13848945972357948
Adrb2	0.08291565229843906
Aebp2	0.06651328174022171
Aff1	0.26747536012130396
Aff4	0.07970363718006286
Afg3l2	0.0489202291758484
Aga	0.1948051948051948
Agap1	0.031028274912633692
Ager	0.2575227431770469
Agfg1	0.1298507462686567
Agfg2	0.1929443236916904
Agk	0.08640953484522433
Agmo	0.2300391995048484
Agpat1	0.08038793103448276
Agpat5	0.23139208969168484
Agps	0.14905079527963058
Agrn	0.1234984612329991
Ahr	0.2544802867383512
AI467606	0.2672126951625288
AI597479	0.15591299579601536
Aifm1	0.13892365456821024
Aifm3	0.0368533905119271
Aig1	0.13435483870967746
Aimp1	0.08966469923395706
Aimp2	0.10101704233095106
Ak2	0.06051073279052554
Ak4	0.1253269916765755
Akap1	0.2888036809815951
Akap11	0.2887656033287101
Akap12	0.2850451656072265
Akap7	0.20717131474103584
Akap8	0.1853860880663689
Akap8l	0.08744968898646177
Akirin2	0.08868940754039496
Akt1	0.008732324485239395
Akt1s1	0.03807728557964185
Akt2	0.017116060961313014
Akt3	0.01153612629022465
Aktip	0.054008908685968825
Alad	0.22553045859000684
Alas1	0.07398680490103675
Alas2	0.11903729401561144
Alcam	0.09176155391828532
Aldh3a2	0.15544402620939635
Aldh5a1	0.13877491207502932
Aldh6a1	0.07160839160839161
Aldh7a1	0.14573055028462994
Alg1	0.17023661270236612
Alg11	0.19992105782514308
Alg14	0.234835692947136
Alg2	0.18176504967855056
Alg5	0.13646574316735305
Alkbh3	0.17233420526234802
Alkbh4	0.11906461977865047
Alkbh5	0.029565217391304344
Alkbh7	0.10013161891262527
Alkbh8	0.2326951399116348
Alpk1	0.2310151310648576
Als2	0.08427258539968788
Amacr	0.1907692307692308
Amdhd2	0.09125176692319772
Amigo2	0.11359543817527012
Amigo3	0.15859166495586122
Ammecr1	0.10900473933649288
Amn1	0.3579088471849866
Amotl1	0.08594171613599569
Amotl2	0.08855047941342356
Amz2	0.1894306480920654
Anapc2	0.02315287708546136
Anapc4	0.06991568990335184
Angel1	0.125507167974033
Angptl4	0.12914318464036678
Ankfy1	0.05720164609053498
Ankib1	0.08835588355883559
Ankmy2	0.07469696969696969
Ankra2	0.0184194890077243
Ankrd11	0.08725000000000001
Ankrd12	0.13295708098175613
Ankrd13a	0.07356321839080457
Ankrd13c	0.1078646748681898
Ankrd27	0.1474964234620887
Ankrd28	0.04388448471121178
Ankrd37	0.2660836050993181
Ankrd39	0.0972394540942928
Ankrd46	0.09064286710361176
Ankrd52	0.0281182408074982
Ankrd54	0.0632134528047134
Ankrd6	0.1418004406672962
Anks3	0.1465378421900161
Ankzf1	0.3588527064912659
Ano10	0.06007112014224029
Ano6	0.07803912947900636
Ano8	0.053950529117704336
Anp32a	0.07590051457975988
Anp32b	0.15922240222170794
Anp32e	0.030363190470629457
Anpep	0.15341246290801186
Antxr2	0.22080561714708052
Anxa1	0.14949664429530202
Anxa11	0.08258928571428574
Anxa3	0.07698779974758098
Anxa4	0.06960522410210745
Anxa7	0.09357622243528284
Ap1ar	0.07601100995130214
Ap1m1	0.0032348501186111713
Ap2a1	0.011491637273865058
Ap4m1	0.07508819082815386
Ap4s1	0.1854344637155924
Apaf1	0.13837209302325582
Apbb2	0.053795688847235235
Apbb3	0.13391906283280086
Apex1	0.03861321064738744
Apex2	0.2721868365180467
Api5	0.02347629796839729
Apip	0.03701127034924168
Apobec3	0.5255687973997833
Appl1	0.03413461538461538
Appl2	0.10165129744799484
Aptx	0.2666392769104355
Aqp11	0.2537985368598762
Arf4	0.029837775202781
Arfgap1	0.09471698113207548
Arfgap2	0.10917656698074557
Arfgef2	0.04096021487325836
Arfrp1	0.031412376003778934
Arglu1	0.28243962341383544
Arhgap1	0.037274315666860805
Arhgap11a	0.278612195854611
Arhgap12	0.10498747437941244
Arhgap19	0.1569973952166706
Arhgap23	0.059993024066968964
Arhgap25	0.1346094946401225
Arhgap28	0.11733779424065
Arhgap32	0.16227990560900346
Arhgap5	0.039405010438413365
Arhgef12	0.1872414543871108
Arhgef15	0.15559322033898307
Arhgef18	0.10236420642318447
Arhgef2	0.054759540360334806
Arhgef25	0.17538397675383974
Arhgef3	0.0839779005524862
Arhgef40	0.14930944382232175
Arhgef5	0.4003456221198157
Arhgef6	0.08035520901017977
Arhgef7	0.04396920444824636
Arhgef9	0.012580374615599663
Arid3a	0.0892346333635666
Arid3b	0.17077175697865354
Arid4a	0.09996095275283093
Arid4b	0.10151453131395824
Arid5a	0.2724425887265136
Arid5b	0.1225132625994695
Arih1	0.0033855268726195515
Arih2	0.028122802906022967
Arl10	0.0833803611738149
Arl13b	0.1636192271442036
Arl15	0.1961904761904762
Arl16	0.10381439244986236
Arl2	0.034907926341072856
Arl3	0.018798378179137487
Arl5b	0.006525711302531976
Arl5c	0.08599278942448925
Arl6ip1	0.08140043763676147
Arl6ip4	0.1748114720028502
Arl8a	0.01782042494859493
Armc10	0.20298450353931508
Armc8	0.01603592046183451
Armcx1	0.19164050883859246
Armcx5	0.5155046826222685
Arnt	0.12873893275903325
Arpc1a	0.013931362555215768
Arpc1b	0.016774061573079674
Arpc2	0.011413843888070692
Arpc3	0.008607827384368185
Arrdc1	0.13937809576224547
Arrdc2	0.09049029285949324
Arrdc4	0.08666026871401153
Arsa	0.1380248833592535
Arsb	0.22844175491679275
Arsg	0.20935849056603767
Arvcf	0.05409815488891678
Asap1	0.056565656565656576
Asap2	0.06295081967213115
Asap3	0.13719422340111995
Asb1	0.03899023082908274
Asb13	0.031942246835443035
Asb3	0.20142827137156055
Asb7	0.015151515151515154
Asb8	0.0340887450009522
Ascc1	0.12875121006776374
Ascc2	0.14919601058416446
Asf1a	0.0077380952380952375
Asf1b	0.04346626190147648
Ash1l	0.08192771084337351
Ash2l	0.022885572139303482
Asns	0.04084675014907573
Aspn	0.1784977908689249
Aspscr1	0.13660062565172054
