Gene name	amelanoleuca_dNdS	anancymaae_dNdS	bbbison_dNdS	bmutus_dNdS	btaurus_dNdS	capalliatus_dNdS	caperea_dNdS	catys_dNdS	ccanadensis_dNdS	ccapucinus_dNdS	cfamiliaris_dNdS	cgchok1gshd_dNdS	cgcrigri_dNdS	cgpicr_dNdS	chircus_dNdS	choffmanni_dNdS	cjacchus_dNdS	clanigera_dNdS	cldingo_dNdS	cporcellus_dNdS	csabaeus_dNdS	csyrichta_dNdS	dnovemcinctus_dNdS	dordii_dNdS	eaasinus_dNdS	ecaballus_dNdS	eeuropaeus_dNdS	etelfairi_dNdS	fcatus_dNdS	fdamarensis_dNdS	ggorilla_dNdS	hgfemale_dNdS	hgmale_dNdS	hsapiens_dNdS	itridecemlineatus_dNdS	jjaculus_dNdS	lafricana_dNdS	mauratus_dNdS	mcaroli_dNdS	mdomestica_dNdS	mfascicularis_dNdS	mleucophaeus_dNdS	mlucifugus_dNdS	mmmarmota_dNdS	mmulatta_dNdS	mmurinus_dNdS	mnemestrina_dNdS	mochrogaster_dNdS	mpahari_dNdS	mpfuro_dNdS	mspicilegus_dNdS	mspretus_dNdS	munguiculatus_dNdS	neugenii_dNdS	ngalili_dNdS	nleucogenys_dNdS	nvison_dNdS	oaries_dNdS	ocuniculus_dNdS	odegus_dNdS	ogarnettii_dNdS	oprinceps_dNdS	pabelii_dNdS	panubis_dNdS	pcapensis_dNdS	pcinereus_dNdS	pcoquereli_dNdS	pmbairdii_dNdS	ppaniscus_dNdS	ppardus_dNdS	psimus_dNdS	ptaltaica_dNdS	ptephrosceles_dNdS	ptroglodytes_dNdS	pvampyrus_dNdS	rbieti_dNdS	rnorvegicus_dNdS	rroxellana_dNdS	saraneus_dNdS	sbboliviensis_dNdS	sdauricus_dNdS	sharrisii_dNdS	sscrofa_dNdS	tbelangeri_dNdS	tgelada_dNdS	ttruncatus_dNdS	uamericanus_dNdS	umaritimus_dNdS	uparryii_dNdS	vpacos_dNdS	vursinus_dNdS	vvulpes_dNdS
1110032F04Rik	0.07804356541494054	0.06410064400179721			0.04312307486272934			0.06078125	0.056326395771390814	0.0615912208504801		0.039456662354463136		0.039456662354463136	0.04425587467362925		0.057771847898599064		0.07437549451791567		0.0503959683225342		0.03836450630709004		0.10022748561488024	0.1056845476381105			0.1259350659366083		0.06554696789536267	0.1078686816050026	0.1078686816050026	0.06291079812206572	0.05266929415979935	0.10805481612935028					0.053761779700293534				0.053761779700293534	0.050925925925925916	0.053761779700293534	0.05849208478669171	0.10398445092322643		0.18817204301075272		0.09256910981486176		0.07322596879718167	0.058571647040831926	0.037037037037037035	0.04583786724700762		0.15368550368550365			0.07955215085444904				0.052245011086474495		0.07241428368188932	0.031524031524031534	0.04617834394904458		0.06092595385311416	0.20217009733524813		0.06762820512820512	0.07196315486470928	0.06868489583333334							0.05787983642654921				0.05510471204188482		0.002809515374759355	
1600014C23Rik																																							0.8280029476787031									0.7057377049180328			0.6670305676855895																																									
1700007K13Rik		0.19242149470268205		0.19951155363516812	0.20067829457364345	0.1734908857744802	0.19501357689459392	0.19120251918913603	0.15740072202166067	0.15724137931034482	0.3792014041246161	0.396357106208312	0.3911607823215647	0.396357106208312	0.19347026639160464		0.16756184895833334	0.17996051332675225	0.22982967279246974	0.22732742588338256	0.2102513875285668	0.1916551061786362	0.13010049975286947	0.2151324687723765	0.18078285003349606	0.185053037608486		0.06185567010309277	0.17955548789770132	0.17000893074612325	0.2051964647002449	0.1926878418577872	0.1926878418577872	0.20481927710843373	0.13598937583001328	0.22443099971189856	0.13005877012757416		0.2503912363067293	0.13710636423695222	0.16683875408707624	0.19105450236966826		0.21469117448303826	0.1674168975069252	0.16893532484732546	0.1674168975069252	0.1982406534715677	0.26050700466977983	0.3528467153284671	0.7555797495917257	0.3717737506864361	0.4138909449790279			0.12280596297186824	0.2758220502901354	0.2048312675291776		0.15399090481417593	0.21326411696154252		0.21300746497596887	0.20677399121890028	0.13825334021446184	0.1332099907493062	0.16009578380227488	0.43667472568346666	0.1910997341734764	0.166066714662827	0.16161273928510925		0.1947181710681908		0.2353106946597153	0.1847577260587562	0.3163531114327062	0.1928514536041418		0.17180165571391995	0.15670835263239152	0.09815746509845732	0.1745400758066007	0.32368537339814396	0.1920108066383636	0.1828701508109646	0.20998820290994888		0.13473601027312687		0.12865017004808255	0.2444300518134715
1700028K03Rik	0.1835212201591512	0.2096610513497057	0.1892627893405952	0.1944652206432311		0.20033544539694373		0.21269230769230768	0.1805626598465473	0.22906350914962326	0.23793103448275865	0.12466237274049448	0.1137549572114381	0.3567238757332175	0.21698496546119464		0.21060260923586666	0.2109831413787348	0.2506167464809171	0.14521152348819102	0.2060854956132164	0.19057064388159906	0.12896944278010786	0.19002284843869	0.20041872858774268		0.2519366790165039		0.2598612487611497	0.16282722513089004	0.2075015124016939			0.2075015124016939	0.17930923176242736	0.18645276292335114		0.17644097659199598	0.19318181818181815	0.20389111163411	0.2038511386780226	0.21269230769230768	0.2222222222222222	0.16095238095238096		0.20379867046533715	0.21269230769230768	0.24886363636363634	0.09058988764044944	0.17647058823529413		0.3318181818181818	0.21452991452991446	0.21874044634668294	0.1703177422537991	0.2150668286755772	0.15811088295687886	0.2193471337579618	0.22868473231989425	0.1924329353388122	0.2088215024121296		0.22159565580618207	0.21269230769230768	0.19218406361021825	0.18060656320341192	0.2346034559149313	0.19731509625126648	0.2000389559797429	0.2666114676050507	0.27934111187371313	0.25935110560033064	0.20026080476900146	0.2075015124016939	0.2042121098157202	0.2056369367698869	0.19361513449600948	0.2056369367698869		0.22872340425531915	0.20055893473614994	0.19680374733071573	0.24905446293494704		0.21269230769230768	0.2008180755746007	0.2084893882646692	0.2123200291598324	0.18905693950177935	0.2516370439663237		0.2310462471569371
1700109H08Rik	0.2579129232895646		0.33575317604355714	0.3442671835395855	0.31682876510462715		0.32965914871968793		0.2806446082633293				0.4717223650385605	0.4717223650385605	0.31670602125147584		0.39245359160613397	0.41446654611211575	0.2974634896233666	0.3633251833740831			0.2550164560993736	0.3644931717638007	0.2850114791734995				0.26708006962576153						0.2994948671989571		0.4027914291330843	0.4475982532751091	1.1083333333333332	0.2378963852277176			0.4534095722151631	0.3095666394112837		0.34677266704523946		0.4301693831895174	0.33203125	0.3160870099545287	0.19083969465648853	0.2897727272727273	0.7178598922247884				0.4651162790697675			0.3203973921142502						0.2339467761154508		0.3430086519676249		0.307551766138855	0.3792826552462527	0.3544952681388012					0.2867808519982433				0.3161628103360919		0.3801838610827375				0.3181644359464627	0.2985393258426966	0.24931768558951964		0.2047419508831486	
2410004P03Rik												0.5792980897378942	0.6012180267965895																																			0.7735145217159606				0.5955678670360111																																								
2810459M11Rik		0.3174742381056786			0.2849411446353673			0.2831087742359514	0.2377855090001513	0.2419910657306956	0.28803088803088805	0.2894360148869167		0.3060331353547984	0.2805136351601801		0.26294978252273626		0.26564717010878136		0.26386760649708857		0.27668705074562816		0.26099579039047754	0.2922153936201346			0.27859638462706976			0.2518982764854767		0.24281285231116126				0.31796322489391804	0.34381551362683443		0.3438275434243176				0.2705697663680857	0.24071488411058364		0.4206581948517432	0.32130584192439865	0.2624036771664188	0.4323432343234324	0.2195767195767196			0.33840383413211084						0.2706948640483384			0.2883253746089248		0.00859179212514557	0.2568792489478796	0.34037108125399873		0.2756468797564688	0.28978102189781024		0.2805408015451473	0.27736804049168473									0.3482212819307319		0.2732318426895021				0.2497961845752487			
4932438H23Rik	0.3479706330516692	0.3821343430093957	0.2770583923772294	0.29328806476886915	0.29001810188776833	0.3915716856628674	0.4484119155652002	0.3933897002305919	0.3126236644242185	0.3245341614906832	0.4380628377026216	0.5470536499560247		0.533446232006774			0.2983751846381093	0.4758216453841323	0.419774335436986	0.3938976377952756	0.3135563380281691		0.4366240097501524	0.25716845878136196	0.299324831207802	0.2902052103041769			0.2853776363850595	0.3315368032029566	0.3699304750869061	0.4121720116618076	0.4121720116618076	0.3445082422670865	0.3104133545310016		0.35908812729498163		0.9538834951456312	0.22380807774066205	0.3709536307961505	0.3913438256658595		0.313447337738049	0.34375592192533644	0.2567042363000389	0.3709654074395716				0.4895522388059702	1.1065989847715736	0.33063006862133504			0.3306408898305085	0.3982437220767216	0.2798349056603774	0.209629058511094	0.3914709312010661	0.2624281788658506			0.3790677220756376		0.2717022641855349	0.3119825027339478	0.4404641775983855	0.38333333333333336	0.3695424380020957	0.295501183898974	0.37454263222086703	0.3960396039603961	0.3780573025856045		0.3985560630617357	0.3455197132616488	0.38515693751833385		0.3941167411058063	0.3265874489417007	0.2128770700199272	0.3151506497215479		0.4007421150278293		0.34915705412599823	0.3401230949589684	0.3143070322700989		0.2479791395045632	0.4781997187060479
4933411K16Rik									0.33981355161437016		0.2768305903222628	0.5261935483870968	0.6251625487646294	0.5468341182626897	0.2255875769445999				0.2768305903222628	0.3504500818330606			0.2502464548418897											0.3168793373628834	0.3752667520273154			0.5363813771954279	0.2485029940119761	0.07626110777042827				0.31977005299559874		0.32298875432525953			0.2997779422649889			0.26168224299065423			0.4423884013735215						0.306002034587996	0.2152169109523459			0.3156151969327292		0.31230048946584377					0.3046900623155133			0.3420704845814978						0.31736799054803233		0.2694570353939628	0.15722162223611666		0.3364758698092032	0.28649725959143	0.2848623397276613	0.34323095481117194	0.3240700218818381		0.2976859346728883
6720489N17Rik																																																			1.342581888246628																																									
