Gene name	amelanoleuca_dNdS	anancymaae_dNdS	bbbison_dNdS	bmutus_dNdS	btaurus_dNdS	capalliatus_dNdS	caperea_dNdS	catys_dNdS	ccanadensis_dNdS	ccapucinus_dNdS	cfamiliaris_dNdS	cgchok1gshd_dNdS	cgcrigri_dNdS	cgpicr_dNdS	chircus_dNdS	choffmanni_dNdS	cjacchus_dNdS	clanigera_dNdS	cldingo_dNdS	cporcellus_dNdS	csabaeus_dNdS	csyrichta_dNdS	dnovemcinctus_dNdS	dordii_dNdS	eaasinus_dNdS	ecaballus_dNdS	eeuropaeus_dNdS	etelfairi_dNdS	fcatus_dNdS	fdamarensis_dNdS	ggorilla_dNdS	hgfemale_dNdS	hgmale_dNdS	hsapiens_dNdS	itridecemlineatus_dNdS	jjaculus_dNdS	lafricana_dNdS	mauratus_dNdS	mcaroli_dNdS	mdomestica_dNdS	mfascicularis_dNdS	mleucophaeus_dNdS	mlucifugus_dNdS	mmmarmota_dNdS	mmulatta_dNdS	mmurinus_dNdS	mnemestrina_dNdS	mochrogaster_dNdS	mpahari_dNdS	mpfuro_dNdS	mspicilegus_dNdS	mspretus_dNdS	munguiculatus_dNdS	neugenii_dNdS	ngalili_dNdS	nleucogenys_dNdS	nvison_dNdS	oaries_dNdS	ocuniculus_dNdS	odegus_dNdS	ogarnettii_dNdS	oprinceps_dNdS	pabelii_dNdS	panubis_dNdS	pcapensis_dNdS	pcinereus_dNdS	pcoquereli_dNdS	pmbairdii_dNdS	ppaniscus_dNdS	ppardus_dNdS	psimus_dNdS	ptaltaica_dNdS	ptephrosceles_dNdS	ptroglodytes_dNdS	pvampyrus_dNdS	rbieti_dNdS	rnorvegicus_dNdS	rroxellana_dNdS	saraneus_dNdS	sbboliviensis_dNdS	sdauricus_dNdS	sharrisii_dNdS	sscrofa_dNdS	tbelangeri_dNdS	tgelada_dNdS	ttruncatus_dNdS	uamericanus_dNdS	umaritimus_dNdS	uparryii_dNdS	vpacos_dNdS	vursinus_dNdS	vvulpes_dNdS
1700001C19Rik	0.17454632282712512	0.2632607209143304			0.2174854865262976		0.19004419632472666		0.2155	0.3096774193548387	0.15065847234416155	0.6624579124579125	0.3214532076339389	0.3214532076339389	0.1953405017921147		0.2818641212801797		0.1893918356012219	0.1688332360587892	0.26987261775451765	0.16624060150375938	0.3394916450929631	0.19659176802033945	0.1585226683265899	0.18754105539741625			0.15839899713467048	0.1548343091002103		0.16614420062695925	0.16614420062695925	0.24480699688840304	0.2099961039683865	0.06006582556226	0.1912821701831672	0.26713073743745924	1.0639269406392695	0.008124620247166835	0.2964386887899636			0.2556451612903225	0.4783312696447281	0.21462676138348666	0.2964386887899636	0.2874058127018299	0.3097713097713098		2.017857142857143	0.5251141552511416	0.4782515073212748		0.2868553568327835		0.21959145775301764	0.26759390763504576	0.4143905421932328		0.18055375016248534			0.26698186028560394	0.2610195064123289	0.05254861225010479	0.19254498714652954	0.2639425731639978	0.26478436773693725	0.2327648114901256	0.1959970190567444	0.19805663098762624	0.236596046869452	0.25996548748921483	0.2282020112719637	0.2779085736707867	0.5101934134866702				0.2070114942528736				0.457778605344009	0.18155920615326185	0.17808429118773947	0.18221626452189452	0.23183925811437406		0.05442909734311235	0.1819632881085395
1700020L24Rik		0.2058232931726908			0.1387220447284345	0.1920500616957518		0.2065763290059699	0.2196808056669796	0.17320028510334998		0.0984626014855761	0.0984626014855761	0.0984626014855761	0.13769114655115836			0.16902780237294138	0.19575718015665802	0.21504634949819967	0.2093617021276596	0.2226525698733382	0.19525666016894086	0.1971704334272526	0.16489510489510492	0.1556642216788916	0.17583068555118747	0.16105013779432387	0.16502221887474575		0.22647826960423226	0.2548258497691985	0.2548258497691985	0.17676847602468745	0.23273878020713465	0.16437016623699885	0.14470011316484346	0.12409851680500747	0.08466257668711656	0.2274547611984574	0.2065000475149672		0.14758691674290944	0.2329063853833113	0.20419231896804454	0.21549243821468092	0.20643957069528698	0.1056547619047619	0.05439330543933055		0.06969696969696969	0.20642201834862384	0.1186280083380709	0.2334757834757835	0.16064771668219946	0.15356541268950027	0.16762319414209378	0.13869850915000353	0.17972393210221976	0.2489613786736421		0.14320178151676358	0.1922297023278449	0.2065763290059699	0.19292763157894735	0.1692238402642246		0.1762429870381118	0.1808865771291049	0.1686544342507645	0.18078851807020574		0.18806172630150925	0.19044050295611625	0.17332100529545266	0.21015228426395946		0.21015228426395946			0.2510860979462876	0.2432370472260431		0.16214868822832929		0.15799340131973608	0.19981491478368169		0.25320608410378764			0.06752679414323529
2200002D01Rik	0.14492839040490366	0.28780535091120585				0.16722429545747008		0.19110353378797276		0.12099293815536058							0.2270433083686096				0.18871061000289105				0.30467257252041	0.3042348008385745			0.15730951512942035		0.15765039654394222				0.2901988140913847				0.634469696969697		0.17005161203834035	0.16457615437629225		0.29483355208209044	0.16807697556981027		0.15569355554147393	0.2217117988394584	0.5089820359281437	0.12458432860287574	0.9482071713147412					0.15668729817007535	0.12097920739292695	0.19333152615885066					0.16353811149032993	0.18547717842323647			0.2943096507452943		0.17758585790432493		0.2251400560224089		0.16097560975609754	0.16476753397111693		0.18681243124312435		0.16835314950670374		0.2897899195988588	0.3179892362303905				0.18867664299013864	0.20158904109589046	0.1333511634126772	0.15242820081015884	0.25322751322751325			
2310030G06Rik	0.8107803337843933	0.9244361776331086	0.8379128504024423	0.9640791476407914	0.9914012738853504	0.7197520883858799		0.8051267113311972	0.6976694000863185	0.7915756630265209	0.7137769864233252	0.5999153259949196	0.5593656236605229	0.5593656236605229			0.8551061972650567	0.842857142857143			0.7770419426048566	0.7493526670119108	0.665692007797271		0.7660192690013763	0.744120940649496	0.5796713111825652		0.6017736486486486		0.6604969574036512	0.919881305637982		0.6906914893617021		0.6416850741558852	0.9350459482038428	0.5391771019677996	0.32989690721649484	0.3823692478284975	0.8051267113311972	0.8551532033426184		1.1519490851233094	0.8024439918533605	0.911014312383323	0.8051267113311972	0.5359971202303816	0.5455426356589148	0.7890461824089117			0.4389610389610389		0.617151058485827	0.6350194552529183	0.7439024390243901	0.7175090252707582	0.6674741246421493				0.7299308878256248	0.8051267113311972			0.8160694288913772	0.5947063688999173	0.7166250346933111	0.6241758241758241	0.9633120161561765	0.6895454545454546	0.7461873638344225	0.7166250346933111		0.6835147744945568	0.3139810426540285	0.6762052075277132	0.4622456357814276	0.7407800477580259	1.0351931330472104		0.6599125943583631		0.8051267113311972	0.6875462392108508	0.7531193046404038	1.017519953280125	1.1459074733096086		0.5576687116564417	0.8272450532724505
4921507P07Rik	0.2422388744456339	0.27708582153216177	0.2722293814432989	0.27373032613986703	0.31040564373897706	0.25906463478717817	0.3150161622098149	0.2735378031383738	0.2809559653744825	0.2612854505789562	0.2514638392150657	0.3813847900113508	0.3813847900113508	0.3813847900113508	0.2850919651500484		0.2659411664682877	0.2540226460071514	0.24984296482412055	0.24922990758891075	0.2648312611012434	0.2529299968324359	0.2371919342793129	0.3057130396860009	0.2950369225485145	0.2865626060400407			0.25620099215874537	0.26693613581244946	0.26703467310677936	0.2894318346103802	0.29523944059895463	0.2643697765648985	0.3104378172588833	0.2931978107896794		0.32976588628762543	0.2309711286089239		0.26651359943482866	0.2610511660285416	0.32608695652173914	0.3085642317380353	0.2690805821796237	0.29866710547967745	0.2708851759687167	0.3596237337192475	0.22324159021406728	0.2562652811735941	0.4188481675392671	0.8461538461538461	0.41887723627390505		0.2851749307827838		0.2567150355047854	0.29031214620734275	0.27725620835857057	0.22325454297035116	0.3152725486986413		0.2694600280504909	0.2653489592443589		0.2900559511698881	0.2778297474275023	0.31578947368421056	0.26778535221115185	0.25417680454176805	0.287108655616943	0.2555448408871745	0.2647694524495677	0.26400693842150913	0.2822031388806633	0.2577264653641208	0.3315914489311164	0.262900597501358		0.24672383109529206	0.2999368886083938		0.2401377133840195		0.2614574187884109		0.2670414617006325	0.23343328335832084	0.30233652187549004			0.2581673306772909
4921524J17Rik	0.05574082896617437	0.07089405277668374	0.06430446194225721	0.07085953878406709	0.0745216515609265	0.024705435195743062		0.025367156208277702	0.025927581582476527	0.02355910811947834	0.06604609929078015	0.06222547584187409	0.05587557603686636	0.06222547584187409	0.06781975421028676		0.040055248618784525		0.06604609929078015	0.0624113475177305	0.03907314856883235	0.032874617737003065	0.03717627401837928	0.17543043275942294	0.04763811048839072	0.04763811048839072				0.05929203539823009	0.025076990761108663			0.025076990761108663	0.4420586230402182	0.16717539328480865	0.061130922058074376	0.05206463195691203		0.06555748696299975	0.025367156208277702	0.0249424405218726	0.09596928982725528	0.15992292870905586	0.025367156208277702	0.04881154499151103	0.0411522633744856	0.16891310582162314	0.44147659063625455	0.05232558139534884	0.4985835694050992		0.38605442176870747	0.09151900911749526	0.05791352637842127	0.02285485164394547	0.07244556113902847		0.02464788732394366		0.03574674341108755	0.01916167664670659	0.12747653806047968	0.05521472392638037		0.05589929592489866	0.026364477335800187	0.03435804701627486	0.02336448598130841	0.060824742268041236			0.02542372881355932	0.025076990761108663	0.06898817345597898	0.02523524379811805		0.1973712561947856	0.07235232436211114	0.16796776630571644		0.06138369944569904	0.10123351765206297	0.06563706563706563	0.025367156208277702		0.4389285714285714	0.16492740471869327	0.04354280059376547	0.1873070325900515	0.05621365496446264	0.3197527395335769
4930486L24Rik												0.40438988095238104	0.4129297458893871	0.40438988095238104																									0.497093023255814									0.3114796579424721	0.34482758620689663																			0.29200323101777065									0.33127317676143386															
4930523C07Rik			0.1650686706400622	0.16783926396969287	0.17591695501730098	0.29688990650639185		0.30625583566760034	0.2680665909950813		0.20381613183000868	0.0906337371854613	0.0906337371854613	0.0906337371854613			0.2023693209574988		0.20381613183000868	0.2333821376281113	0.29005524861878457		0.2186556927297668	0.18792289033575896	0.25390521577971936	0.2359818959014333			0.2244802616211166	0.3932751649287082	0.2853403141361257	0.2432053796581676		0.3031526336024606				0.1644144144144144	0.4	0.13297905209170116	0.30625583566760034	0.30625583566760034		0.16687935604201434	0.30625583566760034		0.30625583566760034						0.13606155998600908			0.2799185197759294	0.2514066496163683							0.29383464005702065		0.1902396720277515		0.09963184537505752	0.31534939279315155	0.2244802616211166	0.2414075286415712	0.2244802616211166	0.2422787646023364	0.31534939279315155		0.30611447548349285		0.2775404049786365				0.06604733696928576	0.2354828692681917		0.29383464005702065		0.2809065934065934	0.2809065934065934	0.1333020417742314		0.19081129175766398	0.2099877655433211
4931406P16Rik	0.07683486238532111	0.09180996793937628	0.09066843150231636	0.08869034648071476	0.08682505399568036	0.0905183991404781	0.1500114863312658	0.0795838020247469	0.1057114228456914	0.09499136442141624	0.07919869555089681	0.1201241134751773	0.1367453018792483	0.11845607808340727	0.0937227550130776		0.09767974792323117	0.07609594706368901	0.07364705882352941	0.10607205845301083	0.08147942157953282	0.09545576767948373	0.13749733532295885	0.08321347852886789	0.08960483262018626	0.08752465483234713			0.06866767436838696	0.1	0.08975868157739847	0.0949201741654572	0.0949201741654572	0.0862316757688991	0.09540034071550256	0.1051513542219862	0.1421423276501112	0.1575973832887303	0.16569767441860467	0.09149169407201282	0.08039772727272726	0.07996609211641706	0.08208955223880597	0.0967650397275823	0.0800339366515837	0.08288582769087087	0.07844243792325056	0.09110169491525424	0.20944558521560575	0.06993865030674846	0.15894039735099336	0.1967213114754098	0.08369408369408368		0.1072975674775075	0.09122006841505133	0.07238056182079146	0.10736379964079026	0.09157153266941948	0.10367388022143936	0.09650383141762453		0.09702797202797203	0.0794943820224719		0.09580384226491404	0.0931309493182403	0.10992529348986126	0.08737300435413642	0.07316538882803943	0.0967479674796748	0.07831060272767268	0.0859221942345368	0.08870490833826138	0.08665287118468702	0.10603674540682416	0.07917383820998279	0.08098396904367053	0.09000989119683482	0.0921887938172785	0.096	0.09104913247932543	0.08581005586592177		0.080718767826583		0.07748239036582595	0.09434389140271493	0.19140625			0.0754223173923388
9930012K11Rik	0.5161928751349406	0.35422575155984115	0.4223041709053917	0.6361778231987737	0.6446425450096137	0.2977609770282058	0.4114805661649068	0.3718057921635435	0.487335745572272	0.3338066348263844	0.40995435134737146	0.4329297820823245	0.4321047526673133	0.4329297820823245			0.35041436464088394	0.4404928235742411	0.4144666564932093	0.4068740167009561	0.3549795745879701	0.4167780748663101	0.34559775571860163	0.5225417110401136	0.4094249891915262	0.4061928219563688			0.4079007808911346	0.5484662576687116	0.35777205583412386	0.4716471647164717	0.4763322417386127		0.4521393034825871	0.4849859580903003	0.3672898572059473	0.2794004611837049	0.570446735395189	0.35646625444020524	0.3909741492624507	0.34312044577796824	0.4262905800957956	0.4567241037829273		0.405392392874338	0.3934881004526209	0.2512204280886219	0.4105409153952844	0.4622547389424676	0.3070866141732284	1.238095238095238	0.3678402522333159		0.4331108992691453		0.4317180616740088	0.5244821092278721	0.3736221968833143	0.35389021479713595	0.3854322464851929	0.42489225270682224		0.3829477666230176	0.4475170978293191		0.3685567010309279	0.3192133131618759	0.3379319406122717	0.4142958244869073	0.4133099824868651	0.43930725220349465	0.34974196109567285	0.3435547984099943	0.39956391387299	0.3861604072086945	0.3750960799385089	0.3938755443180222		0.3591339648173207	0.5322717262408944	0.1682248835245927	0.3863170231467917		0.3641025641025641		0.4817093448619887	0.4804037005887301	0.4356830704921148		0.23554301833568406	0.43873576992210905
