Gene name	amelanoleuca_dNdS	anancymaae_dNdS	bbbison_dNdS	bmutus_dNdS	btaurus_dNdS	capalliatus_dNdS	caperea_dNdS	catys_dNdS	ccanadensis_dNdS	ccapucinus_dNdS	cfamiliaris_dNdS	cgchok1gshd_dNdS	cgcrigri_dNdS	cgpicr_dNdS	chircus_dNdS	choffmanni_dNdS	cjacchus_dNdS	clanigera_dNdS	cldingo_dNdS	cporcellus_dNdS	csabaeus_dNdS	csyrichta_dNdS	dnovemcinctus_dNdS	dordii_dNdS	eaasinus_dNdS	ecaballus_dNdS	eeuropaeus_dNdS	etelfairi_dNdS	fcatus_dNdS	fdamarensis_dNdS	ggorilla_dNdS	hgfemale_dNdS	hgmale_dNdS	hsapiens_dNdS	itridecemlineatus_dNdS	jjaculus_dNdS	lafricana_dNdS	mauratus_dNdS	mcaroli_dNdS	mdomestica_dNdS	mfascicularis_dNdS	mleucophaeus_dNdS	mlucifugus_dNdS	mmmarmota_dNdS	mmulatta_dNdS	mmurinus_dNdS	mnemestrina_dNdS	mochrogaster_dNdS	mpahari_dNdS	mpfuro_dNdS	mspicilegus_dNdS	mspretus_dNdS	munguiculatus_dNdS	neugenii_dNdS	ngalili_dNdS	nleucogenys_dNdS	nvison_dNdS	oaries_dNdS	ocuniculus_dNdS	odegus_dNdS	ogarnettii_dNdS	oprinceps_dNdS	pabelii_dNdS	panubis_dNdS	pcapensis_dNdS	pcinereus_dNdS	pcoquereli_dNdS	pmbairdii_dNdS	ppaniscus_dNdS	ppardus_dNdS	psimus_dNdS	ptaltaica_dNdS	ptephrosceles_dNdS	ptroglodytes_dNdS	pvampyrus_dNdS	rbieti_dNdS	rnorvegicus_dNdS	rroxellana_dNdS	saraneus_dNdS	sbboliviensis_dNdS	sdauricus_dNdS	sharrisii_dNdS	sscrofa_dNdS	tbelangeri_dNdS	tgelada_dNdS	ttruncatus_dNdS	uamericanus_dNdS	umaritimus_dNdS	uparryii_dNdS	vpacos_dNdS	vursinus_dNdS	vvulpes_dNdS
0610040J01Rik		0.5172074729596854	0.4047033356292433	0.3964974054855449	0.396373779637378	0.4432368731177164	0.3757022471910113	0.4192715060707827	0.3565452439181361	0.5152086137281292	0.1657182876652368	0.5026328386787936	0.4931828866948754	0.5026328386787936	0.39534441805225656	0.44322565091610416	0.4756129032258064	0.3020842267775967		0.3758484449397224	0.4464237149850421	0.5121911037891269	0.4378922439313203	0.3684592145015106	0.4043715846994536	0.4020618556701031	0.5556069364161851	0.4347634115828979	0.4091495484767292	0.3667603198616814	0.430532212885154	0.4575279755849441	0.4575279755849441	0.42753025302530256	0.3871822033898305	0.3883620689655172	0.4144352482960078	0.5030652722683016	0.5674342105263158	0.317418966985622	0.4455768446799837	0.4393899204244032	0.33027121609798776	0.3727896542623383	0.43467399450412186	0.33056002237292875	0.4525656730638356	0.4297872340425532	0.6082474226804123	0.3950525533496125	1.9696969696969695	1.8000000000000005	0.5785256410256411		0.398704211313232	0.3966666666666666			0.4315068493150685		0.3844655150019484	0.5163745387453874	0.41275082550165104	0.440251572327044	0.4296119267099123	0.3751101709853693	0.4354077253218884	0.5191727703576045	0.4376382743362832	0.390295157130576	0.4240257778672841	0.3669415624722888	0.3951393005334914	0.4279672578444748	0.3729324988824318	0.4033873161082952	0.4273237679351217	0.4066524946855071	0.2761258817145957	0.5298087739032621	0.3615000608790941	0.19109975799946224	0.3700393658899883	0.4023299918721214	0.4413848415987168	0.35116992711929423	0.4241653418124006	0.3955440103906484	0.3686289500509684		0.3964852392692332	
1600014C23Rik																																							0.8280029476787031									0.7057377049180328			0.6670305676855895																																									
1700003F12Rik		0.3856749311294766	0.17283441852798154		0.1799713876967096	0.3630019749835418		0.3824303727310517	0.20834185238192604	0.39945752681543584	0.3029809833818743	0.2225705329153605	0.16195652173913042	0.2225705329153605	0.18821442648797795		0.7025357607282184	0.27905051062655256	0.359630556090052		0.3259410213378086		0.2143546208759406		0.22186882145620215	0.263017479300828		0.4847002616312137	0.2423964341898269		0.4742694226657163			0.452134272689598		0.2490505236505927	0.17878426698450536	0.185473411154345	0.1552723059096176	0.005290289506287114	0.3744493392070485	0.4051599884692996			0.375915811908885		0.3772261198057205	0.23739688359303396	0.12371946414499604	0.19707965375535544	0.3484848484848485	0.23115577889447236	0.17189360857483127		0.2828215398308856	0.487873660462493	0.21252882398155268	0.19758497316636853		0.3309699655342196		0.21072026800670016	0.4379474940334129	0.4503076923076923	0.3194618629574735		0.20144701376081714	0.16893732970027248	0.411608497723824		0.16391874658407726		0.3197507190795781		0.2395833333333333	0.38127452306859694	0.13675213675213674	0.38127452306859694					0.3075205640423032	0.4374005629665891	0.42193968066233	0.2783355157864106	0.180661349583296		0.19810181190681625			
1700017B05Rik	0.1652827204428628	0.2650719250040407	0.20165348670021568	0.2340971585701192	0.19364018807225933	0.22814930015552096	0.21592105263157893	0.2189197344598673	0.22369600286789748	0.2432219419924338	0.16356215989953954	0.24308300395256915	0.24308300395256915	0.24545454545454545	0.2039522744220731		0.24792091636591876	0.2019644779332616	0.1631736526946108	0.2217842596242281	0.2269967304997665	0.21858534248762573	0.2152738565782044	0.1513457391582142	0.1959022852639874	0.19697685403873405			0.1836648921266461	0.22417465388711394	0.2200062814070352	0.2269722964421319	0.2252210330386226	0.21735131820968734	0.22039800995024875		0.2149789946400116	0.2225891677675033	0.2613240418118467	0.13598669469404726	0.21548117154811716	0.21548872180451129	0.2668145888226321	0.2197600799733422	0.21651952715846176	0.22359372244754008	0.2198517173551218	0.25995539980885635	0.22403258655804484	0.18370544457500976	0.3807339449541284	0.3924050632911392	0.2303886925795053	0.13563203132778018	0.2448559670781893	0.22436579067294546	0.17852945017630922	0.21346153846153848	0.16656541109761036	0.22178165477134548	0.2076832499264057		0.2250968241673122	0.2211814473485421	0.2300036859565057	0.04789107043574006	0.23245214220601645		0.22474747474747472	0.18248886414253893	0.23161499639509736	0.18370763007392946	0.2252958352543415	0.22006319115323852	0.2537783375314861	0.2270872567482737	0.29613500272182897	0.22851349243487756		0.23701298701298695			0.2071078431372549		0.21646114990343188	0.21132488659471296	0.1658704883227176	0.18740074113287453	0.2253665189226049		0.04122780619921758	0.19288728149487644
1810010H24Rik	0.08505713872414293	0.10051266117756716	0.06757610205886068	0.06757610205886068	0.06757610205886068	0.09439698856232806		0.08003190640787025	0.1521516393442623	0.0972875726543039	0.0705824887043595	0.07873527588344699	0.07873527588344699	0.07873527588344699	0.07212349202231158		0.10173410404624277		0.0705824887043595		0.07208508403361344		0.08355199558072089		0.07922096939522626	0.07922096939522626				0.09384858044164038		0.08352639921960736	0.08352639921960736	0.0736122284794851	0.10094480358030833	0.059985885673959065	0.08564885496183205	0.08843296781039972		0.07340559616838921	0.08134623245673799		0.13948646773074252	0.08975903614457831	0.08134623245673799			0.13804116394606106		0.15984680507962104			0.11235955056179778		0.08752387014640357		0.14147857376512918	0.06984493143662694			0.07463813719320328						0.08737517831669045		0.0736122284794851	0.06515095954039847	0.1458053691275168	0.06515095954039847	0.07472286848227727				0.08167330677290836		0.12988290858998328	0.1129572745043284	0.0996879618985055	0.0560070459185716		0.07271782885339566			0.08467510063254745	0.08467510063254745	0.09589915430030316			0.06765773147606227
2610528A11Rik	0.3638835186080232	0.8114311431143113	1.1223404255319147	1.1223404255319147	1.1444134078212291	0.5969574780058651		0.7633859142412798	0.7264406779661017	0.722211556920714	0.6009573542210618	1.0102586975914365	1.0102586975914365	1.0102586975914365			0.8606557377049179		0.3563068920676203		0.8349795230065045	0.6458681135225376		0.9003810560696788					1.005428226779252	0.5894383906119027	0.6749800478850758	0.6083216292134831	0.6083216292134831	0.7055931161647203	0.856084996780425			1.3263888888888888	1.2583892617449663		0.7372126734313523	0.7745702952842661		0.856084996780425		0.6659064994298746	0.6538461538461539	0.7729486699138254	0.9714587737843552	1.0776331360946745		0.3204419889502762	1.053542455381287		0.4415292353823089	0.7621145374449338	0.8175519630484991	0.33561271272049115	0.8716150870406189				0.7536636427076064	0.7830288388947606			0.8583858385838585	1.185649202733485	0.7055931161647203	1.0974667239158438	0.8461084905660377	1.0475297060662914	0.694868238557559	0.7055931161647203	0.7495256166982922	0.7008785086779515	0.6083733100741388	0.7310664605873259	0.7762950382142424	0.8408101045296167	0.856084996780425		0.7465714822468532		0.7877045555064132	0.8041333085086576						0.15903358555688307
2810459M11Rik		0.3174742381056786			0.2849411446353673			0.2831087742359514	0.2377855090001513	0.2419910657306956	0.28803088803088805	0.2894360148869167		0.3060331353547984	0.2805136351601801		0.26294978252273626		0.26564717010878136		0.26386760649708857		0.27668705074562816		0.26099579039047754	0.2922153936201346			0.27859638462706976			0.2518982764854767		0.24281285231116126				0.31796322489391804	0.34381551362683443		0.3438275434243176				0.2705697663680857	0.24071488411058364		0.4206581948517432	0.32130584192439865	0.2624036771664188	0.4323432343234324	0.2195767195767196			0.33840383413211084						0.2706948640483384			0.2883253746089248		0.00859179212514557	0.2568792489478796	0.34037108125399873		0.2756468797564688	0.28978102189781024		0.2805408015451473	0.27736804049168473									0.3482212819307319		0.2732318426895021				0.2497961845752487			
4930404N11Rik	0.13977330979096655						0.1942535056365136		0.2134445534838076		0.1267327734493575	0.18881699021071846	0.18881699021071846	0.18881699021071846	0.28605910750029434		0.148483270407499	0.1309870887130362		0.1951880954036576						0.15774087932647335			0.16205444849845635			0.13864216436957633	0.13864216436957633		0.1898790532017512	0.15147122771416147		0.17831943553559973	0.15545454545454546	0.17419129218394822				0.006349325462337618	0.1459456222302072			0.20563880126182968	0.12846347607052894		0.1650853889943074	0.3493333333333334	0.2907280444009141	0.07579666013693051			0.15471534115601912			0.1590892663534514		0.17047237232002788				0.06771255060728744				0.15767779390420902							0.1749144811858609		0.08992805755395683				0.10663132241652057				0.11954588975516345	0.11834172106233495	0.18509298579587055		0.07695026062372999	
4932438H23Rik	0.3479706330516692	0.3821343430093957	0.2770583923772294	0.29328806476886915	0.29001810188776833	0.3915716856628674	0.4484119155652002	0.3933897002305919	0.3126236644242185	0.3245341614906832	0.4380628377026216	0.5470536499560247		0.533446232006774			0.2983751846381093	0.4758216453841323	0.419774335436986	0.3938976377952756	0.3135563380281691		0.4366240097501524	0.25716845878136196	0.299324831207802	0.2902052103041769			0.2853776363850595	0.3315368032029566	0.3699304750869061	0.4121720116618076	0.4121720116618076	0.3445082422670865	0.3104133545310016		0.35908812729498163		0.9538834951456312	0.22380807774066205	0.3709536307961505	0.3913438256658595		0.313447337738049	0.34375592192533644	0.2567042363000389	0.3709654074395716				0.4895522388059702	1.1065989847715736	0.33063006862133504			0.3306408898305085	0.3982437220767216	0.2798349056603774	0.209629058511094	0.3914709312010661	0.2624281788658506			0.3790677220756376		0.2717022641855349	0.3119825027339478	0.4404641775983855	0.38333333333333336	0.3695424380020957	0.295501183898974	0.37454263222086703	0.3960396039603961	0.3780573025856045		0.3985560630617357	0.3455197132616488	0.38515693751833385		0.3941167411058063	0.3265874489417007	0.2128770700199272	0.3151506497215479		0.4007421150278293		0.34915705412599823	0.3401230949589684	0.3143070322700989		0.2479791395045632	0.4781997187060479
5430427O19Rik	0.21493657316419512	0.208781558726674	0.2380368098159509	0.2380368098159509	0.2343803935105281	0.22319942952222485		0.20670637546878448	0.1736328125	0.22330729166666669		0.2161036557149468		0.21996124031007752	0.23433048433048434		0.21569037656903767	0.2000377786173026	0.18988860325621248	0.2556688163095486	0.2018389773491814		0.2875801472334363	0.32540272614622057	0.1770707245374373	0.17719328603564632	0.15805928670680872	0.2138879220327184	0.20958381694578013	0.21737365536837835	0.18625756266205706	0.20614754098360652	0.20614754098360652	0.18258843465367505	0.2429577464788732	0.17962962962962964	0.2183961174023573	0.1982680036463081	0.08232445520581112	0.19594759541052967	0.201848998459168	0.1960952585282128	0.18040244969378827	0.2329426538300544	0.201848998459168		0.1986153180441368	0.1524858191524858	0.05707196029776675	0.2228008183001674			0.21164772727272727		0.3179068360556564	0.1927523343708315	0.2280767082479985	0.2239211688752973	0.2445349335619374		0.1932620536614888	0.2261306532663317	0.19460020768431985	0.20647862494490968	0.21366919147437027	0.18591272625228009		0.17749110320284694	0.1952296819787986	0.2087599544937429	0.2320131239746895	0.19435829271894844	0.2131979695431472		0.2334701322389421	0.20658888126286887	0.1354723707664884	0.2141028624621829	0.20716723549488056	0.20806881015768994	0.2525252525252525	0.17530027264018866	0.1807511737089202		0.20647862494490968	0.2328548644338118	0.20732736788789466	0.20732736788789466	0.2391017173051519	0.22444807849550286	0.18016024418161009	0.1807600136939404
