Gene name	amelanoleuca_dNdS	anancymaae_dNdS	bbbison_dNdS	bmutus_dNdS	btaurus_dNdS	capalliatus_dNdS	caperea_dNdS	catys_dNdS	ccanadensis_dNdS	ccapucinus_dNdS	cfamiliaris_dNdS	cgchok1gshd_dNdS	cgcrigri_dNdS	cgpicr_dNdS	chircus_dNdS	choffmanni_dNdS	cjacchus_dNdS	clanigera_dNdS	cldingo_dNdS	cporcellus_dNdS	csabaeus_dNdS	csyrichta_dNdS	dnovemcinctus_dNdS	dordii_dNdS	eaasinus_dNdS	ecaballus_dNdS	eeuropaeus_dNdS	etelfairi_dNdS	fcatus_dNdS	fdamarensis_dNdS	ggorilla_dNdS	hgfemale_dNdS	hgmale_dNdS	hsapiens_dNdS	itridecemlineatus_dNdS	jjaculus_dNdS	lafricana_dNdS	mauratus_dNdS	mcaroli_dNdS	mdomestica_dNdS	mfascicularis_dNdS	mleucophaeus_dNdS	mlucifugus_dNdS	mmmarmota_dNdS	mmulatta_dNdS	mmurinus_dNdS	mnemestrina_dNdS	mochrogaster_dNdS	mpahari_dNdS	mpfuro_dNdS	mspicilegus_dNdS	mspretus_dNdS	munguiculatus_dNdS	neugenii_dNdS	ngalili_dNdS	nleucogenys_dNdS	nvison_dNdS	oaries_dNdS	ocuniculus_dNdS	odegus_dNdS	ogarnettii_dNdS	oprinceps_dNdS	pabelii_dNdS	panubis_dNdS	pcapensis_dNdS	pcinereus_dNdS	pcoquereli_dNdS	pmbairdii_dNdS	ppaniscus_dNdS	ppardus_dNdS	psimus_dNdS	ptaltaica_dNdS	ptephrosceles_dNdS	ptroglodytes_dNdS	pvampyrus_dNdS	rbieti_dNdS	rnorvegicus_dNdS	rroxellana_dNdS	saraneus_dNdS	sbboliviensis_dNdS	sdauricus_dNdS	sharrisii_dNdS	sscrofa_dNdS	tbelangeri_dNdS	tgelada_dNdS	ttruncatus_dNdS	uamericanus_dNdS	umaritimus_dNdS	uparryii_dNdS	vpacos_dNdS	vursinus_dNdS	vvulpes_dNdS
1500009L16Rik		0.14646363454217592					0.13014354066985645	0.12049837856289468	0.13631366801026018	0.1400437636761488		0.4539473684210527	0.4539473684210527	0.41953727506426736			0.11930344572063728	0.32204125950054285			0.14385335724247858			0.16780908860116786						0.2024010109519798		0.2920792079207921	0.3465045592705167	0.17446808510638295				0.3618157543391188		0.17112569409389194	0.12371672176787887	0.10668581875163227	0.14354662930094972	0.22949329697795956	0.1135222381635581	0.19805040418449835	0.12371672176787887	0.33147905759162305	0.1710665258711721	0.30425806451612897					0.2391778262223606					0.14395812127381127				0.12245250431778933				0.18414322250639387	0.1092358803986711	0.13642987249544627	0.20744556309997655									0.10080247782627058			0.12410675222400465		0.12245250431778933				0.2284873188405797		0.1564143007360673	0.31307812722356626
1700001L19Rik	0.2105556174145418	0.1853172651254304				0.1989501312335958	0.12248062015503874	0.21868978805394992		0.16087238177499458	0.005473120042831896	0.3651115618661258	0.3651115618661258	0.4459971577451444			0.28245294474802674	0.17048762736535664	0.12352725942188073	0.19413891818592735	0.23020877119237776	0.14522964150727294			0.21078748651564186	0.17185954500494566				0.16890846327818118	0.2213201022402646		0.3865248226950355	0.2309257375381485	0.21605853851478293			0.2652690989719815	0.4787917737789204	0.15923129718599865	0.19917728237791926	0.22761729153861915		0.19105077928607345	0.19917728237791926	0.25488180883864336	0.2016400053770668	0.2603381544102669	0.5291576673866091		0.7063636363636364	0.6583969465648856	0.3698974656606694		0.346001221001221	0.25706302390561936	0.2724399844763541	0.15280655914947291	0.1460589081547664		0.17686201260798504	0.18878079072655768	0.36089788322865785	0.23594300597518006		0.11710186257909275	0.2058428475486904	0.2607283296289964	0.22377925455070788	0.1885771976635177			0.1703514079590412	0.21639108554996409		0.2068652849740933	0.5471521942110178	0.2068652849740933		0.1656363924552227	0.2875338216854748				0.20360408821947285		0.2583223135744265	0.21582426956707185	0.15090388007054673		0.14502175850678972	0.11089094378394247
4930444P10Rik		0.4090153027278776	0.3159456504763392	0.32623426911907066	0.3166953528399312	0.34899328859060397		0.3670460906885613	0.2904627006610009	0.3945298534143725	0.2791402192729371	0.2973597359735974	0.3561346362649294	0.2973597359735974	0.3139169286778091		0.38743994509265617	0.4073435614549216	0.2791402192729371	0.44745621351125936		0.26031577550749635	0.3381420221365501	0.363313114411211	0.2983034096524461	0.3117607299763433			0.25546426910556497		0.4256181597081475	0.332867412140575	0.332867412140575	0.42479305471431456	0.3168163518117064			0.22874493927125505		0.3099511725465924	0.3615412315448326	0.3824224021592443		0.2912767884092967	0.3723288663527707	0.3671159029649596	0.3715422165973603	0.22356800403734545	0.2842105263157895		2.177419354838709	0.4013157894736841			0.4116972477064221	0.35029994546446097	0.2631298320447881	0.3402665434095986	0.4032496307237815	0.3932426091037072				0.3773195876288661			0.3090028133791809	0.3166314518563236	0.43008345206594745	0.2707343246972252		0.27075038284839203	0.361161197259286	0.40551935607512457		0.3545470981739287	0.15066469719350073	0.36962166172106825		0.3817555938037866	0.32619890569681365		0.2848902419484057		0.3773195876288661		0.4429446836700895	0.2850584925218421	0.3330659393550457			
4930447C04Rik	0.3067450836243337	0.28821536144578314	0.2903760145767765	0.2850834151128557		0.3027650686294012		0.2869498366327119	0.3577520227421824	0.2739279588336193	0.2989247311827957	0.4645061728395062	0.4645061728395062	0.4645061728395062			0.2855379188712521	0.3837561529723589	0.2475825275091697	0.3304389011682981	0.297787104158718	0.3118456169164443				0.2613055818353832			0.3569192235441453	0.3709254402397902	0.3127287515250101	0.3885510589222059	0.3885510589222059	0.30347775403147464	0.2908309455587393		0.2553563620463489	0.4125338142470694	0.5304054054054054	0.3110550651534258	0.285660091047041	0.27432655305112696	0.2827636629501005	0.2704821638573109	0.2870440729483283	0.301499281166564	0.283479587943533			0.2572013651877133		0.1774193548387097	0.3510684692542521		0.4340644462496615	0.27910420136960945	0.2798606502986065	0.28352	0.2605399408284024	0.4853761622992392	0.2568438003220612		0.3018543299560314	0.276536312849162			0.267463933181473	0.3288398692810457	0.3050612890470541	0.33188205026716805	0.2845368916797488	0.3381613357473345	0.2917229403820181	0.2980561555075594		0.2595848947823581	0.2630937880633374	0.2788700133613285		0.29136081309994355	0.2746506211180124	0.3858342077649528	0.2850869488845951		0.28551939193139736	0.2814801823921431			0.2662461773700306		0.3460559796437659	0.2865671641791045
4930452B06Rik	0.2521186440677966	0.21014246947082768			0.2378854625550661	0.2557758479436343	0.30156550398242243	0.2662305805396565	0.2591578947368421	0.2253187073821524	0.22586612848974102	0.34598630989421275	0.3803396809058157	0.3859045981951009	0.31256038647342993		0.059322033898305086	0.21543250327654	0.21740602776837112	0.26093039524309203		0.25569374899047004	0.2519950890116636	0.26840670042851583	0.24090019569471624	0.21577637373157188	0.21856086079354406		0.20499078881259425	0.21469350961538464	0.2340118377363938	0.218013468013468	0.218013468013468	0.2329401224428849	0.20270751692198075	0.244729751149152	0.27110511321037634	0.309375	0.441588785046729	0.19155759729565747	0.25067556827213483	0.2657447517494169	0.31970006816632585	0.2069388470299632	0.23402660670788836	0.2560258113494021	0.2303443196464739	0.28828828828828823	0.22957198443579765	0.20732142857142852	0.6744186046511628	0.4734848484848485	0.4514442916093535		0.2582781456953642	0.2297316896301668	0.20615866388308976	0.2532212885154061	0.25580187045375824	0.3006200810875268	0.24073561946902655		0.2372687080399541	0.26205341657995146		0.22452850068485933	0.2755720053835801	0.3015587529976019	0.2463790446841294	0.21983203182554886	0.3004344048653345		0.22764227642276424	0.2179989773308335	0.2545879812882332	0.2328842959955711	0.3645797301971636	0.2660212266061736		0.21420078138270765	0.1829968816674873	0.2236820762368208	0.2443104454386306		0.23561220548474315			0.2556729603325827	0.2051101321585903		0.2041267501842299	0.2280559167750325
4930539E08Rik	0.3804068914956012	0.4668784562889752	0.4250596869749757	0.43441734417344174	0.39533358320839584	0.4928326779144996		0.4827707454289733	0.4577607569272358	0.4680032637836578	0.44829019852406204	0.4734936643392811	0.4738612836438924	0.4735264735264735	0.4454352441613588		0.4752874969415219	0.3946211804102135	0.39001417020921897		0.4770873320537428	0.3768906266076757	0.35712390554523743	0.3926619828259173	0.4366830065359477	0.4123561729034933	0.4500245378701129	0.4776927979604844	0.4181059024482824		0.485319097306479			0.4843982169390788	0.389404696886947	0.4608300744291662	0.4829328756674294	0.3866691560866318	0.25449101796407186	0.2820754125101951	0.4742280285035629	0.4677305796761324	0.3991765864136759		0.4811130846654825	0.3844297555345714	0.4908229002066367	0.4428757602085144	0.4662379421221865	0.40567045344208175	0.3643122676579926	0.3407643312101911	0.4419237749546279		0.3723530185453111	0.4720101781170484	0.4002754820936639	0.4650148872820077	0.4282498042286609		0.4887323943661972		0.5032240730789898	0.4772457928419057	0.6277316293929713	0.3106308117617492	0.3955537342485401	0.3939914163090129	0.4738801489131741	0.4823259741826517	0.4282051282051281	0.4852815439110785	0.4979934788061199	0.4704955773658063	0.4268833087149188	0.4814004376367615		0.4767596281540504		0.4696805304400241			0.4031620553359684		0.4597487203350396	0.4899807539907167	0.34723523898781633	0.3683192822337381	0.3875403687884155		0.3543477373811564	0.4561812023708722
4931428F04Rik	0.13168856135853893	0.14016341923318668	0.11601462027886827	0.10509554140127388	0.116064147866268		0.13047459179001986		0.15130336229693994	0.15340712556208924		0.18845500848896435	0.18845500848896435	0.18845500848896435	0.1158922188616992		0.14738044720091398	0.14155866015822252	0.14001699235344095	0.13102090275674036		0.1488783140720598	0.14640718562874253	0.15029547995527873	0.1363341968911917	0.13883463541666669	0.14603832211289489	0.14354302597562474	0.13236017713629653	0.12325502213142665		0.1377265797052346	0.15089650275164213	0.1454849498327759	0.141591382904795	0.1757331066723332	0.13497015735214327	0.12320916905444125		0.0965199286139203		0.13643583227445996	0.16188340807174886	0.1330237186929839	0.1376323387872955	0.18782709827485947		0.14328991214783401	0.09487179487179488	0.13637890493785687	0.09174311926605504		0.1936673839532739		0.16505054672993605	0.13546609520893926	0.13481848184818482	0.11574136308643634	0.13432137285491422	0.15947088002939555			0.17377612367592327		0.08541824614607024	0.0939932674100568	0.18383099735933373	0.13494274218508198		0.13217448343719254	0.1720964476348242	0.12968624296057926	0.1375881975625401			0.1319796954314721	0.17974683544303802	0.13258044554455445		0.1511744966442953	0.1548657132891524	0.0033851678693634173	0.11944402016190625			0.14487157965418834	0.12202427873246098	0.22132446134347275	0.14628631066272396			0.1394206335761477
5330417C22Rik	0.10092188258127124	0.09254402397901837	0.08361150850421238	0.08353184055899635	0.09490645910146116	0.11184327693677648	0.1915596796745901	0.1010682004930156	0.07660343270099368	0.09703349282296653	0.08850880106276986	0.059775429326287974	0.052495974235104666	0.059760956175298814	0.08097545724558386		0.09543109801031688	0.09453854130660214	0.109466984884646	0.10355665839536808	0.13787969029184038	0.075619463345744	0.09893941595234634	0.07547791694133157	0.10172997367431363	0.10344827586206898	0.08917789131444495		0.10612930310663307	0.0965977090100872	0.09299217109031888	0.12299276513146284	0.12299276513146284	0.0938573063716139	0.07534372135655362	0.07212776919113859	0.0934375	0.08539862645565842	0.08355795148247977	0.09918563374399668	0.11126540531157787	0.08047361027493477	0.13643683208900598	0.07793633369923161		0.09126909296624552	0.09262796027501913	0.07787977494817885	0.1017293997965412	0.0830188679245283	0.1861198738170347	0.035294117647058816	0.07006369426751592		0.08538849111641475	0.09199771906481656	0.08383902906419674	0.08604974509501004	0.06576797385620915	0.08738452218688475	0.0786308973172988	0.07399552256392128	0.09530985119608212	0.14370618713806765		0.09623176661264182	0.11613272311212812	0.06513026052104208	0.09071850581284543	0.09803574588568394	0.08490566037735849	0.08815947757346622	0.0962205939066718	0.09143855562026793	0.09394534738346133	0.10093167701863356	0.0544824170381377	0.1009120900446342		0.12270750614482888	0.0774542739828294	0.09231499051233397	0.0776167947959787				0.10796242106884336	0.11101742551995504	0.07555225542973827		0.09872278056951422	0.09910054609701252
5730522E02Rik																																							0.6728525980911985										0.7889763779527559		0.576923076923077	0.6164383561643836																																								
6330403K07Rik		0.2238744884038199	0.2204351939451277	0.20858834152703926		0.2155149233664964			0.20796174227736847			0.19521781853914186		0.19521781853914186	0.245105629908196							0.30468063747019697			0.1865189289012004	0.1925722145804677								0.2355788624445341			0.19323119140178366	0.20644171779141104			0.22540201689833744							0.239281210592686					0.17489711934156374					0.20889459054949752			0.16392555723869293			0.2097663428721449				0.24881591411430376			0.18051640545721048		0.2055109070034443				0.2974683544303798								0.21736257928118394				0.2290695926649632			
