Gene name	amelanoleuca_dNdS	anancymaae_dNdS	bbbison_dNdS	bmutus_dNdS	btaurus_dNdS	capalliatus_dNdS	caperea_dNdS	catys_dNdS	ccanadensis_dNdS	ccapucinus_dNdS	cfamiliaris_dNdS	cgchok1gshd_dNdS	cgcrigri_dNdS	cgpicr_dNdS	chircus_dNdS	choffmanni_dNdS	cjacchus_dNdS	clanigera_dNdS	cldingo_dNdS	cporcellus_dNdS	csabaeus_dNdS	csyrichta_dNdS	dnovemcinctus_dNdS	dordii_dNdS	eaasinus_dNdS	ecaballus_dNdS	eeuropaeus_dNdS	etelfairi_dNdS	fcatus_dNdS	fdamarensis_dNdS	ggorilla_dNdS	hgfemale_dNdS	hgmale_dNdS	hsapiens_dNdS	itridecemlineatus_dNdS	jjaculus_dNdS	lafricana_dNdS	mauratus_dNdS	mcaroli_dNdS	mdomestica_dNdS	mfascicularis_dNdS	mleucophaeus_dNdS	mlucifugus_dNdS	mmmarmota_dNdS	mmulatta_dNdS	mmurinus_dNdS	mnemestrina_dNdS	mochrogaster_dNdS	mpahari_dNdS	mpfuro_dNdS	mspicilegus_dNdS	mspretus_dNdS	munguiculatus_dNdS	neugenii_dNdS	ngalili_dNdS	nleucogenys_dNdS	nvison_dNdS	oaries_dNdS	ocuniculus_dNdS	odegus_dNdS	ogarnettii_dNdS	oprinceps_dNdS	pabelii_dNdS	panubis_dNdS	pcapensis_dNdS	pcinereus_dNdS	pcoquereli_dNdS	pmbairdii_dNdS	ppaniscus_dNdS	ppardus_dNdS	psimus_dNdS	ptaltaica_dNdS	ptephrosceles_dNdS	ptroglodytes_dNdS	pvampyrus_dNdS	rbieti_dNdS	rnorvegicus_dNdS	rroxellana_dNdS	saraneus_dNdS	sbboliviensis_dNdS	sdauricus_dNdS	sharrisii_dNdS	sscrofa_dNdS	tbelangeri_dNdS	tgelada_dNdS	ttruncatus_dNdS	uamericanus_dNdS	umaritimus_dNdS	uparryii_dNdS	vpacos_dNdS	vursinus_dNdS	vvulpes_dNdS
1700001P01Rik		0.18003731343283585	0.1489126835191522		0.14241486068111456	0.19049963081466892	0.1211912312146698	0.17094403617863202	0.17237569060773478	0.17551704863051984	0.18048439683278994	0.23597359735973605	0.23597359735973605	0.23597359735973605	0.1401417525773196	0.15254984029078092	0.1574325736985156		0.18048439683278994		0.1854446159325656	0.1135295319844676		0.14414527238572322	0.12905205031189285	0.1297105129507364					0.14870602507076428				0.18181818181818185	0.1526426505390481	0.2086156206059057	0.246486790331647	0.19466248037676606	0.12334914732658032	0.16812106484038442	0.17952380952380953		0.16923830516776878	0.1744105409153953	0.1884790921425928	0.09568733153638813	0.16916201117318436	0.14722753346080306		0.12267657992565055	0.1812688821752266	0.2080907140668097	0.1643192488262911	0.16644993498049415	0.17338796635755874		0.1457678552075431	0.15264629948364888		0.1450649083041418		0.16413672600196572	0.17952380952380953		0.14120889686558552	0.21100248066540198	0.18055555555555555	0.1528185406335391		0.1879126460132047			0.1545399270368869	0.14467032376035285	0.1820802306029306	0.2327854286983563	0.1786343871195205			0.15832710978342046	0.12765306746590005	0.144264378773435		0.17952380952380953	0.14448139011047945			0.17059820148572916	0.14565947762002818	0.1275650394621456	0.17449288355934106
1700019D03Rik	0.4791848110085351		0.5467099918765231	0.5410760309278351	0.5467099918765231	0.7052391799544419		0.7005242463958061	0.5838249286393912		0.3305331179321486	0.4269385233240655		0.4269385233240655	0.6082698585418933	0.6039678083473704	1.0437017994858613		0.3305331179321486		0.6924460431654677		0.4305517803751019		0.7661251791686573	0.8017450315075132			0.5702917771883289		0.6485445205479452			0.6398897838066978			0.42396946564885496	0.4142671854734112	0.8764044943820224	0.3886560364464693	0.7005242463958061	0.7008957832641468	0.006942644156751124	1.011002444987775	0.6532192339038304		0.7041585865115276	0.15969029760464554	0.4595185995623633	0.4343202069560219			0.6371445497630331	0.05789824744006041	0.5590845399346099	0.6976744186046511	0.4210196667919329	0.6082698585418933	0.6280487804878049		0.5249173826834105	0.4049391908662199	0.5849056603773586	0.7126010045861542	0.5788245279015489	0.011583524891069407		0.4340192043895748	0.5761798587885544	0.5329446064139942	0.9462712228669676	0.5329446064139942	0.7005893019038985	0.618867171918628	0.6197725284339458	0.7005310551835604	0.35369153459605723	0.7005310551835604			0.9478741292337256		0.5407984730396055		0.7190332326283988	0.5636042402826854	0.4854757349104192	0.4854757349104192	0.9723904093000728	0.32919805050952594	0.01137417364980727	0.3190165272393389
A930003A15Rik									0.29796608123604323			0.5101248734390821					0.4683146791207021																		0.3668275559455901			0.7378343949044587	0.5696202531645569										0.6266666666666667			1.0533333333333337	0.4060396579952702																		0.3361214374225527		0.2549889135254989				0.4426921993804562				0.4289681379713535		0.061408995280605005		0.2640083945435467		0.3527865718893734	0.3392020189881024	0.39266398557758986			
Aatk		0.1447946513849093	0.16287744227353465	0.1470111631256752	0.14951693086952442	0.16504961411245864	0.15143630308076605	0.17524052621244846	0.17729885057471265	0.1501772151898734		0.18413433700057905	0.184992784992785	0.2026757756902932	0.15668330560177482		0.17334391114637052	0.15718309859154933	0.12545008183306056	0.16484295845997976	0.16303583977512298	0.14199325502965462		0.15749730312837107	0.14520999176502886	0.13693419551160138			0.14717940308297806	0.1355999209329907	0.16491897044804574	0.1261420846541115	0.14434643143544507	0.15547415547415547	0.1696161515453639	0.15458937198067632	0.12016251205068172	0.15420908865160168	0.1374722838137472	0.12258172814637627	0.17501192179303768	0.233502538071066		0.18802687843616367	0.17822564710531516	0.16755910701046214	0.1733725564623268	0.16436290525257605	0.1722900215362527	0.12496568762009333	0.14468085106382975		0.16053732658004846		0.15313519391083727	0.16117577431446042	0.15365493147003492			0.15262928212960944			0.15749445442061902	0.1485139022051774		0.1283277392064003	0.1491498458784926	0.1724137931034483	0.1612869853093317		0.1353435577506282		0.16175705214947436	0.15700607433336766		0.16734185104393892	0.1632047477744807	0.15771499534306116		0.15412609422641882		0.1000852906442724	0.13615218474829704		0.15210455902027373		0.15982377202849646		0.17902875090601594		0.13336830059126456	0.1483216237314598
Abca2	0.04260162601626016	0.04885150436751861		0.05832736532187476		0.05895953757225434	0.04738390418155075	0.04199322689888727		0.035502958579881665		0.04047927461139896	0.054028732042473465	0.0712139423076923	0.04179728317659353		0.03524566612393449	0.03516119606506282		0.04385489983757445	0.029310824598831282			0.043697478991596636	0.031002511106818613	0.030683266346436627				0.03741037098617895	0.035395763656633224	0.043543393588335165	0.05360390542739542	0.02949554350822383	0.036636136552872615	0.030222841225626743	0.0500304599451721	0.032161555721765135	0.05040322580645162	0.04548187831410922	0.03938792859166903				0.031207598371777476	0.039677619342839435	0.0555356181589808	0.038580681498169525	0.04979674796747968	0.03059543421981643	0.05607476635514018	0.03985507246376812			0.04636920384951882	0.03490795415074679	0.03523134273810394	0.10159362549800798		0.037016815898667836	0.04349876223034304		0.03364099025273872	0.03926380368098159	0.03184713375796178	0.04179359734915291	0.04075590002612557		0.03443033446610624				0.02977984836028135	0.07647920075790199	0.039367341618145466	0.060751173708920185		0.057735883259312976		0.04161740364152282		0.03480050098407586					0.048454196916551104					
Abca6	0.34654941123863464	0.3663730984787829	0.3221523410202656	0.3232899022801303	0.3197455230914232	0.35909316564620225	0.3560770679414747	0.3443508660416336	0.3204038911464105	0.3504555450832548			0.3889870435806832	0.38966026587887737	0.3173036093418259		0.3572296476306197	0.3642958523892131	0.3469588425340638	0.34636038186157514	0.3482433311646064	0.37571817357121257	0.3545442691354805	0.35499624342599545	0.3422291993720565	0.3575757575757576				0.3651347068145801	0.3522968775543567	0.3361870266710569	0.3371212121212121	0.36212958312405824	0.3715335783494821	0.3234753294514251	0.3795973967004693	0.35131471943616155	0.5599999999999999		0.34567096037828143	0.3638609784220063	0.3718777549221276		0.3473978000328354	0.3573337525546298	0.3490628082867478	0.4161598609904431	0.665631469979296	0.33525280898876403		0.5508474576271187			0.4186095358118042	0.6264781840424085		0.3057757644394111	0.3323415650104136	0.339828634604754	0.38553487668331066			0.3452072538860104			0.3917609046849758	0.408540471637986	0.3610048244884379	0.3439244310863032	0.3532363271450075	0.3482952093223997	0.3565553942912433	0.3631191432396251	0.3308348030570253	0.35343302781797714	0.38438880706921946	0.35410947844340385		0.3557210150433065	0.3785520974289581		0.34580141204746884		0.3445432497978981			0.34608720762344786	0.3816938300349243			
Ablim2	0.08975750995294969	0.09074642126789366	0.056005034160373966	0.07901234567901234	0.09595270577535243	0.06753350139312722	0.06765885581591725	0.08412263210368894	0.07190035855821852	0.07666799310253349	0.105732635585157	0.04930725346373268	0.0660608178958406	0.04930725346373268	0.1162043795620438		0.09993060374739764	0.0670970717085543	0.0979484613460095	0.06733432772213936	0.09757343550447001	0.06178620374600274		0.09322424521779213	0.10615212527964206	0.12546839115194006			0.098882945248584	0.06914119359534207	0.09439874657265962	0.0594883997620464	0.07086053412462909	0.0645314729665451	0.06807320200489568	0.0670632774472688	0.1011326860841424	0.1227083842581276	0.04320987654320988	0.08289792277303429	0.06485671191553545	0.07065967430306376	0.0909587331305094	0.0678345626975764	0.11614111770215425	0.06563919086280445	0.08625954198473282	0.044615900704461586	0.0161849710982659	0.1020603737422137	0.3586538461538461		0.050059124950729214		0.0655668358714044	0.1270058976820738	0.07669740150880132	0.1361365136230791		0.06649327151419201	0.06371782107808277		0.11915808532307345	0.08118421052631579		0.06875531613269066	0.060084626234132577	0.0399857193859336	0.07993779160186625	0.06208947825009295	0.07003835772126722			0.0765043846386453		0.07225515100197573	0.09774436090225563	0.07245762711864406		0.09038986838837844	0.08999170583356372	0.04931214272253282	0.12420225822287677		0.058549661399548536		0.19087350638648534	0.1053584359160029	0.06700280112044818		0.050226136634134735	0.08177451971688574
Abtb2	0.02556173984745413	0.13036730470770824	0.020060648472125027	0.018470588235294117	0.019198862289642096	0.020769789397240376	0.021229196697680516	0.018303312027890758		0.020492407489311512	0.019796902246384245	0.0185356811862836	0.01932668329177057	0.01737511635122557	0.017371510722415242		0.019157088122605363	0.017519181585677748	0.0367570925657486	0.02117093570308416	0.018187066974595843	0.0411062906724512	0.042920306265502	0.01217717114947143	0.02869389213001548	0.027497389488339716			0.020250601189722817	0.016919988528821334	0.018741633199464525	0.020536462699077957	0.01967258219837667	0.01996450754214729	0.01708299758259468	0.018584481957565437	0.030862533692722374	0.020263424518743668	0.006802721088435375	0.02568087020528339	0.01847507331378299	0.017602217602217602	0.026145180146668084	0.016335466487032668	0.018388791593695268	0.01622718052738337	0.01880514971792276	0.0191765369430344	0.013438735177865613	0.020344635908838244					0.015709852598913887	0.08700607902735563	0.019661687170474517	0.018138603952964724	0.013238819972896904	0.018378650553877145	0.027066688406978644	0.018538024015167475	0.02139364303178484	0.018955963837853602		0.02843810530022892	0.017291066282420747	0.0236318407960199	0.017281105990783408	0.020870225145459147	0.01869031377899045	0.04787824927793823	0.020203531876683625	0.01882282641171198	0.02687273739905319	0.01904346562000291	0.022430881585811163	0.018505026956141632		0.07651775486827032		0.044682090105352325	0.017046911048449114		0.01831927886013376				0.0162751677852349		0.02789963151430076	0.05816012675925063
Acan	0.2809228383094222	0.2899683210137276	0.07622879512831665	0.07585644371941272	0.2965350523771152	0.27872062663185376	0.08092892329345533	0.2824327280682564	0.18234865061998545	0.2784971343663766	0.2675496688741722	0.2950516986706056	0.269126213592233	0.2704280155642024	0.2921657176516788		0.2875106564364876	0.10432239194020147	0.26468921216701297	0.3345110004817729	0.539072508326928	0.3030627543371172	0.2701446280991736	0.06417772292502315	0.11913283566826875				0.29060265577119504	0.08443645990922842	0.2931631328429252	0.0957961509515106	0.09779316313284292	0.2833684210526316	0.2902662592754256	0.084827857049352	0.3546716386989848	0.2831066571224052	0.2647058823529412	0.2230890464933018	0.2915747684164093	0.27432667245873155	0.2266377322663773	0.09820329805562393	0.29190497140343163	0.06324647122692725	0.2890556045895852	0.3062716429395921	0.2763496143958869	0.2645089285714285	0.2766990291262136	0.3014354066985646	0.3037744429286039		0.3138605676494902	0.31187689640225397	0.1113855827532001	0.2790251391287661	0.2625448028673835	0.1071392710111457	0.2817356205852674	0.3443906605922551	0.2903225806451613	0.2861498257839721			0.07679837892603851	0.28058455114822545	0.2761802575107296	0.08683346541378921	0.06899018806214227	0.12656313029447358	0.08937947494033413	0.2851939147203771		0.2667829119442023	0.26012269938650306	0.2820286659316428		0.3105562855891371	0.0980225988700565	0.2231877250665414	0.2547781869191654		0.2892435505028422	0.2683026584867076	0.28151677585864604	0.10663983903420524	0.2841758241758241		0.2372309669129457	0.26924535456958665
Acap3	0.027689873417721517	0.03526204713330988	0.051938244671924816		0.026280860100876026	0.02893389717338082	0.08964307819269651	0.03101164191087917		0.03918456011362687	0.035975114958074116	0.02994275649493615	0.02994275649493615	0.029707295762341632	0.02573278800272665		0.03051126992853216	0.027549540840985983	0.03348636240885768	0.030960140386061676	0.03896487257699498	0.042681307004338975	0.03690840994211781	0.0351842374616172	0.029574861367837338	0.029105786090005838			0.02565024571497063	0.07123952359947068	0.0313021293298008	0.033006362672322376	0.033651298357180705	0.03183925811437403	0.08234321727451183	0.036273991899982386	0.10309936189608022	0.03460059803502776	0.02992957746478873		0.03128658082366713	0.11193047142480908		0.10910793725122923	0.040595675234598116	0.02394153225806452	0.030341473728723967	0.033657182512144335	0.02286282306163022	0.02845916958691728	0.032448377581120944	0.02716049382716049	0.040015540015540016		0.035051067780872795	0.05700689521219773	0.028723283953409475	0.03772057633155253		0.02753807106598985	0.04761335087929178		0.0353273137697517	0.03011551155115512		0.06191189691339526	0.0216894135005533		0.029885299379143433	0.03552417164584465	0.09240749321506588	0.11262995764343472	0.05431950290639406	0.030170267848252517	0.031689762595337845	0.05247843707783435	0.025789813023855582	0.049333188767212405		0.042680287421002515		0.07159554475867443	0.02560553633217993		0.029694774961200206		0.04052653399668325	0.1292386436340371	0.03569207809973884		0.0595704158290128	0.03527088036117382
