Gene name	hsapiens_dNdS
0610040J01Rik	0.42753025302530256
1700003F12Rik	0.452134272689598
1700017B05Rik	0.21735131820968734
1810010H24Rik	0.0736122284794851
2610528A11Rik	0.7055931161647203
2810459M11Rik	0.24281285231116126
4932438H23Rik	0.3445082422670865
5430427O19Rik	0.18258843465367505
6030468B19Rik	0.39700780572419775
A2m	0.3118513558754603
Aass	0.12627327010888656
AB124611	0.20298585646935569
Abca6	0.36212958312405824
Abca9	0.2446110590440488
Abcc3	0.1627803356601812
Abcd1	0.056955239882069165
Abcd2	0.06596767147225863
Abhd12	0.1104107360715738
Abhd15	0.07529497628025787
Abhd3	0.05850153951419775
Abhd4	0.04446797247220751
Abi3	0.1164283629997082
Abtb2	0.01996450754214729
Acot11	0.1220045956888062
Acsbg1	0.09855272226050997
Acss1	0.0953819594302978
Acss2	0.10093121057374588
Adam12	0.20661929693343306
Adamts2	0.08394875659382063
Adamts4	0.10267857142857144
Adamts6	0.07519640852974188
Adap2	0.1816349384098544
Adcy7	0.09210011732499024
Adcyap1r1	0.0715034965034965
Ado	0.06515333406089709
Adora1	0.0269579115610016
Adora2b	0.12841929421591147
Adrb2	0.10447523491001752
Adssl1	0.08435002103491795
Afp	0.3430312261995431
Aif1	0.16295072942471786
Aifm3	0.02446601941747573
Aim2	0.3800187715090208
Akna	0.3976897689768977
Aldh1l1	0.06088162762022194
Aldh3b1	0.07618959451953343
Aldoc	0.02541966426858513
Alox5	0.042940038684719545
Alox5ap	0.05868680999418944
Alpl	0.061520164342091024
Ampd3	0.04077878276866472
Angptl1	0.06989806532140627
Angptl7	0.0902423469387755
Aoah	0.28897917724733363
Apbb1ip	0.2170272156315422
Apobec1	0.31681034482758624
Apobec2	0.07328605200945627
Apobr	0.6337591467195833
Apoc1	0.23912827146979804
Aqp4	0.07747519527126874
Aqp9	0.3725007689941556
Arap1	0.07545731707317074
Arhgap22	0.09439834024896264
Arhgap30	0.2919859184096086
Arhgap4	0.11364605543710025
Arhgap9	0.18219037871033775
Arhgdib	0.07548316518779627
Arhgef19	0.08702677746999077
Arhgef26	0.11646117960679775
Arl11	0.11735537190082646
Arl5c	0.1012109765581602
Armc3	0.10891089108910892
Arrb2	0.02662015788507436
Arsb	0.2337431252021999
Asb10	0.21186995417848573
Asb2	0.054982817869415807
Aspa	0.13055981595092025
Asrgl1	0.19915254237288132
Atp10b	0.1643044619422572
Atp13a4	0.16278558875219684
Atp1a2	0.0065178425941013534
Atp1b2	0.02105446319819036
Atp7b	0.17774343122102007
Axl	0.11940575673166202
B3galt5	0.10370324727339947
B3gnt7	0.06662690636448837
Bace2	0.08167832167832169
Bank1	0.3905325443786982
Barx2	0.12790458564672014
Batf	0.03748680042238648
Batf3	0.0631663829405967
BC049352	0.09915174363807727
Bcan	0.1677807486631016
Bcas1	0.5586882623475304
Bco2	0.2371728827529363
Bfsp2	0.15505076578902086
Bhlhe41	0.15945903443937726
Blnk	0.12813866839462176
Bmp4	0.03690629011553274
Bmpr1b	0.01469534050179212
Btbd16	0.3245146881979042
Btk	0.01762218045112782
C1qa	0.20301485739073846
C1qb	0.1505009358141583
C1qc	0.1376492194674013
C1ql1	0.013906996957844416
C1ql3	0.0042110478077780535
C1rl	0.1883246203634553
C2	0.21020761245674746
C3	0.1397228637413395
C3ar1	0.5108038029386344
Cables1	0.12074478089148015
Cacna2d4	0.11758255148044353
Calhm2	0.04922559731060151
Camk1	0.038128249566724434
Camk2a	0.004182156133828996
Camp	0.4373340414232608
Capn3	0.06864481842338352
Capsl	0.047360248447204975
Car5b	0.14878980891719745
Car8	0.012057272042200452
Card9	0.039729046825439485
Carns1	0.14360981484269156
Casr	0.04387394729693018
Cass4	0.3098688750862664
Cbr3	0.10576524263790957
Ccdc80	0.1761876127480457
Ccdc88b	0.15597396559739654
Ccl12	0.2678668848881614
Ccl2	0.4886169232793789
Ccl22	0.42421862729700016
Ccl5	0.20483870967741932
Ccl8	0.451000143905598
Ccr5	0.21418234442836467
Ccr7	0.06430738119312436
Ccrl2	0.5152738527788993
Cd14	0.30975168132436626
Cd163	0.2933779051257561
Cd180	0.24811335284152164
Cd22	0.2996046586173736
Cd300lb	0.4981200180478267
Cd36	0.15468227424749165
Cd37	0.1117621527777778
Cd4	0.4578627280625544
Cd44	0.4082589285714287
Cd48	0.5386740331491713
Cd52	0.3770974651910032
Cd53	0.19131221719457012
Cd63	0.19421086675291074
Cd72	0.6682514527205494
Cd74	0.15827147401908806
Cd79b	0.2474442379182156
Cd80	0.7404138770541692
Cd83	0.3008506193105506
Cd84	0.6650998824911869
Cd86	0.7180623973727422
Cd9	0.08300185627154602
Cdh19	0.18209649767327946
Cdh20	0.03561424569827931
Cdh23	0.03454096870536294
Cdk18	0.06855184233076264
Cdo1	0.0801860465116279
Cdt1	0.1157610095287149
Cebpa	0.019794630706420884
Cebpb	0.134859063873804
Cela1	0.21284524331433585
Celsr1	0.0938314509122502
Chadl	0.13501543416991008
Chrdl1	0.1390066626287099
Chst12	0.037875710804224215
Chst3	0.05620300751879699
Cideb	0.13713116152140542
Ckb	0.02125938763720393
Clcf1	0.039295392953929545
Cldn10	0.07544006705783739
Clec4a1	0.8857559552746719
Clec4d	0.3826411572561829
Clec4n	0.3074188562596599
Clec5a	0.447463768115942
Clmn	0.22015388433854555
Cln8	0.10180263461982897
Clu	0.1406538503312697
Cmtm5	0.1729538936686521
Cmtm7	0.17763356474494416
Cmya5	0.4358632193494578
Cnp	0.11230425055928413
Col11a2	0.07967178401270512
Col16a1	0.14964964964964966
Col20a1	0.21912457912457914
Col27a1	0.27280606717226435
Col4a5	0.14714993804213136
Col4a6	0.3179723502304148
Col6a3	0.12688686295023166
Col9a1	0.13076744725249245
Coro1a	0.04394883568383077
Cox6a2	0.15411618163288415
Cpox	0.1812783793223891
Crb2	0.174240350396934
Creb5	0.03432258064516129
Cryab	0.025340664594788433
