Gene name	sharrisii_dNdS
1700020L24Rik	0.2432370472260431
4921524J17Rik	0.06138369944569904
4930523C07Rik	0.06604733696928576
4931406P16Rik	0.09104913247932543
9930012K11Rik	0.1682248835245927
A4galt	0.020245651925795208
Abca4	0.1166679690552473
Abcc4	0.09275301077540672
Abcc6	0.12202914361411984
Abcc9	0.02769230769230769
Abhd2	0.01613035290264472
Ablim1	0.04007543611504008
Acacb	0.05413090411247433
Ace2	0.10621957073304532
Acss3	0.031540565177757524
Acta2	0.05034471701138367
Actn1	0.011586300903049924
Actn4	0.022917748275606317
Acvrl1	0.07422536033144657
Adam10	0.13869074492099326
Adamts8	0.1209774015810908
Adamts9	0.08042731781762685
Adamtsl2	0.06455020571555654
Adcy4	0.055300201091640334
Adm	0.16729889545910967
Afap1l1	0.07892996999440574
Agfg1	0.1628748707342296
Ahr	0.16928233228706707
Akap12	0.11051460297795217
Amdhd1	0.0946348733233979
Angptl4	0.11844063565221565
Anpep	0.10563031862260044
Antxr2	0.12755905511811025
Anxa1	0.07671171840190108
Anxa11	0.09050494883408823
Anxa2	0.021459227467811155
Anxa3	0.2385185185185185
Anxa4	0.09128436794142844
Anxa5	0.04660509060142425
Anxa6	0.04830414234083959
Anxa7	0.07147087857847978
Ap1s3	0.044685172647257965
Apool	0.2887095277855088
Aqp11	0.18364603425097897
Arhgap18	0.1000636897601019
Arhgap28	0.19196105519373727
Arhgef15	0.16271652804702644
Arhgef5	0.356270197840309
Arpc3	0.011056788266265516
Asb4	0.09714050364791717
Aspn	0.047455548743102385
Atp11c	0.07990930328432046
Atp7a	0.11997891407485504
B3gnt2	0.0992560820320354
BC028528	0.32619129242372297
Bcam	0.005481208522730554
Bche	0.12928201007961435
Bcl10	0.12308639126086622
Bcl6b	0.1051688413507308
Best1	0.025525539243004228
Bgn	0.033523809523809525
Bmx	0.09590869652272577
Bnip2	0.030862677501436432
Bpifb1	0.40125283954016655
Bsg	0.09290146893247099
Bspry	0.12236074079411978
C1qtnf9	0.06659437630870478
Calcrl	0.06563096570337701
Calml4	0.05047150599956138
Capg	0.05634690533215681
Capn12	0.06870251400745107
Car4	0.006877675626359745
Car5a	0.09398530762167126
Card10	0.07192881272143034
Casp6	0.05580042313117065
Casp7	0.0803490685476578
Casp8	0.18240072657550835
Casq2	0.08714152483096292
Cast	0.2474797732877601
Cav1	0.0965210012728044
Cav2	0.10412147505422993
Ccdc125	0.231418061897514
Ccdc126	0.08484626199645456
Ccdc141	0.3113026819923372
Ccdc85a	0.029377163792813688
Ccne2	0.08659479728146237
Ccng2	0.05858845357881968
Ccnjl	0.16613063563534294
Ccr10	0.07329030967031867
Cd109	0.22190894767393649
Cd2ap	0.1562468640240843
Cd300lg	0.43585800333205177
Cd320	0.14440738976232068
Cd40	0.0071514594877347066
Cd69	0.3016144479408948
Cd93	0.18592820119024764
Cdc42ep3	0.09770603228547152
Cdh5	0.014830927427328456
Cdhr4	0.240239183960605
Cdk1	0.015227232641542713
Cdkn1a	0.04246763976865877
Cdkn3	0.09570783922762097
Cep55	0.15329875768906046
Cfi	0.21431488070932744
Cgnl1	0.06831558295964127
Chrnb1	0.08370702541106129
Chst9	0.055526992287917736
Cish	0.04713305767346255
Cldn6	0.1066863639283191
Clec1a	0.2051043691371588
Clec1b	0.2498183499570645
Clic6	0.043020863943579186
Cmtm8	0.039190149183045225
Cnn2	0.0231013709027086
Cnot6l	0.05596894208993853
Cnr2	0.13878984899328858
Cobll1	0.2329152802661889
Col14a1	0.10352178732838747
Col28a1	0.06509643916913947
Col4a1	0.057805122335098026
Col4a2	0.10432033719704953
Col4a3	0.17676169233986194
Cox4i2	0.029237675287013862
Cpa1	0.09419446599431083
Cr1l	0.3273927392739274
Crem	0.09154739400486092
Crip2	0.0427892234548336
Crispld1	0.045200416943049375
Crybg3	0.15196008553100498
Csf3	0.2651072124756335
Csrp2	0.020798587265770625
Cthrc1	0.07931865106675842
Ctnna1	0.02640722724113968
Ctsh	0.15575650350566805
Ctsw	0.1976754234358797
Cytl1	0.004389656807323389
Dab2	0.16979253112033196
Dbh	0.09103299182253972
Ddc	0.08554817275747507
Def6	0.030151773395016637
Dennd2c	0.1418488950595858
Dennd3	0.07530981887511916
Dera	0.0439411334933723
Des	0.023545706371191133
Dgka	0.1615523465703971
Dgkh	0.11921315923350854
Dhh	0.0210655990144749
Dlc1	0.06938411187146681
Dll4	0.0919548760575924
Dnajc10	0.11849912739965095
Dnase1l1	0.1421609006040637
Dock6	0.05428239157203448
Dok4	0.0200828817341409
Dram2	0.1287433155080214
Dusp6	0.02001197297528436
Dysf	0.0792291220556745
E2f7	0.17938682322243965
Ebf1	0.03394777265745008
Ecm1	0.2320915032679739
Ecscr	0.16027369692090962
Edn3	0.23663371461104502
Efna1	0.09257842387146137
Egfl7	0.27562824092540883
Egfl8	0.16267187617401754
Egflam	0.1139973281876206
Eif3e	0.002897392346887801
Eif3h	0.028848795677259818
Elf1	0.11644326204850095
Elk3	0.008438564471250203
Emp1	0.09395575063764162
Endou	0.09361563163337504
Eng	0.1725922681848947
Enpep	0.13893376413570274
Enpp3	0.16597402597402594
Epas1	0.07881740962665439
Epha2	0.050173421390221885
Ephb4	0.05001632386549135
Epor	0.10388103453540566
Erg	0.040564106452346656
Esam	0.2263169967122869
Esyt1	0.07650029708853237
Esyt2	0.08870562204566028
Etl4	0.16308549851658724
Ets1	0.033828805740645826
Exoc3l	0.05447130308434053
Exoc6	0.06834662799129804
F2r	0.07460062912477641
F2rl3	0.02968743156634597
F5	0.25329930732774336
Fam124b	0.24289885850809664
Fam129a	0.21440165264866465
Fam187b	0.22503741714774425
Fam43a	0.001158583882854735
Far2	0.11466485199047295
Fbln5	0.04860809047411918
Fbxl22	0.010577264303458069
Fcgrt	0.05301050790055063
Fcho2	0.10076370682776704
Fermt2	0.012870256458786788
Fgd5	0.15965678791388116
Fgfbp1	0.2879914510886505
Filip1	0.02300864284045784
Fkbp10	0.053313058704266884
Fkbp7	0.140082879661981
Fli1	0.06932033577037637
Flnb	0.028991663569266718
Flt1	0.12094576777709415
Flt4	0.08540013743987004
Fn1	0.05332027772832473
Fndc1	0.1823040380047506
Foxf2	0.043833763678839295
Foxp1	0.06375894789412352
Foxq1	0.04469344076545386
Frem1	0.19196882412741445
Frk	0.1017609210971893
Frmd4b	0.05275935575556608
Frzb	0.0740379499911332
Fut4	0.12891596220785678
Fzd4	0.036014775292427664
Fzd6	0.1202800700175044
Gata2	0.02019975311412861
Gata3	0.01812437645493848
Gbe1	0.04414024305070542
Gch1	0.028161434977578476
Gcnt2	0.18960096735187426
Gdpd3	0.09850527951730127
Ghr	0.2232303184954163
Gimap6	0.2071135079609656
Gipc3	0.0010050385398244854
Gja4	0.007905665898345456
Gja5	0.08142039186846667
Gjc1	0.03534090909090909
Gkn3	0.12371207024749495
Glyatl3	0.12211550455282524
Golim4	0.10741775471805692
Gpc3	0.13089275191514438
Gpcpd1	0.10319634703196348
Gpihbp1	0.2755818701510821
Gpr143	0.240078201368524
Gpr4	0.0010004317266497644
Gprc5a	0.07612179487179488
Gpx7	0.06722020018198363
Grap	0.007777868428924969
Grb10	0.03180480876534443
Grb7	0.09015452538631344
Grk5	0.03077180833240255
Grp	0.2295090979055577
Gsta4	0.047445654152860214
Gstt2	0.12972318339100347
Gypc	0.2492292391844853
Hapln3	0.08604808997479152
Heg1	0.3645773016792125
Heph	0.09190511127415016
Higd1b	0.1474420638390905
Hmgcs2	0.10181106216348508
Hprt	0.04436635185591917
Hsd3b7	0.10025650821372048
Hsf4	0.12759198042330314
Hspb1	0.06756993006993006
Hspb2	0.01919891837079601
Hspb8	0.057180637922744026
Htr2a	0.11763204899208984
Htra3	0.05745274492081581
Icam2	0.03326914286998808
Ifih1	0.1279053583855254
Ifnar1	0.31722024018893524
Igfbp1	0.12064116985376827
Igfbp3	0.09286602038279893
Il13ra1	0.20620676762011592
Il15	0.14231803591567624
Il17rc	0.1799170805048066
Il1r1	0.20290627916277829
Il6	0.5644023056618004
Ildr2	0.12247497725204733
Impdh1	0.039225027791011585
Insl3	0.09508634868421054
Iqcg	0.3846897218195624
Iqgap1	0.039433690609502484
Irf7	0.015623111902566225
Irx3	0.05291948742746615
Ism1	0.05431083380601248
Isyna1	0.0022218976422213673
Itga4	0.1111111111111111
Itgb1	0.047261484098939925
Itgb3bp	0.3750790139064475
Itm2a	0.12648181124395827
Itpr1	0.010860622017442815
Itprip	0.07739662381911104
Jag1	0.05463525835866263
Jag2	0.014529002518246615
Jak2	0.04340443595457922
Kank3	0.07291735446241884
Kank4	0.14422493111017706
Kcna5	0.08079920314056366
Kcne3	0.06097137470853797
Kcne4	0.09304152637485973
Kcnj2	0.014169874682611187
Kcnj8	0.013808536186005894
Kcnk5	0.08636433988546664
Kctd10	0.011027319294251565
Kctd12b	0.022452358604979804
Kdr	0.1390043597282774
Kif23	0.06664810173582104
Kif26a	0.08876542820164779
Kitl	0.27227844976549
Klhl4	0.08885201387841303
Kti12	0.023949395193931126
Lalba	0.2913051738331961
Lama1	0.11606437898572727
Lamb1	0.04521465143757385
