Gene name	hsapiens_dNdS
0610040J01Rik	0.42753025302530256
1700003F12Rik	0.452134272689598
1700017B05Rik	0.21735131820968734
2210016F16Rik	0.16526806526806528
2510039O18Rik	0.04386951631046119
2610528A11Rik	0.7055931161647203
5430427O19Rik	0.18258843465367505
6030468B19Rik	0.39700780572419775
Aagab	0.14168984700973575
AB124611	0.20298585646935569
Abca9	0.2446110590440488
Abcc3	0.1627803356601812
Abcd1	0.056955239882069165
Abcg3	0.5520616075725975
Abhd12	0.1104107360715738
Abhd15	0.07529497628025787
Abi3	0.1164283629997082
Acads	0.0722254004576659
Accs	0.16803953871499175
Acox3	0.17281492349612235
Acp5	0.0918452257125026
Adam15	0.24519632414369255
Adam33	0.2342529932326913
Adam8	0.20943613348676646
Adamts16	0.13696715583508035
Adap2	0.1816349384098544
Adcy7	0.09210011732499024
Adrb2	0.10447523491001752
Afp	0.3430312261995431
AI467606	0.24565582959641255
AI661453	0.3928100884622624
Aif1	0.16295072942471786
Aim2	0.3800187715090208
Akna	0.3976897689768977
Akr1b3	0.1077826725403818
Aldh16a1	0.1538247178486833
Alox5	0.042940038684719545
Alox5ap	0.05868680999418944
Angptl7	0.0902423469387755
Anks6	0.10893682588597843
Aoah	0.28897917724733363
Ap1b1	0.0224011200560028
Apbb1ip	0.2170272156315422
Apobec1	0.31681034482758624
Apobec2	0.07328605200945627
Apobec3	0.4934947958366693
Apobr	0.6337591467195833
Apoc1	0.23912827146979804
Arap1	0.07545731707317074
Arap3	0.14348632359758925
Arhgap22	0.09439834024896264
Arhgap25	0.11625615763546797
Arhgap27	0.08471166741171211
Arhgap30	0.2919859184096086
Arhgap4	0.11364605543710025
Arhgap9	0.18219037871033775
Arhgdib	0.07548316518779627
Arhgef6	0.10698745840798568
Arid3a	0.08289007092198583
Arl11	0.11735537190082646
Arl5c	0.1012109765581602
Armc3	0.10891089108910892
Armc5	0.141209367354072
Arpc4	0.011556912341910159
Arrb2	0.02662015788507436
Arsb	0.2337431252021999
Asb10	0.21186995417848573
Asb2	0.054982817869415807
Atf3	0.044952528579732615
Atp8a2	0.044475011462631824
Aup1	0.18644650842793256
B2m	0.011119663777575936
B3gnt8	0.2330721003134796
B4galnt1	0.11352418558736428
B4galt1	0.1673460144927536
B4galt5	0.03638368246968026
Bank1	0.3905325443786982
Batf	0.03748680042238648
Batf3	0.0631663829405967
BC049352	0.09915174363807727
Bcl2l1	0.0468384074941452
Bcl3	0.12826948480845446
Bco2	0.2371728827529363
Bcor	0.1414855987872663
Bhlhe41	0.15945903443937726
Bid	0.3691628701594533
Bik	0.25422273117663896
Bin1	0.040658670461475914
Blnk	0.12813866839462176
Bmf	0.14353499406880188
Bri3	0.04926546965425137
Bst2	0.006879296261056955
Btbd19	0.09819672131147543
Btg2	0.028654529785629643
Btk	0.01762218045112782
C1qa	0.20301485739073846
C1qb	0.1505009358141583
C1qc	0.1376492194674013
C1rl	0.1883246203634553
C2	0.21020761245674746
C3	0.1397228637413395
C3ar1	0.5108038029386344
Cables1	0.12074478089148015
Cacna1s	0.06827545615067687
Calhm2	0.04922559731060151
Camk1	0.038128249566724434
Camp	0.4373340414232608
Capn3	0.06864481842338352
Car13	0.09069447176864058
Card11	0.036282558021688456
Card9	0.039729046825439485
Cass4	0.3098688750862664
Ccdc86	0.26520270270270274
Ccdc88b	0.15597396559739654
Ccl12	0.2678668848881614
Ccl2	0.4886169232793789
Ccl22	0.42421862729700016
Ccl5	0.20483870967741932
Ccl8	0.451000143905598
Ccr2	0.2972353531012749
Ccr3	0.3354571519592227
Ccr5	0.21418234442836467
Ccr7	0.06430738119312436
Ccrl2	0.5152738527788993
Cd101	0.3722524702561
Cd14	0.30975168132436626
Cd163	0.2933779051257561
Cd180	0.24811335284152164
Cd19	0.33555979643765904
Cd2	0.5320224719101123
Cd22	0.2996046586173736
Cd300lb	0.4981200180478267
Cd36	0.15468227424749165
Cd37	0.1117621527777778
Cd3d	0.5120288692862871
Cd3e	0.40830860534124624
Cd4	0.4578627280625544
Cd48	0.5386740331491713
Cd52	0.3770974651910032
Cd53	0.19131221719457012
Cd6	0.25565549195966203
Cd63	0.19421086675291074
Cd7	0.3889992680121301
Cd72	0.6682514527205494
Cd74	0.15827147401908806
Cd79a	0.2112917023096664
Cd79b	0.2474442379182156
Cd80	0.7404138770541692
Cd83	0.3008506193105506
Cd84	0.6650998824911869
Cd86	0.7180623973727422
Cdh23	0.03454096870536294
Cdk6	0.046573359073359084
Cds1	0.030760130139012125
Cdt1	0.1157610095287149
Cebpa	0.019794630706420884
Cebpb	0.134859063873804
Cerk	0.09148037498712268
Cfp	0.2533166009322338
Chst12	0.037875710804224215
Chst7	0.0730115990057995
Cib1	0.04805528768884603
Ckm	0.02014925373134328
Clcf1	0.039295392953929545
Clec12a	0.735228716645489
Clec4a1	0.8857559552746719
Clec4d	0.3826411572561829
Clec4e	0.6031258721741557
Clec4n	0.3074188562596599
Clec5a	0.447463768115942
Cln8	0.10180263461982897
Cmtm6	0.12039800995024875
Cmtm7	0.17763356474494416
Cndp2	0.04382746653445712
Cnpy3	0.09017453135100194
Col15a1	0.2669205469967111
Col27a1	0.27280606717226435
Col6a3	0.12688686295023166
Comp	0.04007884362680684
Comt	0.09369882520469916
Comtd1	0.0778150747635032
Coro1a	0.04394883568383077
Coro2a	0.11186241364104073
Cotl1	0.015341701534170154
Cox6a2	0.15411618163288415
Cpn1	0.14430550861777627
Creg1	0.24564102564102566
Cryba4	0.04217808524882839
Crybb1	0.1150190114068441
Cryl1	0.11191198786039454
Csf1	0.5031977487848555
Csf1r	0.19658875552747945
Csf2	0.4676089517078916
Csf3r	0.3752611160847508
Csk	0.005571428571428572
Cst7	0.2840807840807841
Ctns	0.14101704011807326
Ctsa	0.10496430889033097
Ctsb	0.18553330608908866
Ctsc	0.2542213883677299
Ctse	0.17956384101301442
Ctsf	0.20288
