Gene name	mean
1700001P01Rik	0.16686402296021366
1700019D03Rik	0.5569824922836238
A930003A15Rik	0.43942045279915454
Aatk	0.15616475122807652
Abca2	0.04352632332748641
Abca6	0.3698508376554846
Ablim2	0.08424066895112216
Abtb2	0.02485916157068182
Acan	0.2348640592305671
Acap3	0.043036193260708566
Acss2	0.09326911083335583
Acy3	0.22353128062029412
Adam12	0.1773060915780142
Adam9	0.14436809726277633
Adamts2	0.07625017737048291
Adamts4	0.1015161615055638
Adamtsl3	0.16043813640511428
Adamtsl4	0.24315863789462885
Adi1	0.08535451546816031
Ado	0.0712414441525545
Adora1	0.035624763159996325
Adssl1	0.040469627594164025
Agpat4	0.0772921983750979
Aldh1a2	0.033594472591410705
Aldh1l2	0.07247569879600466
Anks1b	0.13972506604004492
Anln	0.2305021415178227
Ano4	0.024566354030678524
Apbb1	0.09204473000877188
Aplp1	0.09980487705235044
Apod	0.2660402436087045
Apol11b	1.432098765432099
Arhgap24	0.05695132752093497
Arhgef10	0.10158614275173997
Arsg	0.19135090117687534
Aspa	0.13531753991974646
Atp10b	0.15163681900374246
B3galt5	0.10282650594715413
B3gat2	0.10594898764393487
B3gnt7	0.08035985589545466
Bace1	0.034890286074092426
Bace2	0.09331077128389538
Barx2	0.12478137649642745
Bcas1	0.4710578751721154
Bcat1	0.13169681023012722
Bfsp2	0.1813794589833256
Bmp4	0.043140521449575614
Bpgm	0.08317139414264729
Brca1	0.6090608424008661
Btbd16	0.2878936714693489
C1ql1	0.02514067851058444
C1ql2	0.025737027222077224
C1ql3	0.02920854915664404
Cacna2d4	0.1242184368792608
Cacnb4	0.029528868520863213
Cacng4	0.0416900370209618
Cacng7	0.007441116300534526
Cadm4	0.047398571219215035
Capn5	0.055453666555528316
Capn6	0.061804779518695126
Car14	0.1933099877065092
Carns1	0.15165970477362084
Caskin2	0.11234728776667674
Casr	0.04668594186227282
Ccdc13	0.16149038747467662
Ccdc89	0.14704217173714124
Cdc42ep2	0.07780739704549854
Cdh19	0.19727408760401008
Cdk18	0.06983148610110318
Cdo1	0.07578291157781761
Cela1	0.21151546371475016
Chadl	0.12907201875323582
Chn2	0.02775701325987206
Chrna4	0.08310994526937171
Chrne	0.0727519654806501
Chst3	0.0682571963955751
Chst5	0.07633193486155157
Chst8	0.056857711668366735
Cldn11	0.02736594600494004
Cldn14	0.02591868536378766
Cmtm5	0.15502476917852293
Cnp	0.11608332327878833
Cntn1	0.03852241580288575
Cntn4	0.06172159174251093
Cntn6	0.10466603740921206
Cobl	0.314452201869436
Col11a2	0.13754387234989354
Col13a1	0.1739090913442706
Col1a1	0.1774443197700207
Col1a2	0.1422672692842934
Col20a1	0.2614227438241358
Col3a1	0.12410063805207933
Col9a2	0.13705682661648594
