Gene name	fcatus_dNdS
0610040J01Rik	0.4091495484767292
1700003F12Rik	0.2423964341898269
1700017B05Rik	0.1836648921266461
2610528A11Rik	1.005428226779252
2810459M11Rik	0.27859638462706976
4930404N11Rik	0.16205444849845635
4932438H23Rik	0.2853776363850595
5430427O19Rik	0.20958381694578013
A2m	0.2995117485505035
Aass	0.1001727115716753
AB124611	0.1332193846772572
Abca9	0.1999408896113492
Abcc3	0.2104776222967503
Abcd1	0.04435437174290677
Abcd2	0.06973848069738481
Abhd12	0.191086513253714
Abhd15	0.06444776863625032
Abhd3	0.05968521115786193
Abhd4	0.030841121495327105
Abi3	0.13338368580060422
Abtb2	0.020250601189722817
Acot11	0.08796469444236668
Acsbg1	0.13081861958266452
Acsl6	0.11971386492741425
Acss1	0.0856146694214876
Acss2	0.14850404018344618
Adam12	0.17084052964881982
Adamts2	0.0776502363268062
Adamts4	0.07907608695652174
Adamts6	0.06518332811031025
Adap2	0.13004115226337448
Adcy7	0.07822376738305943
Adcyap1r1	0.13748502994011974
Adhfe1	0.16202331555028648
Adrb1	0.0447127207690588
Adrb2	0.08440953268539475
Adssl1	0.0243059555350766
Afp	0.35611510791366896
Aif1	0.16081303243162454
Aifm3	0.02864224731478932
Akna	0.41707156927117534
Aldoc	0.022966301781498177
Alox5	0.07286166842661035
Alox5ap	0.03097426470588235
Ampd3	0.03785664578983994
Amz1	0.09607132906101977
Angptl1	0.07236979711357458
Angptl7	0.06143904320987655
Aoah	0.2861712135465664
Apbb1ip	0.2307321772639692
Apobec1	0.30373978629792586
Apobec2	0.025377612775263184
Apobr	0.7099655617735686
Aqp4	0.0730637161388783
Aqp9	0.388851121685928
Arap1	0.08824888341290621
Arhgap19	0.14026655014201442
Arhgap22	0.1125068870523416
Arhgap30	0.27005043110460386
Arhgap4	0.11298228969006957
Arhgap9	0.2059603682321735
Arhgdib	0.058982614294913076
Arhgef19	0.08017187172500523
Arhgef26	0.09809264305177112
Arl5c	0.10093590806776448
Armc3	0.11066736731476616
Arrb2	0.04519604908709967
Arsb	0.20007966011683484
Asb10	0.174341295247476
Asb2	0.0590791896869245
Aspa	0.1518375241779497
Asrgl1	0.1893533921596991
Atp10b	0.15706028075970271
Atp13a4	0.1358872425009035
Atp1b2	0.010550327915597377
Atp7b	0.16822157434402335
Axl	0.10594447283256686
B3galt5	0.09426138876603274
B3gnt7	0.053113213380325236
Bace2	0.07685403343430944
Bank1	0.3864921154418328
Barx2	0.1193066568320118
Batf	0.030171791540349355
Batf3	0.08023699538059853
BC049352	0.1365954733822123
Bcan	0.17070535576477852
Bcas1	0.4984221890051486
Bco2	0.20297384450017916
Bfsp2	0.17788018433179725
Bhlhe41	0.14848679974243398
Blnk	0.16837737497270147
Bmp4	0.036731434655310084
Bmpr1b	0.013653561441026484
Btbd16	0.25993585274020364
Btk	0.02682427824505569
C1qb	0.12592945662535746
C1qc	0.1507440155272806
C1ql1	0.01225302496553837
C2	0.1981824971990539
C3ar1	0.4243579121789561
C4b	0.2482371564253849
C5ar1	0.10437986082685224
Cables1	0.1376470588235294
Cacna2d4	0.13129445234708392
Calhm2	0.030706378492356357
Camk1	0.03709795321637426
Camk2a	0.11414503133393016
Camp	0.5945201037613489
Capn3	0.04608585858585858
Capsl	0.033362945415062684
Car8	0.011608870367614228
Card9	0.05438116100766704
Carns1	0.13027426160337552
Casr	0.04029966416946525
Cass4	0.25359864521591874
Cbr2	0.09353380684438704
Cbr3	0.07199297629499561
Cbs	0.06661379857256146
Ccdc162	0.3194559628462432
Ccdc80	0.14489040705949333
Ccdc88b	0.1508064516129032
Ccl12	0.42989455685380457
Ccl2	0.4407326007326007
Ccl22	0.2196946719239713
Ccl3	0.15255767301905718
