Gene name	pvampyrus_dNdS
4930452B06Rik	0.2545879812882332
4930539E08Rik	0.4268833087149188
5330417C22Rik	0.09394534738346133
6430548M08Rik	0.05537590945836702
6430571L13Rik	0.1500513874614594
9530077C05Rik	0.15257857796765334
Abcg4	0.03342113928218636
Acbd7	0.1164395682180145
Ache	0.11012235817575083
Acta1	0.00239002165957129
Adam22	0.1022270901788974
Adamts15	0.05361723961005644
Adarb1	0.039875265392781314
Add2	0.05356193514088252
Adprhl1	0.09368546897076403
Aff3	0.1299038314761105
Agap2	0.060851063829787236
Agbl4	0.16761768901569188
AI593442	0.203125
Ak5	0.08216498206716663
Allc	0.11600656198734473
Aloxe3	0.12376638084452354
Ank1	0.0912502132014327
Ankrd24	0.1060392299640468
Ankrd34a	0.03385662946850766
Ankrd35	0.17284321080270068
Ankrd45	0.2970903522205207
Ankrd55	0.148880960103795
Ano5	0.16743353783231085
Apba1	0.050473186119873815
Apc2	0.06123225841535701
Arg2	0.19318955732122586
Arhgap20	0.2847233691164327
Arhgap36	0.4695998231262437
Arhgap44	0.0635709389993146
Arhgdig	0.19358243614101756
Armcx1	0.19164050883859246
Atcay	0.039404875893054435
Atl1	0.05210377152823197
Atp1a3	0.006589233861961134
Atp6ap1l	0.2580975547305083
Avp	0.09599358974358976
B3galt1	0.002745636399293979
B3gnt4	0.18517638674426887
Bcl11a	0.024918032786885248
Bcl11b	0.04272621659997418
Bend4	0.03468110302825241
Bend6	0.1500815660685155
Bfsp1	0.2466723307844803
Bmp6	0.07515361588151882
Bsn	0.10989602007888133
C1qtnf1	0.07060489581225976
C530008M17Rik	0.27201376196107946
Cacna1c	0.06273963053328686
Cacna2d1	0.03294289897510981
Cacna2d3	0.031373901051542835
Cacng2	0.0164756446991404
Cacng5	0.10129406514948684
Cadm3	0.06417883540652605
Cadps	0.013034977188789921
Calca	0.6324886480152336
Camk2b	0.019382045251804397
Camkv	0.09547229856791553
Car10	0.1045443258008443
Cbln1	0.020752269779507133
Cbln4	0.021169354838709683
Ccdc148	0.21634349030470915
Ccdc152	0.2447834473084341
Ccdc6	0.034417628541448066
Cck	0.09366181897113088
Ccnf	0.15680166147455868
Cd24a	0.3355056441289422
Cd274	0.32860951311912445
Cdh18	0.038529829545454544
