Gene name	hsapiens_dNdS
1700019D03Rik	0.6398897838066978
Aatk	0.15547415547415547
Abca2	0.02949554350822383
Abca6	0.36212958312405824
Ablim2	0.0645314729665451
Abtb2	0.01996450754214729
Acan	0.2833684210526316
Acap3	0.03183925811437403
Acss2	0.10093121057374588
Acy3	0.21597246944345555
Adam12	0.20661929693343306
Adam9	0.128169449598021
Adamts2	0.08394875659382063
Adamts4	0.10267857142857144
Adamtsl3	0.150939985538684
Adamtsl4	0.25396825396825395
Adi1	0.10270202651988992
Ado	0.06515333406089709
Adora1	0.0269579115610016
Adssl1	0.08435002103491795
Agpat4	0.0929925605951524
Aldh1a2	0.03182234432234432
Aldh1l2	0.06390551690664943
Anks1b	0.18184189929559091
Anln	0.2183503243744208
Ano4	0.02034805890227577
Apbb1	0.06829394962347443
Aplp1	0.09856223987892547
Apod	0.332581149106058
Arhgap24	0.05557930739632322
Arhgef10	0.10315319505162313
Arsg	0.18201680672268908
Aspa	0.13055981595092025
Atp10b	0.1643044619422572
B3galt5	0.10370324727339947
B3gat2	0.09976749101669836
B3gnt7	0.06662690636448837
Bace1	0.037053472376303534
Bace2	0.08167832167832169
Barx2	0.12790458564672014
Bcas1	0.5586882623475304
Bcat1	0.10173639435963176
Bfsp2	0.15505076578902086
Bmp4	0.03690629011553274
Bpgm	0.07340306313036983
Brca1	0.6460650128314799
Btbd16	0.3245146881979042
C1ql1	0.013906996957844416
C1ql2	0.02677117263843648
C1ql3	0.0042110478077780535
Cacna2d4	0.11758255148044353
Cacng4	0.013868613138686134
Cadm4	0.015220979277461947
Capn5	0.046807957352749965
Capn6	0.053149145399203936
Car14	0.21964121435142595
Carns1	0.14360981484269156
Caskin2	0.11071994367188874
Casr	0.04387394729693018
Cdc42ep2	0.0922029702970297
Cdh19	0.18209649767327946
Cdk18	0.06855184233076264
Cdo1	0.0801860465116279
Cela1	0.21284524331433585
Chadl	0.13501543416991008
Chrna4	0.06902414144848691
Chrne	0.061527722377343434
Chst3	0.05620300751879699
Chst8	0.050869600718543316
Cmtm5	0.1729538936686521
Cnp	0.11230425055928413
Cntn1	0.028989292243405587
Cntn4	0.06027253668763102
Cntn6	0.10031290263206333
Cobl	0.3175695461200586
Col11a2	0.07967178401270512
Col13a1	0.16743898671609514
Col1a1	0.19415373511367734
Col1a2	0.16132289825801566
Col20a1	0.21912457912457914
Col3a1	0.13910133843212238
Col9a2	0.14963312368972745
Cpm	0.1166533652567172
Cpox	0.1812783793223891
Cryab	0.025340664594788433
Csmd3	0.025526197939991044
Cspg4	0.13545933294324167
Ctnna3	0.05372112917023096
Ctsk	0.19460697023658105
Cyfip2	0.0009616925789389324
Cyp27a1	0.2398989898989899
D7Ertd443e	0.4270853035748062
Dbndd2	0.180404645934807
Dcn	0.18647697720666973
Dct	0.14108477811356768
Ddr1	0.05214673466030597
Depdc1b	0.05532411264789202
Dhcr24	0.021698984302862417
Dip2a	0.063035161231554
Dlk2	0.09062649450023913
Dll1	0.05833061268908477
Dll3	0.10857973824527388
Dmrta1	0.3931061964534768
Dnaic2	0.07915567282321899
Dnajb2	0.18598696461824954
Dock10	0.06795302013422819
Dock5	0.050276821786622766
Dpp6	0.042739079102715474
Dpy19l1	0.09838681084914022
Dpyd	0.1028791490922428
Dscam	0.014568764568764566
Dusp15	0.2625034539928157
Dusp19	0.2264279238440617
Dusp9	0.09488962068544944
E130308A19Rik	0.3813581890812251
E2f8	0.15789473684210525
E330009J07Rik	0.04184100418410042
Efhd1	0.0968559253714154
Efnb3	0.10266774454324977
Efs	0.21790219457404525
Ehd3	0.011702452426986872
Elfn2	0.013737173121482954
Elovl7	0.17333333333333334
Emid1	0.3295711060948081
Eml1	0.029305092122443057
En2	0.06976744186046513
Endod1	0.23621123218776194
Enoph1	0.03526636036259779
Enpp2	0.05509542671948145
Enpp4	0.2108205230584947
Enpp6	0.1082244655581948
Epcam	0.13806615189581653
Ephb1	0.011041350941762288
Ephx4	0.14788076385654406
Epn2	0.12176332120693345
Erbb3	0.10002032933523074
Ermn	0.2642542682272093
Erp27	0.4267285861713106
Etnk2	0.17364997731054302
Fa2h	0.12409708176827508
Faah	0.14444623569240692
Fah	0.07630306286942505
Fam102a	0.025434091464905845
Fam122b	0.20902295782167649
Fam131b	0.0427426536064114
Fam163a	0.25312066574202496
Fam178b	0.20536877769090436
Fam180a	0.14737654320987656
Fam83d	0.1516874319583888
Fam89a	0.07570475146926985
Fbln7	0.13948419905557574
Fbn2	0.024996408561988214
Fbp1	0.10679355009251916
Fbxo32	0.029838544860004087
Fbxo36	0.3659574468085106
Fcho1	0.07236251122866554
Fez1	0.055920252856795534
Fign	0.0358283079106066
Frmd5	0.06618293755496922
Fyn	0.008346709470304976
Galnt13	0.07411432297326667
Galnt3	0.07087854392719636
Galnt6	0.10061126714026104
Gamt	0.11536922953836308
Gas7	0.024749558043606363
Gfra1	0.07760761589403974
Gjb1	0.013492927094668115
Gjc3	0.3982373102660355
Glra4	0.0581039755351682
Gltp	0.031914893617021274
Myrf	0.07611207394569612
Gng8	0.013608381034668972
Golga7	0.011054958938723942
Gp1bb	0.07308223911541119
Gp2	0.34525348269424105
Gpd1	0.05607295304617773
Gpr15	0.2449943024580824
Gpr176	0.08409570724841661
Gpr37	0.1220166264414052
Gpr62	0.1861097775644103
Gpt2	0.04965127864496845
Gria3	0.04618040569702201
Grik3	0.0055017342423155135
Grik4	0.018679950186799504
Gsn	0.07637051039697541
Gss	0.1862546924631822
Gsto2	0.19634888438133874
Hapln2	0.048427006009190525
Hhatl	0.08446317332356175
Hhip	0.05456410256410256
Hip1r	0.047532384113050004
Hr	0.21689785624211846
Ick	0.12233285917496445
Ifit2	0.4727561276670781
Igsf9b	0.033416077907198784
Il1rap	0.1186473429951691
Il23a	0.3622424532822233
Insc	0.04943231441048035
Irx1	0.04192789968652038
Itgb4	0.07243747570299339
Itgb7	0.1249793080615792
Itih2	0.15013279175128888
Jam3	0.16549069916613213
Josd2	0.04121687929342492
Kazn	0.1032608695652174
Kcna1	0.017096134786917738
Kcnh8	0.08033504664001523
Kcnip3	0.10926821776856332
Kcnk1	0.026021003500583437
Kcnmb4	0.06242720708129512
Kctd4	0.04249667994687915
Kif19a	0.063599635084061
Kif5a	0.017988552739165987
Klhl2	0.02219006271104679
Klk6	0.25732421875
Kndc1	0.12440600646264967
Lad1	0.2320831786112143
Larp6	0.054514480408858604
Lbh	0.10208105147864184
Ldb3	0.09981996399279856
Lgi3	0.025374105400130118
Lhfpl3	0.06589006188569349
Lims2	0.06282792950356518
Llgl1	0.07234158281207505
Lnx1	0.10689890710382514
Lox	0.08580493861222238
Lpar1	0.02912824811399832
Lrrn1	0.03405524168236033
Lrrn3	0.13177492759619364
Lrrtm1	0.02712264150943396
Lrrtm3	0.02653159671972986
Lrrtm4	0.0499371295132028
Lum	0.0955242966751918
Mag	0.03715620134924753
Mal	0.13237727523441808
Map6d1	0.3245274914089347
Mapk8ip1	0.0510204081632653
March8	0.08920070157855174
Matn1	0.05381310418904404
Matn2	0.12921779141104295
Matn4	0.06150139487699721
Mbp	0.3052506674577277
Mc4r	0.050716648291069456
Me3	0.06554227156276687
Megf11	0.05675029868578256
Metrn	0.11762212567553247
Mical3	0.09332793084819016
Micall1	0.17744379893912607
Mkx	0.07928311057108142
Mmp15	0.0787820862916439
Mog	0.1638102110770341
Myo1d	0.022240527182866558
Myt1	0.07160231073274552
Ndrg1	0.029375
Neu4	0.18552253116011508
Nfasc	0.03527792118396145
Nfe2l3	0.3574859887910328
Ninj2	0.16620147170768845
Nipa1	0.014007782101167314
Nipal4	0.13673308862087047
Nkain1	0.004960541149943629
Nkain2	0.052432687765706185
Nkx2-2	0.013025875726104558
Nkx6-2	0.0033633143934568245
Nmral1	0.11581600504095778
Nol3	0.08170397657504486
Npsr1	0.14235500878734622
Nt5e	0.17212783171521034
Ntn1	0.003364525286510357
Nxph1	0.005118940078289671
Olfm2	0.008138949488169156
Olig1	0.058361124344926164
Omg	0.2620232172470979
Omp	0.04031765424557117
Onecut2	0.007052896725440805
Opalin	0.1873278236914601
Osbpl1a	0.0837810945273632
Otud7b	0.12647754137115838
Pacs2	0.027528878333153404
Padi2	0.0410213973282894
Parm1	0.4913925019127773
Pcbp4	0.03371428571428572
Pcdh15	0.12149791955617198
Pcdh9	0.024587706146926538
Pcdhb2	0.2345826235093696
Pcsk6	0.0753670961941864
Pdgfra	0.0717230008244023
Pdlim2	0.1283553875236295
Pdzrn4	0.13152074931702873
Pex5l	0.038468720821662
Phldb1	0.048654428800570304
Pkd2l1	0.14081752395853708
Pla2g4a	0.045454545454545456
Plekha1	0.1800587147983038
Plekhb1	0.058684654300168636
Plekhg3	0.15289730349971312
Plekhh1	0.1879906641205177
Pllp	0.09762758149854923
Plxnb3	0.10863058119231728
Pmel	0.3638362187414124
Pnlip	0.2112803498718142
Pou3f1	0.0055612770339855825
Ppp1r14a	0.0843958027755839
Ppp1r16b	0.028377437325905287
Prickle1	0.04206124707908007
Prima1	0.08330422633601117
Prkcq	0.03435114503816794
Prkcz	0.027758404240479845
Prkg2	0.025542570951585974
Prr18	0.1730598996754205
Prr5l	0.09473684210526316
Psat1	0.06311861106603926
Pstpip2	0.12777486453417233
Ptprd	0.01999459605512024
Pvalb	0.18592108998013054
Pycr1	0.06402744033157068
Qdpr	0.06254901960784312
Rab33a	0.01962264150943396
Rab37	0.10469551492831776
Rap1gap	0.041264478764478765
Rap2a	0.005708354955889985
Rasal1	0.09389050515736576
Rasgrf1	0.09958713874640313
Rasl12	0.04549214226633581
Rbm11	0.17451618427812984
Rbpjl	0.09459871833994507
Rhou	0.07914026587153684
Rlbp1	0.0638793694311172
Rnd2	0.01668011837503363
Rnf122	0.026138133979574176
Rnf128	0.09254046446164672
Rtkn	0.17358974358974358
Rtkn2	0.20447670901391407
S100a1	0.040038002171552664
S100a16	0.07690808070962081
S100a4	0.04153907602183464
S100a6	0.044780635400907716
Sccpdh	0.2111892208553017
Scrg1	0.21201244316822207
Sec14l5	0.06826334669761552
Secisbp2l	0.1033434650455927
Sema3d	0.07609649122807018
Sema3e	0.08088349665577851
Sema4d	0.09392925430210324
Sema5a	0.04631410256410256
Sept8	0.021936099189318072
Serinc2	0.08120475913137533
Serinc5	0.1799765611920308
Serpind1	0.1239477503628447
Sftpc	0.11208427032784946
Sgk2	0.06617945594803085
Sh3d19	0.2755486588339614
Sh3gl3	0.2409240924092409
Shc4	0.2875422501207146
Shisa4	0.1332155477031802
Sirt2	0.10672308415608836
Sis	0.1601153984853949
Slain1	0.12026806737909798
Slc12a2	0.07734530938123753
Slc1a1	0.10689956331877727
Slc22a23	0.05766993518364634
Slc22a3	0.13107170393215112
Slc22a6	0.11727715767961013
Slc24a4	0.056629564538176136
Slc44a1	0.07669172932330827
Slc45a3	0.09521935864646862
Slc48a1	0.042153309169015975
Slc5a11	0.15015540015540013
Slc6a13	0.07560195319077287
Slco3a1	0.017751479289940825
Slitrk1	0.0348432055749129
Slitrk3	0.041454081632653066
Slitrk6	0.08026184716095063
Slpi	0.3501354375220822
Smoc1	0.03616013775290572
Smtnl2	0.11993645750595712
Sntg1	0.06312987259935349
Snx22	0.16487127989775427
Sorcs1	0.09821753364859953
Sorcs3	0.0774573773942328
Sox10	0.010823608997124978
Sox3	0.06007890961262554
Sox6	0.06167571761055082
Sox8	0.05108198719902469
Sp7	0.05958855521399858
Spg20	0.08984886350113054
Spon1	0.03266144083613288
Srcin1	0.02533373786407767
Srd5a1	0.3326520183955033
Srpk3	0.037244600116754234
Srpx2	0.08631415241057544
Ssh3	0.15411305479254012
Sspn	0.11965202509982885
St18	0.1687091503267974
Steap2	0.02162382700938393
Stk32a	0.10839635446965287
Stmn4	0.013705851344227726
Sulf1	0.05550472705093016
Sulf2	0.030334367459496726
Susd4	0.1156901688182721
Susd5	0.2972379158819837
Syde2	0.2204010184595799
Synj2	0.1479761114797611
Syt11	0.04802204290493998
Sytl2	0.24908065702378035
Sytl5	0.1902665121668598
Tdo2	0.08251215346209433
Tesk2	0.15607634694370626
Tgfa	0.13318284424379234
Thsd4	0.0925096985974336
Tle6	0.2213427561837456
Tm7sf3	0.2008547008547008
Tmbim1	0.09971073677046112
Tmcc2	0.026910656620021532
Tmeff2	0.0187707029812293
Tmem108	0.29957627118644065
Tmem117	0.03339486491021984
Tmem125	0.1470588235294118
Tmem132b	0.09128950556106157
Tmem132d	0.09302081143577884
Tmem141	0.250814332247557
Tmem163	0.11022044088176353
Tmem179	0.03043815432338115
Tmem200b	0.05440148087206911
Tmem88b	0.1232358870967742
Tmod1	0.02849228333992877
Tmprss3	0.07263733402759698
Tmprss5	0.1938994481912937
Tnni1	0.00939926440539436
Tnr	0.06434213061067233
Tns3	0.136986301369863
Tppp3	0.028985507246376805
Tprn	0.24985439720442634
Traf4	0.027963630125235887
Trak2	0.14138499587798845
Trf	0.2772677765676054
Trp53inp2	0.08905579399141632
Tspan15	0.05160427807486631
Tspan17	0.030904663794718113
Tspan2	0.07387802071346375
Tspo2	0.3699226305609285
Ttll7	0.11792282726289215
Txndc16	0.25092056812204105
Tyro3	0.1368124118476728
Ugt8a	0.09555009555009557
Unc5c	0.029161345253299283
Ust	0.03526182432432432
Wnt10a	0.025158831003811947
Wnt3	0.007572016460905349
Wscd1	0.07760509022634818
Xylt1	0.06433907607867052
Zdhhc14	0.047326732673267334
Zdhhc2	0.06499856197871727
Zdhhc9	0.02813299232736573
Zfp365	0.1983739837398374
Zfp488	0.3327011045408904
