Gene name	mdomestica_dNdS
1700007K13Rik	0.13710636423695222
1700028K03Rik	0.20389111163411
1700109H08Rik	0.2378963852277176
4932438H23Rik	0.22380807774066205
4933411K16Rik	0.07626110777042827
6820408C15Rik	0.2453490727078089
A2m	0.27301509985387235
Aass	0.08074534161490682
Abca1	0.05724986623863027
Abcb9	0.05086385625431929
Abcc12	0.13213467899245185
Abcd2	0.061492052442278684
Abhd3	0.0546268982847154
Acsbg1	0.0021616579523465783
Acsf2	0.12077896204801275
Acss1	0.1029509651652984
Actr3b	0.011364927832708262
Adamts3	0.09275647328744674
Adamts5	0.10614525139664804
Adamts6	0.06347101174687382
Adcy2	0.052535570959503834
Adcyap1r1	0.08799462628236444
Adhfe1	0.06462552991050399
Adra2a	0.0332697145831526
Adrb1	0.06485951951602582
Agl	0.054957170723433126
Agt	0.18866122176051967
Aifm3	0.002071036961254952
Akt2	0.03835042611584573
Alcam	0.08552084570614088
Aldh1l1	0.06803573374005882
Aldoc	0.027507405840033857
Alms1	0.34647012509841657
Alpk1	0.2904778575179415
Als2cl	0.11479794391742235
Amigo3	0.003684236496027932
Amot	0.10704099323304064
Ampd2	0.017992254989574026
Angptl1	0.06020430341230167
Ankrd9	0.014640615463443672
Antxr1	0.049996038348783765
Anxa9	0.2067317681279867
Aox1	0.1309145880574452
Appl2	0.06294122018280449
Aqp4	0.11730862993661627
Aqp9	0.24027294796929335
Arap2	0.14127310061601642
Arhgap21	0.11542209230224112
Arhgap5	0.03122870769929593
Arhgef26	0.10186651973276396
Arhgef33	0.07348348946913827
Arl9	0.2534099766173032
Arpp21	0.1514102785949126
Arrdc3	0.04374742055303344
Aspg	0.062128814874069765
Aspm	0.2393538913362702
Atl2	0.03592072667217176
Atp13a4	0.10826730243320946
Atp1a2	0.045538299552513824
Atp1b2	0.05323350337337501
Atp2b4	0.1148238533258244
Atxn7	0.2076647319904404
Axin2	0.09088098918083462
Axl	0.08018409282426914
B3gnt5	0.14617340661143466
Bcan	0.12732708248403315
Bdh2	0.08236169684941701
Bdkrb2	0.00603060708964053
Bdnf	0.0741687979539642
Bhlhe40	0.09253317145087156
Bmper	0.06669666966696669
Bmpr1a	0.039107069036792064
Bmpr1b	0.014525442078671959
Btbd17	0.044175650801998416
C4b	0.2009174969536234
Cachd1	0.01216956802063185
Calr4	0.0602967699622889
Camk2g	0.007940270206210003
Cap2	0.07482241515390685
Capsl	0.06118037401970641
Car3	0.020158772634020158
Car5b	0.10046145699372117
Car8	0.03434225844004657
Cbs	0.06008183560366705
Cc2d2a	0.11676317525470935
Ccdc138	0.23455784328247664
Ccdc3	0.07614705044172129
Ccdc80	0.1451403887688985
Ccdc88c	0.07099889511805868
Ccdc96	0.05949569407667168
Ccna1	0.12723813786929275
Ccnd2	0.031852848811126065
Ccno	0.1207163940167092
Cd38	0.2656485784994266
Cd44	0.08387467857626202
Cdh10	0.029518240044555836
Cdh20	0.04450354609929079
Cdk5rap2	0.2642086097021719
Cecr2	0.17703500632644453
Chd9	0.08287535722136732
Chic1	0.10498166259168704
Chst1	0.03689350488296388
Chsy1	0.035506241331484056
Cideb	0.12830640335128665
Ckap5	0.04909796757250513
Cldn10	0.16643100723613075
Clmn	0.20654259401381428
Clu	0.1072215777262181
Cmya5	0.3478386583779095
Cnn1	0.018741323461360482
Cntd1	0.1871421134825612
Cntfr	0.06669273306149807
Col9a1	0.09896377982697976
Cpe	0.035173949773442896
Cpxm2	0.06685730626251073
Crb2	0.10538820017666232
Creb3l1	0.1100038037276531
Creb5	0.024141749723145072
Crot	0.11954843689695098
Cry2	0.07905521198122345
Csgalnact1	0.04741587506037676
Csmd1	0.03235843186060983
Cspg5	0.2040394007118616
Cspp1	0.15963413005741756
Ctnnd2	0.03161157024793389
Cybrd1	0.2429095762429096
Cyp7b1	0.2785563909774436
D630003M21Rik	0.2832083027807547
Daam2	0.059472492145831814
Dab1	0.07198477245198133
Dag1	0.05449641390302214
Dbi	0.05938121640496044
Dbx2	0.2348821881693854
Dclk1	0.01399795151928986
Ddhd1	0.14547707558859976
Ddit4l	0.09799291617473437
Ddo	0.15371534195933456
Ddr2	0.03912637234291054
Dhtkd1	0.08727521501172791
Dio2	0.21089771569911245
Dlg5	0.11341229405147885
Dlk1	0.004637575730020346
Dmp1	0.0584215681701572
Dnaic1	0.08117876007784264
Dnali1	0.013260942680055732
Dpf3	0.03455372616984402
Dpy19l3	0.08581626319056487
Drp2	0.05533971382545248
Dtna	0.03894003483453596
Dync2h1	0.046950416849495386
Dynlrb2	0.02613999419111241
Dzip1l	0.14429516580752527
Echdc2	0.03265726575441625
Echdc3	0.14509384420888846
Eda	0.17890382626680454
Ednrb	0.08115204073514201
Eea1	0.10374789262093112
Efna4	0.08005285470461929
Egfl6	0.17289407839866555
Egfr	0.08639629966135293
Egln3	0.037933817594834544
Ehbp1	0.12503259452411994
Elf5	0.04034171808258187
Elovl2	0.07872941634999513
Emp2	0.08322183569708322
Enah	0.12250580046403715
Enkur	0.10697348985462178
Entpd2	0.14011076452988733
Ephb3	0.03504399968849778
Ephx2	0.2378591898381225
Eps8	0.07067603160667253
Erbb2	0.09654654654654657
Esco2	0.34077461000537923
Etaa1	0.5620462321622298
Etv4	0.1006087437742114
Evc	0.15206236045281835
Evc2	0.15332319905413394
Exd1	0.178516228748068
Ezr	0.014661193154555632
F3	0.15781345400998456
Fabp5	0.07164725209080047
Fabp7	0.05307224848075625
Fam117a	0.2447626065901674
Fam13c	0.1144693242293403
Fam171b	0.12717624057350338
Fam181a	0.11572126311717205
Fam181b	0.005935621964271013
Fam184a	0.09635669449297872
Fam187a	0.11859369743187168
Fam83b	0.0890081944051992
Fat1	0.06091338974614236
Fbp2	0.035288725939505036
Fezf2	0.040812831782635985
Fgd4	0.11350780601855345
Fgd6	0.1851513019000704
Fgf1	0.029861295167417617
Fgf2	0.039624221002697434
Fgfr1	0.017709196354598174
Fgfr2	0.032709297433740014
Fgfr3	0.05030820293978189
Fgfrl1	0.06598984771573604
Ficd	0.05356277266117305
