Gene name	pvampyrus_dNdS
0610040J01Rik	0.3729324988824318
1700003F12Rik	0.2395833333333333
1700017B05Rik	0.2537783375314861
2210016F16Rik	0.13887302493813058
2610528A11Rik	0.7495256166982922
5430427O19Rik	0.2334701322389421
6030468B19Rik	0.19287909836065573
AB124611	0.19244077721586367
Abcd1	0.043212056988107865
Abhd12	0.140928849233585
Accs	0.23500840650102744
Acp5	0.12127337038908538
Adam15	0.20393019101278
Adam33	0.249221571802217
Adam8	0.2
Adamts16	0.14555555555555555
Adap2	0.13297763184896366
Adrb2	0.08291565229843906
AI467606	0.2672126951625288
Akr1b3	0.12994411006018916
Alox5	0.05442875481386392
Alox5ap	0.028581853563609826
Angptl7	0.07658743828223677
Anks6	0.11411935953420667
Apbb1ip	0.2151691253166443
Apobec2	0.08270676691729324
Apobec3	0.5255687973997833
Apobr	0.7901081916537867
Arhgap19	0.1569973952166706
Arhgap22	0.11628183765770055
Arhgap25	0.1346094946401225
Arhgap30	0.2369876613246348
Arhgap4	0.10535913281329147
Arhgap9	0.1659634317862166
Arhgef6	0.08035520901017977
Arid3a	0.0892346333635666
Arl5c	0.08599278942448925
Armc3	0.10181975736568458
Arsb	0.22844175491679275
Asb10	0.21790791427965206
Asb2	0.06481481481481481
B2m	0.009291125662055557
B3gnt8	0.172160380417162
B4galt1	0.20224922909486667
Bank1	0.3862306884655767
Bcl3	0.14296223639038744
Bcor	0.1439535366106617
Bhlhe41	0.15024348324262388
Bid	0.3088531187122737
Bik	0.2915371329879102
Blnk	0.11537433155080215
Bmf	0.1429216527432829
Bst2	0.15615244760042538
C1qb	0.14053357135773084
C1qc	0.15594426326712124
C1rl	0.2253627760252366
C2	0.19013903192584966
C3ar1	0.4411602717091978
Cables1	0.12083579735856495
Camk1	0.03288461538461539
Camp	0.4732081520494618
Capn3	0.054446079461845695
Car13	0.06768869900309961
Card9	0.019038759689922486
Cass4	0.2928741092636579
Ccdc86	0.29430491687301025
Ccdc88b	0.15823228780438922
Ccl3	0.17618729096989966
Ccl4	0.21354781582054308
Ccl5	0.21173633440514472
Ccl8	0.5906346875509871
Ccr5	0.18961533233655026
Cd14	0.31232553145802017
Cd180	0.29885057471264365
Cd19	0.3711114584961701
Cd2	0.5131739855475265
Cd22	0.3327986311624425
Cd300lb	0.6289566236811255
Cd37	0.1576490304045966
Cd3d	0.4807171853856563
Cd3e	0.321084981293426
Cd6	0.2785809906291834
Cd7	0.2437247424440777
Cd72	0.4674291397314769
Cd74	0.14834318006678654
Cd79b	0.26917808219178085
Cd80	0.5745050364709968
Cd83	0.30563754427390794
Cd86	0.6130429244682206
Cdt1	0.1640406162464986
Cebpb	0.11484798000832985
Cfp	0.2937468900315144
Chst12	0.026363091671659674
Clec4a1	0.7922899884925202
Clec4d	0.3647501044131978
Cln3	0.10245741776101937
Cmtm7	0.15773681954564936
Cndp2	0.05339164039458965
Cnpy3	0.08904479222881814
Col15a1	0.276983316309159
Comp	0.04307997028967567
Comt	0.11158576051779936
Coro1a	0.0594900849858357
Cotl1	0.018188415657459062
Cpn1	0.13592651069326828
Creg1	0.20725388601036274
Cryba4	0.04273504273504273
Cryl1	0.0932386539055264
Csf1	0.5084137312093336
Csf1r	0.20791034937376404
Csf2	0.4606193994654928
Csf3r	0.3863240418118467
Cst7	0.3408714005728931
Ctns	0.21613786439040106
Ctsa	0.09943665662255992
Ctsc	0.2297186111568208
Ctsf	0.21588235294117647
Ctss	0.22359257109692396
Ctsz	0.08448046956886311
Cxcl16	0.7290217552168122
Cyba	0.07668566001899335
Cytip	0.22005785920925747
Daglb	0.16316736652669467
Dgkd	0.044525215810995
Dhx58	0.13692491535550688
Dnajb13	0.0703485392106612
Dnase1l3	0.2405017269587348
Dnase2a	0.2724896201753037
Dok2	0.20515759312320914
Dtnbp1	0.2011702424073558
Dupd1	0.08418754745634016
Dusp13	0.17557861133280128
Dusp2	0.08418767338077432
Dusp5	0.07869525547445255
Dyrk4	0.2878159966846249
Ebi3	0.12552742616033755
Edem1	0.04277750848279205
Edem2	0.061623459413514665
Egr3	0.018760799802517897
Ehbp1l1	0.3384392131570461
Eif4ebp1	0.12678421494542402
Elf4	0.2924376508447305
