Gene name	Chicken gene name	Chicken homology type	Chicken orthology confidence [0 low, 1 high]
mt-Cytb	CYTB	ortholog_one2one	1
mt-Nd6	ND6	ortholog_one2one	1
mt-Nd5	ND5	ortholog_one2one	1
mt-Nd4	ND4	ortholog_one2one	1
mt-Nd3	ND3	ortholog_one2one	1
mt-Co3	COX3	ortholog_one2one	1
mt-Atp6	ATP6	ortholog_one2one	1
mt-Co2	COII	ortholog_one2one	1
mt-Co1	MT-CO1	ortholog_one2one	1
mt-Nd2	MT-ND2	ortholog_one2one	1
mt-Nd1	ND1	ortholog_one2one	1
Pias3	PIAS3	ortholog_one2one	1
Gnl3	GNL3	ortholog_one2one	1
Bub1	BUB1	ortholog_one2one	1
Melk	MELK	ortholog_one2one	1
Pfdn1	PFDN1	ortholog_one2one	1
Pa2g4		ortholog_one2one	1
Bcl2l13	BCL2L13	ortholog_one2one	1
Satb2	SATB2	ortholog_one2one	1
Isyna1	ISYNA1	ortholog_one2one	1
Mmrn2		ortholog_one2many	0
Mmrn2		ortholog_one2many	0
Slc30a10	SLC30A10	ortholog_one2one	1
Apba1	APBA1	ortholog_one2one	1
Crk	CRK	ortholog_one2one	1
Csnk1a1	CSNK1A1	ortholog_one2one	1
Nudt9	NUDT9	ortholog_one2one	1
Mnat1	MNAT1	ortholog_one2one	1
Hbegf	HBEGF	ortholog_one2one	1
Fam185a	FAM185A	ortholog_one2one	1
Zfp800	ZNF800	ortholog_one2one	1
Wrn	WRN	ortholog_one2one	1
Atp23	ATP23	ortholog_one2one	1
Thoc1	THOC1	ortholog_one2one	1
Sgta	SGTA	ortholog_one2one	1
Srsf1	SRSF1	ortholog_one2one	1
Ccdc88a	CCDC88A	ortholog_one2one	1
Mrpl46	MRPL46	ortholog_one2one	1
Slc27a4	SLC27A4	ortholog_one2one	1
Ptk2	PTK2	ortholog_one2one	1
Qk	QKI	ortholog_one2one	1
Srp54a	SRP54	ortholog_one2many	1
Mrps11	MRPS11	ortholog_one2one	1
Cdk6	CDK6	ortholog_one2one	1
Ikbip	IKBIP	ortholog_one2one	1
Otud7a	OTUD7A	ortholog_one2one	1
Hs3st2	HS3ST2	ortholog_one2one	1
Med12	MED12	ortholog_one2one	1
Atrn	ATRN	ortholog_one2one	1
Cited2	CITED2	ortholog_one2one	1
Lyplal1	LYPLAL1	ortholog_one2one	1
Sclt1	SCLT1	ortholog_one2one	1
Gpc6		ortholog_one2many	1
Gpc6		ortholog_one2many	1
Rbbp5	RBBP5	ortholog_one2one	1
Capzb	CAPZB	ortholog_one2one	1
Ago1	AGO1	ortholog_one2one	1
Atp12a	ATP12A	ortholog_one2one	1
Wipf3	WIPF3	ortholog_one2one	1
Dip2c	DIP2C	ortholog_one2one	1
Akap8	AKAP8	ortholog_one2one	1
Tmem131	TMEM131	ortholog_one2one	1
Ckmt1	CKMT1B	ortholog_one2one	1
Txlnb	TXLNB	ortholog_one2one	1
Cetn4	CETN2	ortholog_one2one	1
Sec31a	SEC31A	ortholog_one2one	1
Cd163		ortholog_one2one	0
Myot	MYOT	ortholog_one2one	1
Gba		ortholog_one2many	1
Gba		ortholog_one2many	0
Osbpl5	OSBPL5	ortholog_one2one	1
Usp14	USP14	ortholog_one2one	1
Spag6	SPAG6	ortholog_one2many	1
Eipr1	TSSC1	ortholog_one2one	1
Serpina10	SERPINA10	ortholog_one2one	1
Slc35f1	SLC35F1	ortholog_one2one	1
Spata5	SPATA5	ortholog_one2one	1
Pgp	PGP	ortholog_one2one	1
Glis3	GLIS3	ortholog_one2one	1
Klf13	KLF13	ortholog_one2one	1
Purg	PURG	ortholog_one2one	1
B3gat2	B3GAT2	ortholog_one2one	1
Tex2	TEX2	ortholog_one2one	1
Lypd1	LYPD1	ortholog_one2one	1
Eif3g	EIF3G	ortholog_one2one	1
Ywhae	YWHAE	ortholog_one2one	1
Cnbp	CNBP	ortholog_one2many	1
Smap1	SMAP1	ortholog_one2one	1
Gpr39	GPR39	ortholog_one2one	1
C1ql4	C1QL4	ortholog_one2one	1
Ppp1r14d		ortholog_one2one	0
Atp11b	ATP11B	ortholog_one2one	1
Sept8	SEPTIN8	ortholog_one2one	1
Wnt7b	WNT7B	ortholog_one2one	1
Dct	DCT	ortholog_one2one	1
Col16a1		ortholog_one2one	0
Ugt2b34		ortholog_one2many	1
Eps15l1	EPS15L1	ortholog_one2one	1
Slc35e3	SLC35E3	ortholog_one2one	1
Cfap70	CFAP70	ortholog_one2one	1
Ncbp3	NCBP3	ortholog_one2one	1
Rnf182	RNF182	ortholog_one2one	1
Rdx	RDX	ortholog_one2one	1
