Gene name	hsapiens_dNdS
0610010F05Rik	0.1389084094635746
0610010K14Rik	0.08993506493506494
0610012G03Rik	0.08996806519105825
0610030E20Rik	0.1585433143277543
0610040J01Rik	0.42753025302530256
1110004F10Rik	0.023013263802289987
1110008P14Rik	0.05109845402766476
1110032A03Rik	0.23933609958506225
1110032F04Rik	0.06291079812206572
1110038F14Rik	0.42020169681447095
1110051M20Rik	0.0661106590724166
1110059E24Rik	0.20514040932889105
1110059G10Rik	0.13521314387211367
1110065P20Rik	0.11571627260083447
1190007I07Rik	0.28826600714482004
1500009L16Rik	0.17446808510638295
1600002K03Rik	0.14858911150739534
1600014C10Rik	0.13583423618634888
1700001O22Rik	0.460287610619469
1700003F12Rik	0.452134272689598
1700017B05Rik	0.21735131820968734
1700020L24Rik	0.17676847602468745
1700021F05Rik	0.18283529245149413
1700025G04Rik	0.08483516483516483
1700030K09Rik	0.4012738853503184
1700037C18Rik	0.5243542435424354
1700037H04Rik	0.12336486214530085
1700066M21Rik	0.2707509881422925
1700094D03Rik	0.3781555899021123
1700123O20Rik	0.2780830280830281
1810010H24Rik	0.0736122284794851
1810013L24Rik	0.0740343347639485
1810030O07Rik	0.16673989455184535
1810055G02Rik	0.7097306212204508
1810058I24Rik	0.14905149051490515
2210016F16Rik	0.16526806526806528
2210016L21Rik	0.2579887218045113
2300009A05Rik	0.11163734776725306
2310009A05Rik	0.8943690916563912
2310009B15Rik	0.3590091618595181
2310011J03Rik	0.12919829468649266
2310022A10Rik	0.1389042612064195
2310022B05Rik	0.1104375828755446
2310033P09Rik	0.11781888997078868
2310057M21Rik	0.3217018100391864
2310061I04Rik	0.28689492325855964
2410004B18Rik	0.06198717506722747
2510009E07Rik	0.05546246648793565
2510039O18Rik	0.04386951631046119
2610001J05Rik	0.10148849797023003
2610301B20Rik	0.3318345323741007
2610507B11Rik	0.07626236335242062
2610528A11Rik	0.7055931161647203
2700049A03Rik	0.3335564853556485
2700062C07Rik	0.27031564808596376
2700081O15Rik	0.1010593220338983
2810004N23Rik	0.3032659409020217
2810006K23Rik	0.14381443298969074
2810459M11Rik	0.24281285231116126
3110009E18Rik	0.20288527593313488
3110040N11Rik	0.24287353278616186
3110082I17Rik	0.2295386904761905
4833420G17Rik	0.2360165975103734
4833439L19Rik	0.301707779886148
4921524J17Rik	0.025076990761108663
4930402H24Rik	0.22198217661355651
4930430F08Rik	0.16518474609760914
4930453N24Rik	0.22839352428393525
4930503L19Rik	0.3333333333333333
4930523C07Rik	0.3031526336024606
4930579G24Rik	0.22790055248618785
4931406C07Rik	0.11504741456432277
4931406P16Rik	0.0862316757688991
4931428F04Rik	0.1454849498327759
4932438A13Rik	0.03476527900797165
5031439G07Rik	0.056687748887327236
5730409E04Rik	0.1398248478551284
5730455P16Rik	0.15005760368663595
6030458C11Rik	0.2334125388411625
6030468B19Rik	0.39700780572419775
6330403K07Rik	0.2355788624445341
6430548M08Rik	0.05284168505095073
8030462N17Rik	0.08048433048433049
9330159F19Rik	0.7148337595907929
9330182L06Rik	0.07315373896888064
9430015G10Rik	0.174234034699151
9530068E07Rik	0.2159423731496873
9530077C05Rik	0.16394031997123856
9930021J03Rik	0.3135666763089384
9930104L06Rik	0.20762463343108506
A130010J15Rik	0.2549301561216105
A2m	0.3118513558754603
A430005L14Rik	0.29765931538357465
Aaas	0.07235195996663886
Aacs	0.047864225781845925
Aagab	0.14168984700973575
Aak1	0.12635273471775374
Aamp	0.012885591565794613
Aard	0.3147547429470165
Aars	0.03753804531619885
Aars2	0.15214180206794686
Aasdh	0.2725878202178248
Aasdhppt	0.0726643598615917
Aass	0.12627327010888656
Aatf	0.2085969482694455
Aatk	0.15547415547415547
AB124611	0.20298585646935569
Abat	0.07451686865378315
Abca1	0.04790182106096595
Abca2	0.02949554350822383
Abca3	0.06729213846651569
Abca5	0.09109624292331447
Abca7	0.12346632346632347
Abca8b	0.25518844429686205
Abca9	0.2446110590440488
Abcb10	0.1859587317564167
Abcb4	0.09836065573770493
Abcb6	0.14943023005805206
Abcb7	0.15138439410284069
Abcb8	0.13900750993962596
Abcb9	0.036426712922810064
Abcc1	0.06036446469248291
Abcc10	0.1957649092480553
Abcc3	0.1627803356601812
Abcc4	0.09715221774193547
Abcc5	0.05763933036660309
Abcd1	0.056955239882069165
Abcd2	0.06596767147225863
Abcd3	0.0508624502432552
Abcd4	0.11260971954613573
Abcf1	0.0643507972665148
Abcf3	0.030216850337717743
Abcg1	0.014788004136504653
Abcg4	0.02473029045643153
Abhd10	0.2352727272727272
Abhd11	0.2602722136620441
Abhd12	0.1104107360715738
Abhd13	0.027213647441104792
Abhd14a	0.22945072068562525
Abhd14b	0.180316426244765
Abhd15	0.07529497628025787
Abhd16a	0.04155900086132645
Abhd2	0.010906040268456376
Abhd3	0.05850153951419775
Abhd4	0.04446797247220751
Abhd5	0.0467406876790831
Abhd6	0.06825358270585377
Abhd8	0.02931734205584832
Abi1	0.027367773677736774
Abi2	0.036318613289310776
Abi3	0.1164283629997082
Abl1	0.08726344247521779
Abl2	0.08257437765634486
Ablim1	0.0933786078098472
Ablim2	0.0645314729665451
Abr	0.02644815836443291
Abt1	0.17081545064377684
Abtb2	0.01996450754214729
Acaa2	0.11018020866266202
Acaca	0.030270559871417087
Acad11	0.19876464998416216
Acad8	0.10540645663166084
Acad9	0.12124045504129652
Acadl	0.11032616864572374
Acadm	0.06868905742145179
Acads	0.0722254004576659
Acadsb	0.13637652395803798
Acadvl	0.19395555555555555
Acan	0.2833684210526316
Acap2	0.03519822156354205
Acap3	0.03183925811437403
Acat1	0.19692603266090292
Acbd3	0.11986153180441368
Acbd4	0.3297676750793916
Acbd5	0.1979754720654078
Acbd6	0.20182555780933065
Accs	0.16803953871499175
Acd	0.4425953627524308
Ace	0.12229210342417887
Acer3	0.1786536248561565
Ache	0.12808372788437578
Acin1	0.19572107765451666
Acly	0.016301292861157956
Aco1	0.06164988517929694
Aco2	0.02954927997007668
Acot11	0.1220045956888062
Acot13	0.16402204777016868
Acot6	0.3702845100105374
Acot7	0.06919211441824506
Acot8	0.13279042712315106
Acox1	0.09106239460370996
Acox3	0.17281492349612235
Acp2	0.16578108395324126
Acp5	0.0918452257125026
Acp6	0.27398821964658937
Acrbp	0.2289214896018056
Acsbg1	0.09855272226050997
Acsf2	0.22035309793471014
Acsf3	0.17199944110660892
Acsl1	0.16858157509922705
Acsl3	0.07951807228915662
Acsl4	0.04702495201535509
Acsl5	0.22586595613855295
Acss1	0.0953819594302978
Acss2	0.10093121057374588
Actl6a	0.008642363293526084
Actl6b	0.0019630938358853557
Actn1	0.006594521474467365
Actn4	0.006863492755202092
Actr10	0.06152185644900163
Actr1b	0.0069732937685459935
Actr3	0.003677699765964561
Actr5	0.06416537220695423
Actr6	0.010254863519831096
Actr8	0.02547528517110266
Acvr1	0.0158695652173913
Acvr1b	0.01914486279514997
Acvr2a	0.007550335570469798
Acvr2b	0.005114566284779051
Acvrl1	0.0725322436470438
Acy3	0.21597246944345555
Acyp1	0.09467852946113817
Acyp2	0.17553793884484714
Adal	0.2157511581733951
Adam10	0.045103413904809375
Adam11	0.04202101050525263
Adam12	0.20661929693343306
Adam15	0.24519632414369255
Adam17	0.07770921712302352
Adam22	0.10460652591170826
Adam23	0.07482517482517481
Adam8	0.20943613348676646
Adam9	0.128169449598021
Adamts1	0.1340659340659341
Adamts10	0.03913347309573724
Adamts16	0.13696715583508035
Adamts20	0.2533943118479349
Adamts3	0.1258347978910369
Adamts4	0.10267857142857144
Adamts5	0.09170305676855896
Adamts6	0.07519640852974188
Adamts9	0.09772226304188096
Adamtsl2	0.053244752551511655
Adap1	0.06231914014055395
Adap2	0.1816349384098544
Adar	0.22200036304229445
Adarb1	0.05608844090391807
Adat2	0.09294512877939527
Adck1	0.07939560439560439
Adcy1	0.0690921228304406
Adcy2	0.03682487725040917
Adcy3	0.042450554751567775
Adcy5	0.030133764515654863
Adcy6	0.044673539518900345
Adcy7	0.09210011732499024
Adcy8	0.030802139037433156
Adcy9	0.05155038759689922
Adcyap1r1	0.0715034965034965
Add1	0.09270588235294118
Add2	0.049556313993174055
Add3	0.06883298392732354
Adh5	0.08606368251038303
Adi1	0.10270202651988992
Adipor1	0.050054704595186
Adipor2	0.1089439955419337
Adk	0.1256090958310774
Adm	0.2656269038625564
Adnp	0.06449275362318843
Adnp2	0.15194961811603913
Ado	0.06515333406089709
Adora1	0.0269579115610016
Adora2a	0.10164497913086178
Adora2b	0.12841929421591147
Adpgk	0.13857791225416036
Adprh	0.15743396226415096
Adprhl2	0.06667670078266105
Adra1a	0.09121043627031653
Adra1b	0.024871982443306517
Adra2a	0.03013833992094862
Adrb2	0.10447523491001752
Adsl	0.06416275430359937
Adss	0.04724178403755869
Adssl1	0.08435002103491795
Aebp1	0.09598955861414334
Aebp2	0.08767123287671233
Afap1	0.0443317159241288
Afap1l1	0.08649657747355319
Afap1l2	0.13290208762128786
Aff1	0.2602455472937921
Aff3	0.10358422939068103
Aff4	0.08048484848484849
Afg3l2	0.05244173140954495
Aftph	0.31523252575884153
Aga	0.2342625899280576
Agap1	0.0157973174366617
Agap2	0.05961251862891208
Agap3	0.03191153238546604
Agbl5	0.19453090262338815
Agfg1	0.06648834543370273
Agfg2	0.18124006359300476
Agk	0.08894077690511568
Agl	0.06404248672289907
Agmo	0.18721278721278725
Agpat1	0.08363636363636362
Agpat4	0.0929925605951524
Agpat5	0.2803690415171707
Agps	0.15570574473615806
Agrn	0.11124896608767576
Agt	0.2247782052288608
Agtpbp1	0.08118646428074085
Agtrap	0.2136932834607253
Ahctf1	0.3037462031724603
Ahcyl2	0.01146384479717813
Ahdc1	0.042013763129300975
Ahi1	0.17155220547180344
Ahsa1	0.06823787338996985
AI429214	0.5000697641970141
AI467606	0.24565582959641255
AI593442	0.1812191103789127
AI597479	0.1515392254220457
AI837181	0.07740234843038582
Aif1	0.16295072942471786
Aif1l	0.03294304425481246
Aifm1	0.15670553935860054
Aifm2	0.1345796562935439
Aifm3	0.02446601941747573
Aig1	0.11667573943023045
Aim2	0.3800187715090208
Aimp1	0.10993165624545588
Aimp2	0.1028860028860029
Aip	0.03096374661334022
Ak1	0.09212235738750443
Ak2	0.04414290621779457
Ak3	0.09356581532416504
Ak4	0.10758801661928713
Ak5	0.07585853408508457
Akap1	0.3350451567203825
Akap10	0.1941489361702128
Akap11	0.3051881993896236
Akap12	0.2945764556502811
Akap13	0.3207660083782167
Akap6	0.20150943396226412
Akap7	0.1765486725663717
Akap8	0.17197547480185435
Akap8l	0.07337569174011067
Akap9	0.2082960644007156
Akirin1	0.11769937740883485
Akirin2	0.10376362996834328
Akna	0.3976897689768977
Akr1b3	0.1077826725403818
Akr1e1	0.2169378389653734
Akt1	0.009395826504971049
Akt1s1	0.04973753280839895
Akt2	0.013452237001209191
Akt3	0.006783291681542306
Aktip	0.04374556632773705
Alad	0.13162011173184354
Alas1	0.08315054835493521
Alas2	0.12341772151898735
Alcam	0.08685334598955861
Aldh16a1	0.1538247178486833
Aldh18a1	0.045177945786465064
Aldh1l1	0.06088162762022194
Aldh1l2	0.06390551690664943
Aldh3a2	0.14257588187038556
Aldh3b1	0.07618959451953343
Aldh4a1	0.04991199396530048
Aldh5a1	0.12027972027972028
Aldh6a1	0.07619321449108682
Aldh7a1	0.13161963664476226
Aldoc	0.02541966426858513
Alg11	0.1754463301741239
Alg12	0.16770515709929734
Alg14	0.2508757297748123
Alg2	0.21235179614227567
Alg3	0.10736648250460408
Alg5	0.12837407013815091
Alg6	0.20257162192646064
Alg8	0.1662042875157629
Alkbh1	0.20813704496788007
Alkbh3	0.14073666849917538
Alkbh4	0.10019217330538084
Alkbh5	0.020968547179231155
Alkbh6	0.08616740088105726
Alkbh7	0.10313574330659443
Alkbh8	0.2158157513287164
Alms1	0.5677841028884671
Alox5	0.042940038684719545
Alox5ap	0.05868680999418944
Alpk1	0.30414360006710284
Alpl	0.061520164342091024
Als2	0.08341708542713569
Als2cl	0.1109533690073168
Amacr	0.2604062604062604
Ambra1	0.0783569209527097
Amfr	0.058144416456759024
Amigo1	0.12755323772272925
Amigo2	0.09205268610330028
Amigo3	0.14130539267518985
Ammecr1l	0.03793774319066148
Amn1	0.31727172717271723
Amot	0.14896755162241887
Amotl1	0.08845867460908415
Amotl2	0.07681345304261081
Ampd2	0.021976233110857887
Ampd3	0.04077878276866472
Amph	0.17086999022482896
Amt	0.11674269302247
Amz2	0.2297962052002811
Anapc1	0.08463346868989101
Anapc10	0.11613308223477715
Anapc13	0.048243630333182574
