Gene name	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
mt-Cytb	MT-CYB	ortholog_one2one	1
mt-Nd6	MT-ND6	ortholog_one2one	1
mt-Nd5	MT-ND5	ortholog_one2one	1
mt-Nd4	MT-ND4	ortholog_one2one	1
mt-Nd4l	MT-ND4L	ortholog_one2one	1
mt-Nd3	MT-ND3	ortholog_one2one	1
mt-Co3	MT-CO3	ortholog_one2one	1
mt-Atp6	MT-ATP6	ortholog_one2one	1
mt-Atp8	MT-ATP8	ortholog_one2one	0
mt-Co2	MT-CO2	ortholog_one2one	1
mt-Co1	MT-CO1	ortholog_one2one	1
mt-Nd2	MT-ND2	ortholog_one2one	1
mt-Nd1	MT-ND1	ortholog_one2one	1
Pias3	PIAS3	ortholog_one2one	1
Gnl3	GNL3	ortholog_one2one	1
Bid	BID	ortholog_one2one	1
Bub1	BUB1	ortholog_one2one	1
Melk	MELK	ortholog_one2one	1
Pfdn1	PFDN1	ortholog_one2one	1
Pa2g4	AC034102.2	ortholog_one2many	0
Pa2g4	PA2G4	ortholog_one2many	1
Gzmb	GZMB	ortholog_one2many	1
Zfp953	ZNF727	ortholog_many2many	0
Zfp953	ZNF678	ortholog_many2many	0
Zfp953	ZNF85	ortholog_many2many	0
Zfp953	ZNF681	ortholog_many2many	0
Zfp953	ZNF736	ortholog_many2many	0
Zfp953	ZNF724	ortholog_many2many	0
Zfp953	ZNF695	ortholog_many2many	0
Zfp953	ZNF682	ortholog_many2many	0
Bcl2l13	BCL2L13	ortholog_one2one	1
Satb2	SATB2	ortholog_one2one	1
Sit1	SIT1	ortholog_one2one	1
Isyna1	ISYNA1	ortholog_one2one	1
Mmrn2	MMRN2	ortholog_one2one	1
Slc30a10	SLC30A10	ortholog_one2one	1
Apba1	APBA1	ortholog_one2one	1
Zfp738	ZNF727	ortholog_many2many	0
Zfp738	ZNF678	ortholog_many2many	0
Zfp738	ZNF85	ortholog_many2many	0
Zfp738	ZNF681	ortholog_many2many	0
Zfp738	ZNF736	ortholog_many2many	0
Zfp738	ZNF724	ortholog_many2many	0
Zfp738	ZNF695	ortholog_many2many	0
Zfp738	ZNF682	ortholog_many2many	0
Ccdc107	CCDC107	ortholog_one2one	1
Crk	CRK	ortholog_one2one	1
Obp2a	OBP2B	ortholog_many2many	0
Obp2a	OBP2A	ortholog_many2many	0
Csnk1a1	CSNK1A1	ortholog_one2one	1
Nudt9	NUDT9	ortholog_one2one	1
Mnat1	MNAT1	ortholog_one2one	1
Hbegf	HBEGF	ortholog_one2one	1
Fam185a	FAM185A	ortholog_one2one	1
Zfp800	ZNF800	ortholog_one2one	1
Wrn	WRN	ortholog_one2one	1
Zfp248	ZNF248	ortholog_one2one	1
Zfp280c	ZNF280C	ortholog_one2one	1
Samd13	SAMD13	ortholog_one2one	1
Atp23	ATP23	ortholog_one2one	1
Dusp9	DUSP9	ortholog_one2one	1
Thoc1	THOC1	ortholog_one2one	1
Sgta	SGTA	ortholog_one2one	1
Srsf1	SRSF1	ortholog_one2many	1
Srsf1	AC015813.2	ortholog_one2many	1
Ccdc88a	CCDC88A	ortholog_one2one	1
Mrpl46	MRPL46	ortholog_one2one	1
Slc27a4	SLC27A4	ortholog_one2one	1
Ptk2	PTK2	ortholog_one2one	1
Qk	QKI	ortholog_one2one	1
Srp54a	SRP54	ortholog_one2many	1
Mrps11	MRPS11	ortholog_one2one	1
Cdk6	CDK6	ortholog_one2one	1
Ikbip	IKBIP	ortholog_one2one	1
Otud7a	OTUD7A	ortholog_one2one	1
Hs3st2	HS3ST2	ortholog_one2one	1
Med12	MED12	ortholog_one2one	1
Klf2	KLF2	ortholog_one2one	1
Atrn	ATRN	ortholog_one2one	1
Cited2	CITED2	ortholog_one2one	1
Prr15	PRR15	ortholog_one2one	1
Lyplal1	LYPLAL1	ortholog_one2one	1
Sclt1	SCLT1	ortholog_one2one	1
Ttyh1	TTYH1	ortholog_one2one	1
Cyp2a4	CYP2A13	ortholog_many2many	0
Cyp2a4	CYP2A7	ortholog_many2many	1
Cyp2a4	CYP2A6	ortholog_many2many	0
Kdm6b	KDM6B	ortholog_one2one	1
Gpc6	GPC6	ortholog_one2one	1
Rbbp5	RBBP5	ortholog_one2one	1
Capzb	CAPZB	ortholog_one2one	1
Ago1	AGO1	ortholog_one2one	1
Zfp459	ZNF845	ortholog_one2many	0
Atp12a	ATP12A	ortholog_one2one	1
Wipf3	WIPF3	ortholog_one2one	1
Dip2c	DIP2C	ortholog_one2one	1
Akap8	AKAP8	ortholog_one2one	1
Tmem131	TMEM131	ortholog_one2one	1
Ckmt1	CKMT1A	ortholog_one2many	1
Ckmt1	CKMT1B	ortholog_one2many	1
Txlnb	TXLNB	ortholog_one2one	1
Fpr-rs3	FPR2	ortholog_one2many	0
Zfp850	ZNF780A	ortholog_one2many	0
Sec31a	SEC31A	ortholog_one2one	1
Cd163	CD163	ortholog_one2one	1
