Gene stable ID	Gene name	count	mean	std	min	25%	50%	75%	max
ENSGALG00000000003	PANX2	29.0	0.06940491881718161	0.02491017945680088	0.0322739591032274	0.05561835858014922	0.06333072713057075	0.08228228228228228	0.13167587476979742
ENSGALG00000000011	C10orf88	19.0	0.39670661423566195	0.10829292328578449	0.1337121120928329	0.3202458856229089	0.40973505853357983	0.4705625738743806	0.5865027829313544
ENSGALG00000000044	WFIKKN1	26.0	0.030648344088360306	0.03181337771125717	0.0009993370874718049	0.001050269340730028	0.03422392829573268	0.04383458705671192	0.1237221744530429
ENSGALG00000000048		19.0	0.04876491916440243	0.04308289218802669	0.0012424548586824177	0.03104452460936085	0.03501472754050074	0.05652941428049263	0.18982630272952852
ENSGALG00000000055	LAMTOR3	16.0	0.06202256666433028	0.054063557476860646	0.002640129975629569	0.03644273510022155	0.05510265700483091	0.06460898833737862	0.21584066697545162
ENSGALG00000000059	TUBB3	13.0	0.019362870394424723	0.01431299258912512	0.0009748700173310224	0.009826302729528537	0.015994094488188976	0.03251486667945521	0.03934145819970066
ENSGALG00000000067	SPR	22.0	0.11997074906780426	0.058318476673043615	0.004845354804803831	0.09695231281728954	0.13514767360640528	0.15758714142448	0.22248432553231112
ENSGALG00000000071		23.0	0.6297187338462524	0.10345942499566957	0.2816297131404234	0.5935978240090953	0.6299354838709678	0.6947634817480195	0.8411097099621689
ENSGALG00000000081	IL4I1	20.0	0.08545081175705889	0.019148794399076782	0.04984070178501287	0.07416451223750509	0.0894267115926898	0.09886420820564143	0.1176261338708721
ENSGALG00000000086	TIMM17B	27.0	0.07727482949012764	0.06707154180598193	0.01851546618317675	0.030898350049021184	0.0430286241920591	0.1051715972009632	0.23563829787234042
ENSGALG00000000091	INTS4	28.0	0.04433079070428743	0.04519943696613245	0.015209125475285171	0.02704799826879376	0.031553631553631556	0.04323240911941409	0.25727389995700156
ENSGALG00000000094	ADIPOR1	29.0	0.08993650532541082	0.045562481453136815	0.0013979171035157618	0.07192488262910798	0.08468485966786442	0.09437386569872958	0.24777234837597012
ENSGALG00000000102	UBE2T	29.0	0.21108715520039084	0.06848918153333472	0.07467306015693112	0.1585682671028577	0.2034658827170045	0.23262568287117072	0.3612532767444763
ENSGALG00000000104		23.0	0.10589671280497355	0.027309342502796142	0.06533630913307951	0.09313291353146672	0.10073010765994307	0.11235760467980296	0.18456861609727854
ENSGALG00000000106	LRIF1	29.0	0.4180608543368303	0.08214644083518713	0.2622972791850959	0.39695087521174477	0.4262382864792504	0.4421257651641625	0.6455773955773956
ENSGALG00000000109	AFMID	28.0	0.18907000789480044	0.09032112869289141	0.005833616827177575	0.12544324207194668	0.19581268002858648	0.22758556531759533	0.45689235265465167
ENSGALG00000000112	PLP1	19.0	0.054679203877398615	0.07292125770324281	0.008589589417625838	0.02340221198201475	0.032647869408522365	0.04331517471653825	0.28523364485981306
ENSGALG00000000115	HEP21	8.0	0.11049581049193254	0.06900731405618303	0.027379400260756196	0.06669180636829199	0.10438371325379306	0.13932493254301767	0.23902087832973362
ENSGALG00000000120	BMP10	23.0	0.07373718810609663	0.022819280965793814	0.037476722532588456	0.05616019458002891	0.07463135720734276	0.08774249485446109	0.11523652365236524
ENSGALG00000000122	GNB2L1	9.0	0.05761863052920092	0.0945338000642178	0.0009874917709019092	0.002263170113010101	0.004153339660000235	0.052180065446183775	0.22448979591836735
ENSGALG00000000129	TCF25	29.0	0.1349947702451674	0.06776272373513076	0.049480590486604706	0.08843826308525321	0.12399786210582575	0.1674861221252974	0.3014842300556586
ENSGALG00000000136	BLEC2	6.0	0.44930485163022427	0.29579814812994104	0.014969044610957936	0.24860540423579586	0.5777239220062387	0.6185829640150663	0.7543103448275863
ENSGALG00000000137	SNRPE	9.0	0.0741760880319662	0.07681134442424402	0.001491129302212349	0.010635838150289017	0.04522467851466551	0.08955223880597016	0.2218045112781955
ENSGALG00000000142	CEPT1	29.0	0.08016070237377614	0.02969887937402277	0.03752006420545747	0.05629736557199566	0.07577807848443843	0.10020449897750512	0.13027959547888163
ENSGALG00000000146	SUPT6H	28.0	0.017658114861047746	0.008062793387049105	0.006896551724137931	0.013480389070763031	0.015349717243621813	0.018840462206592457	0.04491017964071856
ENSGALG00000000150	RPL9	29.0	0.03797920136553981	0.0664952916088882	0.0051781275890637945	0.01570567986230637	0.02161633717140995	0.02973240832507433	0.3691301000769823
ENSGALG00000000151	ADAMTS19	29.0	0.13032549767849885	0.06108472968450834	0.07976125881714596	0.10726950354609929	0.11759237741110852	0.12850940665701882	0.40204485488126646
ENSGALG00000000154	DENND2D	23.0	0.12000724588769832	0.046016030780241766	0.003557368729644904	0.08629299235149956	0.13627639155470248	0.15862611300927315	0.1885488647581441
ENSGALG00000000156	BRD2	13.0	0.0366485972354168	0.03449171568840005	0.009075630252100841	0.0230381569474442	0.03002911914583839	0.03874357641896184	0.14316148274392843
ENSGALG00000000158	DMA	10.0	0.048142552275769475	0.07175174735709583	0.0021038204175325794	0.0040991622523440996	0.006281422726497354	0.0796591700690647	0.18243015819589364
ENSGALG00000000161	ISOC1	29.0	0.3005891534787734	0.10842518726925314	0.1268086636110362	0.23653925195232223	0.28573712823792774	0.3115639150121909	0.6176762661370407
ENSGALG00000000162	DMB1	6.0	0.3593387662271859	0.22260389636250608	0.15722577327161855	0.22969216313374732	0.2874296667603521	0.40362709420109194	0.771141591964575
ENSGALG00000000164	MYBPHL	29.0	0.18822289343815402	0.05636701302985397	0.005097414233120839	0.16679286845184826	0.21127783155856728	0.21859375	0.25847104981571756
ENSGALG00000000168	ADORA1	25.0	0.06026107201922011	0.0413899836777293	0.009184863924280074	0.047740579492568685	0.0519134775374376	0.06363497634671143	0.2462142456533932
ENSGALG00000000172	MYOG	10.0	0.054257931918708514	0.017522538612448842	0.03769340502578734	0.041389768582815324	0.05107533733527515	0.06171904136329885	0.09375983219716832
ENSGALG00000000184	SLC27A6	27.0	0.15721686985258335	0.02489201726818736	0.12730158730158728	0.1428545837372646	0.14936128398296758	0.16892611384777886	0.24378647071536633
ENSGALG00000000186	MTCH1	30.0	0.2328200952040131	0.07757752474515694	0.11628063108425646	0.1652862707921141	0.22954252628198715	0.2848712687525689	0.4198966408268734
ENSGALG00000000189	YTHDC2	19.0	0.2082223631654493	0.09124232941627497	0.09316459911747564	0.13748916887872076	0.22058823529411764	0.25096967063610853	0.4691671964399238
ENSGALG00000000195	SLC23A2	26.0	0.021242096923943774	0.01741666904920733	0.005416531253385332	0.011303945388863071	0.015246525863517504	0.02477544394707069	0.08440229257641922
