	gene	str	chr	promoter_start	promoter_end
0	mt-Cytb	1	chrM	12144	14144
1	mt-Nd6	-1	chrM	14070	16070
2	mt-Nd5	1	chrM	9741	11741
3	mt-Nd4	1	chrM	8166	10166
4	mt-Nd4l	1	chrM	7876	9876
5	mt-Nd3	1	chrM	7458	9458
6	mt-Co3	1	chrM	6606	8606
7	mt-Atp6	1	chrM	5926	7926
8	mt-Atp8	1	chrM	5765	7765
9	mt-Co2	1	chrM	5012	7012
10	mt-Co1	1	chrM	3327	5327
11	mt-Nd2	1	chrM	1913	3913
12	mt-Nd1	1	chrM	750	2750
13	Actl10	1	chr2	154549775	154551775
14	Btbd35f29	1	chrX	31115673	31117673
18	Olfr290	1	chr7	84913780	84915780
19	Gm21748	-1	chrY	90839177	90841177
20	3110021N24Rik	1	chr4	108717648	108719648
22	Gm10720	1	chr9	3013653	3015653
23	Gm11011	-1	chr2	169587745	169589745
26	Gm10999	-1	chr8	129131661	129133661
27	Gm21833	1	chr16	82826381	82828381
28	Gm6020	1	chr19	61181889	61183889
31	Gm3893	1	chr4	42089206	42091206
33	Gm17542	-1	chr10	58718210	58720210
34	Gm8334	-1	chrX	148615153	148617153
35	Gm21830	1	chr2	67411724	67413724
37	Gm17364	-1	chr13	41273977	41275977
38	Gm10563	-1	chr4	155645408	155647408
39	Gm21738	-1	chr14	19418930	19420930
40	Gm17631	1	chr6	129860648	129862648
41	Gm20721	-1	chr2	174346712	174348712
43	Tsr3	1	chr17	25238169	25240169
44	Gm10160	-1	chr7	81855794	81857794
45	Gm26657	1	chr4	56738069	56740069
46	Gm7735	1	chr16	89167489	89169489
47	Gm17268	-1	chr11	82038562	82040562
48	Gnptg	-1	chr17	25240124	25242124
49	Gm26620	1	chr1	170883064	170885064
51	Gm10772	-1	chr13	66227573	66229573
52	Gm21863	1	chr12	19952504	19954504
53	Gm21750	1	chr14	73659224	73661224
55	A930002H24Rik	-1	chr17	63863791	63865791
56	Gm17304	1	chr5	106607097	106609097
57	Gm10974	1	chr7	66363904	66365904
58	Gm10801	1	chr2	98660236	98662236
59	Gm21876	-1	chrX	21175653	21177653
61	Gm10401	-1	chr5	115098295	115100295
63	Gm10181	1	chr9	25087421	25089421
65	Gm10945	-1	chr10	6761761	6763761
66	Gm11042	-1	chr12	74316394	74318394
67	Gm17606	1	chr14	54638951	54640951
69	Poll	-1	chr19	45560531	45562531
70	Gm11116	-1	chr5	88111530	88113530
71	Gm21828	-1	chrY	13223928	13225928
73	Gm11099	1	chr2	58857433	58859433
76	Gm17555	1	chr2	126213099	126215099
79	Gm10722	1	chr9	2998921	3000921
81	Gm21800	1	chrY	41404497	41406497
82	Gm21820	-1	chrY	5249441	5251441
83	Gm10283	-1	chr8	60503198	60505198
84	Gm21905	-1	chr5	67946421	67948421
86	Fam122a	-1	chr19	24477356	24479356
88	Gm10715	1	chr9	3034876	3036876
89	Gm10271	-1	chr10	116972609	116974609
90	Gm10128	-1	chr14	7643972	7645972
92	Gm11077	1	chr6	140727283	140729283
93	Gm17581	-1	chr2	155735866	155737866
94	Gm21866	-1	chrY	13465579	13467579
95	Gm10217	1	chr8	9862250	9864250
98	Gtf2f1	-1	chr17	57011288	57013288
99	Gm17604	-1	chrX	165004829	165006829
100	Gm17720	-1	chr8	110102753	110104753
102	Gm49403	1	chr19	8881929	8883929
103	1810049J17Rik	-1	chr15	12321899	12323899
104	Gm21962	1	chr3	137669523	137671523
105	Gm21028	-1	chr7	42578588	42580588
107	B930094E09Rik	1	chr18	31607511	31609511
110	Gm11084	-1	chr2	72986716	72988716
111	Gm10491	-1	chrX	7907835	7909835
113	Gm21797	-1	chrY	40775765	40777765
115	Gm17428	1	chr14	54974932	54976932
116	Gm3550	1	chr18	34734358	34736358
117	Gm9747	1	chr1	82231111	82233111
118	Srsy	-1	chrY	17937330	17939330
120	Gm21725	-1	chrY	13349063	13351063
121	E130116L18Rik	-1	chr5	25223153	25225153
122	4632433K11Rik	1	chr7	5032117	5034117
123	Gm2174	1	chrX	56445964	56447964
124	Gm21886	-1	chr18	80089962	80091962
125	Zc3h11a	-1	chr1	133661380	133663380
126	Gm11115	-1	chr5	88154099	88156099
127	Gm21767	1	chrY	13939737	13941737
128	Gm17332	-1	chr11	31182462	31184462
129	Gm17651	-1	chr3	97674694	97676694
130	Gm26897	1	chr5	111731923	111733923
131	Gm17374	1	chr2	140150042	140152042
132	Gm10964	1	chr3	103737365	103739365
133	Gm9955	-1	chr18	24709348	24711348
136	Gm21798	1	chr15	64815693	64817693
137	Gm11111	1	chr5	98550694	98552694
138	Gm17622	1	chr13	96488732	96490732
139	Gm11096	1	chr17	81439762	81441762
140	Gm21897	1	chr16	15315457	15317457
141	Gm11037	1	chr2	131131496	131133496
142	Gm17387	1	chr7	141027130	141029130
143	Gm21773	-1	chrY	25309360	25311360
144	Gm21060	-1	chr19	61297069	61299069
145	Gm10717	1	chr9	3023416	3025416
147	Gm17402	-1	chr3	67375163	67377163
148	Gm21776	1	chrY	76376661	76378661
150	Gm21834	-1	chr17	57742219	57744219
153	Gm11114	1	chr9	85310772	85312772
155	Gm10490	1	chrX	7907541	7909541
156	Gm10961	1	chr3	107629321	107631321
157	E130208F15Rik	1	chr7	30319739	30321739
159	Reep2	1	chr18	34838588	34840588
161	Gm10799	-1	chr2	104068550	104070550
163	Gm10197	-1	chr19	53371766	53373766
164	Gm10234	1	chr6	95320111	95322111
165	Gm10337	1	chr15	102501721	102503721
166	Gm17571	-1	chr9	13446753	13448753
167	A730071L15Rik	1	chr11	6198028	6200028
168	Gm10959	-1	chr3	122919360	122921360
169	Fbxl15	1	chr19	46326183	46328183
170	Gm21913	1	chrY	74621895	74623895
171	Gm17349	-1	chr15	99705490	99707490
172	Gm17482	1	chr6	115225342	115227342
173	Gm17535	1	chr9	3032598	3034598
174	Gm10226	1	chr17	21689859	21691859
175	Gm10309	-1	chr17	86505232	86507232
177	Gm26602	1	chr10	79908855	79910855
178	Gm26566	1	chr4	88719804	88721804
179	Gm11034	-1	chr8	72213636	72215636
180	Gm10521	1	chr1	171893663	171895663
181	Gm10770	-1	chr2	150179679	150181679
182	Gm10718	1	chr9	3021546	3023546
183	Gm21891	-1	chrY	13133492	13135492
184	Vmn1r216	1	chr13	23097070	23099070
185	Gm21904	-1	chrY	17846266	17848266
186	Gm10428	1	chr11	62751099	62753099
187	Gm10139	1	chr13	65510677	65512677
192	Gm10203	1	chr6	149128169	149130169
194	Gm21958	-1	chr3	54714353	54716353
195	Gm21921	-1	chrY	24796243	24798243
196	G530012D18Rik	1	chr1	85573675	85575675
198	Gm10643	-1	chr8	84065137	84067137
199	Kiss1	1	chr1	133319874	133321874
200	Gm10190	-1	chr17	80373541	80375541
201	A230072I06Rik	1	chr8	12276818	12278818
202	Gm21903	-1	chr17	39043341	39045341
203	Gm21764	-1	chrY	18061812	18063812
204	Gm10135	-1	chr5	72974702	72976702
205	Gm21954	-1	chr3	55472210	55474210
206	Gm10719	1	chr9	3015407	3017407
207	Gm11172	1	chr16	10810914	10812914
208	Gm21836	-1	chr9	124493793	124495793
210	Gm10800	-1	chr2	98667301	98669301
211	Ifi204	-1	chr1	173766943	173768943
