Gene stable ID	Mouse gene stable ID	Mouse gene name	Mouse homology type	Mouse orthology confidence [0 low, 1 high]
ENSG00000000457	ENSMUSG00000026584	Scyl3	ortholog_one2one	1
ENSG00000001561	ENSMUSG00000023961	Enpp4	ortholog_one2one	1
ENSG00000001617	ENSMUSG00000034684	Sema3f	ortholog_one2one	1
ENSG00000003137	ENSMUSG00000063415	Cyp26b1	ortholog_one2one	1
ENSG00000004975	ENSMUSG00000020888	Dvl2	ortholog_one2one	1
ENSG00000005020	ENSMUSG00000059182	Skap2	ortholog_one2one	1
ENSG00000005810	ENSMUSG00000033004	Mycbp2	ortholog_one2one	1
ENSG00000006118	ENSMUSG00000024736	Tmem132a	ortholog_one2one	1
ENSG00000006128	ENSMUSG00000061762	Tac1	ortholog_one2one	1
ENSG00000006210	ENSMUSG00000031778	Cx3cl1	ortholog_one2one	1
ENSG00000006283	ENSMUSG00000020866	Cacna1g	ortholog_one2one	1
ENSG00000006468	ENSMUSG00000004151	Etv1	ortholog_one2one	1
ENSG00000006530	ENSMUSG00000029916	Agk	ortholog_one2one	1
ENSG00000006576	ENSMUSG00000039987	Phtf2	ortholog_one2one	1
ENSG00000006607	ENSMUSG00000034066	Farp2	ortholog_one2one	1
ENSG00000006715	ENSMUSG00000041236	Vps41	ortholog_one2one	1
ENSG00000007047	ENSMUSG00000030397	Mark4	ortholog_one2one	1
ENSG00000007516	ENSMUSG00000047507	Baiap3	ortholog_one2one	1
ENSG00000007520	ENSMUSG00000015126	Tsr3	ortholog_one2one	1
ENSG00000008130	ENSMUSG00000029063	Nadk	ortholog_one2one	1
ENSG00000008300	ENSMUSG00000023473	Celsr3	ortholog_one2one	1
ENSG00000008311	ENSMUSG00000029695	Aass	ortholog_one2one	1
ENSG00000009694	ENSMUSG00000016150	Tenm1	ortholog_one2one	1
ENSG00000010244	ENSMUSG00000017421	Zfp207	ortholog_one2one	1
ENSG00000010295	ENSMUSG00000038271	Iffo1	ortholog_one2one	1
ENSG00000010438	ENSMUSG00000071521	Try10	ortholog_many2many	0
ENSG00000010438	ENSMUSG00000058119	Gm5771	ortholog_many2many	0
ENSG00000010438	ENSMUSG00000062751	Prss1	ortholog_many2many	0
ENSG00000010438	ENSMUSG00000054106	Try4	ortholog_many2many	1
ENSG00000010438	ENSMUSG00000071517	Gm10334	ortholog_many2many	0
ENSG00000010438	ENSMUSG00000036938	Try5	ortholog_many2many	0
ENSG00000010438	ENSMUSG00000071519	Prss3	ortholog_many2many	0
ENSG00000010438	ENSMUSG00000057163	Prss2	ortholog_many2many	0
ENSG00000010818	ENSMUSG00000015501	Hivep2	ortholog_one2one	1
ENSG00000011258	ENSMUSG00000059474	Mbtd1	ortholog_one2one	1
ENSG00000011523	ENSMUSG00000044066	Cep68	ortholog_one2one	1
ENSG00000011566	ENSMUSG00000024242	Map4k3	ortholog_one2one	1
ENSG00000012963	ENSMUSG00000041712	Ubr7	ortholog_one2many	1
ENSG00000013288	ENSMUSG00000029119	Man2b2	ortholog_one2one	1
ENSG00000013392	ENSMUSG00000032417	Rwdd2a	ortholog_one2one	1
ENSG00000013503	ENSMUSG00000034453	Polr3b	ortholog_one2one	1
ENSG00000014824	ENSMUSG00000029221	Slc30a9	ortholog_one2one	1
ENSG00000015532	ENSMUSG00000020868	Xylt2	ortholog_one2one	1
ENSG00000015592	ENSMUSG00000022044	Stmn4	ortholog_one2one	1
ENSG00000015676	ENSMUSG00000053838	Nudcd3	ortholog_one2one	1
ENSG00000017260	ENSMUSG00000032570	Atp2c1	ortholog_one2one	1
ENSG00000021574	ENSMUSG00000024068	Spast	ortholog_one2one	1
ENSG00000021645	ENSMUSG00000066392	Nrxn3	ortholog_one2one	1
ENSG00000022840	ENSMUSG00000041740	Rnf10	ortholog_one2one	1
ENSG00000023572				
ENSG00000025039	ENSMUSG00000028278	Rragd	ortholog_one2one	1
ENSG00000025293	ENSMUSG00000038116	Phf20	ortholog_one2one	1
ENSG00000025770	ENSMUSG00000008690	Ncaph2	ortholog_one2one	1
ENSG00000026559	ENSMUSG00000074575	Kcng1	ortholog_one2one	1
ENSG00000027847	ENSMUSG00000021504	B4galt7	ortholog_one2one	1
ENSG00000028839	ENSMUSG00000071359	Tbpl1	ortholog_one2one	1
ENSG00000029639	ENSMUSG00000036983	Tfb1m	ortholog_one2one	1
ENSG00000033030	ENSMUSG00000029427	Zcchc8	ortholog_one2one	1
ENSG00000033867	ENSMUSG00000021733	Slc4a7	ortholog_one2one	1
ENSG00000034053	ENSMUSG00000030519	Apba2	ortholog_one2one	1
ENSG00000034693	ENSMUSG00000019809	Pex3	ortholog_one2one	1
ENSG00000035115	ENSMUSG00000020669	Sh3yl1	ortholog_one2one	1
ENSG00000036257	ENSMUSG00000004364	Cul3	ortholog_one2one	1
ENSG00000036448	ENSMUSG00000031461	Myom2	ortholog_one2one	1
ENSG00000036530	ENSMUSG00000021259	Cyp46a1	ortholog_one2one	1
ENSG00000037042	ENSMUSG00000045007	Tubg2	ortholog_one2one	1
ENSG00000039319				
ENSG00000040341	ENSMUSG00000025920	Stau2	ortholog_one2one	1
ENSG00000040731	ENSMUSG00000022321	Cdh10	ortholog_one2one	1
ENSG00000041802	ENSMUSG00000022538	Lsg1	ortholog_one2one	1
ENSG00000043093	ENSMUSG00000027708	Dcun1d1	ortholog_one2many	1
ENSG00000043093	ENSMUSG00000113255	Tes3-ps	ortholog_one2many	0
ENSG00000046653	ENSMUSG00000031342	Gpm6b	ortholog_one2one	1
ENSG00000047188	ENSMUSG00000034653	Ythdc2	ortholog_one2one	1
ENSG00000047365	ENSMUSG00000037999	Arap2	ortholog_one2one	1
ENSG00000047597	ENSMUSG00000015342	Xk	ortholog_one2one	1
ENSG00000048052	ENSMUSG00000004698	Hdac9	ortholog_one2one	1
ENSG00000048540	ENSMUSG00000030226	Lmo3	ortholog_one2one	1
ENSG00000048544	ENSMUSG00000034729	Mrps10	ortholog_one2one	1
ENSG00000048991	ENSMUSG00000056211	R3hdm1	ortholog_one2one	1
ENSG00000050165	ENSMUSG00000030772	Dkk3	ortholog_one2one	1
ENSG00000050748	ENSMUSG00000020366	Mapk9	ortholog_one2one	1
ENSG00000051382	ENSMUSG00000032462	Pik3cb	ortholog_one2one	1
ENSG00000052126	ENSMUSG00000030231	Plekha5	ortholog_one2one	1
ENSG00000052802	ENSMUSG00000031604	Msmo1	ortholog_one2one	1
ENSG00000053770	ENSMUSG00000036291	Ap5m1	ortholog_one2one	1
ENSG00000054267	ENSMUSG00000039219	Arid4b	ortholog_one2one	1
ENSG00000054277	ENSMUSG00000026525	Opn3	ortholog_one2one	1
ENSG00000054523	ENSMUSG00000063077	Kif1b	ortholog_one2one	1
ENSG00000054793	ENSMUSG00000027546	Atp9a	ortholog_one2one	1
ENSG00000054983	ENSMUSG00000021003	Galc	ortholog_one2one	1
ENSG00000055332	ENSMUSG00000024079	Eif2ak2	ortholog_one2one	1
ENSG00000056097	ENSMUSG00000022201	Zfr	ortholog_one2one	1
ENSG00000057663	ENSMUSG00000038160	Atg5	ortholog_one2one	1
ENSG00000060140	ENSMUSG00000032899	Styk1	ortholog_one2one	1
ENSG00000060237	ENSMUSG00000045962	Wnk1	ortholog_one2one	1
ENSG00000060718	ENSMUSG00000027966	Col11a1	ortholog_one2one	1
ENSG00000061337	ENSMUSG00000036306	Lzts1	ortholog_one2one	1
ENSG00000061794	ENSMUSG00000040112	Mrps35	ortholog_one2one	1
ENSG00000061918	ENSMUSG00000028005	Gucy1b1	ortholog_one2one	1
ENSG00000061936	ENSMUSG00000029439	Sfswap	ortholog_one2one	1
ENSG00000062370	ENSMUSG00000087598	Zfp111	ortholog_many2many	0
ENSG00000062370	ENSMUSG00000052675	Zfp112	ortholog_many2many	1
ENSG00000062650	ENSMUSG00000041408	Wapl	ortholog_one2one	1
ENSG00000062725	ENSMUSG00000018481	Appbp2	ortholog_one2one	1
ENSG00000063176	ENSMUSG00000057342	Sphk2	ortholog_one2one	1
ENSG00000064313	ENSMUSG00000037343	Taf2	ortholog_one2one	1
ENSG00000064545	ENSMUSG00000002342	Tmem161a	ortholog_one2one	1
ENSG00000064726	ENSMUSG00000025103	Btbd1	ortholog_one2one	1
ENSG00000064995	ENSMUSG00000024218	Taf11	ortholog_one2one	1
ENSG00000065000	ENSMUSG00000020198	Ap3d1	ortholog_one2one	1
ENSG00000065135	ENSMUSG00000000001	Gnai3	ortholog_one2one	1
ENSG00000065427	ENSMUSG00000031948	Kars	ortholog_one2one	1
ENSG00000065526	ENSMUSG00000040761	Spen	ortholog_one2one	1
ENSG00000065559	ENSMUSG00000033352	Map2k4	ortholog_one2one	1
ENSG00000065613	ENSMUSG00000025060	Slk	ortholog_one2one	1
ENSG00000065665	ENSMUSG00000025816	Sec61a2	ortholog_one2one	1
ENSG00000065833	ENSMUSG00000032418	Me1	ortholog_one2one	1
ENSG00000065989	ENSMUSG00000032177	Pde4a	ortholog_one2one	1
ENSG00000066382	ENSMUSG00000016386	Mpped2	ortholog_one2one	1
ENSG00000066557	ENSMUSG00000063052	Lrrc40	ortholog_one2one	1
ENSG00000066629	ENSMUSG00000058070	Eml1	ortholog_one2one	1
ENSG00000066777	ENSMUSG00000067851	Arfgef1	ortholog_one2one	1
ENSG00000067048	ENSMUSG00000069045	Ddx3y	ortholog_one2one	1
ENSG00000067208	ENSMUSG00000011831	Evi5	ortholog_one2one	1
ENSG00000067221	ENSMUSG00000032333	Stoml1	ortholog_one2one	1
ENSG00000067248	ENSMUSG00000042426	Dhx29	ortholog_one2one	1
ENSG00000067606	ENSMUSG00000029053	Prkcz	ortholog_one2one	1
ENSG00000067798	ENSMUSG00000020181	Nav3	ortholog_one2one	1
ENSG00000067836	ENSMUSG00000022540	Rogdi	ortholog_one2one	1
ENSG00000068024	ENSMUSG00000026313	Hdac4	ortholog_one2one	1
ENSG00000068078	ENSMUSG00000054252	Fgfr3	ortholog_one2one	1
ENSG00000068383	ENSMUSG00000025477	Inpp5a	ortholog_one2one	1
ENSG00000068615	ENSMUSG00000052852	Reep1	ortholog_one2one	1
ENSG00000068878	ENSMUSG00000040850	Psme4	ortholog_one2one	1
ENSG00000069020	ENSMUSG00000034751	Mast4	ortholog_one2one	1
ENSG00000069275	ENSMUSG00000026434	Nucks1	ortholog_one2one	1
ENSG00000069424	ENSMUSG00000028931	Kcnab2	ortholog_one2one	1
ENSG00000069667	ENSMUSG00000032238	Rora	ortholog_one2one	1
ENSG00000069966	ENSMUSG00000032192	Gnb5	ortholog_one2one	1
ENSG00000070087	ENSMUSG00000027805	Pfn2	ortholog_one2one	1
ENSG00000070190	ENSMUSG00000028159	Dapp1	ortholog_one2one	1
ENSG00000070413	ENSMUSG00000092470	Gm20518	ortholog_one2many	1
ENSG00000070413	ENSMUSG00000003166	Dgcr2	ortholog_one2many	1
ENSG00000070718	ENSMUSG00000031539	Ap3m2	ortholog_one2one	1
ENSG00000070831	ENSMUSG00000006699	Cdc42	ortholog_one2one	1
ENSG00000071242	ENSMUSG00000023809	Rps6ka2	ortholog_one2one	1
ENSG00000071794	ENSMUSG00000002428	Hltf	ortholog_one2one	1
ENSG00000072401	ENSMUSG00000019927	Ube2d1	ortholog_one2one	1
ENSG00000072657	ENSMUSG00000050663	Trhde	ortholog_one2one	1
ENSG00000073331	ENSMUSG00000028028	Alpk1	ortholog_one2one	1
ENSG00000073464	ENSMUSG00000000605	Clcn4	ortholog_one2one	1
ENSG00000073910	ENSMUSG00000056602	Fry	ortholog_one2one	1
ENSG00000073921	ENSMUSG00000039361	Picalm	ortholog_one2one	1
ENSG00000074266	ENSMUSG00000030619	Eed	ortholog_one2one	1
ENSG00000074356	ENSMUSG00000020783	Ncbp3	ortholog_one2one	1
ENSG00000074590	ENSMUSG00000020032	Nuak1	ortholog_one2one	1
ENSG00000074603	ENSMUSG00000032393	Dpp8	ortholog_one2one	1
ENSG00000074621	ENSMUSG00000034452	Slc24a1	ortholog_one2one	1
ENSG00000075089	ENSMUSG00000019948	Actr6	ortholog_one2one	1
ENSG00000076003	ENSMUSG00000026355	Mcm6	ortholog_one2one	1
ENSG00000076053	ENSMUSG00000042396	Rbm7	ortholog_one2many	1
ENSG00000077092	ENSMUSG00000017491	Rarb	ortholog_one2one	1
ENSG00000077097	ENSMUSG00000017485	Top2b	ortholog_one2one	1
ENSG00000077147	ENSMUSG00000025016	Tm9sf3	ortholog_one2one	1
ENSG00000077235	ENSMUSG00000032777	Gtf3c1	ortholog_one2one	1
ENSG00000077254	ENSMUSG00000025437	Usp33	ortholog_one2one	1
ENSG00000077264	ENSMUSG00000031284	Pak3	ortholog_one2one	1
ENSG00000077279	ENSMUSG00000031285	Dcx	ortholog_one2one	1
ENSG00000077454	ENSMUSG00000093445	Lrch4	ortholog_one2many	1
ENSG00000077454	ENSMUSG00000029720	Gm20605	ortholog_one2many	1
ENSG00000077585	ENSMUSG00000021306	Gpr137b	ortholog_one2one	1
ENSG00000078114	ENSMUSG00000053702	Nebl	ortholog_one2one	1
ENSG00000078140	ENSMUSG00000029203	Ube2k	ortholog_one2one	1
ENSG00000078295	ENSMUSG00000021536	Adcy2	ortholog_one2one	1
ENSG00000078725	ENSMUSG00000028351	Brinp1	ortholog_one2one	1
ENSG00000079102	ENSMUSG00000006586	Runx1t1	ortholog_one2one	1
ENSG00000079739	ENSMUSG00000025791	Pgm1	ortholog_one2one	1
ENSG00000079819	ENSMUSG00000019978	Epb41l2	ortholog_one2one	1
ENSG00000080345	ENSMUSG00000036202	Rif1	ortholog_one2one	1
ENSG00000080802	ENSMUSG00000038784	Cnot4	ortholog_one2one	1
ENSG00000081154	ENSMUSG00000071533	Pcnp	ortholog_one2one	1
ENSG00000081189	ENSMUSG00000005583	Mef2c	ortholog_one2one	1
ENSG00000081377	ENSMUSG00000033102	Cdc14b	ortholog_one2many	1
ENSG00000081692	ENSMUSG00000036819	Jmjd4	ortholog_one2one	1
ENSG00000081760	ENSMUSG00000029482	Aacs	ortholog_one2one	1
ENSG00000081803	ENSMUSG00000017978	Cadps2	ortholog_one2one	1
ENSG00000081870	ENSMUSG00000063172	Hspb11	ortholog_one2one	1
ENSG00000081923	ENSMUSG00000039529	Atp8b1	ortholog_one2one	1
ENSG00000082014	ENSMUSG00000028949	Smarcd3	ortholog_one2one	1
ENSG00000082196	ENSMUSG00000058914	C1qtnf3	ortholog_one2many	1
ENSG00000082213	ENSMUSG00000022195	6030458C11Rik	ortholog_one2one	1
ENSG00000082258	ENSMUSG00000026349	Ccnt2	ortholog_one2one	1
ENSG00000082898	ENSMUSG00000020290	Xpo1	ortholog_one2one	1
ENSG00000083067	ENSMUSG00000052387	Trpm3	ortholog_one2one	1
ENSG00000083097	ENSMUSG00000034973	Dop1a	ortholog_one2one	1
ENSG00000083223	ENSMUSG00000035248	Tut7	ortholog_one2one	1
ENSG00000083454	ENSMUSG00000005950	P2rx5	ortholog_one2many	1
ENSG00000083642	ENSMUSG00000034021	Pds5b	ortholog_one2one	1
ENSG00000084090	ENSMUSG00000027367	Stard7	ortholog_one2one	1
ENSG00000084676	ENSMUSG00000020647	Ncoa1	ortholog_one2one	1
ENSG00000085365	ENSMUSG00000021687	Scamp1	ortholog_one2one	1
ENSG00000085415	ENSMUSG00000079614	Seh1l	ortholog_one2one	1
ENSG00000085433	ENSMUSG00000040389	Wdr47	ortholog_one2one	1
ENSG00000085491	ENSMUSG00000040322	Slc25a24	ortholog_one2one	1
ENSG00000085760	ENSMUSG00000020459	Mtif2	ortholog_one2one	1
ENSG00000085788	ENSMUSG00000061313	Ddhd2	ortholog_one2one	1
ENSG00000085832	ENSMUSG00000028552	Eps15	ortholog_one2one	1
ENSG00000086015	ENSMUSG00000003810	Mast2	ortholog_one2one	1
ENSG00000086065	ENSMUSG00000028419	Chmp5	ortholog_one2one	1
ENSG00000086189	ENSMUSG00000021692	Dimt1	ortholog_one2one	1
ENSG00000086300	ENSMUSG00000038301	Snx10	ortholog_one2one	1
ENSG00000086475	ENSMUSG00000026662	Sephs1	ortholog_one2one	1
ENSG00000086717	ENSMUSG00000062168	Ppef1	ortholog_one2one	1
ENSG00000087053	ENSMUSG00000031918	Mtmr2	ortholog_one2one	1
ENSG00000087095	ENSMUSG00000017376	Nlk	ortholog_one2one	1
ENSG00000087502	ENSMUSG00000030304	Ergic2	ortholog_one2one	1
ENSG00000089123	ENSMUSG00000039033	Tasp1	ortholog_one2one	1
ENSG00000089199	ENSMUSG00000027350	Chgb	ortholog_one2one	1
ENSG00000089335				
ENSG00000089737	ENSMUSG00000041645	Ddx24	ortholog_one2one	1
ENSG00000090612				
ENSG00000090686	ENSMUSG00000043411	Usp48	ortholog_one2one	1
ENSG00000091039	ENSMUSG00000020189	Osbpl8	ortholog_one2one	1
ENSG00000091127	ENSMUSG00000057541	Pus7	ortholog_one2one	1
ENSG00000091513	ENSMUSG00000032554	Trf	ortholog_one2one	1
ENSG00000091651	ENSMUSG00000031697	Orc6	ortholog_one2one	1
ENSG00000091664	ENSMUSG00000030500	Slc17a6	ortholog_one2one	1
ENSG00000092096	ENSMUSG00000022199	Slc22a17	ortholog_one2one	1
ENSG00000092847	ENSMUSG00000041530	Ago1	ortholog_one2one	1
ENSG00000094916	ENSMUSG00000009575	Cbx5	ortholog_one2one	1
ENSG00000096063	ENSMUSG00000004865	Srpk1	ortholog_one2one	1
ENSG00000096080	ENSMUSG00000023967	Mrps18a	ortholog_one2one	1
ENSG00000096092	ENSMUSG00000025933	Tmem14a	ortholog_one2one	1
ENSG00000096654				
ENSG00000097021	ENSMUSG00000028937	Acot7	ortholog_one2one	1
ENSG00000097046	ENSMUSG00000029283	Cdc7	ortholog_one2one	1
ENSG00000099139	ENSMUSG00000024713	Pcsk5	ortholog_one2one	1
ENSG00000099308	ENSMUSG00000031833	Mast3	ortholog_one2one	1
ENSG00000099326	ENSMUSG00000030380	Mzf1	ortholog_one2one	1
ENSG00000099622	ENSMUSG00000045193	Cirbp	ortholog_one2one	1
ENSG00000099715	ENSMUSG00000034755	Pcdh11x	ortholog_one2many	1
ENSG00000099800	ENSMUSG00000020219	Timm13	ortholog_one2one	1
ENSG00000099804	ENSMUSG00000020307	Cdc34	ortholog_one2many	1
ENSG00000099804	ENSMUSG00000020870	Cdc34b	ortholog_one2many	0
ENSG00000100034	ENSMUSG00000026181	Ppm1f	ortholog_one2one	1
ENSG00000100083	ENSMUSG00000033128	Gga1	ortholog_one2one	1
ENSG00000100095	ENSMUSG00000058153	Sez6l	ortholog_one2one	1
