Gene name	fcatus_dNdS
0610040J01Rik	0.4091495484767292
1700003F12Rik	0.2423964341898269
1700017B05Rik	0.1836648921266461
2210016F16Rik	0.14559934653869716
2510039O18Rik	0.0495813133539004
2610528A11Rik	1.005428226779252
4930404N11Rik	0.16205444849845635
5430427O19Rik	0.20958381694578013
Aagab	0.13113222239526556
AB124611	0.1332193846772572
Abca9	0.1999408896113492
Abcc3	0.2104776222967503
Abcd1	0.04435437174290677
Abhd12	0.191086513253714
Abhd15	0.06444776863625032
Abi3	0.13338368580060422
Acads	0.05766904153784111
Acp5	0.08048554198237204
Actb	0.007205542725173209
Adam15	0.166647065741503
Adam33	0.21556947725172024
Adam8	0.2233890214797136
Adamts16	0.1430471707766295
Adap2	0.13004115226337448
Adcy7	0.07822376738305943
Adrb2	0.08440953268539475
Afp	0.35611510791366896
AI467606	0.29750415973377703
AI661453	0.32380658118337713
Aif1	0.16081303243162454
Akna	0.41707156927117534
Aldh16a1	0.1495661051556917
Alox5	0.07286166842661035
Alox5ap	0.03097426470588235
Amz1	0.09607132906101977
Angptl7	0.06143904320987655
Anks6	0.10464956796049926
Aoah	0.2861712135465664
Ap1b1	0.024602767811378774
Apbb1ip	0.2307321772639692
Apobec1	0.30373978629792586
Apobec2	0.025377612775263184
Apobec3	0.27296700931058604
Apobr	0.7099655617735686
Arap1	0.08824888341290621
Arap3	0.12983696719701435
Arhgap19	0.14026655014201442
Arhgap22	0.1125068870523416
Arhgap25	0.10053929121725733
Arhgap27	0.0951276102088167
Arhgap30	0.27005043110460386
Arhgap4	0.11298228969006957
Arhgap9	0.2059603682321735
Arhgdib	0.058982614294913076
Arhgef6	0.11676965693586193
Arid3a	0.08021417644059152
Arl5c	0.10093590806776448
Armc3	0.11066736731476616
Armc5	0.13970993207270058
Arpc4	0.011985898942420685
Arrb2	0.04519604908709967
Arsb	0.20007966011683484
Asb10	0.174341295247476
Asb2	0.0590791896869245
Atf3	0.04054320015744932
Atp8a2	0.04038288962010171
Aup1	0.3673965936739659
B2m	0.010177429267293378
B3gnt8	0.16650687120485774
B4galnt1	0.13442622950819672
B4galt1	0.15365329512893985
B4galt5	0.0423609149957639
Bank1	0.3864921154418328
Batf	0.030171791540349355
Batf3	0.08023699538059853
BC049352	0.1365954733822123
Bcl2l1	0.12843711193897464
Bcl3	0.1105268805665844
Bco2	0.20297384450017916
Bcor	0.10574674239893082
Bhlhe41	0.14848679974243398
Bid	0.2673302107728337
Bik	0.1356260747225262
Bin1	0.04099854227405248
Blnk	0.16837737497270147
Bmf	0.4028885535675792
Bri3	0.07169410515135423
Bst2	0.2406783231514641
Btbd19	0.06725403817914832
Btg2	0.017130901006930817
Btk	0.02682427824505569
C1qb	0.12592945662535746
C1qc	0.1507440155272806
C2	0.1981824971990539
C3ar1	0.4243579121789561
C5ar1	0.10437986082685224
Cables1	0.1376470588235294
Cacna1s	0.06360038214821892
Calhm2	0.030706378492356357
Camk1	0.03709795321637426
Camp	0.5945201037613489
Capn3	0.04608585858585858
Card11	0.052967246784131436
Card9	0.05438116100766704
Cass4	0.25359864521591874
Cbr2	0.09353380684438704
Ccdc162	0.3194559628462432
Ccdc86	0.3846648104519169
Ccdc88b	0.1508064516129032
Ccl12	0.42989455685380457
Ccl2	0.4407326007326007
Ccl22	0.2196946719239713
Ccl3	0.15255767301905718
Ccl4	0.3338655596359573
Ccl5	0.18149159361977296
Ccl8	0.4792265482100863
Ccr3	0.14711942635786696
Ccr6	0.05207029916960528
Ccr7	0.06332722459784157
Cd101	0.32669839896148856
Cd14	0.2912812210915819
Cd163	0.26831755280407865
Cd180	0.2510293200249532
Cd19	0.29536625971143177
Cd2	0.5370732767993042
Cd22	0.35908810844115835
Cd300a	0.5665452507705239
