Gene name	mdomestica_dNdS
1500009L16Rik	0.17112569409389194
1700001L19Rik	0.15923129718599865
4930444P10Rik	0.3099511725465924
4930447C04Rik	0.3110550651534258
4930452B06Rik	0.19155759729565747
4930539E08Rik	0.2820754125101951
4931428F04Rik	0.0965199286139203
5330417C22Rik	0.09918563374399668
6430548M08Rik	0.05636580992229528
6430571L13Rik	0.10558932189250388
9530077C05Rik	0.06613444333996024
A830018L16Rik	0.08436621185293201
Abca5	0.08665511265164644
Abcc8	0.04123219518844135
Abcg4	0.03926288702581555
Acbd7	0.07296564195298373
Ache	0.08102516952074472
Actl6b	0.0588605823068309
Adam22	0.10257934149530487
Adamts15	0.040139860139860144
Adamts17	0.06635543106131342
Adarb2	0.08049494411921232
Adcy1	0.05607360437647644
Adcy8	0.030072703238598814
Adcyap1	0.1978039722267076
Add2	0.08009882840519647
Adprhl1	0.05437696701247231
Adra2c	0.007800712373620053
Aff2	0.21916946308724836
Aff3	0.10593747712131196
Agtpbp1	0.10752688172043012
Ahi1	0.2400351898220207
Ajap1	0.15506772536198038
Aldh1b1	0.0012165617117658163
Allc	0.15256110244409776
Aloxe3	0.06948657454218628
Amigo1	0.12798424809254244
Amn	0.07407144177055053
Amph	0.12752425911355889
Angpt1	0.04366812227074236
Ank1	0.0906974939871208
Ankrd34a	0.03490093372808017
Ankrd34b	0.07793023986592648
Ankrd35	0.08879978615343491
Ankrd42	0.17334533993696533
Ankrd45	0.21676910805611602
Ankrd55	0.1575924075924076
Ano5	0.13115031279941386
Aox4	0.14128832547169812
Ap3b2	0.055322588794018086
Apba1	0.053930463816505785
Apc2	0.0025255435470043427
Arg2	0.13118625872249062
Arhgap15	0.1560260043340557
Arhgap20	0.1664529366504232
Arhgap33	0.09706703910614524
Arhgap44	0.10226197643416186
Arhgdig	0.05551382016941688
Arx	0.034429560505719436
Asxl3	0.1712860310421286
Atcay	0.03398477356565418
Atg9b	0.11321118611378975
Atl1	0.040617462614568264
Atp2b2	0.03156365557316429
Atp2b3	0.044891013694190095
Atp6ap1l	0.15488092122481026
Atp6v1g2	0.045184953956609965
Auts2	0.07088607594936709
B3galnt1	0.11725102283909054
B3galt1	0.020480029654341585
B3galt2	0.04878904878904879
B3gnt4	0.10881801125703564
B4galt6	0.06312872100184767
Baiap3	0.10779807015364228
Barhl2	0.059961624560281424
Bcl11a	0.03236098450319052
Bcl11b	0.03345516932716694
Begain	0.07093014624007128
Bend4	0.10088463944240908
Bend6	0.13862935736305432
Bfsp1	0.1829084773587487
Bhlhe22	0.034480657934815716
Bmp3	0.16243070808492835
Bmp5	0.05599827697609305
Bmp6	0.08715032277897326
Bsn	0.10566678676205672
C1qtnf1	0.08093432166867782
C2cd4c	0.05443904118431811
C530008M17Rik	0.1964110929853181
Cabp7	0.040803029686036565
Cacna1a	0.04862532904358
Cacna1b	0.07385601430913696
Cacna1c	0.07649498035792231
Cacna1g	0.08327633378932969
Cacna2d1	0.06366162932082682
Cacna2d3	0.02120311621556501
Cacnb2	0.06605019815059446
Cacnb3	0.02596975673898751
Cacng2	0.05251306070978202
Cacng3	0.022703914790245725
Cadm3	0.13211546225272505
Calb1	0.03744359068179046
Calb2	0.055390904445579967
Caln1	0.0032186184699182965
Caly	0.16593028964162987
Camk1g	0.10005031868500504
Camk2b	0.027541064591824132
Camk2n2	0.009033502894229082
Camkv	0.05652843933875035
Car10	0.0031147796293412248
Car11	0.026570985259891388
Cbln1	0.010215170615083676
Cbln2	0.011247896554778142
Cbln4	0.02882066193449072
Ccbe1	0.08461612008796253
Ccdc116	0.011375667210728307
Ccdc120	0.09748511805230417
Ccdc148	0.2338856993736952
Ccdc152	0.1562675310104095
Ccdc6	0.0019331003903747762
Ccdc73	0.4986532924677255
Cck	0.10298563325943627
Ccnf	0.12798325191905094
Cd200	0.3062802687080144
Cd24a	0.36768504498084975
Cd274	0.2164873434170175
Cdh12	0.05163003392830802
Cdh18	0.061460863067438816
Cdh4	0.029476522129858462
Cdh7	0.02044309213654084
Cdh8	0.03118527042577675
Cdh9	0.04044739237872285
Cdhr1	0.11618981158408932
Cdk14	0.03047223994894703
Cdk5r1	0.03424657534246575
