Gene stable ID	Mouse gene stable ID	Mouse gene name	Mouse homology type	Mouse orthology confidence [0 low, 1 high]
ENSG00000005249	ENSMUSG00000002997	Prkar2b	ortholog_one2one	1
ENSG00000006451	ENSMUSG00000008859	Rala	ortholog_one2one	1
ENSG00000008056	ENSMUSG00000037217	Syn1	ortholog_one2one	1
ENSG00000008256	ENSMUSG00000018001	Cyth3	ortholog_one2one	1
ENSG00000013016	ENSMUSG00000024065	Ehd3	ortholog_one2one	1
ENSG00000018189	ENSMUSG00000029291	Rufy3	ortholog_one2one	1
ENSG00000018625	ENSMUSG00000007097	Atp1a2	ortholog_one2one	1
ENSG00000020129	ENSMUSG00000028833	Ncdn	ortholog_one2one	1
ENSG00000022355	ENSMUSG00000010803	Gabra1	ortholog_one2one	1
ENSG00000023228	ENSMUSG00000025968	Ndufs1	ortholog_one2one	1
ENSG00000038427	ENSMUSG00000021614	Vcan	ortholog_one2one	1
ENSG00000053371				
ENSG00000055163	ENSMUSG00000020340	Cyfip2	ortholog_one2one	1
ENSG00000058272	ENSMUSG00000019907	Ppp1r12a	ortholog_one2one	1
ENSG00000064042	ENSMUSG00000037736	Limch1	ortholog_one2one	1
ENSG00000064787	ENSMUSG00000013523	Bcas1	ortholog_one2one	1
ENSG00000065609	ENSMUSG00000033419	Snap91	ortholog_one2one	1
ENSG00000067715	ENSMUSG00000035864	Syt1	ortholog_one2one	1
ENSG00000069329	ENSMUSG00000031696	Vps35	ortholog_one2one	1
ENSG00000070808	ENSMUSG00000024617	Camk2a	ortholog_one2one	1
ENSG00000070961	ENSMUSG00000019943	Atp2b1	ortholog_one2one	1
ENSG00000072071	ENSMUSG00000013033	Adgrl1	ortholog_one2one	1
ENSG00000073969	ENSMUSG00000034187	Nsf	ortholog_one2one	1
ENSG00000075142	ENSMUSG00000003161	Sri	ortholog_one2one	1
ENSG00000075618	ENSMUSG00000029581	Fscn1	ortholog_one2one	1
ENSG00000075711	ENSMUSG00000022770	Dlg1	ortholog_one2one	1
ENSG00000078018	ENSMUSG00000015222	Map2	ortholog_one2one	1
ENSG00000078053	ENSMUSG00000021314	Amph	ortholog_one2one	1
ENSG00000078668	ENSMUSG00000008892	Vdac3	ortholog_one2one	1
ENSG00000079215	ENSMUSG00000005360	Slc1a3	ortholog_one2one	1
ENSG00000079950	ENSMUSG00000019998	Stx7	ortholog_one2one	1
ENSG00000082397	ENSMUSG00000024044	Epb41l3	ortholog_one2one	1
ENSG00000083720	ENSMUSG00000022186	Oxct1	ortholog_one2one	1
ENSG00000086061				
ENSG00000087258				
ENSG00000087274	ENSMUSG00000029106	Add1	ortholog_one2one	1
ENSG00000087460	ENSMUSG00000027523	Gnas	ortholog_one2one	0
ENSG00000088367	ENSMUSG00000027624	Epb41l1	ortholog_one2one	1
ENSG00000089169	ENSMUSG00000029608	Rph3a	ortholog_one2one	1
ENSG00000091129	ENSMUSG00000020598	Nrcam	ortholog_one2one	1
ENSG00000091157	ENSMUSG00000040560	Wdr7	ortholog_one2one	1
ENSG00000091428	ENSMUSG00000049044	Rapgef4	ortholog_one2one	1
ENSG00000092964	ENSMUSG00000022048	Dpysl2	ortholog_one2one	1
ENSG00000095637	ENSMUSG00000025006	Sorbs1	ortholog_one2one	1
ENSG00000100285	ENSMUSG00000020396	Nefh	ortholog_one2one	1
ENSG00000100347	ENSMUSG00000022437	Samm50	ortholog_one2one	1
ENSG00000100554	ENSMUSG00000021114	Atp6v1d	ortholog_one2one	1
ENSG00000101558	ENSMUSG00000024091	Vapa	ortholog_one2one	1
ENSG00000102003	ENSMUSG00000031144	Syp	ortholog_one2one	1
ENSG00000103316	ENSMUSG00000030905	Crym	ortholog_one2one	1
ENSG00000104093	ENSMUSG00000041268	Dmxl2	ortholog_one2one	1
ENSG00000104722				
ENSG00000104863	ENSMUSG00000003872	Lin7b	ortholog_one2one	1
ENSG00000105649	ENSMUSG00000031840	Rab3a	ortholog_one2one	1
ENSG00000106089	ENSMUSG00000007207	Stx1a	ortholog_one2one	1
ENSG00000106278	ENSMUSG00000068748	Ptprz1	ortholog_one2one	1
