Gene name	fcatus_dNdS
4930444P10Rik	0.25546426910556497
4930447C04Rik	0.3569192235441453
4930452B06Rik	0.20499078881259425
4930539E08Rik	0.4181059024482824
4931428F04Rik	0.13236017713629653
5330417C22Rik	0.10612930310663307
6430548M08Rik	0.04188305119039591
6430571L13Rik	0.2320927622966149
9530077C05Rik	0.13283006745904272
A830018L16Rik	0.08255574885339237
Abca5	0.09427385892116184
Abcc8	0.02900740293095633
Abcg4	0.0412400455062571
Ablim3	0.015007398013105053
Ache	0.08090503942406581
Acr	0.2757697456492637
Acvr1b	0.05166535536323105
Adam22	0.0961853978671042
Adamts14	0.10441191524209233
Adamts15	0.04968767745599092
Adamts17	0.06320284697508897
Adarb1	0.04331078541901541
Adarb2	0.05490170293904925
Adcy1	0.05316813048933501
Adcy8	0.02723800033217074
Adcyap1	0.17438433013216695
Add2	0.04718693284936479
Adprhl1	0.10321906751495584
Adra2c	0.059797072521623425
Aff2	0.13656655844155846
Aff3	0.10412792859799183
Agap2	0.05023442732752846
Agbl4	0.13795347323897836
Agtpbp1	0.0819697201406943
Ahi1	0.16906880561473867
AI593442	0.1638967468175389
Ajap1	0.14016344598620922
Ak5	0.07816923560868197
Aldh1b1	0.04521643231320651
Allc	0.17432905484247374
Aloxe3	0.0945449777078416
Amigo1	0.10033210977101904
Amn	0.2268542531120332
Amph	0.14353089136928154
Angpt1	0.040128410914927776
Ank1	0.07578848266122706
Ankrd24	0.1153675053136276
Ankrd34a	0.0324194516710026
Ankrd34b	0.13853616778427738
Ankrd35	0.16368869168965106
Ankrd42	0.12833195932948613
Ankrd45	0.2344587740907115
Ankrd55	0.12625883060273566
Ano5	0.16249367728882147
Ap3b2	0.06052066559312936
Apba1	0.041219407471017606
Apc2	0.05782678859601936
Arg2	0.20064119690088164
Arhgap15	0.1945459657014338
Arhgap20	0.20916204760352136
Arhgap33	0.1096858152072876
Arhgap36	0.26345135210482296
Arhgap44	0.04396739754333601
Arhgdig	0.1233974358974359
Armcx1	0.1689593301435407
Arx	0.022156133828996283
Asphd1	0.1704625498943414
Asxl3	0.19948936170212764
Atcay	0.02950661077071912
Atg9b	0.1219746754287546
Atl1	0.03929568391668456
Atp1a3	0.0047278303092256595
Atp2b2	0.0112342019035731
Atp2b3	0.04175458078845087
Atp6ap1l	0.21385692846423213
Atp6v1g2	0.08664616098891531
Auts2	0.04964114832535885
B3galt1	0.002408394976776191
B3galt2	0.07612695492180313
B3gnt4	0.1160622823191969
B4galnt4	0.11808800623052962
B4galt6	0.04413714718696723
B830017H08Rik	0.13450997588248192
Baiap2l2	0.050907091808686085
Barhl2	0.05076380728554642
Basp1	0.0941190504592628
Bcl11a	0.015636105188343997
Bcl11b	0.03975121687398594
Begain	0.06972165040723173
Bend4	0.1820175438596491
Bend6	0.16567406605305898
Bfsp1	0.277557856272838
Bhlhe22	0.021657250470809797
Bmp3	0.24413145539906106
Bmp5	0.057581573896353176
Bmp6	0.09753019650261403
Bsn	0.10998688401723816
Btbd11	0.027098614506927462
C2cd4c	0.045724355407160085
C530008M17Rik	0.2502946624010776
Cacna1a	0.04391080617495712
Cacna1b	0.05939348181703787
Cacna1c	0.046650973678579066
Cacna1g	0.0448526270824434
Cacna1i	0.040207094073584485
Cacna2d1	0.02993246942872787
Cacna2d2	0.029656214582546282
Cacna2d3	0.023949819425964646
Cacnb2	0.09074733096085408
Cacnb3	0.0062312485575813535
Cacng2	0.01137884872824632
Cacng3	0.00757439134355275
Cacng5	0.12437206287473668
Cadm3	0.04782487451199108
Cadps	0.010411736867013726
Calb1	0.029543039319872483
Calb2	0.009003939223410242
Caly	0.12516437537358038
Camk1g	0.057239495251723685
Camk2b	0.023204147124166876
Camk4	0.2539165818921668
Camkv	0.08073794881967862
Camta1	0.07556427870461238
Car10	0.12954830614805524
Car11	0.01922186197313571
Cbln1	0.2404933196300103
Cbln4	0.019121365360303413
Ccbe1	0.1572590584175499
Ccdc112	0.13961127840131402
Ccdc116	0.4079239943400041
Ccdc120	0.09616423554835224
Ccdc148	0.2625766871165644
Ccdc6	0.017895299145299144
Ccdc73	0.5244833364364178
Cck	0.1545344252350622
Ccnf	0.11322110449599672
Cd200	0.18677951262220924
Cd274	0.2697267128560431
Cdh12	0.04516692123063496
