MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	protein coding gene	2	69238282-69342616	39.69	-	
MGI:1914381	Acbd4	acyl-Coenzyme A binding domain containing 4	protein coding gene	11	103101688-103112199	66.71	+	
MGI:1329033	Agxt	alanine-glyoxylate aminotransferase	protein coding gene	1	93135240-93145421	47.0	+	
MGI:98229	Apcs	serum amyloid P-component	protein coding gene	1	172893961-172895041	80.33	-	
MGI:87878	Apoc4	apolipoprotein C-IV	protein coding gene	7	19678084-19681460	9.94	-	
MGI:88058	Apoh	apolipoprotein H	protein coding gene	11	108395297-108414396	71.8	+	
MGI:2444921	Apol8	apolipoprotein L 8	protein coding gene	15	77747798-77757003	36.79	-	
MGI:1915566	Apoo	apolipoprotein O	protein coding gene	X	94367117-94417093	41.56	+	
MGI:88081	Asgr1	asialoglycoprotein receptor 1	protein coding gene	11	70054085-70057894	42.98	+	
MGI:2182073	Btnl10	butyrophilin-like 10	protein coding gene	11	58917877-58926965	36.37	+	
MGI:2668347	C8a	complement component 8, alpha polypeptide	protein coding gene	4	104815679-104876398	48.69	-	
MGI:88237	C8g	complement component 8, gamma polypeptide	protein coding gene	2	25498651-25501719	17.31	-	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	protein coding gene	7	24897511-24902197	13.49	+	
MGI:1915500	Ciao2a	cytosolic iron-sulfur assembly component 2A	protein coding gene	9	66126611-66138955	35.73	+	
MGI:1859834	Clec4f	C-type lectin domain family 4, member f	protein coding gene	6	83644542-83656116	35.94	-	
MGI:88563	Ctsg	cathepsin G	protein coding gene	14	56099885-56102574	28.19	-	
MGI:1919834	Cul4b	cullin 4B	protein coding gene	X	38533274-38576196	22.81	-	
MGI:88589	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2	protein coding gene	9	57676937-57683655	31.3	-	
MGI:105055	Cyp2a12	cytochrome P450, family 2, subfamily a, polypeptide 12	protein coding gene	7	27029090-27036818	15.77	+	
MGI:106099	Cyp3a16	cytochrome P450, family 3, subfamily a, polypeptide 16	protein coding gene	5	145436309-145469723	85.17	-	
MGI:106091	Cyp7a1	cytochrome P450, family 7, subfamily a, polypeptide 1	protein coding gene	4	6265612-6275633	2.91	-	
MGI:2142979	Dennd4a	DENN/MADD domain containing 4A	protein coding gene	9	64811340-64919667	34.93	+	
MGI:2652816	Dhrs11	dehydrogenase/reductase (SDR family) member 11	protein coding gene	11	84820856-84828994	51.34	-	
MGI:1914978	Dph2	DPH2 homolog	protein coding gene	4	117888643-117892003	53.74	-	
MGI:99481	F11	coagulation factor XI	protein coding gene	8	45241174-45262031	25.14	-	
MGI:1926188	Fbxo34	F-box protein 34	protein coding gene	14	47472561-47531962	24.6	+	
MGI:95498	Fcgr1	Fc receptor, IgG, high affinity I	protein coding gene	3	96282909-96293969	41.72	-	
