Gene name	hsapiens_dNdS
1700001C19Rik	0.24480699688840304
1700020L24Rik	0.17676847602468745
2310030G06Rik	0.6906914893617021
4921507P07Rik	0.2643697765648985
4921524J17Rik	0.025076990761108663
4930523C07Rik	0.3031526336024606
4931406P16Rik	0.0862316757688991
A3galt2	0.23620916596864905
A4galt	0.09207180830572463
Abca4	0.12829882257409664
Abcc4	0.09715221774193547
Abcc6	0.15647134578235672
Abcc9	0.019180584551148225
Abhd2	0.010906040268456376
Ablim1	0.0933786078098472
Acacb	0.06715021057557323
Ace2	0.2572767636901825
Acer2	0.06554160125588697
Acss3	0.09300132050556498
Actn1	0.006594521474467365
Actn4	0.006863492755202092
Acvrl1	0.0725322436470438
Adam10	0.045103413904809375
Adamts8	0.15395745912313702
Adamts9	0.09772226304188096
Adamtsl2	0.053244752551511655
Adcy4	0.06188974012317861
Adm	0.2656269038625564
Adora2a	0.10164497913086178
Afap1l1	0.08649657747355319
Agfg1	0.06648834543370273
Akap12	0.2945764556502811
Amdhd1	0.13429313193297146
Angptl4	0.12205769066164515
Ankrd37	0.27451669595782074
Ano1	0.030761836097092043
Anpep	0.12519657522278527
Antxr2	0.17466945024356298
Anxa1	0.1227210350911586
Anxa11	0.07586837294332724
Anxa2	0.021069127633640952
Anxa3	0.08167417526522308
Anxa4	0.0585017474547941
Anxa5	0.062385626351688574
Anxa6	0.05275823768974454
Anxa7	0.0790529695024077
Aoc3	0.170094795206582
Ap1s3	0.049625468164794
Apcdd1	0.048733568451426734
Apln	0.14737331473733148
Aplnr	0.04811844540407157
Apold1	0.06610858057367967
Apool	0.32503660322108346
Aqp11	0.2504221954161641
Arhgap18	0.1854264197028292
Arhgap28	0.12417700199050682
Arhgap29	0.18543439540866813
Arhgef15	0.16250487709715178
Arhgef5	0.43026048401995204
Arl4a	0.006565800742220953
Arpc3	0.01021853500607042
Art3	0.4359793187347932
Asb4	0.04383075753737015
Aspn	0.11885245901639345
Atox1	0.1607777545473552
Atp10a	0.15094076655052266
Atp11c	0.08288482238966631
Atp13a5	0.1985670419651996
Atp2a3	0.052785109042922634
Atp7a	0.1312591152163345
AU021092	0.2372093023255813
B3gnt2	0.12948740846579745
Bambi	0.05929817977106399
BC028528	0.514640825784706
Bcam	0.15668754605747975
Bche	0.14699276266533567
Bcl10	0.055906906147229964
Bcl6b	0.09094519459888802
Bend5	0.02671118530884808
Best1	0.3217648641377455
Bgn	0.02197928653624856
Birc3	0.18917933130699088
Bmx	0.11154219204655674
Bnip2	0.062237552489502114
Bok	0.0323360531882744
Bpifb1	0.3576318001681278
Bsg	0.14251929300472987
Bspry	0.22022160664819945
C130074G19Rik	0.20352250489236792
Calcrl	0.10629642730810046
Cald1	0.07846741128234129
Calml4	0.0846538187009279
Capg	0.06838263542066847
Capn12	0.10083146363996304
Car4	0.34474842165678204
Car5a	0.1881344239676752
Card10	0.05648975302154492
Casp12	0.4569973029667366
Casp6	0.08267605633802817
Casp7	0.18548122194240665
Casp8	0.41042654028436015
Casq2	0.08719851576994435
Cast	0.3547221744366076
Cav1	0.07986432315757015
Cav2	0.07119255031541004
Ccdc125	0.2491652090952457
Ccdc141	0.31606621226874393
Ccdc85a	0.09879078256901663
Ccl20	0.6160402944595118
Ccne2	0.10911045417898414
Ccng2	0.08576302729528536
Ccnjl	0.07484027989047765
Ccr10	0.10141955835962144
Cd109	0.3091561938958707
Cd151	0.03675719828466408
Cd248	0.2278095238095238
Cd2ap	0.17443502824858756
Cd300lg	0.4863459037711313
Cd320	0.3762263614389307
Cd34	0.4576372315035799
Cd40	0.2745576571079927
Cd69	0.3959358011907844
Cd93	0.17985805408319108
Cdc42ep3	0.06195147134744451
Cdc42ep5	0.058046810273405136
Cdh5	0.20100570807284587
Cdhr4	0.33795592705167177
Cdk1	0.02064782552587431
Cdkn1a	0.13383146533831464
Cdkn1c	0.28314977973568284
Cdkn3	0.11851672321861365
Cep55	0.2532894736842105
Cgnl1	0.11350270524582452
Chrnb1	0.08611803823773898
Chst9	0.19282990083905416
Cish	0.11125697407285852
Cks2	0.034207525655644236
Cldn5	0.03551509186351705
Cldn6	0.05987055016181229
Clec14a	0.24276743664498765
Clec1a	0.3149277688603532
Clec1b	0.3166241096626798
Clec9a	0.3626798082045817
Clic5	0.08555164908756069
Clic6	0.1735894357743097
Cmtm8	0.04219653179190752
Cngb1	0.2127167630057804
Cnn2	0.014997273223050353
Cnot6l	0.0925925925925926
Cnr2	0.12058023572076156
Cobll1	0.3309248554913295
Col14a1	0.10534469403563128
Col18a1	0.20886533365454105
Col28a1	0.18754357425052287
Col4a1	0.08973384030418252
Col4a2	0.17453598176489746
Col4a3	0.2784935579781963
Cox4i2	0.2008179959100204
Cox7b	0.5248380129589634
Cpa1	0.1076904647819837
Cr1l	0.5795541890853191
Crem	0.16537180910099888
Crip2	0.05279073786072231
Crispld1	0.045143638850889185
Crtap	0.06198296085936536
Crybb3	0.07067324638702854
Crybg3	0.4509803921568628
Csf3	0.2208464939987366
Csrp2	0.006636580833554553
Cthrc1	0.056972111553784864
Ctnna1	0.00797120082283363
Ctsh	0.1373939646780698
Ctsw	0.2766242464835901
Cxcr4	0.06114001892147587
Cyp8b1	0.17594862813777
Cytl1	0.11311561759283645
Cyyr1	0.15500519570488394
Dab2	0.2510088781275222
Dcbld1	0.2398452611218569
Ddc	0.08681857513700605
Ddx58	0.20660457239627436
Def6	0.04632768361581921
Dennd2c	0.17513576415826226
Dennd3	0.0936367142306209
Dera	0.06133292849552149
Des	0.015593006772720115
Dgka	0.18977970386421086
