Gene name	mdomestica_dNdS
1700001P01Rik	0.12334914732658032
1700019D03Rik	0.3886560364464693
Aatk	0.12258172814637627
Abca2	0.04548187831410922
Ablim2	0.08289792277303429
Abtb2	0.02568087020528339
Acan	0.2230890464933018
Acss2	0.08195121951219513
Adam12	0.14568158168574402
Adamts2	0.08914197125991294
Adamts4	0.08500380614057347
Adamtsl3	0.15026199113260785
Adamtsl4	0.1789115646258503
Adi1	0.03729725950782998
Ado	0.002503309005847397
Adssl1	0.02273441592456784
Agpat4	0.08831136062574907
Aldh1a2	0.01928597057768209
Aldh1l2	0.05495413602181638
Anln	0.10709790209790213
Ano4	0.02881807794845754
Apbb1	0.09985004851371616
Aplp1	0.05056211041852182
Apod	0.07177525064654408
Arhgef10	0.07529434105582987
Arsg	0.17114436320353682
Aspa	0.02200401573287125
Atp10b	0.15115902091100664
B3galt5	0.03805195997429542
B3gat2	0.09066084107045333
B3gnt7	0.02748492707736872
Bace1	0.03279181708784597
Bace2	0.12938103626313552
Barx2	0.11270174158840154
Bcat1	0.11848068484281707
Bfsp2	0.15214682224991502
Bmp4	0.0887163848073191
Bpgm	0.04900527553549864
Brca1	0.5158035714285714
Btbd16	0.21256905086448094
C1ql1	0.022238741250077437
C1ql2	0.028899969471863237
Cacnb4	0.02362204724409449
Cacng4	0.05032985276770501
Cadm4	0.011589350674435823
Capn5	0.10986408566721582
Capn6	0.1440631308496972
Car14	0.27280921382073103
Carns1	0.07503618794256876
Casr	0.040478053638756485
Ccdc13	0.16815178000426348
Cdc42ep2	0.03534475134864252
Cdh19	0.1671707624448645
Cdk18	0.08112108479755539
Cdo1	0.05288759175731847
Chn2	0.025765713456234574
Chrna4	0.07019370021723388
Chrne	0.08281741601542679
Chst3	0.049571723934232544
Chst5	0.002287871539234461
Chst8	0.023080878079313274
Cldn11	0.02231813875144752
Cldn14	0.035047144636185724
Cmtm5	0.09682852682606194
Cnp	0.12511815760075626
Cntn1	0.05540047240712905
Cntn4	0.052141982864137085
Cntn6	0.13404726735598227
Col13a1	0.12634149951891052
Col1a1	0.13060156931124672
Col3a1	0.10399567060521332
Col9a2	0.0861850443599493
Col9a3	0.020602335586969885
Cpm	0.15778774709098556
Cpox	0.15836194623565866
Cryab	0.005758975128414587
Csmd3	0.021147330295595283
Cspg4	0.10689553867461284
Ctsk	0.08053070040111078
Cyfip2	0.02042365279790244
Cyp27a1	0.1665914221218962
D7Ertd443e	0.3280795172168974
Dbil5	0.002115929221313945
Dbndd2	0.1381086920392222
Dcn	0.12058411387270447
Dct	0.12664998705892505
Ddr1	0.06644833232784624
Depdc1b	0.08900466731792032
Dip2a	0.04561052951652839
Dlk2	0.12936162656485836
Dll1	0.06821065989847716
Dmrta1	0.282205982324949
Dnaic2	0.0564233606726291
Dnajb2	0.005093174279951282
Dock5	0.051333781663304184
Dpp6	0.053586093621680805
Dpy19l1	0.11013473930872876
Dpyd	0.09482020547945204
Dscam	0.02522737115634474
Dusp15	0.03678122380553228
Dusp19	0.1376132930513595
Dusp9	0.08295780417861533
E130308A19Rik	0.036815286624203816
E2f8	0.11282853566958698
E330009J07Rik	0.07069612338474364
Efnb3	0.08365608055770721
Efs	0.13731311059534734
Ehd3	0.009194337875380341
Elovl7	0.12332184863965785
