Gene name	pvampyrus_dNdS
0610040J01Rik	0.3729324988824318
1700003F12Rik	0.2395833333333333
1700017B05Rik	0.2537783375314861
2610528A11Rik	0.7495256166982922
5430427O19Rik	0.2334701322389421
6030468B19Rik	0.19287909836065573
A2m	0.3023292663603233
Aass	0.11487481590574375
AB124611	0.19244077721586367
Abca6	0.3308348030570253
Abcd1	0.043212056988107865
Abhd12	0.140928849233585
Abhd3	0.08119658119658119
Abtb2	0.02687273739905319
Acot11	0.08572119453512272
Acsbg1	0.15912667191188046
Acsl6	0.1072092542863045
Acss1	0.1136848088674151
Acss2	0.11190415498343104
Adam12	0.1848680516563728
Adap2	0.13297763184896366
Adhfe1	0.1093063252436461
Adora1	0.01984152410243267
Adora2b	0.09770603228547152
Adrb2	0.08291565229843906
Aifm3	0.0368533905119271
Aldh1l1	0.06413333333333332
Alox5	0.05442875481386392
Alox5ap	0.028581853563609826
Ampd3	0.03996499416569428
Angptl1	0.057985907222548434
Angptl7	0.07658743828223677
Apbb1ip	0.2151691253166443
Apobec2	0.08270676691729324
Apobr	0.7901081916537867
Aqp9	0.33121289228159456
Arhgap19	0.1569973952166706
Arhgap22	0.11628183765770055
Arhgap30	0.2369876613246348
Arhgap4	0.10535913281329147
Arhgap9	0.1659634317862166
Arl5c	0.08599278942448925
Armc3	0.10181975736568458
Arsb	0.22844175491679275
Asb10	0.21790791427965206
Asb2	0.06481481481481481
Atp10b	0.14615987460815047
Atp13a4	0.16962682099381365
Atp1a2	0.006898454746136866
B3gnt7	0.06739829287218711
Bank1	0.3862306884655767
Barx2	0.11956336346580247
Bcan	0.14819925486408167
Bcas1	0.4584446190102122
Bhlhe41	0.15024348324262388
Blnk	0.11537433155080215
Bmp4	0.05625502276989017
C1qb	0.14053357135773084
C1qc	0.15594426326712124
C1rl	0.2253627760252366
C2	0.19013903192584966
C3ar1	0.4411602717091978
Cables1	0.12083579735856495
Cacna2d4	0.1177100053504548
Camk1	0.03288461538461539
Camk2a	0.004005340453938584
Camp	0.4732081520494618
Capn3	0.054446079461845695
Car5b	0.1356873636183297
Car8	0.011012282930961455
Card9	0.019038759689922486
Casr	0.04548596709525784
Cass4	0.2928741092636579
Ccdc80	0.17567119655286706
Ccdc88b	0.15823228780438922
Ccl3	0.17618729096989966
Ccl4	0.21354781582054308
Ccl5	0.21173633440514472
Ccl8	0.5906346875509871
Ccr5	0.18961533233655026
Cd14	0.31232553145802017
Cd180	0.29885057471264365
Cd22	0.3327986311624425
Cd300lb	0.6289566236811255
Cd37	0.1576490304045966
Cd44	0.3570103857566765
Cd72	0.4674291397314769
Cd74	0.14834318006678654
Cd79b	0.26917808219178085
Cd80	0.5745050364709968
Cd83	0.30563754427390794
Cd86	0.6130429244682206
Cd9	0.07029736812122593
Cdh19	0.21236816874400768
Cdk18	0.06271362758210729
Cdt1	0.1640406162464986
Cebpb	0.11484798000832985
Chadl	0.10308441558441556
Chrdl1	0.12186293436293436
Chst12	0.026363091671659674
Cideb	0.11263096623981372
Cldn10	0.05177228786251342
Clec4a1	0.7922899884925202
Clec4d	0.3647501044131978
Cln3	0.10245741776101937
Clu	0.15926493108728942
Cmtm7	0.15773681954564936
Col11a2	0.12239902080783355
Col16a1	0.16942148760330578
Coro1a	0.0594900849858357
Cpox	0.1683873782172459
Crb2	0.14895529094585486
Cryba4	0.04273504273504273
Cryl1	0.0932386539055264
Csf1	0.5084137312093336
Csf1r	0.20791034937376404
Csf3r	0.3863240418118467
Cspg5	0.1663088356729975
Cst7	0.3408714005728931
Cth	0.09901347449470643
Ctnnal1	0.13418635170603674
Ctsa	0.09943665662255992
Ctss	0.22359257109692396
Ctsz	0.08448046956886311
Cxcl16	0.7290217552168122
Cybrd1	0.2729204118319987
Cyp27a1	0.2522586109542631
Cyp7b1	0.433287950987066
D630003M21Rik	0.3524635287641068
D7Ertd443e	0.37387220368310464
Daam2	0.05674394773920841
Daglb	0.16316736652669467
Dbndd2	0.17567816940394906
Ddo	0.2079506511309116
Ddr1	0.06626609442060086
Dhcr24	0.029454117031025
Dmp1	0.1917917598211434
Dmrtb1	0.3405226700251889
Dnajb13	0.0703485392106612
Dnase1l3	0.2405017269587348
