Gene name	fcatus_dNdS
1110032F04Rik	0.1259350659366083
1700007K13Rik	0.17955548789770132
1700028K03Rik	0.2598612487611497
1700109H08Rik	0.26708006962576153
2810459M11Rik	0.27859638462706976
4932438H23Rik	0.2853776363850595
6820408C15Rik	0.4446562970396387
A2m	0.2995117485505035
Aass	0.1001727115716753
Abca1	0.05048543689320388
Abcb9	0.004269220680312797
Abcc12	0.16381850324101355
Abcd2	0.06973848069738481
Abhd3	0.05968521115786193
Acot11	0.08796469444236668
Acsbg1	0.13081861958266452
Acsf2	0.18708887869053084
Acsl6	0.11971386492741425
Acss1	0.0856146694214876
Actr3b	0.016205598297593715
Adamts3	0.13717175012232916
Adamts5	0.08492569002123143
Adamts6	0.06518332811031025
Adcy2	0.03184798608323298
Adcyap1r1	0.13748502994011974
Adhfe1	0.16202331555028648
Adrb1	0.0447127207690588
Agl	0.05782508630609896
Agt	0.22256165710453768
Aifm3	0.02864224731478932
Ak4	0.12190187152250885
Ak7	0.07413402395597281
Akt2	0.016425453710084997
Alcam	0.06779661016949153
Aldoc	0.022966301781498177
Alms1	0.5274763738186911
Alpk1	0.3168980373384394
Alpk3	0.2868328330940885
Amigo3	0.15314029363784665
Amot	0.13269020749908994
Ampd2	0.03111219990200882
Angptl1	0.07236979711357458
Ankrd9	0.03558209959623149
Antxr1	0.04638583838714965
Anxa9	0.24369211114659856
Appl2	0.09077027485578554
Aqp4	0.0730637161388783
Aqp9	0.388851121685928
Arap2	0.17025210084033615
Arhgap21	0.10723860589812333
Arhgap5	0.03213665315576144
Arhgef26	0.09809264305177112
Arhgef33	0.07838439157966798
Arl9	0.2664385599523951
Arpp21	0.14929627650097987
Arrdc3	0.03409436834094368
Aspg	0.12085441259134347
Aspm	0.28707731163182265
Atl2	0.02817597627286209
Atp13a4	0.1358872425009035
Atp1b2	0.010550327915597377
Atp2b4	0.13993554784333168
Atxn7	0.22268326417704007
Axin2	0.07716312056737587
Axl	0.10594447283256686
B3gnt5	0.21976985474438784
Baalc	0.4134107708553326
Bcan	0.17070535576477852
Bdh2	0.1324411628980157
Bdkrb2	0.06121066568138433
Bdnf	0.04740474047404741
Bhlhe40	0.09364908503767493
Bmper	0.05936158297554602
Bmpr1a	0.02174400358663977
Bmpr1b	0.013653561441026484
Boc	0.10175337740730096
C4b	0.2482371564253849
Cachd1	0.031781101291638345
Camk2g	0.0028517110266159697
Cap2	0.10370567848573713
Capn11	0.17617917225719887
Caps2	0.2312641083521445
Capsl	0.033362945415062684
Car3	0.03910614525139665
Car8	0.011608870367614228
Caskin1	0.06713381555153708
Catsper2	0.3352475752935171
Cbr3	0.07199297629499561
Cbs	0.06661379857256146
Cbx5	0.024009603841536616
Cc2d2a	0.1220292504570384
Ccdc138	0.20770800816424545
Ccdc157	0.16488975042403686
Ccdc3	0.0774098768222398
Ccdc60	0.10946128359307893
Ccdc80	0.14489040705949333
Ccdc88c	0.08964862298195632
Ccna1	0.11495217318342005
Ccnd2	0.07801047120418847
Ccno	0.106209453197405
Cd38	0.5112243273364114
Cd44	0.3741176470588235
Cdh10	0.02587341032012864
Cdh20	0.042140337122696984
Cdk5rap2	0.32811766546706306
Cecr2	0.20653594771241832
Celsr1	0.05654920465788873
Chd9	0.0798848506657071
Chic1	0.035605067715159464
Chrdl1	0.11065573770491803
Chst1	0.02230208223232217
Chsy1	0.03509474246063518
Cideb	0.16269988843436226
Ckap5	0.05568720379146919
Cldn10	0.0753514526710403
Clmn	0.1956408475164988
Clu	0.15177445505314358
Cmya5	0.4202546998180716
Cntd1	0.15462825672527006
Cntfr	0.04791200596569725
Col16a1	0.16015104398045313
Col4a5	0.13822048125349748
Col4a6	0.3235717714834373
Col9a1	0.10512718600953896
Cox7b2	0.8413960680362271
Cpe	0.030840286054827176
Cpxm2	0.05351773902585689
Crb2	0.15523650813998205
Creb3l1	0.07885097358781569
Creb5	0.04337686567164178
Crot	0.16136095671214418
Cry2	0.05799929052855622
Csgalnact1	0.07192374350086655
Cspg5	0.17290228841264074
Cspp1	0.22452107279693487
Cth	0.11006376490158024
Ctnnd2	0.03860691144708423
Cybrd1	0.27831166384021105
Cyp7b1	0.3769218576636551
D630003M21Rik	0.3487670514165793
Daam2	0.058880043919846276
Dab1	0.10433715220949262
Dag1	0.06150962685295621
Dbi	0.21918859649122804
Dbx2	0.19446935724962627
Dclk1	0.015549076773566569
Dclk2	0.050054804530507854
Ddhd1	0.09789184234647114
Ddit4l	0.08176344921343949
Ddo	0.23836477987421384
Ddr2	0.02968588194684156
Dgkb	0.02624625682578827
Dhtkd1	0.09342396459057856
Dio2	0.18086500655308
Dlg5	0.053390688259109316
Dlk1	0.11673884390886838
Dmp1	0.13366073798778869
Dnaic1	0.11442052491890298
Dnali1	0.036964096349038016
Dock7	0.01627056672760512
Dpf3	0.14658273381294964
Dpy19l3	0.1205398696866274
Drp2	0.09731232622798887
Dtna	0.04239354717688989
Dync2h1	0.057195816231960815
Dynlrb2	0.0500383599011167
Dzip1l	0.20121007457436327
Echdc2	0.13807461692205195
Echdc3	0.10327455919395463
Eda	0.10127454357561144
Ednrb	0.14371646886685094
Eea1	0.12040645879732738
Eepd1	0.0698700661926943
Efna4	0.14950021729682747
Egfl6	0.2583635630794035
Egfr	0.0764179104477612
Egln3	0.028934010152284268
Ehbp1	0.1329113924050633
Elf5	0.02991573033707865
Elovl2	0.10305841426293666
Elovl5	0.04484896451655455
Enah	0.15763351201111772
Entpd2	0.1153294338373248
Ephb3	0.024046828033539
Ephx2	0.24462626542781865
Eps8	0.0780281690140845
Erbb2	0.10682893847194053
Esco2	0.3652108433734939
Etaa1	0.5364891518737672
Etv4	0.08979297063071738
Evc	0.14520773344302754
Evc2	0.1829011270961239
Exd1	0.2284462525426381
Ezr	0.0427986906710311
F3	0.47965794247214294
Fabp5	0.2986908682033572
Fabp7	0.291276993708553
Fads2	0.0685569191705459
Fam117a	0.1238716148445336
Fam120c	0.11395566656259755
Fam13c	0.15379310344827588
Fam171b	0.12610080569608395
Fam181a	0.15437658316915284
Fam181b	0.18043772724032225
Fam184a	0.07694642586128396
Fam187a	0.13045449393630285
Fam20a	0.117078269959493
Fam83b	0.133916732962079
Fat1	0.06831460674157304
Fbp2	0.044946739412834495
Fbxl21	0.09819810214308562
Fezf2	0.03760655189704162
Fgd4	0.1706718979892104
Fgd6	0.2545308740978348
Fgf1	0.3199368753287743
Fgfbp3	0.2502707492369794
Fgfr1	0.009172753524715476
Fgfr2	0.0677908363140862
Fgfr3	0.04922748191978961
Fgfrl1	0.07512202562538134
Ficd	0.050279329608938536
Fjx1	0.06454296921431119
Flnc	0.014157621519584709
Fmn2	0.216298295933862
Fmo1	0.16453032332121673
Fmo4	0.20739156994502134
Fndc5	0.03931856899488927
Folh1	0.14820742637644047
Fos	0.18717592007082334
Fras1	0.1458656999827378
Frem2	0.09568430777352513
Frmpd1	0.2562653099679669
Fst	0.07183869675524103
Fut9	0.012559808612440193
Fxyd1	0.15850202429149796
Fzd9	0.007069543359865941
Gabbr1	0.10938992042440318
Gabbr2	0.018736815982131783
Gabra4	0.10563995110878296
Gabrb1	0.03539355520338088
Gabrg1	0.027511463109629014
Gas1	0.09841570518339934
Gcnt4	0.18272375854891465
Gdpd2	0.1978381096028155
Gfap	0.03953563890241922
Ggnbp1	0.3245379377431907
Gjb2	0.037394167450611485
Glb1l	0.2757894736842105
Gldc	0.07098765432098765
Gli1	0.13238982443568612
Gli3	0.11233163332025632
Glis3	0.1455993175031992
Glud1	0.01723741668581935
Glycam1	1.2840236686390534
Gm11992	0.20496894409937888
Gm17455	0.08683582255288436
Gm266	0.07009476031215163
Gm973	0.5274914089347078
Gpam	0.08028673835125448
Gpc4	0.06544240400667779
Gpc5	0.16638935108153075
Gpc6	0.022963714793199697
Gpld1	0.18201447986790295
Gpr156	0.3292144748455428
Gpr179	0.3744824413433521
Gpr37l1	0.059980620155038765
Gpr63	0.0783132530120482
Gpx8	0.14096185737976782
Gramd1c	0.1662886305642189
Gramd3	0.17214961694456962
Gramd4	0.10014876927238303
Grhl1	0.0407465825446898
Gria2	0.0030102347983142685
Grid2	0.02237733524943544
Grifin	0.06482165647880701
Grin2c	0.07329842931937172
Grm3	0.03852545701767638
Grm5	0.026686434395848783
Grtp1	0.15284414106939706
Gsg1l	0.10139251523063532
Gulp1	0.057113402061855674
Gys1	0.013272937954282102
Hapln1	0.10903568716780562
Hapln4	0.04293381037567085
Has2	0.008206565252201762
Hectd2	0.4629470056010341
Hepacam	0.043493092273580065
Herc6	0.4678487918939985
Hes5	0.052365591397849465
Hey2	0.05357920720197474
Hgf	0.0619158878504673
Hhipl1	0.05096830985915493
Hif3a	0.1432514891762313
Hlf	0.043404415927533496
Hmgcr	0.053115961083355236
Hmgn3	0.2605426610003269
Hoga1	0.08974358974358974
Hrh1	0.1444708008584661
Hs3st3a1	0.05556609140906505
Hs3st3b1	0.049125045570543216
Hsd11b1	0.17251908396946564
Hsd17b7	0.21594634873323398
Hsdl2	0.12698763250883394
Htra1	0.05956375838926175
Hyal1	0.29471105346591725
Id3	0.03731467599533567
Id4	0.015761094981335544
Idi1	0.17976060935799784
Igdcc4	0.0916884626562046
Igfbp2	0.1321571238348868
Igfbp5	0.04697869367796018
Igsf1	0.1960983025082341
Igsf11	0.08120095530535654
Ikbip	0.15557778889444726
Il15ra	0.863571282470853
Il17rd	0.10078600405679514
Il18	0.4508374689826303
Il33	0.363746835443038
Inca1	0.4927217125382263
Inhbb	0.009268902312018329
Insig1	0.07283227029822445
Intu	0.17341935483870966
Iqcd	0.08775666010366859
Iqub	0.2995321959273528
Irs2	0.053358894480389815
Itga2	0.18771491090965925
Itga6	0.053016726403823176
Itga7	0.09488462159109247
Itih3	0.13135313531353138
Iyd	0.12201172755976546
Kalrn	0.008796136598827182
Kbtbd8	0.05128879537085745
Kcna2	0.004092769440654843
Kcnc4	0.034140369967355824
Kcne1l	0.07859609819845048
Kcng4	0.046652101272330035
Kcnh5	0.019761958230406468
Kcnj10	0.005879326817079446
Kcnj16	0.045885286783042385
Kcnn2	0.03263019116677653
Kcnn3	0.041040462427745665
Kctd14	0.25788873400076034
Kif18a	0.2427704391288825
Kif7	0.05523012552301256
Kifc3	0.033787719911452865
Kirrel2	0.1535389039782713
Klf15	0.10052235953624664
Klf4	0.07339449541284404
Krtap7-1	0.17358490566037738
L2hgdh	0.2085494915957668
Lama2	0.11180823680823683
Lca5	0.2332935560859189
Ldoc1	0.19767976108430965
Leng8	0.06080017981568892
Lgals12	0.1615772703133298
Lgi4	0.05277642868706491
Lgr4	0.12076703386372907
Lgr6	0.0890125173852573
Lhcgr	0.1591302674619973
Lhfp	0.027098045656101168
Lhx2	0.010764072701605787
Limch1	0.16626835097302833
Lingo4	0.10579432747520444
Lipg	0.14672544080604535
Lipt1	0.14793512021166455
Lix1	0.04777129960504044
Lonrf3	0.18584888232033991
Loxl1	0.051764959104606115
Lpin3	0.2138240337686321
Lpp	0.10611655161342112
Lrig1	0.10929174788823913
Lrp4	0.033917682926829264
Lrrc23	0.17165481143470676
Lrrc38	0.03980484782777047
Lrrc52	0.2510560405519572
Lrrc9	0.12249163879598662
Lrrk2	0.10476587467000137
Lrtm2	0.04998780785174347
Ltbp1	0.08960255500354862
Luzp2	0.22848360655737698
Lxn	0.13190764572293714
Macf1	0.18460636843133424
Mamdc2	0.10959836623553436
Mamdc4	0.1649901126300404
Maob	0.10700685453160699
Mars2	0.1309831824062096
Masp2	0.1734136433674184
Mboat2	0.13123459131424234
Mcc	0.041895784236711184
Mdn1	0.1912608776152564
Med12l	0.05245513705383553
Megf10	0.047225843836013325
Meis1	0.048701298701298704
Mertk	0.19060936120105976
Mettl11b	0.07401315789473685
Mfap3l	0.17309027777777775
Mfge8	0.14880775700009896
Mgst1	0.18460060389788632
Mier3	0.06515533165407221
Mlc1	0.07698797721999577
Mmp14	0.03705627705627705
Mras	0.045041143352100466
Mro	0.3058605635666093
Msi1	0.07602053287704717
Msx2	0.06614263803680982
Mtmr11	0.1974331550802139
Mtx3	0.10275783906309027
Myh14	0.024121903865388008
Myh6	0.014899464776508027
Mylk2	0.14553214924962138
Myo6	0.02169197396963124
Myom3	0.10214168039538717
Myrip	0.14674819344080045
Ncan	0.2475154304843603
Nckap5	0.2987452948557089
Ndp	0.04076497232008052
Ndrg2	0.10322453794730632
Nek8	0.0474764756201882
Ngef	0.07396077019974806
Nhsl1	0.27178514085534955
Nmb	0.3662191321026133
Nog	0.0059041835357624825
Notch2	0.06655574043261232
Notch3	0.0682712855696772
Npas2	0.12826376977320372
Npas3	0.056971514242878565
Nphp3	0.09506618531889292
Nqo1	0.1150046310589688
Nr1d1	0.06407086938607334
Nr2e1	0.04399243140964995
Nr2f1	0.09148000837345614
Nr3c2	0.08144561646204393
Nr4a1	0.0646057239463833
Nr4a2	0.014409221902017287
Nr4a3	0.10100376411543288
Nrcam	0.06951697127937337
Nrxn1	0.006479481641468682
Nsdhl	0.12652023960791434
Ntrk2	0.05249881759419833
Ntrk3	0.021312480834099968
Nwd1	0.14987757957327738
Odf3	0.12730427239210584
Ogdhl	0.045780474351902925
Olfml1	0.206472693325035
Olfml2a	0.08694507808387436
Osr2	0.0982129448866196
Otx1	0.014724310776942357
Ovol1	0.02826855123674912
P2rx6	0.18818347509112998
P4ha2	0.08292340126493324
P4ha3	0.11317469529889727
Pacsin3	0.03872384695410935
Palld	0.1193122612018062
Pamr1	0.06843337590464027
Papss2	0.046578862833279784
Paqr6	0.04937867887508175
Pard3b	0.15804066543438078
Parp3	0.1280660110772013
Pax4	0.31737370181306107
Pax6	0.0037839697282421743
Pbxip1	0.2367342957471713
Pcdh10	0.027996000571346952
Pde3a	0.14228657014478285
Pde9a	0.08719788775302957
Pdgfc	0.1269025875190259
Pdgfrb	0.10176150044354328
Pdgfrl	0.09165442976015664
Pdk4	0.04526996540833207
Pdp2	0.11621799080761655
Pdpn	0.6161747921082669
Pdzrn3	0.039675280128058536
Pex11a	0.2204415372035977
Phf21b	0.09644670050761422
Phka1	0.08675166297117516
Phkb	0.07372832920556295
Phkg1	0.036927447035152085
Phyhipl	0.03435016662394258
Pigm	0.0406993615786419
Pipox	0.13502884111169378
Pkdrej	0.2636417808802247
Pkp2	0.19922866132142494
Pla2g3	0.3247711839385887
Pla2g7	0.3475123018042647
Plagl1	0.24855967078189295
Plcd4	0.2736842105263158
Plce1	0.1512770137524558
Plch1	0.1884816753926702
Pld2	0.07650964274423015
Plod2	0.08322496749024708
Pls1	0.0332129963898917
Plscr4	0.2794202898550725
Plxnb1	0.13479957431713374
Pm20d1	0.2389686797023707
Pole	0.0688715471324167
Pou3f2	0.027761711972238284
Pou3f3	0.0021419828641370867
Pou3f4	0.038016896398399294
Ppara	0.0430374714243117
Ppil6	0.2509115014915479
Ppp1r12a	0.08417920896044802
Ppp1r3c	0.1081446434606286
Ppp1r3d	0.035917340914060784
Ppp1r3g	0.08731145367147357
Prdm16	0.043781983591909684
Prkd1	0.07949149946393015
Prkdc	0.2247347364759089
Prodh	0.10110566510885673
Prrx1	0.10407632263660016
Prrx2	0.04634892872759073
Prss35	0.13547623742851508
Psd2	0.10165562913907286
Ptar1	0.16425594508457958
Ptch1	0.05408653846153847
Ptn	0.07075630252100841
Ptpn13	0.16043262730959892
Ptprz1	0.25697724345212536
Ptx3	0.21909047844623397
Pygb	0.02558660535314232
Ranbp3l	0.28384397354568763
Rapgef3	0.07809181506289822
Rarres1	0.20861784789263008
Rasa2	0.13995849665667512
Rasgrp1	0.09039461609054757
Rasl11a	0.07254509018036072
Rasl11b	0.028237585199610518
Rassf10	0.057712269047124766
Raver2	0.1604199893673578
Rb1	0.0913806863527534
Rbm20	0.18570496083550914
Rbm46	0.054237706943414885
Rbpms2	0.3807405469056654
Rdh5	0.1875681570338059
Rftn2	0.16885676741130096
Rfx4	0.033563482930571535
Rgma	0.03700315982038916
Rgs20	0.2393553381659512
Rgs7	0.0513595166163142
Rgs9	0.08347425057647964
Rhcg	0.2258022093634929
Rhpn1	0.16544368600682596
Riiad1	0.19071146245059287
Rimklb	0.03678658371652691
Rln1	0.7068707561284382
Rmnd1	0.1889515593895156
Rnf180	0.3198710334294926
Rnf182	0.027078085642317375
Rnf215	0.0811535881958417
Rnf24	0.025052742616033755
Ror2	0.0352401641322713
Rorb	0.03760282021151587
Rragd	0.04524271844660194
Rsad1	0.2225208657518744
Rsph1	0.08337111480529948
S1pr1	0.03636000399560483
Sall2	0.14654178674351584
Sall3	0.07048578037828276
Sardh	0.05958933107535986
Sash1	0.10476190476190476
Scara3	0.07580037664783427
Scg3	0.1156428331654918
Sctr	0.17013353877760656
Sec14l2	0.07311932555123217
Sema4a	0.131928181108509
Sema5b	0.10220701050395373
Sema6d	0.05850369725967813
Sept9	0.06631637608470663
Sfrp1	0.024986118822876185
Sfrp5	0.02618421052631579
Sfxn1	0.04657673708322728
Sfxn5	0.07542220036071487
Sh3pxd2b	0.10279047769194387
Shc3	0.06778293322574137
Shisa9	0.00921344286271173
Six5	0.109607783520827
Slc10a1	0.1704361873990307
Slc13a1	0.2244988864142539
Slc13a3	0.08219000776598501
Slc13a5	0.13632597725389772
Slc14a1	0.2025338424158278
Slc14a2	0.1134848743804478
Slc15a2	0.2472997299729973
Slc1a2	0.05384737932133184
Slc1a3	0.027709460567306117
Slc1a4	0.11082843059309906
Slc20a1	0.13265835929387332
Slc20a2	0.05383308558080272
Slc25a18	0.12713836047625562
Slc25a34	0.07816614795307636
Slc25a42	0.004068289765735513
Slc25a48	0.2919646613378208
Slc26a6	0.20240648081963306
Slc27a1	0.06735233197628741
Slc2a10	0.18041033734464396
Slc2a12	0.22631877481565515
Slc2a4	0.05192186515437933
Slc30a10	0.16220472440944886
Slc38a3	0.07560743857743993
Slc39a12	0.2678254700248315
Slc39a14	0.10783410138248847
Slc41a1	0.02595197671598351
Slc4a4	0.056058793368654936
Slc6a1	0.010172331258975587
Slc6a11	0.16234037225607212
Slc6a9	0.07254926572109953
Slc7a10	0.03997549395006892
Slc7a11	0.11620866325104798
Slc7a2	0.050871860502319635
