Gene name	sharrisii_dNdS
4930447C04Rik	0.3858342077649528
4930452B06Rik	0.2236820762368208
4931428F04Rik	0.0033851678693634173
5330417C22Rik	0.09231499051233397
6430548M08Rik	0.056043091448284205
6430571L13Rik	0.12630045776113194
Abca5	0.08386144630610297
Abcc8	0.03577037166288605
Abcg4	0.031998289623717216
Ablim3	0.04013654701562015
Ache	0.05420767328035368
Acr	0.10504498475723104
Actl6b	0.004492667627362889
Acvr1b	0.031099241902136456
Adam22	0.09028077753779698
Adamts14	0.12447185109055613
Adamts15	0.0459726443768997
Adamts17	0.05146751982195021
Adarb2	0.05193394176445024
Adcy8	0.05619162398312745
Adcyap1	0.17771993753253512
Add2	0.05354381967613312
Adprhl1	0.04719860987178885
Adra2c	0.009636016073030858
Aff2	0.21644010195412064
Agap2	0.062072434607645874
Agbl4	0.0034852983653594744
Agtpbp1	0.11992568509057128
AI593442	0.09466354109211253
Ajap1	0.1335070216686789
Ak5	0.03193916349809886
Aldh1b1	0.022181592383055056
Allc	0.12958617136969836
Aloxe3	0.0788195511835229
Amigo1	0.11951099557366685
Amn	0.07468781905285478
Amph	0.1266049334682126
Ank1	0.05667644900953778
Ankrd24	0.06861149095960582
Ankrd34a	0.0404749055585537
Ankrd34b	0.0907788624787776
Ankrd35	0.09349040221523444
Ankrd42	0.1928475293212844
Ankrd55	0.18544117647058825
Ano5	0.1244110718492344
Aox4	0.13727166731441898
Ap3b2	0.0479318418314256
Apba1	0.056683322923173025
Apc2	0.008463496588942064
Arg2	0.11957868649318465
Arhgap20	0.19129554655870445
Arhgap44	0.10856009070294784
Arhgdig	0.051690919231354264
Arx	0.0055145485945584435
Asphd1	0.1030366859750746
Asxl3	0.18348354231974925
Atcay	0.019519724000181576
Atg9b	0.13934482521804822
Atl1	0.04358055119874524
Atp1a3	0.005054589567327133
Atp2b2	0.011929460580912864
Atp2b3	0.0347985347985348
Atp6ap1l	0.09407117810648502
B3galnt1	0.11344345616264295
B3galt1	0.02325581395348837
B3galt2	0.04217723317350382
B3gnt4	0.09720737883927327
B4galnt4	0.003955174686882003
B4galt6	0.05874712758517335
Baiap2l2	0.0482658697817622
Baiap3	0.09132528218486068
Barhl2	0.07538028932479587
Basp1	0.005959172835253981
Bcl11a	0.028674698795180725
Bcl11b	0.03359400815067739
Begain	0.08075238542155483
Bend4	0.04133361379890619
Bfsp1	0.09946372828899976
Bmp3	0.1067449338218799
Bmp5	0.051899907321594066
Bmp6	0.06054150632215503
Bsn	0.08754151409350253
Btbd11	0.02317817626859977
C1qtnf1	0.08296426222319668
C1qtnf4	0.0010001771568850758
C2cd4c	0.041047554303842534
C530008M17Rik	0.18501471768798505
Cacna1a	0.04558901615717211
Cacna1b	0.06000424058237331
Cacna1c	0.06521493850840572
Cacna1g	0.08266733266733266
Cacna1i	0.0364455736019115
Cacna2d1	0.055733968714389306
Cacna2d2	0.03482711272000999
Cacnb3	0.05208422129400733
Cacng2	0.012719563900666263
Cacng3	0.022143247676325858
Cadm3	0.13678539359473213
Cadps	0.01594341884440182
Calb1	0.03122479548335062
Calb2	0.03472016582765768
Caln1	0.0326003251475999
Caly	0.28575644885189777
Camk1g	0.08815657410505186
Camk2b	0.053719490832652116
Camkv	0.004490946443074865
Car11	0.028884308960595524
Cbln1	0.010024906600249066
Cbln4	0.02729405952822033
Ccbe1	0.11182081417135073
Ccdc112	0.11350807578382607
Ccdc116	0.010440342193632402
Ccdc148	0.1894569471624266
Ccdc152	0.19842890809112332
Ccdc6	0.045728387892864916
Cck	0.004999437267132254
Ccnf	0.130556921132102
Cd200	0.3641185942976224
Cd274	0.17837766309382028
Cdh12	0.04929979994284082
Cdh18	0.028263921385119326
Cdh4	0.038451733514615914
Cdh7	0.02261445118587976
Cdh8	0.017020462803595333
Cdhr1	0.13179948194423285
Cdk14	0.07272898783133666
Cdk5r1	0.025153199372951403
Cdkl2	0.194535624637961
Cdkl5	0.07736098403984955
Cdon	0.14725872224739467
Ceacam16	0.06189917936694021
Celf3	0.012759856630824372
Celf4	0.09617110379898294
Celsr2	0.041141100411411
Celsr3	0.07482678983833717
Chac1	0.1138546837728064
Chd3	0.03950030790885898
Chd5	0.030700112317484086
Chga	0.1539791319380132
Chgb	0.15131597748121053
Chl1	0.13647857813741782
Chodl	0.14033510945624958
Chrm2	0.0466644204851752
Chrm3	0.052710200597524536
Chrm4	0.0169786806826906
Chrna3	0.03624475298676138
Chrna7	0.044249881684808326
Chrnb2	0.031492155590334775
Cib2	0.0012369430271138926
Cidea	0.07104506751993057
Cilp	0.06411603952070632
Cit	0.029708143614242
CK137956	0.1012038146854969
Ckmt1	0.04022208513263417
Clcn1	0.10097246205580296
Clec2l	0.03469750889679715
Clgn	0.1233377659574468
Clrn1	0.13234042553191488
Clstn1	0.0510450397409479
Clstn3	0.039226519337016576
Clvs1	0.02828039136844927
Clvs2	0.00427127825815189
Cnga3	0.07692307692307693
Cnih2	0.08493074017070099
Cnksr2	0.05369718309859155
Cnr1	0.0176812626082829
Cnrip1	0.02853317713998828
Cntn2	0.06420277756697275
Cntn3	0.0649682578943029
Cntn5	0.07684415717656715
Cntnap4	0.1285140562248996
Coch	0.07525482541747994
Col11a1	0.061796823295830576
Col25a1	0.013844428276949192
Col6a1	0.07088555578385043
Col6a2	0.0026099307730120666
Cpeb1	0.07214658353480086
Cplx1	0.0009978699314923912
Cplx3	0.03926974208172517
Cpne4	0.0029468721057506106
Cpne5	0.04396772781287135
Cpne6	0.026285482013413727
Cpne7	0.041429249762583095
Crabp1	0.012207738464721705
Crabp2	0.0255847150543538
Crh	0.14446784785032832
Crhbp	0.12206439393939393
Crhr2	0.0402163569890319
Crmp1	0.041694106025683235
Crtac1	0.0382463300638536
Csrnp3	0.042647903503733486
Ctxn2	0.06570704057279236
Cxxc4	0.10095011876484562
Cyb561	0.06807914005296775
Cygb	0.06264632848527847
Cyp2s1	0.13421783400185128
D130043K22Rik	0.23438386129790165
D430041D05Rik	0.12983141949670168
Dach1	0.009206407659731172
Dact1	0.12341980270369016
Dbn1	0.11327385779940526
Dcaf7	0.003267881911717952
Dcx	0.012777172978857502
Ddx25	0.05260303687635575
Diablo	0.0866262410874925
Disp2	0.14844422580248431
Dkk3	0.09655433547898523
Dleu7	0.1293580727218315
Dlx1	0.052675585284280936
Dlx2	0.09517015053149748
Dlx5	0.044151820294345466
Dmrt3	0.029575995582008963
Dnajc27	0.12599453746585915
Dnajc6	0.09728710761413001
Dnm1	0.005257094666288174
Doc2a	0.06628363228699552
Doc2b	0.03899928907545956
Dpf1	0.09140345649582836
Dpp10	0.08278621255642182
Dpysl2	0.006776688192617397
Dpysl3	0.036749899315344337
Dpysl4	0.05338161429739517
Dpysl5	0.02159973000337496
Drd2	0.06235399820305481
Drd5	0.018857578065498856
Dscaml1	0.07021639013311462
Dusp14	0.04994232987312572
Dusp26	0.04170818505338078
Ebf3	0.010069493688838464
Ecel1	0.028003613369467027
Edil3	0.01951614353808796
Eef1a2	0.002898992981385413
Efna5	0.035999033582991065
Elavl2	0.014461472048348804
Elavl3	0.021228514688762586
Elavl4	0.011502162799842704
Elfn1	0.035798800286170274
Elmod1	0.054920913884007036
Eln	0.01261923034754961
Elovl4	0.05011135857461025
Eml5	0.039270530319982094
Emx2	0.008744213388198986
Eno2	0.018581081081081082
Enox1	0.020612332902112986
Eomes	0.06321881180865871
Epha10	0.07007016248153619
Epha3	0.034276729559748434
Epha5	0.01897486446525382
Epha7	0.03278204370939161
Epha8	0.03889512208153016
Ephb2	0.014148066837419197
Ephb6	0.16944444444444445
Ero1lb	0.04075576219210605
Esrrg	0.013174853214950594
Eya2	0.0594597935595525
Fabp3	0.041602936677883146
Fam131c	0.207693060585299
Fam163b	0.03492974470611518
Fam167a	0.20652075197529746
Fam169a	0.20738093259080706
Fam171a2	0.0362563662951944
Fam189b	0.06020872357506021
Fam49a	0.014327005423922352
Fam57b	0.050214142120444026
Fam78b	0.024114457136263992
Fank1	0.052959043699784436
Fbxl16	0.0042773119234615735
Fbxo41	0.0015652934735607012
Fgf14	0.23771082600547785
Fgf9	0.014194915254237288
Fhod3	0.09257903494176373
Fibcd1	0.057289386453186576
Fkbp1b	0.13631921824104234
Flrt3	0.04185337874170999
Fmn1	0.2039675887119307
Fnbp1l	0.03774641577060932
Fndc3b	0.12168809873133682
Foxo6	0.08572597137014316
Foxp2	0.008766014834794335
Frmd3	0.07991895542548401
Frmpd4	0.09908820245627094
Fsd1l	0.053043888626710715
Fstl4	0.11548489341035735
Gabra1	0.05320986801188584
Gabra2	0.03153241650294695
Gabra5	0.05625142336597586
Gabrb2	0.00602897507423738
Gabrb3	0.01987197859940766
Gabrg2	0.027053824362606237
Gad1	0.03134617576655648
Gad2	0.06330378324385068
Galnt14	0.09963230933459853
Galnt9	0.021293003727346733
Galntl6	0.06717609489051095
Gap43	0.30731190392087604
Garnl3	0.0633658595349958
Gbx2	0.0010311555465524957
Gca	0.04943338984563219
Gcgr	0.01905087839379421
Gda	0.11926690854963255
Gdap1	0.10321592649310872
Gdap1l1	0.20537930109329935
Gdf5	0.07952001432793053
Gdnf	0.11651424551530075
Gfra2	0.07670999360750054
Ghsr	0.033519158845529605
Gipc2	0.09720890893712997
Gipr	0.07968885624624424
Gjd2	0.010696853255789802
Glis1	0.0054118298214818105
Glod5	0.13628034814475493
Glra2	0.02365010799136069
Glra3	0.026021961797545443
Glt1d1	0.09551066217732884
Gm5901	0.15305274816558215
Gm8773	0.20315571375444932
Gnal	0.05307564722001875
Gnaz	0.01046553590761458
Gnrh1	0.14498875792055596
Gpc1	0.07519570730273073
Gpr12	0.057372474606540914
Gpr135	0.1563583491779443
Gpr149	0.1774663451878642
Gpr173	0.02122900931289873
Gpr22	0.05380530973451327
Gpr25	0.044854749717476564
Gpr45	0.06099285636581209
Gpr61	0.06300690898167619
Gpr83	0.09753077928330696
Gpr88	0.035803986533425966
Gprin1	0.0645536632211481
Gprin2	0.21485704184895488
Gramd2	0.1818236569501325
Grem2	0.02599133622125958
Grid2ip	0.07963078848560701
Grik1	0.07974761195337833
Grin1	0.0321358193118084
Grin2a	0.03507696499114562
Grin2b	0.02868998221695317
Grip2	0.05317738261194791
Grpr	0.05697004608294931
Gucy1a2	0.034837292872828905
Gxylt2	0.051645123384253824
H2afy2	0.010768126346015795
Hap1	0.012852279337127476
Has3	0.025984321324759974
Hcn3	0.02612315200229654
Hdac11	0.06250342072136172
Hebp2	0.11479261179520416
Hexim2	0.10542619470258606
Hmgcll1	0.04104341481211237
Hook2	0.060558207858979064
Hpca	0.008440547406375482
Hrh3	0.049656923015904485
Hs3st5	0.02827630729502905
Hs3st6	0.0015811965811965813
Hs6st2	0.04168257383819803
Hs6st3	0.028972653362897262
Hspa12a	0.032869461282335866
