Gene name	hsapiens_dNdS
1500009L16Rik	0.17446808510638295
1700001L19Rik	0.2309257375381485
4930444P10Rik	0.42479305471431456
4930447C04Rik	0.30347775403147464
4930452B06Rik	0.2329401224428849
4930539E08Rik	0.4843982169390788
4931428F04Rik	0.1454849498327759
5330417C22Rik	0.0938573063716139
6330403K07Rik	0.2355788624445341
6430548M08Rik	0.05284168505095073
6430571L13Rik	0.15024373259052926
9530077C05Rik	0.16394031997123856
A830018L16Rik	0.08984375
Abca5	0.09109624292331447
Abcc8	0.03760739179769817
Abcg4	0.02473029045643153
Ablim3	0.021064814814814814
Acbd7	0.12973577519921708
Ache	0.12808372788437578
Acr	0.35187580853816297
Actl6b	0.0019630938358853557
Acvr1b	0.01914486279514997
Adam22	0.10460652591170826
Adamts14	0.12716017539334534
Adamts15	0.050465009910047265
Adamts17	0.07239561065982614
Adarb1	0.05608844090391807
Adarb2	0.07100443254997073
Adcy1	0.0690921228304406
Adcy8	0.030802139037433156
Adcyap1	0.15444504798116965
Add2	0.049556313993174055
Adprhl1	0.06369126990352185
Adra2c	0.041840369893125146
Aff2	0.15697036223929747
Aff3	0.10358422939068103
Agap2	0.05961251862891208
Agbl4	0.16705928543384374
Agtpbp1	0.08118646428074085
Ahi1	0.17155220547180344
AI593442	0.1812191103789127
AI854703	0.033010217448257786
Ajap1	0.1461479786422578
Ak5	0.07585853408508457
Aldh1b1	0.040692417000387546
Allc	0.17622892761014308
Aloxe3	0.10755266312724783
Amigo1	0.12755323772272925
Amn	0.2298737174427782
Amph	0.17086999022482896
Angpt1	0.03026417030007694
Ank1	0.07230392156862744
Ankrd24	0.163787764090565
Ankrd34a	0.040887850467289724
Ankrd34b	0.15527283874923362
Ankrd35	0.1909510618651893
Ankrd42	0.21473406012553686
Ankrd55	0.15327210103329508
Ano5	0.137046004842615
Ap3b2	0.061659795662305075
Apba1	0.052096774193548384
Apc2	0.05089853166776244
Arg2	0.21292585170340686
Arhgap15	0.2111176818450621
Arhgap20	0.2429496951219512
Arhgap33	0.08577139741958931
Arhgap36	0.2509433962264151
Arhgap44	0.06252319109461968
Arhgdig	0.12800246355984402
Armcx1	0.16263698034440774
Arx	0.024394210440722063
Asphd1	0.15853658536585366
Asxl3	0.2082425203090945
Atcay	0.033424942434821366
Atg9b	0.1330909090909091
Atl1	0.040252182347235696
Atp2b2	0.01339764201500536
Atp2b3	0.012366498032602586
Atp6ap1l	0.34805299076676033
Atp6v1g2	0.02838645418326693
Auts2	0.05930628677609168
B3galnt1	0.0628968253968254
B3galt2	0.05774395702775291
B3gnt4	0.1548661800486618
B4galnt4	0.07993093642088157
B4galt6	0.0466881761245018
Baiap2l2	0.0507256392536282
Baiap3	0.06239054290718039
Barhl2	0.06700486155146902
Basp1	0.14031108230719375
Bcl11a	0.01633259094283594
Bcl11b	0.040386803185438
Begain	0.05888922733272413
Bend4	0.09622755699011501
Bend6	0.17298812664907648
Bfsp1	0.2950044339343777
Bhlhe22	0.027426346987525437
Bmp3	0.27631578947368424
Bmp5	0.08102766798418973
Bmp6	0.07300017056114616
Bsn	0.12533333333333332
Btbd11	0.026804123711340208
C1qtnf1	0.11525974025974026
C1qtnf4	0.019696117051209903
C2cd4c	0.032335590998470616
C530008M17Rik	0.24581447963800904
Cacna1a	0.04913695350888245
Cacna1b	0.04835164835164835
Cacna1c	0.0501764014112113
Cacna1g	0.04790528233151185
Cacna1i	0.035286358140046166
Cacna2d1	0.03916768665850673
Cacna2d2	0.032682512733446516
Cacna2d3	0.017485265225933203
Cacnb2	0.07158590308370044
Cacnb3	0.010172365074879907
Cacng2	0.012203876525484566
Cacng3	0.01115023474178404
Cacng5	0.01544978818838774
Cadm3	0.07610827775598274
Calb1	0.01888341543513957
Calb2	0.010598923283983848
Calca	0.3618157543391188
Caln1	0.030527289546716012
Caly	0.0865349094939047
Camk1g	0.06518493945928015
Camk2b	0.019696347968814115
Camk2n2	0.011633428300094966
Camk4	0.25445924587943103
Camkv	0.05964214711729623
Camta1	0.0605994787141616
Car11	0.030550774526678145
Casp3	0.09487932575660836
Cbln1	0.012564249000571102
Cbln2	0.05857142857142857
Cbln4	0.02127659574468085
Ccbe1	0.11190334719746484
Ccdc112	0.09756097560975607
Ccdc116	0.34021321961620465
Ccdc120	0.12775616083009078
Ccdc148	0.2578347578347578
Ccdc152	0.2395563770794824
Ccdc6	0.023429918203244138
Ccdc65	0.13478308864113034
Ccdc73	0.5275546422566785
Cck	0.16309272123225613
Ccnf	0.12802919708029195
Cd200	0.2501892505677517
Cd274	0.3198049394368413
Cdh12	0.04266839939354559
Cdh18	0.0363355237727097
Cdh4	0.02830540037243948
Cdh7	0.016297821238634415
Cdh8	0.03909304143862392
Cdh9	0.06887052341597796
Cdhr1	0.14270405429540992
Cdk14	0.01840981856990395
Cdk5r1	0.010539562686801951
Cdk5r2	0.039177793394237534
Cdkl1	0.08699397071490095
Cdkl2	0.17202185792349728
Cdkl5	0.08179126572908957
Cdon	0.1814213375240091
Cdr1	99.01490514905147
Ceacam16	0.04465482573726542
Celf3	0.0067352002835873795
Celf4	0.007092198581560283
Celsr2	0.0314176245210728
Celsr3	0.07183330286967647
Cend1	0.1734959349593496
Cgn	0.11534081665853263
Cgref1	0.408021712907117
Chac1	0.09824817518248176
Chat	0.1057992442911122
Chd3	0.03576597064296051
Chd5	0.025132555673382826
Chga	0.1772001190594305
Chgb	0.3295786399666249
Chl1	0.14190116678105694
Chodl	0.06341550553769203
Chrm2	0.034528805799313236
Chrm3	0.06430525995743386
Chrm4	0.028871802918562686
Chrm5	0.12602739726027398
Chrna3	0.08305531167690958
Chrnb2	0.03363625634367992
Chsy3	0.08029861616897305
Cib2	0.01341681574239714
Cidea	0.10110849848841116
Cilp	0.09029745042492918
Cit	0.027803351132388143
CK137956	0.2992403186955717
Clcn1	0.13271176353898034
Clec2l	0.03565281534300467
Clgn	0.12061948903459192
Clrn1	0.124783695443184
Clstn1	0.043864646234476466
Clstn2	0.06537396121883657
Clstn3	0.0427299703264095
