	gene	str	chr	promoter_start	promoter_end
0	ND1	1	chrM	2049	4049
1	MT-ND2	1	chrM	3240	5240
2	MT-CO1	1	chrM	4644	6644
3	COII	1	chrM	6330	8330
4	ATP8	1	chrM	7084	9084
5	ATP6	1	chrM	7239	9239
6	COX3	1	chrM	7922	9922
7	ND3	1	chrM	8775	10775
8	ND4L	1	chrM	9195	11195
9	ND4	1	chrM	9485	11485
10	ND5	1	chrM	11070	13070
11	CYTB	1	chrM	12892	14892
12	ND6	-1	chrM	16705	18705
13	SH3RF1	1	chr4	25452976	25454976
14		1	chr31	1119590	1121590
15	PPP1CC	-1	chr15	6311046	6313046
16	FRS2	1	chr1	35564489	35566489
17	SENP1	1	chr33	7265802	7267802
18	IGSF3	1	chr1	93594024	93596024
19	CNPY3	1	chr3	16129318	16131318
20		1	chr10	20485868	20487868
21	HEPACAM	1	chr24	267630	269630
22	PSMB7	-1	chr17	9693756	9695756
23	ZMAT2	-1	chr13	1571326	1573326
24		-1	chrW	141475	143475
25		1	chr31	962533	964533
26		1	chr10	20483986	20485986
27	BEND5	-1	chr8	23885562	23887562
28		1	chr22	3708876	3710876
29	PRKAR1B	-1	chr14	2524536	2526536
30		1	chr31	961478	963478
31		1	chr25	2536235	2538235
32		-1	chr6	32050896	32052896
33	CCSER2	1	chr6	1632830	1634830
34	RHBDF2	1	chr18	4359777	4361777
35		-1	chr13	1552955	1554955
36		1	chr31	947729	949729
37	PCCA	-1	chr1	145689429	145691429
38		1	chr3	16128009	16130009
39	AZI2	-1	chr2	38800952	38802952
40	ZFYVE26	-1	chr5	29151380	29153380
41	CYB5B	1	chr11	18948605	18950605
42	NOP58	1	chr7	11775038	11777038
43		-1	chr13	1532585	1534585
44		1	chr31	939496	941496
45	YEATS4	1	chr1	35542310	35544310
46	ETV3	1	chr25	2518991	2520991
47		1	chr2	38724422	38726422
48		-1	chr6	1623255	1625255
49	PPP1R2	1	chr9	12834911	12836911
50	POLR1B	1	chr3	16110591	16112591
51	CYGB	1	chr18	4340537	4342537
52	UBAP2	1	chrW	-1214	786
53	LYZ	1	chr1	35540895	35542895
54	ZNF467	-1	chr2	465096	467096
55	LRRC61	-1	chr2	460783	462783
56	SPATA6	-1	chr8	23027628	23029628
57	CIB4	-1	chr10	20486357	20488357
58	EOMES	-1	chr2	38546582	38548582
59		-1	chr30	1805564	1807564
60		1	chr30	1795372	1797372
61	SLC5A9	1	chr8	22959543	22961543
62	TERF2	-1	chr11	18946393	18948393
63		-1	chr22	3708828	3710828
64		-1	chr13	1484929	1486929
65		1	chr5	29098044	29100044
66	KCTD20	1	chr26	1542509	1544509
67	GGACT	1	chr1	145385492	145387492
68		1	chr13	1452653	1454653
69		-1	chr31	938763	940763
70		-1	chr13	1451031	1453031
71	SEMA4B	1	chr10	20467937	20469937
72		-1	chr22	3693782	3695782
73	TRABD2B	-1	chr8	22809760	22811760
74	NEK6	1	chr17	9625007	9627007
75		-1	chr30	1780337	1782337
76		-1	chr31	919642	921642
77		1	chr13	1427209	1429209
78	TTL	1	chr3	16094878	16096878
79	TMEM127	1	chr22	3664802	3666802
80		-1	chr31	917143	919143
81	SEC13	-1	chr12	19868566	19870566
82	TMED6	-1	chr11	18937487	18939487
83	PPME1	-1	chr1	196053237	196055237
84	VTI1B	-1	chr5	29099825	29101825
85	APOD	1	chr9	12830590	12832590
86		1	chr30	1695739	1697739
87	TMTC4	1	chr1	145327071	145329071
88	ETV7	-1	chr26	1544102	1546102
89	SLAMF8	1	chr25	2514847	2516847
90		-1	chr24	269196	271196
91	HADHA	-1	chr3	104937303	104939303
92		-1	chr30	1499617	1501617
93		-1	chr31	908754	910754
94		-1	chr26	1536766	1538766
95		1	chr22	3661295	3663295
96		1	chr30	1475519	1477519
97	NEK1	1	chr4	25393534	25395534
98		-1	chr31	836649	838649
99	PTGFRN	1	chr1	93433285	93435285
100	LHX2	1	chr17	9522054	9524054
101	VNN1	1	chr3	56887500	56889500
102	COL14A1	1	chr2	136786121	136788121
103	KIRREL1	1	chr25	2485749	2487749
104	ATE1	-1	chr6	32042255	32044255
105		1	chr31	777715	779715
106	SLC22A7	1	chr3	16079561	16081561
107		-1	chr30	1477699	1479699
108	SUMO1	-1	chr7	11776913	11778913
109	GAREM2	1	chr3	104902766	104904766
110	KCNA3	-1	chr26	1493771	1495771
111		1	chr8	22324173	22326173
112		1	chr31	762721	764721
113		-1	chr25	2475688	2477688
114	CECR1	-1	chr1	61672321	61674321
115	KCNA2	-1	chr26	1471568	1473568
116	ST6GALNAC2	1	chr18	4306785	4308785
117	ARG2	1	chr5	29072719	29074719
118		1	chr9	12799541	12801541
119	FZD7	1	chr7	11680383	11682383
120		1	chr31	745303	747303
121		1	chr31	726824	728824
122	SLC37A2	-1	chr24	252197	254197
123	SLC4A7	-1	chr2	38516426	38518426
124	RARRES2	1	chr2	455091	457091
125	P4HA3	1	chr1	196014273	196016273
126	KCNA10	-1	chr26	1442793	1444793
127		-1	chr31	724721	726721
128	NALCN	1	chr1	144948411	144950411
129		1	chr1	93354697	93356697
130	CPSF6	1	chr1	35501178	35503178
131		1	chr1	196005313	196007313
132	PIGH	-1	chr5	29074495	29076495
133	HVCN1	-1	chr15	6293393	6295393
134	NIP7	1	chr11	18931245	18933245
135	NEU3	1	chr1	196007411	196009411
136		-1	chr31	689517	691517
137		-1	chr2	452615	454615
138		-1	chr25	2479000	2481000
139	GHRL	-1	chr12	19852107	19854107
140	HDHD5	-1	chr1	61654448	61656448
141	CDK15	1	chr7	11589957	11591957
142	HAUS8	1	chr28	4301371	4303371
143	RAB10	1	chr3	104863998	104865998
144	PFKM	-1	chr33	7265353	7267353
145		1	chr31	653370	655370
146	TTBK1	1	chr3	15977241	15979241
147		-1	chr11	18933187	18935187
148	SPCS2	1	chr1	196000496	196002496
149	SLC18B1	1	chr3	56865708	56867708
150	CIAO1	-1	chr22	3667638	3669638
151	RNF169	1	chr1	195962052	195964052
