Gene name	pvampyrus_dNdS
1700007K13Rik	0.2353106946597153
1700028K03Rik	0.2042121098157202
4933411K16Rik	0.3420704845814978
6820408C15Rik	0.3774334525228447
A2m	0.3023292663603233
Aass	0.11487481590574375
Abhd3	0.08119658119658119
Acot11	0.08572119453512272
Acsbg1	0.15912667191188046
Acsf2	0.2128679898761156
Acsl6	0.1072092542863045
Acss1	0.1136848088674151
Adhfe1	0.1093063252436461
Adora2b	0.09770603228547152
Agt	0.134546325113718
Aifm3	0.0368533905119271
Ak4	0.1253269916765755
Akt2	0.017116060961313014
Alcam	0.09176155391828532
Aldh1l1	0.06413333333333332
Alpk1	0.2310151310648576
Alpk3	0.3453861256544503
Amigo3	0.15859166495586122
Angptl1	0.057985907222548434
Ankrd9	0.037554061576671086
Anxa9	0.20144080467581893
Aox1	0.3011416807037245
Appl2	0.10165129744799484
Aqp9	0.33121289228159456
Arhgap5	0.039405010438413365
Arpp21	0.14339029660184638
Atp13a4	0.16962682099381365
Atp1a2	0.006898454746136866
Atp2b4	0.13040629095674966
Axin2	0.06671490593342982
Baalc	0.3855323318092749
Bcan	0.14819925486408167
Bdkrb2	0.06500600240096037
Bdnf	0.03705899792469612
Bhlhe40	0.07446966325470998
Bmper	0.05575881750329285
Boc	0.11604388069934865
Cachd1	0.02494497432134996
Car5b	0.1356873636183297
Car8	0.011012282930961455
Ccdc3	0.07618301823470186
Ccdc80	0.17567119655286706
Ccdc96	0.12177675732956553
Ccnd2	0.08338751625487646
Cd38	0.4507199602780536
Cd44	0.3570103857566765
Cecr2	0.1979294613090016
Chd9	0.08405797101449275
Chrdl1	0.12186293436293436
Chsy1	0.0246783116802387
Cideb	0.11263096623981372
Cldn10	0.05177228786251342
Clu	0.15926493108728942
Cnn1	0.005557854904511323
Cntd1	0.15611724723874254
Col16a1	0.16942148760330578
Cox7b2	0.9168352438750279
Cpxm2	0.07192648922686945
Crb2	0.14895529094585486
Creb3l1	0.07700459201695513
Cry2	0.062452107279693476
Cspg5	0.1663088356729975
Cth	0.09901347449470643
Cybrd1	0.2729204118319987
Cyp7b1	0.433287950987066
D630003M21Rik	0.3524635287641068
Daam2	0.05674394773920841
Dbi	0.19141155574130184
Dclk1	0.02124808575803982
Dclk2	0.050362080315997364
Ddo	0.2079506511309116
Dhtkd1	0.09556262305012872
Dlg5	0.05808543634569294
Dmp1	0.1917917598211434
Dnaic1	0.08127869409964293
Dzip1l	0.1973124914301385
Efna4	0.1487903789679765
Egln3	0.09075342465753423
Ehbp1	0.1501469970600588
Elf5	0.030449718925671457
Elovl5	0.14417540233279194
Etaa1	0.5239271380055572
Evc	0.15716826752045535
Exd1	0.27924362357080035
F3	0.43333333333333335
Fabp7	0.22257891920813264
Fam120c	0.1421383647798742
Fam13c	0.1833969465648855
Fam181a	0.15209434729564866
Fam184a	0.08886971527178603
Fam187a	0.1319052987598647
Fam83b	0.15495056210212652
Fat1	0.07224977457168621
Fezf2	0.03125412106026638
Fgd4	0.17890568754499642
Fgfr2	0.0702510303484451
Fgfr3	0.09154305301105137
Fgfrl1	0.060468417317246274
Flnc	0.00809138505473584
Folh1	0.18681917211328974
Fos	0.2232968881412952
Fras1	0.15167578659370726
Frem2	0.11711834400108947
Frmpd1	0.2599891520520701
Fzd9	0.005197505197505197
Gabbr1	0.013105014852350164
Gabbr2	0.018053562888570063
Gabra4	0.1293274970155193
Gabrb1	0.03248310442555047
Gdpd2	0.2105442176870748
Gfap	0.07192575406032482
Ggnbp1	0.4416104312021046
Glb1l	0.26931789579662724
Gldc	0.07405652929101532
Gli3	0.12271208021645713
Glis3	0.1299238662694472
Gm17455	0.07628674159563499
Gpld1	0.18908382066276805
Gpr156	0.3498871331828443
Gpr179	0.3739970282317979
Gramd1c	0.15528034839412086
Gramd3	0.15393963945716022
Grhl1	0.04420243433696349
Grm5	0.04034993751115872
Grtp1	0.07818791946308726
Gulp1	0.060671256454388985
Gys1	0.021498299879346275
Hapln1	0.11627906976744184
Hapln4	0.053385782523180665
Herc6	0.4783778589275418
Hhipl1	0.0544690341396466
Hif3a	0.17410141206675225
Hoga1	0.1146280400572246
Hrh1	0.1727788279773157
Hs3st3a1	0.050217175950621036
Hs3st3b1	0.045798608456304
Hsdl2	0.16871704745166954
Htra1	0.06265664160401002
Id4	0.03077176238275465
Igdcc4	0.10474755086661644
Igfbp5	0.06586021505376344
Igsf11	0.1045241809672387
Ikbip	0.19404600811907985
Il15ra	0.666964856230032
Il17rd	0.12079085573061478
Il18	0.5264812975835816
Inca1	0.5306951871657754
Insig1	0.040046207162110124
Intu	0.18331143232588706
Iqub	0.31075313231447066
Itga2	0.20346461840169966
Itga7	0.10494728304947283
Iyd	0.17971269422456754
Kcnc4	0.02753195673549656
Kcne1l	0.18835133865664636
Kcng4	0.060590163934426226
Kctd14	0.3027414526547975
Kif18a	0.2305379746835443
Kif7	0.0740593745038895
Kifc3	0.0440472017759084
Kirrel2	0.1994072122509468
Klf15	0.1331000362012791
Klf4	0.07523262720253415
L2hgdh	0.24871314927468416
Lcat	0.17295081967213113
Ldoc1	0.3352272727272727
Leng8	0.0675227394328518
Lgals12	0.2441176470588235
Lgi4	0.06716892075882729
Lingo4	0.06448647228789073
Lipg	0.18463611859838272
Loxl1	0.07635723166183175
Lpp	0.13082147477360934
Lrig1	0.1257505003335557
Lrtm2	0.05249579360628155
Macf1	0.2408490361706736
Mamdc4	0.1854589034255468
Maob	0.15841584158415842
Masp2	0.20872989826058416
Mdn1	0.19619410085632727
Megf10	0.05187863543468008
Meis1	0.08872727272727272
Mfap3l	0.11889250814332247
Mfge8	0.2078480045827764
Mmp14	0.04993958920660491
Mro	0.23768075249192755
Msx2	0.06303211351755042
Mt3	0.4194425560842964
Mtmr11	0.19100651397352386
Myom3	0.10530361260568794
Myrip	0.14184311838306066
Ncan	0.2513042513042513
Nckap5	0.3107300597557807
Ngef	0.07774798927613939
Nhsl1	0.2459358687546607
Nmb	0.4337993421052632
Notch3	0.08211632077888804
Npas2	0.1614895870102365
Npff	0.4717685487634158
Nphp3	0.10206349206349204
Nqo1	0.15233716475095788
Nr1d1	0.055814858031894204
Nr2f1	0.008338125359401954
Nrarp	0.05287835373795258
