Gene name	pvampyrus_dNdS
1700001C19Rik	0.2282020112719637
1700020L24Rik	0.17332100529545266
4921507P07Rik	0.2822031388806633
4921524J17Rik	0.06898817345597898
4931406P16Rik	0.08665287118468702
9930012K11Rik	0.39956391387299
A3galt2	0.1685148514851485
Abcc9	0.03077103077103077
Ablim1	0.0994818652849741
Acacb	0.08438301192732138
Acss3	0.07576601671309192
Actn4	0.004293193717277486
Adamts9	0.09609849696194436
Adm	0.24756577584420966
Adora2a	0.1431205346854114
Agfg1	0.1298507462686567
Ahr	0.2544802867383512
Akap12	0.2850451656072265
Angptl4	0.12914318464036678
Ankrd37	0.2660836050993181
Anpep	0.15341246290801186
Antxr2	0.22080561714708052
Anxa1	0.14949664429530202
Anxa11	0.08258928571428574
Anxa3	0.07698779974758098
Anxa4	0.06960522410210745
Anxa7	0.09357622243528284
Aqp11	0.2537985368598762
Arhgap28	0.11733779424065
Arhgef15	0.15559322033898307
Arhgef5	0.4003456221198157
Arpc3	0.008607827384368185
Aspn	0.1784977908689249
Atp11c	0.12661290322580646
Atp13a5	0.18377976190476192
AU021092	0.1988280460699131
Bambi	0.03789154597507578
BC028528	0.6291917038185695
Bche	0.1375253036437247
Bcl10	0.053985603838976284
Best1	0.2521842303958581
Bspry	0.2397723777299293
C130074G19Rik	0.18226652675760754
C1qtnf9	0.10385078219013236
Capn12	0.14696782178217824
Car4	0.4053695724229367
Card10	0.05415642915642916
Casq2	0.06268749353470571
Ccdc85a	0.07124728063814359
Cd109	0.3197006613296206
Cd151	0.027211306018719395
Cd300lg	0.5053646400248795
Cd320	0.26287212132559445
Cd34	0.476751269035533
Cd93	0.2306501547987616
Cdkn1a	0.13671636585578514
Cdkn1c	0.2589769492148039
Cdkn3	0.06844106463878327
Cfi	0.283405656142451
Chrnb1	0.10576764171211372
Cish	0.08114419147694102
Cldn6	0.09430559134243753
Clec9a	0.5886690647482014
Clic5	0.1309814879497031
Clic6	0.2230189373046516
Cnn2	0.01944218241042345
Cobll1	0.3259786476868327
Col28a1	0.1852839242868569
Col4a1	0.0948884887103477
Col4a3	0.264958734525447
Cox4i2	0.1439212930428672
Cox7b	0.4008639308855291
Cpa1	0.16210739614994935
Crem	0.15856174476864132
Crip2	0.033460522453771645
Crispld1	0.04288905435591958
Crtap	0.06176281363928801
Crybb3	0.027806385169927908
Crybg3	0.18160919540229886
Cthrc1	0.06828125
Ctsh	0.13514431239388794
Ctsw	0.2113761080624736
Cxcr4	0.06336489439184269
Dab2	0.22070908664005634
Dcbld1	0.2821329639889197
Ddc	0.1134559340769772
Ddx58	0.2188746732700509
Dennd2c	0.17521442324523015
Dgkh	0.10404459053880236
Dlc1	0.13258731773482538
Dll4	0.11010362694300517
Dok4	0.02243363871270848
Dtx3l	0.5049198005121984
Dysf	0.04837089134491173
Edn3	0.4043727225403436
Egfl8	0.12009213694901058
Ehd2	0.011993676061712916
Eif3h	0.0297723292469352
Elf1	0.0906790383804302
Elk3	0.07340553549939832
Emcn	0.6740383326631819
Endou	0.0908086388749372
Eng	0.30502160631798536
Epor	0.17189614864033467
Eps8l2	0.0618946373730215
Esam	0.3369415807560137
Esm1	0.1927842565597668
Esyt1	0.1236111111111111
Etl4	0.18055982774530915
Ets2	0.06208358570563295
Exoc3l	0.19604612850082373
F2r	0.13327628623382182
F2rl1	0.1150855365474339
F2rl3	0.12912218671380976
Fam111a	0.5207620181574638
Fam129a	0.3014374295377677
Fam187b	0.2339580686149937
Fam71a	0.3966314398943197
Fam71f2	0.3274609116934596
Fbln5	0.05604670558798999
Fbxl22	0.1246960412411244
Fgfbp1	0.3513132736238301
Fkbp10	0.06286118646066753
Fli1	0.059033652942282376
Flrt2	0.037605932203389834
Fndc1	0.2590852904820766
Foxf2	0.0148975791433892
Foxl2	0.02549162418062637
Foxq1	0.1073960683209797
Foxs1	0.21756926952141056
Frzb	0.1064431867653461
Fzd4	0.040903686087990485
Fzd6	0.1508242181482052
Gbp5	0.3498504356873455
Gch1	0.10486826033850984
Gimap1	0.1111020607640303
Gimap4	0.3944421401907922
Gimap9	0.4334200701436814
Gja4	0.10423375074537866
Glyatl3	0.2549806123813344
Gm525	0.08589969203695556
Gm614	0.3033693738999246
Gmds	0.03763851738632022
Golim4	0.1248968038683807
Gpcpd1	0.06289565039820298
Gprc5a	0.20874807233982892
Gpx7	0.1037703804347826
Grap	0.051961236732810334
Grasp	0.08022053756030324
Grb7	0.08370423546302942
Grrp1	0.12285209571222094
Gypc	0.10792870313460357
Heg1	0.4814756671899528
Heph	0.15269016697588125
Hic1	0.03722420806113645
Hmgn5	0.3253255381344672
Hopx	0.002778795342633764
Hprt	0.03897007654836465
Hrct1	0.4892343120322394
Hsd3b7	0.1228332337118948
Hspa12b	0.06471981057616417
Hspb1	0.0961898813241724
Hspb8	0.04042834797256648
Hspg2	0.10320052253429132
Ifih1	0.16902297399646551
Ifnar1	0.3765338110165696
Il15	0.24651691782769405
Il17rc	0.3311906948270585
Il1r1	0.24975599175794386
Ildr2	0.1580405054526571
Impdh1	0.009184033910279051
Iqcg	0.2754939256350473
Irf7	0.18896622840938387
Irx3	0.1126836646499568
Ism1	0.0542157412600486
Itga1	0.1024533251041506
Itga4	0.15370705244122965
Itgb1	0.05950184501845018
Itgb3bp	0.4408450704225351
Jag1	0.02769461077844312
Jak2	0.048338368580060416
Kank3	0.14040413622995926
Kank4	0.2761341222879684
Kcne3	0.07831165383594373
Kcne4	0.05403265710044533
Kcng2	0.05716245569909684
Kcnj2	0.010554089709762534
Kcnk5	0.08445322793148881
Kdr	0.1483894317770539
Kif23	0.09972251127297954
Kitl	0.4031193761247751
Klrg1	0.6374854093713523
Lalba	0.3559563976122502
Lama4	0.103867050175775
Lamc3	0.15034298780487804
Lef1	0.05064130915524105
Lipc	0.23508664315289066
Lmo2	0.005009276437847866
Lnx2	0.05691712350854562
Loxl2	0.08043451727084096
Loxl4	0.11017346460384432
Lrp8	0.09355316783994072
Lrrc18	0.08231099926601658
Ly6g5c	0.19084558156414444
Lysmd3	0.1918148785618665
Mamstr	0.26130462317922737
Mansc1	0.4595842956120093
Maoa	0.13130887108111908
Map4k2	0.04947045707915273
Marveld1	0.06393982134461683
Mfsd6l	0.267603571951398
Mgp	0.12981645800413275
Mgst2	0.31538861000519297
Mlkl	0.5275680997702658
Mmp25	0.19470924690181124
Mmrn1	0.33379752123659656
Mpp7	0.06332266097474208
Msx1	0.04957264957264957
Muc13	0.4372702057666258
Myct1	0.12910606308220302
Myl9	0.0018784710878797782
Myo1e	0.03013278855975485
N4bp3	0.0684323913318971
Nampt	0.042341574310883784
Ncaph	0.23703894763992775
Ndufa4l2	0.023026315789473683
Nes	0.5358792384814689
Net1	0.15195954487989888
Nid2	0.17970265029088556
Nlrc3	0.22052308132056594
Nmi	0.273850247054352
Nodal	0.14289136423523774
Nos2	0.1492358405753671
Nostrin	0.250194099378882
Noxo1	0.2257522123893805
Npr1	0.04925888777443442
Nxn	0.02894102170576628
Ocln	0.12472681860755545
Odf3b	0.1760339048779812
Oip5	0.4408792767239851
Papln	0.20858592106891005
Paqr5	0.0865615358244772
Pcdh1	0.040156585427452963
Pcdh12	0.1914694894146949
Pdcd10	0.008228840125391849
Pde5a	0.07829447699788056
Pde7b	0.08740120874012088
Pdgfd	0.09164969450101833
Pecam1	0.38211604095563134
Pglyrp1	0.002615738396520253
Phactr2	0.22217973231357552
Phldb2	0.10444709490543534
Pik3r6	0.15052389470994126
Pir	0.097462949007787
Pkn3	0.09515507432556433
Plk2	0.042344497607655504
Podxl	0.4930861093651792
Polk	0.28940269749518305
Pomp	0.029415310427968657
Pop5	0.09669596847529552
Pou2af1	0.0726686507936508
Ppef1	0.42961398117918187
Ppfibp1	0.1114831593460705
Ppic	0.09761785773779776
Ppp1r13b	0.0793889596111561
Ppp1r2	0.20915448188175464
Prdm1	0.08220822082208222
Prelid2	0.18668876001104667
Prex2	0.04664156443580711
Prickle3	0.0925655976676385
Prkch	0.017926734216679657
Procr	0.3753923414940364
Prop1	0.2990684752410525
Prrg2	0.15173606820709254
Psmc3ip	0.09548092139968348
Ptgfrn	0.09191129342391999
Ptprg	0.06659959758551308
Rab11fip1	0.3640675956122147
Rab12	0.03520726859738785
Rab13	0.0665437221453819
Rai14	0.1294862772695285
Ramp2	0.37819929842795896
Rapgef5	0.10402886349969934
Rassf1	0.05382803297997643
Rassf3	0.047017045454545436
Rbpms	0.0746407046824293
Rell1	0.08209559816365107
Ret	0.1344326439351593
Rgl1	0.0722440576455175
Rgs12	0.09143897996357014
Rgs16	0.10096381734871226
Rgs5	0.09444704414287942
Rhobtb1	0.07514800048326688
Rhod	0.1064932318104907
Rhoj	0.06480263157894736
