Gene name	rnorvegicus_dNdS
0610040J01Rik	0.4273237679351217
1700003F12Rik	0.13675213675213674
1700017B05Rik	0.29613500272182897
1810010H24Rik	0.08167330677290836
2610528A11Rik	0.6083733100741388
4930404N11Rik	0.1749144811858609
4932438H23Rik	0.3455197132616488
5430427O19Rik	0.1354723707664884
A630001G21Rik	1.0155719139297847
Aass	0.13576388888888888
AB124611	0.23926901827454314
Abca6	0.38438880706921946
Abca9	0.21606425702811247
Abcc3	0.2281512605042017
Abcd1	0.091792656587473
Abcd2	0.06377551020408162
Abhd12	0.008397480755773267
Abhd15	0.0864086408640864
Abhd3	0.06307977736549164
Abhd4	0.02751031636863824
Abi3	0.17680973734785396
Abtb2	0.022430881585811163
Acot11	0.11102074013826757
Acsbg1	0.1479369339147937
Acsl6	0.08607292289300658
Acss1	0.13213399503722084
Acss2	0.02540415704387991
Adam12	0.18872214643019555
Adamts2	0.08245533669262484
Adamts4	0.14607843137254906
Adamts6	0.02628120893561104
Adap2	0.2657642786398151
Adcy7	0.12021407986825855
Adcyap1r1	0.06986666666666667
Adhfe1	0.057082452431289635
Adora1	0.04183884297520661
Adora2b	0.09276018099547513
Adrb1	0.0199443413729128
Adrb2	0.09931170108161258
Adssl1	0.007194244604316547
Afp	0.3419155509783728
Aif1	0.24058416602613375
Aifm3	0.033192090395480225
Aim2	0.3272445820433437
Akna	0.6132075471698113
Aldh1l1	0.21765455704270234
Aldh3b1	0.05786951713969775
Aldoc	0.056511056511056514
Alox5	0.03929539295392953
Alox5ap	0.07756563245823389
Alpl	0.034558592522777265
Ampd3	0.0447405997144217
Amz1	0.12525184687709873
Angptl1	0.0927536231884058
Angptl7	0.050822669104204736
Aoah	0.33540694660445824
Apbb1ip	0.29448198198198194
Apobec1	0.25690954773869346
Apobec2	0.024603836530442038
Apobr	0.9637681159420288
Apoe	0.1853146853146853
Aqp4	0.10349801658853228
Aqp9	0.4976816074188562
Arap1	0.0748486516235553
Arhgap19	0.1407205982324949
Arhgap22	0.14907407407407405
Arhgap30	0.3396111786148238
Arhgap4	0.3037800687285224
Arhgap9	0.15887380593262948
Arhgdib	0.07199140401146131
Arhgef19	0.07242339832869081
Arhgef26	0.1017274472168906
Arl11	0.24888558692421994
Arl5c	0.14704575744113724
Armc3	0.16309887869520898
Arrb2	0.011213047910295615
Arsb	0.2490322580645161
Asb10	0.20093023255813955
Aspa	0.1184971098265896
Asrgl1	0.27645659928656363
Atp10b	0.13111111111111112
Atp13a4	0.12437562437562436
Atp1b2	0.04979628791308285
Atp7b	0.1837641357027464
Axl	0.11865729898516784
B3galt5	0.0567069660333909
B3gnt7	0.10659114315139033
Bace2	0.09120788824979456
Bank1	0.3437643810400368
Barx2	0.12082957619477007
Batf3	0.06809848088004193
BC049352	0.0658833403273185
Bcan	0.12312312312312312
Bcas1	0.43828598043782013
Bco2	0.18838457784285015
Bfsp2	0.18305084745762715
Bhlhe41	0.2861965491372843
Blnk	0.0956618464961068
Bmp4	0.01499659168370825
Bmpr1b	0.02336448598130841
Btbd16	0.21807628524046435
Btbd17	0.05145326001571092
Btk	0.129469326307866
