Gene name	mdomestica_dNdS
0610040J01Rik	0.317418966985622
1700003F12Rik	0.005290289506287114
1700017B05Rik	0.13598669469404726
2510039O18Rik	0.056770141321415626
4930404N11Rik	0.17419129218394822
5430427O19Rik	0.19594759541052967
AB124611	0.2363773792345221
Abcc3	0.06970509383378015
Abcd1	0.06058886129833275
Abcg3	0.29295370440299073
Abhd12	0.1139576910811098
Abhd15	0.09927333066315727
Abi3	0.09440760273614954
Acads	0.07176020200374685
Acox3	0.08696685279790899
Acp5	0.023043050161369732
Adam15	0.2448441900608704
Adam33	0.07307016357982965
Adam8	0.059992179510317024
Adamts16	0.11027536137092027
Adap2	0.12741665398081894
Adcy7	0.11204637939684486
Adrb2	0.07355090112031172
Afp	0.2653901066599479
Agpat2	0.1066747328090341
AI467606	0.2032082897424401
AI661453	0.19275479859421468
Akna	0.37495434385598747
Akr1b3	0.09159397303727199
Aldh16a1	0.09658956809063016
Alox5	0.03272178939432018
Alox5ap	0.11696155759255313
Amz1	0.11776377796517686
Angptl7	0.08505008505008506
Anks6	0.09777527457054352
Ap1b1	0.016490076108043573
Apbb1ip	0.15248558516440705
Apobec1	0.2427659760468573
Apobec2	0.04021813224267212
Apoc1	0.012339278037596236
Arap1	0.1044898918664786
Arap3	0.11867015545636447
Arhgap19	0.10885125698324023
Arhgap22	0.09123367076910152
Arhgap25	0.1291800588114614
Arhgap30	0.2174299688750556
Arhgap4	0.16797047970479706
Arhgdib	0.061603107904542924
Arhgef6	0.11610379698530815
Arl4c	0.001384328689324696
Armc3	0.12946269718894554
Armc5	0.09921455146754858
Arsb	0.16521166199967058
Asb10	0.1415144718573107
Asb2	0.02306315725976716
Atf3	0.04996019108280255
Atp8a2	0.08295007943808011
Aup1	0.15735900962861074
B2m	0.012505800919984341
B3gnt8	0.00731930923706818
B4galnt1	0.1401904521662357
B4galt1	0.1315996371333535
Bank1	0.221726700971984
Batf	0.021924695977549112
Batf3	0.002943464779987506
Bcl2l1	0.04524212665086353
Bcl3	0.02631014152432173
Bco2	0.13408226127921727
Bcor	0.1323842727096649
Bhlhe41	0.12474652647390162
Bid	0.2244654637946109
Bin1	0.05004154741021143
Blnk	0.1196312480017052
Bmf	0.1131346578366446
Bri3	0.2042420145343924
Btbd19	0.02579276913754797
Btg2	0.03693065244152647
Btk	0.036874542985479986
C130050O18Rik	0.12684499750215722
C1qa	0.1452330131625756
C1qb	0.0042378356427358425
C1qc	0.11662260923651065
C3	0.09067427425883803
C3ar1	0.33435608259391325
Cables1	0.1310658098825615
Cacna1s	0.06833013435700577
Camk1	0.029335202242691233
Capn3	0.04686110617108305
Car13	0.06674814327347935
Card11	0.033702119747117884
Card9	0.0027748029520229065
Casp4	0.2887479871175523
Cass4	0.20368269032391167
Cbr2	0.08531845536609829
Ccdc162	0.2568227290916367
Ccl24	0.3316701148026449
Ccl5	0.05795133954139532
Ccr3	0.1135941457922882
Ccr6	0.041827306209481135
Ccrl2	0.3413878562577447
Cd101	0.2755351042320296
Cd14	0.07198764430250518
Cd180	0.19498752683181528
Cd19	0.2548557975279576
Cd22	0.2711514426995598
Cd36	0.09109947643979058
Cd37	0.00732534918381413
Cd3d	0.3542386589221381
Cd3e	0.3895334685598378
Cd4	0.2614768174012593
Cd53	0.2388078236572493
Cd6	0.24416769976332695
Cd68	0.3735179834611936
Cd7	0.18483692439954866
Cd74	0.013007190479565191
Cd80	0.5182565590617821
Cd83	0.22059339887640453
Cd86	0.013302008119898795
Cdk6	0.13949148588756705
Cds1	0.045616113744075835
Cdt1	0.022643181202877984
Cebpa	0.001571550160502131
Cebpb	0.014899567354808897
Cerk	0.0620702301274411
Cfp	0.05833233105960379
Chst12	0.03168847548478638
Chst7	0.01414893293147015
Cib1	0.09949043521844456
Cilp2	0.0036461051920537928
Ckm	0.00712417209328213
Clec4e	0.21360778996672009
Clec5a	0.25757797627763945
Cln3	0.13877736044553812
Cmklr1	0.035805508893849085
Cmtm6	0.44705618983657935
Cmtm7	0.15525569270873266
Cndp2	0.05603697284806471
Cnpy3	0.08459214501510573
Col15a1	0.10898995784350687
Col27a1	0.0912106135986733
Comp	0.02179479363531061
Comt	0.004083449498639681
Comtd1	0.07466101694915253
Coro1a	0.04801829268292684
Coro2a	0.0688093714623222
Cotl1	0.034785743252376884
Cox6a2	0.018538253949155162
Cpn1	0.09387898922782643
Creg1	0.2968163893430797
Cryba4	0.11554172340011673
Crybb1	0.08957434477429327
Cryl1	0.10955095231475044
Csf1	0.4800042600777464
Csf1r	0.15489739019150786
Csf3r	0.305836032260113
Csk	0.010968413745227355
Cst7	0.18366629375099888
Ctsa	0.06595431098010318
Ctsb	0.10686861570975696
Ctse	0.15842850616719964
Ctss	0.15315666406858924
Ctsz	0.07599478147423354
Cx3cr1	0.015092992307442632
Cxcl10	0.34035041841004177
Cxcl16	0.458538184201901
Cyba	0.0973756906077348
Cybb	0.06730298580518845
Cysltr1	0.09099532060199823
Cytip	0.20668192219679635
Daglb	0.1025939780462378
Dapp1	0.08247909360669005
Dennd1c	0.08419793535637203
Dennd4b	0.08254779314597832
Dgkd	0.05458821401112569
Dhrs3	0.04631144625453512
Dhx58	0.07189655670043582
Dnajb13	0.06108926358885956
Dnase1l3	0.1900885803208044
Dnase2a	0.12413579152632513
Dock2	0.038973090009279315
Dok1	0.10879445064583
Dok2	0.16664319909884534
Dok3	0.10936345861394743
Dtnbp1	0.08350348149311555
Dtx4	0.05863110216406644
Duoxa1	0.21389381959012424
Dupd1	0.002021571785986275
Dusp13	0.1415959840747793
Dusp2	0.08827323201166509
Dusp27	0.0860171833391951
Dusp5	0.1051103811779085
Dyrk4	0.2860965318513945
E2f2	0.14739915074309978
Ebi3	0.007190399226236684
Edem1	0.10322916666666666
Eef2k	0.050383407956358386
Egr2	0.050223015165031235
Egr3	0.03806758609565288
Ehbp1l1	0.04806022003474233
Ehd4	0.019205754074527508
Elf4	0.24422601459325816
Emilin2	0.15259172976121144
Engase	0.1536371868397223
Eno3	0.010474909760067944
Enpp1	0.1491921911814204
Entpd1	0.24747252747252746
Epsti1	0.4285084626234132
Ermap	0.2525045703839123
Erp29	0.05084200678283242
Evi2a	0.3034333016691545
F11r	0.1861497291299524
F13a1	0.10297872340425533
F9	0.13473531544597533
Fam110a	0.07710600677055647
Fam167b	0.002907335007253489
Fam3a	0.14254108723135273
Fam78a	0.038333702636826936
Fam83g	0.06923401264933239
Fbxw4	0.14743387079776585
Fcer1g	0.07886720609233698
Fes	0.05221553022155303
Fez2	0.04948251114300823
Fgd2	0.06771014492753623
Fgd3	0.10616110616110616
Fhl3	0.028374697336561738
Fhod1	0.10281206260338464
Fkbp5	0.08190679007289704
Flcn	0.03714847107945474
Fmnl1	0.07713406101315423
Fndc7	0.13716669393096678
Frrs1	0.17569578806369995
Furin	0.07008995502248876
Fyb	0.16353056752059247
Fzd7	0.013248811410459587
Gabrd	0.04554922927371199
Gadd45b	0.003055229747354516
Gal3st4	0.18154817152403932
Galm	0.1316950852557673
Galns	0.09071580439404678
Galnt12	0.10617519204430416
Gas6	0.08970547245191861
Gbgt1	0.08975632836527088
Gdf15	0.010085498984092993
Ggt5	0.01145708863428692
Glipr1	0.2312523552317548
