MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:2137706	Actn1	actinin, alpha 1	protein coding gene	12	80167547-80260371	36.49	-	
MGI:1919418	Aifm3	apoptosis-inducing factor, mitochondrion-associated 3	protein coding gene	16	17489624-17507485	10.84	+	
MGI:2685921	Apold1	apolipoprotein L domain containing 1	protein coding gene	6	134982001-134986836	65.77	+	
MGI:2685175	Asxl3	additional sex combs like 3, transcriptional regulator	protein coding gene	18	22344883-22530227	11.96	+	
MGI:1298375	Cabin1	calcineurin binding protein 1	protein coding gene	10	75646112-75764341	38.56	-	
MGI:2144842	Cbll1	Casitas B-lineage lymphoma-like 1	protein coding gene	12	31484829-31499616	13.49	-	
MGI:2685199	Ccdc9b	coiled-coil domain containing 9B	protein coding gene	2	118754158-118762661	59.45	-	
MGI:104571	Clcn4	chloride channel, voltage-sensitive 4	protein coding gene	7	7282309-7300851	4.23	-	
MGI:1916421	Cnppd1	cyclin Pas1/PHO80 domain containing 1	protein coding gene	1	75135215-75142733	38.6	-	
MGI:2385878	Cyp2c70	cytochrome P450, family 2, subfamily c, polypeptide 70	protein coding gene	19	40153361-40187286	34.24	-	
MGI:1196315	D6Ertd474e	DNA segment, Chr 6, ERATO Doi 474, expressed	lncRNA gene	6	143245888-143297272	75.5	+	
MGI:107975	D13Sut1e	DNA segment, Chr 13, Sutcliffe 1 expressed	unclassified gene	13	syntenic			
MGI:1921256	Dnm1l	dynamin 1-like	protein coding gene	16	16312230-16358959	10.12	-	
MGI:99870	DXBay18	DNA segment, Chr X, Baylor 18	protein coding gene	X	73137232-73149450	37.29	-	
MGI:1349385	Dysf	dysferlin	protein coding gene	6	84008590-84211060	36.14	+	
MGI:1913687	Fis1	fission, mitochondrial 1	protein coding gene	5	136953275-136966234	76.06	+	
MGI:2384150	Gjd3	gap junction protein, delta 3	protein coding gene	11	98982180-98983016	62.89	-	
MGI:3645721	Gm5420	predicted gene 5420	lncRNA gene	10	21690845-21693978	9.81	+	
MGI:1920374	Golim4	golgi integral membrane protein 4	protein coding gene	3	75876183-75956949	33.76	-	
MGI:1918309	Hexim2	hexamethylene bis-acetamide inducible 2	protein coding gene	11	103132429-103139876	66.71	+	
MGI:104667	Hmmr	hyaluronan mediated motility receptor (RHAMM)	protein coding gene	11	40701395-40733422	24.4	-	
MGI:96664	Kcna7	potassium voltage-gated channel, shaker-related subfamily, member 7	protein coding gene	7	45405653-45409763	29.3	+	
MGI:1928743	Kcnd3	potassium voltage-gated channel, Shal-related family, member 3	protein coding gene	3	105452330-105674002	46.32	+	
MGI:1891125	Kcne4	potassium voltage-gated channel, Isk-related subfamily, gene 4	protein coding gene	1	78816949-78820025	40.89	+	
MGI:2687399	Kcnf1	potassium voltage-gated channel, subfamily F, member 1	protein coding gene	12	17172100-17176888	8.04	-	
MGI:2384976	Kcnk13	potassium channel, subfamily K, member 13	protein coding gene	12	99964499-100062682	50.43	+	
