Gene name	sscrofa_dNdS
0610040J01Rik	0.3700393658899883
1700003F12Rik	0.3075205640423032
1700017B05Rik	0.2071078431372549
2610528A11Rik	0.7465714822468532
2810459M11Rik	0.3482212819307319
4930404N11Rik	0.10663132241652057
4932438H23Rik	0.3151506497215479
5430427O19Rik	0.1807511737089202
A2m	0.3042379182156134
Aass	0.09678362573099414
AB124611	0.18840732169156324
Abca6	0.34580141204746884
Abca9	0.22492307692307686
Abcc3	0.12193308550185873
Abcd2	0.07473237729751568
Abhd12	0.08674652241112829
Abhd15	0.0788622420524261
Abhd3	0.12685125563425628
Abhd4	0.12128760298907836
Abtb2	0.017046911048449114
Acot11	0.07436336400599187
Acsbg1	0.12265446224256292
Acsl6	0.12291743798593112
Acss1	0.11351308859366402
Acss2	0.1282523601197329
Adam12	0.19441036128152686
Adamts2	0.07200000000000001
Adamts4	0.10785937787594332
Adamts6	0.07191568505889646
Adap2	0.11118486558247594
Adcy7	0.08917748917748917
Adcyap1r1	0.0536017188736854
Adhfe1	0.1478794642857143
Adora1	0.03877593795849927
Adrb1	0.057558760683760674
Adrb2	0.07873029132296126
Adssl1	0.020466481309854803
Afp	0.32820751786269026
Aif1	0.11103874959296646
Aifm3	0.10996263019798044
Akna	0.3951306112097388
Aldh1l1	0.054390563564875496
Aldoc	0.02563554795983764
Alox5	0.14162271350016833
Alox5ap	0.04601523114877185
Alpl	0.04907098618389709
Ampd3	0.02703401888500841
Amz1	0.09405968627895124
Angptl1	0.05875932326723667
Aoah	0.26703433552748623
Apbb1ip	0.19848873296451225
Apobec1	0.28468994821404864
Apobec2	0.049209662988368624
Apobr	0.6241626794258374
Apoe	0.11681957186544342
Aqp4	0.04945379391792146
Aqp9	0.3272851296043656
Arap1	0.07078367641747924
Arhgap19	0.1306532663316583
Arhgap22	0.1033677482792527
Arhgap30	0.3220900760382141
Arhgap4	0.13516234583438208
Arhgap9	0.1904469359545385
Arhgdib	0.04971173719134123
Arhgef19	0.08897097625329815
Arhgef26	0.096529284164859
Arl11	0.12464015353449195
Armc3	0.096954425942156
Arrb2	0.02663798808735936
Arsb	0.19979174801509827
Asb10	0.11496584116140053
Asb2	0.06830931690683094
Aspa	0.13937082936129647
Asrgl1	0.25799937868903383
Atp10b	0.1421518803542907
Atp1b2	0.014617057260207782
Axl	0.09710684617588083
B3galt5	0.12876580994874445
B3gnt7	0.053989345783204634
Bank1	0.4032108675517134
Barx2	0.1323136323136323
Batf3	0.07930404690954533
BC049352	0.08497328294017985
Bcan	0.1641839378238342
Bcas1	0.4597778525748906
Bco2	0.1742077613963735
Bfsp2	0.16703523514669025
Bhlhe41	0.14361479413817166
Blnk	0.11781479813897645
Bmp4	0.0302788844621514
Bmpr1b	0.01195669736629504
Btbd16	0.2988572255171416
Btbd17	0.03524004085801838
Btk	0.015869657215404145
C130050O18Rik	0.12634222376169033
C1qa	0.19539579967689824
C1qb	0.1810093245070824
C1qc	0.16486137334790818
C1ql1	0.015463917525773196
C1rl	0.1793932162945287
C2	0.20082376435346974
C3	0.13550717563213904
C4b	0.2246779489770144
Cables1	0.1266360099044924
Cacna2d4	0.10765021572135117
Calhm2	0.023397894189522945
Camk1	0.047719184729860885
Camk2a	0.0014530190506942206
Capn3	0.06990997893123922
Capsl	0.08670232615997013
Car5b	0.13956587966488956
Car8	0.00873059866962306
Card9	0.035045168547224864
Carns1	0.16732522796352586
Casp1	0.3575196008553101
Casr	0.043928923988154
Cass4	0.2698155280762213
Cbr3	0.07924825864108292
Cbs	0.09090909090909093
Ccdc13	0.19308578745198465
Ccdc74a	0.16940651992198386
Ccdc80	0.15246713334471573
Ccl2	0.2929924919556668
Ccl22	0.3117397840645073
