Gene name	fcatus_dNdS
1700001C19Rik	0.15839899713467048
1700020L24Rik	0.16502221887474575
2200002D01Rik	0.15730951512942035
2310030G06Rik	0.6017736486486486
4921507P07Rik	0.25620099215874537
4930523C07Rik	0.2244802616211166
4931406P16Rik	0.06866767436838696
9930012K11Rik	0.4079007808911346
A3galt2	0.16286445012787726
A4galt	0.06532397615843108
Abca4	0.13307280954339776
Abcc4	0.09576470588235296
Abcc6	0.1586065130368928
Abcc9	0.017138599105812218
Abcg2	0.19843249020306375
Abhd2	0.07299697472430956
Ablim1	0.09214618973561432
Acacb	0.07410961825549159
Ace2	0.24982778415614235
Acer2	0.04249384741591468
Acss3	0.06370343710635236
Actn1	0.020232296740352197
Actn4	0.007418091901916341
Acvrl1	0.06558220941006898
Adamts8	0.16847909327615254
Adamts9	0.0950891460744448
Adamtsl2	0.05247941124934292
Adcy4	0.0535263647230708
Adh1	0.13199426111908175
Adm	0.2277111955568547
Adora2a	0.09063766261463001
Afap1l1	0.07749567991492756
Agfg1	0.06335923490735205
Ahr	0.2337200105457421
Akap12	0.2195287567053711
Amdhd1	0.12552552552552554
Angpt2	0.0887935827178143
Angptl4	0.12518345851679186
Ankrd37	0.22866146047403754
Ano1	0.03931493551518513
Anpep	0.12541095341191566
Antxr2	0.20685778527262508
Anxa1	0.18133107727016354
Anxa11	0.09243252778267773
Anxa2	0.014530190506942204
Anxa3	0.14052999885281633
Anxa4	0.06855691917054592
Anxa5	0.21073502336779493
Anxa6	0.058985751493795015
Anxa7	0.0968482571488207
Apln	0.1439018020370854
Apold1	0.06671061305207647
Apool	0.4022832291383529
Aqp11	0.2869685767097967
Arhgap18	0.17480390587481992
Arhgap28	0.10223172524388614
Arhgap29	0.18910791847644506
Arhgef15	0.13590968302214504
Arhgef5	0.4311489361702128
Arl4a	0.13226592412112773
Art3	0.3805563955246447
Asb4	0.05388210854323552
Aspn	0.1304888152444076
Atox1	0.11136519551795106
Atp10a	0.11688311688311688
Atp11c	0.08000831255195344
Atp13a5	0.18113668061366808
Atp2a3	0.05090497737556561
Atp7a	0.12698042870456666
AU021092	0.2705365622032289
B3gnt2	0.1184916104480194
Bambi	0.04724313820743259
BC028528	0.32826461827872705
Bcam	0.13079416531604535
Bche	0.14872580420554246
Bcl10	0.06505376344086021
Bcl6b	0.16095266990291265
Best1	0.25096194955109025
Birc3	0.17050291660097747
Bmx	0.08388128665363427
Bnip2	0.05547315336695343
Bok	0.03979158316633267
Bsg	0.14314736677605874
Bspry	0.22649279341111875
C130074G19Rik	0.1731135066582118
C1qtnf9	0.12490421455938698
Calcrl	0.11048387096774194
Cald1	0.07530120481927711
Calml4	0.07206125206425462
Capg	0.0336016800840042
Capn12	0.131625
Car4	0.35001410967924
Car5a	0.1342403363307252
Card10	0.05132280078526689
Casp6	0.09555209207529072
Casp7	0.2085853370703644
Casp8	0.2926995369109235
Casq2	0.06861156131820638
Cast	0.3346077598414047
Cav1	0.06159328073301094
Cav2	0.1050804670242979
Ccdc125	0.2565780314631769
Ccdc126	0.09981978374048857
Ccdc141	0.335762331838565
Ccdc85a	0.06888119013653962
Ccl20	0.4739629302736099
Ccne2	0.12191103789126853
Ccng2	0.0725050916496945
Ccnjl	0.09426934097421204
Ccr10	0.07765303394814221
Cd109	0.2946812025107367
Cd151	0.042201215395003384
Cd248	0.19909245604083947
Cd2ap	0.14426167517489127
Cd300lg	0.4884892086330935
Cd320	0.3133837261004891
Cd34	0.5036764705882352
Cd40	0.31066402191366776
Cd69	0.3097887589588835
Cd93	0.2169425164620039
Cdc42ep3	0.06067285382830626
Cdc42ep5	0.06606252345970294
Cdk1	0.01623950508174989
Cdkn1a	0.1257740950719581
Cdkn1c	0.2292941656466748
Cep55	0.21219025918541726
Cfi	0.22771173848439824
Cgnl1	0.10855365474339036
Chst9	0.20634426994246616
Cish	0.0723597480591768
Cldn6	0.08186010760953114
Clec14a	0.26012269938650306
Clec1a	0.2405063291139241
Clec9a	0.41416100872938894
Clic5	0.09632900910847364
Clic6	0.16645498692566305
Cnn2	0.014628050573360776
Cnot6l	0.08038585209003216
Cnr2	0.15451895043731778
Cobll1	0.3664229033763808
Col14a1	0.10422728050658908
Col18a1	0.17466680028058926
Col28a1	0.20096699600588608
Col4a1	0.07035047326682016
Col4a2	0.13043478260869565
Col4a3	0.2505215577190542
Cox4i2	0.2462311557788945
Cox7b	0.4875695732838589
Cpa1	0.10127431254191817
Cr1l	0.5167178914035577
Crem	0.10729253981559096
Crip2	0.03972517176764522
Crispld1	0.04060687193217314
Crtap	0.06470115865550075
Crybb3	0.01930628272251309
Crybg3	0.4520526723470178
Csf3	0.2484825963086833
Csrp2	0.006900517538815411
Cthrc1	0.050656660412757966
Ctnna1	0.006846188954815154
Ctsh	0.1753684005074656
Ctsw	0.2341829767865271
Cxcr4	0.08110218652387327
Cyyr1	0.13212025316455694
Dcbld1	0.23606914057778314
Ddc	0.08570802279701886
Ddx58	0.20530464156136616
Def6	0.03683698822512693
Degs2	0.050744248985115016
Dennd2c	0.16355653128430295
Dennd3	0.07532993597282113
Dera	0.12466776357423112
Des	0.02691238847447711
Dgka	0.2012797074954296
Dgkh	0.0888731396172927
Dhh	0.012896825396825396
Dlc1	0.1343661081251976
Dll4	0.12716090425531915
Dnajc10	0.09150214592274676
Dnase1l1	0.15501631750710598
Dock6	0.0325070371379279
Dok4	0.011444921316165951
Dpp4	0.19838308457711445
Dram2	0.1902730375426621
Dtx3l	0.41945876288659795
Dusp23	0.02438468550592525
Dusp6	0.01335559265442404
Dysf	0.04862861378799111
E2f7	0.19627364528516567
Ebf1	0.007653910149750416
Ece1	0.02217242599363133
Ecm1	0.34438583270535034
Ecm2	0.20094916947670788
Ecscr	0.8593899603337437
Efna1	0.157513460597161
Egfl7	0.1571264727348556
Egfl8	0.18962409886714726
Egflam	0.11161340607950117
Ehd2	0.008445863000245519
Eif3h	0.03568242640499554
Elf1	0.08685185185185185
Elk3	0.07790964777947933
Emcn	0.6463640244770172
Emp1	0.11791708506670492
Endou	0.09280072904009723
Eng	0.28040141676505315
Enpep	0.18472222222222226
Enpp3	0.17611134781991195
Epas1	0.09488272921108742
Epha2	0.033195419994226885
Ephb4	0.04671115347950429
Epor	0.13945420906567993
Eps8l2	0.07492795389048992
Erg	0.04606971975393028
Esam	0.37753052078504096
Esm1	0.18958399491902192
Esyt1	0.11566516151441475
Esyt2	0.0982562038900067
Etl4	0.1702468739980763
Ets1	0.08733172247152225
Exoc3l	0.1698192517864649
Exoc6	0.06897967563128721
F2rl3	0.11097154242647377
F5	0.2950693374422188
Fam111a	0.5188144704344035
Fam124b	0.2542935653766888
Fam129a	0.27826664452930433
Fam13a	0.14928084784254353
Fam187b	0.18220289630003492
Fam71a	0.28440818622969266
Fam71f2	0.3630488076665924
Far2	0.08056803361831617
Fbln5	0.10098485962075554
Fbxl22	0.059597806215722124
Fcgrt	0.12188136456211815
Fcho2	0.05898876404494384
Fermt2	0.01450813871196037
Fgd5	0.20214610882289186
Fgfbp1	0.3678312458800264
Filip1	0.03206971677559913
Fkbp10	0.1257681712227167
Fkbp7	0.12080149920715008
Fli1	0.04061433447098976
Flnb	0.030349478847332932
Flrt2	0.05219831618334893
Flt1	0.14396471060018715
Flt4	0.08890063424947146
Fn1	0.06948253794112268
Fndc1	0.2686769899483836
Foxc1	0.04282244663172696
Foxf2	0.02557266982622433
Foxl2	0.019808517662594918
Foxp1	0.08594150846587995
Foxq1	0.09872171359474867
Foxs1	0.20492550927333536
Frem1	0.2570998683468121
Frk	0.13429588607594936
Frmd4b	0.09038819653344793
Fut4	0.12544429995665365
Fzd4	0.04329004329004329
Fzd6	0.16495358090185674
G6pc	0.11398963730569947
Gadd45a	0.05305956495222607
Gata2	0.022695905535960743
Gata3	0.0152587890625
Gbe1	0.1101044226044226
Gcnt2	0.13640953150242327
Gdpd3	0.2359618893168457
Ghr	0.305578684429642
Gimap6	0.2663691286126381
Gimap8	0.4377782274382841
Gja4	0.0639028578437385
Gja5	0.0887154738679536
Gjc1	0.03601440576230492
Glyatl3	0.25292490959370345
Gm525	0.047243164039420506
Gm614	0.3896536733806694
Gmds	0.11972044971133393
Gmnn	0.21560452650387135
Gng11	0.0092159364809301
Golim4	0.1297552701720378
Gpc3	0.0579302587176603
Gpcpd1	0.0754844524560613
Gpihbp1	0.1730998393865603
Gpr143	0.16736974119256642
Gpr182	0.15038573289249574
Gprc5a	0.20320660755496173
Grap	0.0045910981631991366
Grasp	0.055108767303889264
Grb10	0.07145931984502799
Grb7	0.08488937705946964
Grk5	0.035309574642798484
Grp	0.3193619272401726
Grrp1	0.11228287841191067
Gsta4	0.22573316811235025
Hapln3	0.09090224998118747
Heg1	0.4348341232227488
Heph	0.1535375638220277
Hic1	0.025765678172095286
Higd1b	0.13531165696436176
Hmcn1	0.12565536525690318
Hmgcs2	0.11630780091775506
Hmgn5	0.4118610953551396
Hopx	0.027888944472236117
Hsd3b7	0.16220996774529187
Hsf4	0.14553055942663748
Hspa12b	0.0344397870171066
Hspb1	0.05170609168934478
Hspb2	0.053069485046098486
Hspb8	0.07019358652283139
Hspg2	0.08519153802172669
Htr2a	0.08996088657105605
Htra3	0.028001898433792118
Icam2	0.3894709610658388
Ifi44	0.544275554315995
Ifih1	0.1981763784014817
Ifnar1	0.3661275831087152
Igf1r	0.029804583157598763
Igfbp1	0.20070866141732285
Igfbp7	0.1407752841737103
Il13ra1	0.2511285738170875
Il15	0.2788898999090082
Il17rc	0.2936569222283508
Il1r1	0.2643754130865829
Il6	0.5361803084223012
Ildr2	0.10886777513855901
