chr	promoter_start	promoter_end
chr17	47437376	47439376
chr11	83435676	83437676
chr7	29248466	29250466
chr9	50746536	50748536
chr6	50596632	50598632
chr8	85432833	85434833
chr13	60864475	60866475
chr1	160042381	160044381
chr7	34313551	34315551
chr14	70159502	70161502
chr4	128753363	128755363
chr15	83251774	83253774
chr3	122042442	122044442
chr5	8658076	8660076
chr5	8796146	8798146
chr14	118706219	118708219
chr7	46030302	46032302
chr6	142702315	142704315
chr6	58582522	58584522
chr7	79271198	79273198
chr19	57314919	57316919
chr5	114144534	114146534
chrX	164137331	164139331
chr4	86872395	86874395
chr15	20666750	20668750
chrX	155260442	155262442
chr10	107123668	107125668
chr19	34255590	34257590
chr12	80260371	80262371
chr7	28962340	28964340
chr15	101126521	101128521
chr9	70676996	70678996
chr9	30940561	30942561
chr6	92943492	92945492
chr2	27077378	27079378
chr14	55784095	55786095
chr3	138258990	138260990
chr7	110625660	110627660
chr10	75314876	75316876
chr18	61786702	61788702
chr1	82837482	82839482
chr12	35535038	35537038
chr10	4264379	4266379
chr13	4047010	4049010
chr19	20727562	20729562
chr10	93540033	93542033
chr8	18741562	18743562
chr17	33781830	33783830
chr8	46005707	46007707
chr7	144751974	144753974
chr7	79861059	79863059
chr5	98031043	98033043
chr19	20390944	20392944
chr14	25840155	25842155
chr9	69451619	69453619
chr5	96791338	96793338
chr6	86793584	86795584
chr3	36475894	36477894
chr11	55033445	55035445
chr14	20480133	20482133
chr11	101328604	101330604
chr1	79671972	79673972
chr18	62920230	62922230
chrX	48034853	48036853
chr2	85134224	85136224
chr15	77757003	77759003
chr6	134979717	134981717
chrX	112309333	112311333
chr7	97738289	97740289
chr10	26751420	26753420
chr17	68004120	68006120
chr3	121950540	121952540
chr11	68957480	68959480
chr6	43263581	43265581
chr12	40038025	40040025
chr5	122389877	122391877
chr5	92329826	92331826
chr6	5381385	5383385
chr13	49542442	49544442
chr11	55461239	55463239
chr7	58654165	58656165
chrX	60592698	60594698
chr16	29378732	29380732
chr11	72959168	72961168
chrX	106025275	106027275
chr16	5222299	5224299
chr11	22860961	22862961
chr18	3505922	3507922
chr3	95892005	95894005
chr7	19771016	19773016
chr3	73708415	73710415
chr3	145920803	145922803
chr11	70229798	70231798
chr4	111413005	111415005
chr19	10001633	10003633
chrX	73481601	73483601
