Gene name	rnorvegicus_dNdS
1700001C19Rik	0.5101934134866702
2310030G06Rik	0.3139810426540285
4921507P07Rik	0.3315914489311164
4930486L24Rik	0.33127317676143386
4931406P16Rik	0.07917383820998279
9930012K11Rik	0.3750960799385089
A3galt2	0.1964114066004486
A4galt	0.15023818248442652
Abca4	0.11852589641434265
Abcc4	0.0809824095585795
Abcc6	0.2170767004341534
Abcc9	0.027918781725888325
Abcg2	0.2067736185383244
Abhd2	0.015129682997118154
Ablim1	0.1067496409765438
Acacb	0.11674074074074073
Ace2	0.28286445012787725
Acer2	0.05853894533139816
Acss3	0.05681159420289855
Acta2	0.01910067648229208
Actn1	0.012028204064703441
Actn4	0.012573673870333991
Acvrl1	0.08001939864209506
Adam10	0.07460890493381467
Adamts8	0.13004214328717642
Adamts9	0.10858585858585858
Adamtsl2	0.0773892773892774
Adcy4	0.08109504132231404
Adm	0.4189125295508274
Adora2a	0.05463182897862233
Afap1l1	0.09504608294930876
Agfg1	0.07723577235772358
Ahr	0.14981949458483754
Akap12	0.4338959212376934
Akr1c14	0.2544423440453686
Aldh1a7	0.2917247144051268
Amdhd1	0.11481113320079522
Angpt2	0.0901531728665208
Angptl4	0.09044715447154472
Ankrd37	0.3294765840220385
Ano1	0.0631328171530673
Anpep	0.29727497935590425
Antxr2	0.2050028752156412
Anxa1	0.1847507331378299
Anxa11	0.0471436494731004
Anxa2	0.04155027932960894
Anxa3	0.2397228637413395
Anxa4	0.11082693947144076
Anxa5	0.09880095923261392
Anxa6	0.04671280276816609
Anxa7	0.07624262847514744
Ap1s3	0.03909465020576131
Apcdd1	0.043401240035429584
Apln	0.14155770324047753
Aplnr	0.1080773606370876
Apold1	0.041043344840813185
Apool	0.31651693158258465
Aqp11	0.1627906976744186
Arhgap18	0.21490750816104465
Arhgap28	0.2097984986171474
Arhgap29	0.1843838193791157
Arhgef15	0.11651816312542837
Arhgef5	0.5023400936037441
Arpc3	0.029715436917652983
Art3	0.451576148879605
Asb4	0.034584253127299486
Atox1	0.062152437029767735
Atp10a	0.18809980806142035
Atp11c	0.16267547481420316
Atp13a5	0.13650465356773528
Atp2a3	0.12407063197026025
Atp7a	0.09944064636420136
AU021092	0.3008166969147005
B3gnt2	0.0786189683860233
Bambi	0.0523404255319149
BC028528	0.5603588907014682
Bcam	0.17853839037927846
Bche	0.15824279641001418
Bcl10	0.08613196365073092
Bcl6b	0.12833333333333335
Bend5	0.09635974304068523
Best1	0.6047928513403736
Bgn	0.020408163265306117
Birc3	0.20392927308447936
Bmx	0.1859592711682744
Bnip2	0.05561797752808988
Bpifb1	0.17755928282244074
Bsg	0.2257200267916946
Bspry	0.4645950076413653
C130074G19Rik	0.10200759631036356
C1qtnf9	0.14604236343366778
Calcrl	0.09802847754654982
Cald1	0.13980868285504047
Calml4	0.06051587301587301
Capg	0.022808586762075138
Capn12	0.05918367346938775
Car4	0.6273885350318471
Car5a	0.3102873802582257
Card10	0.04669260700389105
Casp12	0.3174335162515829
Casp7	0.10558252427184464
Casp8	0.5074681238615665
Casq2	0.10293271995399654
Cast	0.6481927710843374
Cav1	0.013114754098360656
Cav2	0.0643985419198056
Ccdc125	0.30556701030927835
Ccdc126	0.02998236331569665
Ccdc141	0.4020752269779507
Ccdc85a	0.10841121495327102
Ccne2	0.1126126126126126
Ccng2	0.06279838413514506
Ccnjl	0.10318471337579617
Ccr10	0.08018252933507171
Cd109	0.5496535796766744
Cd2ap	0.1808634772462077
Cd300lg	0.4937906564163218
Cd320	0.4315729699034639
Cd34	0.5872894333843799
Cd40	0.3898836168307968
Cd69	0.6241095890410959
Cdc42ep3	0.07320506804317221
Cdc42ep5	0.3715384615384616
Cdh5	0.16673267326732671
Cdk1	0.01919934640522876
Cdkn1a	0.24611708482676226
Cdkn1c	0.4373673036093418
Cdkn2a	2.157718120805369
Cdkn2b	0.13869257950530034
Cep55	0.17123642007242626
Ces2b	0.3546633207862819
Cfi	0.30290185849364193
Cgnl1	0.11914460285132385
Chrnb1	0.10246136233543217
Chst9	0.22460438999489535
Cish	0.09831029185867894
Cldn5	0.015601783060921246
Cldn6	0.11983471074380166
Clec14a	0.3171213918544879
Clec1a	0.1551433389544688
Clec1b	0.3000623830318153
Clec9a	0.8093322606596943
Clic5	0.026289180990899896
Clic6	0.2603928734582001
Cmtm8	0.04770848985725019
Cngb1	0.3098379193366001
Cnr2	0.13437393959959282
Cobll1	0.42010582010582015
Col14a1	0.12589928057553956
Col18a1	0.24141267537493954
Col28a1	0.15750169721656485
Col4a1	0.08303030303030302
Col4a2	0.18419556566230813
Col4a3	0.3565365025466893
Cox4i2	0.1902255639097744
Cox7b	0.937908496732026
Cpa1	0.09143407122232916
Cr1l	0.8479645527554696
Crem	0.027659574468085105
Crispld1	0.09232480533926586
Crybb3	0.030428055698813825
Crybg3	0.2635363790186125
Csf3	0.2835929011227816
Cthrc1	0.025241901556583932
Ctnna1	0.015630956919557758
Ctsh	0.3097040605643496
Ctsw	0.2665289256198347
Cxcl1	0.30790190735694817
Cxcr4	0.03421499636010677
Cyp2d22	0.35488877392653895
Cyp8b1	0.1403323661303086
Cysltr2	0.4884233737596472
Cytl1	0.2453260373917009
Cyyr1	0.22859517871986695
Dab2	0.2302158273381295
Dbh	0.22986767485822304
Dcbld1	0.13084553613604155
Ddc	0.08902600264433673
Ddx58	0.22316176470588234
Def6	0.03633587786259542
Degs2	0.09072978303747534
Dennd2c	0.19749652294853964
Dennd3	0.13905547226386808
Dera	0.0574108818011257
Des	0.01365705614567527
Dgka	0.14610111396743786
Dgkh	0.0909426987060998
Dhh	0.017937219730941704
Dlc1	0.07359192348565355
Dll4	0.08373310074138683
Dnajc10	0.08718548858981863
Dnase1l1	0.4031271244051665
Dock6	0.0454742312689476
Dok4	0.025665399239543727
Dtx3l	0.5012427506213752
Dusp23	0.1019522776572668
Dusp6	0.026336791699920196
Dysf	0.04251700680272109
E2f7	0.1672
Ece1	0.028437408384637937
Ecscr	0.5403677058353318
Edn3	0.8244863013698629
Egfl7	0.23298284449363585
Egfl8	0.3601830663615561
Egflam	0.09887295081967214
Ehd2	0.023277467411545624
Elf1	0.1896754008603833
Elk3	0.0811706239646604
Emcn	0.9599141016463852
Emp1	0.1171682289097188
Endou	0.16068240428486413
Eng	0.41981132075471705
Enpep	0.2453498671390611
Enpp3	0.17422798322531452
Epas1	0.08866481223922112
Epha2	0.044188280499519686
Ephb4	0.03223981900452488
Epor	0.1495
Eps8l2	0.07197139025480552
Erg	0.08552631578947369
Esam	0.35034927458355725
Esm1	0.07864726700747149
Esyt1	0.2274187790074973
Esyt2	0.16744427164333853
Etl4	0.2405518896220756
Ets1	0.05790297339593115
Ets2	0.10815682739972962
Exoc3l	0.20719738276990185
Exoc6	0.051815585475316187
F2r	0.12619699042407662
F2rl1	0.07949044585987261
F2rl3	0.239010989010989
F5	0.4814614343707713
Fam111a	0.8038910505836576
Fam129a	0.4107701941139637
Fam13a	0.17382307294361096
Fam187b	0.32439460425808553
Fam71a	0.4678341672623302
Fam71f2	0.3691008445106806
Far2	0.10615883306320907
Fbln5	0.04391891891891892
Fbxl22	0.13718539524991136
Fbxl8	0.24436826640548484
Fcgrt	0.2007559848803024
Fcho2	0.027027027027027032
Fermt2	0.018972697825080983
Fgd5	0.20150375939849624
Fgfbp1	0.418554476806904
Filip1	0.036133694670280034
Fkbp10	0.11231652839821314
Fkbp7	0.06890684814972353
Fli1	0.07887874837027377
Flnb	0.031055900621118005
Flrt2	0.042463835744283716
Flt1	0.18276515151515152
Flt4	0.07331223628691982
Fn1	0.06263269639065817
Fndc1	0.255592841163311
Foxc1	0.01870576339737108
Foxl2	0.017634854771784232
Foxp1	0.04512067156348374
Foxs1	0.2906894100923952
Frem1	0.2774725274725275
Frk	0.09405458089668617
Frmd4b	0.03975535168195718
Frzb	0.05572289156626506
Fut4	0.35991820040899797
Fzd4	0.07489878542510121
Fzd6	0.23127962085308054
G6pc	0.1140529531568228
Gadd45a	0.04113310050446256
Gata2	0.03798297314996725
Gata3	0.010795454545454544
Gbe1	0.11726485148514855
Gbp2	0.26904055390702275
Gbp3	0.3701298701298702
Gbp4	0.4408719346049047
Gbp5	0.4054161688570291
Gch1	0.07757009345794393
Gchfr	0.059955588452997775
Gcnt2	0.2858185356360983
Gdpd3	0.26666666666666666
Ghr	0.3841772151898734
Gimap1	0.22563889466029505
Gimap4	0.5408401400233372
Gimap8	0.6926575698505523
Gipc3	0.0065302568567697
Gja4	0.04139764527155337
Gja5	0.12666413084823128
Gkn3	0.2562814070351759
Glyatl3	0.2560054907343857
Gm11567	0.16867469879518074
Gm5127	0.6224489795918368
Gm6614	0.5679785330948122
Gmds	0.04681647940074906
Gmnn	0.2378132118451025
Golim4	0.14293085655314758
Gpc3	0.07268007787151201
Gpcpd1	0.15762996087199552
Gpihbp1	0.4629722921914357
Gpr143	0.18306951135581556
Gpr160	0.3750490388387603
Gpr182	0.1312433581296493
Gpr4	0.013069454817027634
Gprc5a	0.15507169410515134
Gpx7	0.12552301255230125
Grap	0.03967951163677985
Grasp	0.04184397163120568
Grb10	0.09436687530091477
Grb7	0.05833678113363674
Grk5	0.02022867194371152
Grp	0.1772250291488535
Grrp1	0.03026315789473684
