Gene name	sharrisii_dNdS
1700007K13Rik	0.09815746509845732
1700028K03Rik	0.19680374733071573
4932438H23Rik	0.2128770700199272
6820408C15Rik	0.20681811799724809
A2m	0.24232658072437085
Aass	0.07109256449165402
Abca1	0.06011932078935293
Abcb9	0.041771026904742665
Abcc12	0.12969314079422384
Abcd2	0.08950539794125031
Abhd3	0.06124121779859485
Acsbg1	0.04996882145084182
Acsf2	0.11575417553362995
Acss1	0.10875622730727012
Actr3b	0.015781772575250836
Adamts3	0.08781575037147102
Adamts5	0.11893337528514117
Adamts6	0.08474264705882352
Adcy2	0.05223610356690205
Adhfe1	0.06591355599214146
Adra2a	0.019402839914413536
Agt	0.14839233187950096
Ak4	0.08139645345155162
Alcam	0.07616885127464135
Aldh1l1	0.04510958976808364
Aldoc	0.03652392947103274
Alpk3	0.1833657759688551
Als2cl	0.12083373821786028
Ampd2	0.031206402819590282
Angptl1	0.0528830491910088
Ankrd9	0.003558632626568585
Antxr1	0.049251817015818725
Anxa9	0.16830154405086284
Aox1	0.12842452900998275
Appl2	0.0714036007690963
Aqp4	0.054838026677958916
Aqp9	0.2353284671532847
Arhgap21	0.1139874739039666
Arhgap5	0.03561399029869799
Arhgef26	0.08588283715187267
Arhgef33	0.07981180496150556
Arl9	0.2311620736172673
Arrdc3	0.04303237482404987
Aspg	0.10921301154249738
Aspm	0.2354962336460949
Atl2	0.10553854007146504
Atp13a4	0.09886003799873336
Atp1a2	0.007832467639541594
Atp1b2	0.052628041403414434
Atp2b4	0.12198255460139293
Atxn7	0.27462930956062953
Axin2	0.08381332151823953
Axl	0.0671699230313795
B3gnt5	0.07776647950837792
Bcan	0.12550907071455014
Bdh2	0.07929797591596208
Bdkrb2	0.007352833405803121
Bdnf	0.04734658847089114
Bmper	0.06567796610169492
Bmpr1a	0.03548586754693625
Boc	0.09679276315789474
Btbd17	0.01974436063786768
C4b	0.18692322795994504
Cachd1	0.013387297633872978
Calr4	0.059482513505828824
Camk2g	0.0342276692061389
Cap2	0.07580619284453714
Capsl	0.06126276307564076
Car3	0.035822992273472264
Car5b	0.16802184105881654
Car8	0.028921237828979075
Catsper2	0.25970837672965336
Cbs	0.048260759706898
Cbx5	0.012015177065767286
Cc2d2a	0.12285927029039465
Ccdc138	0.27704867999389593
Ccdc3	0.0728615109254978
Ccdc60	0.07533022262460247
Ccdc80	0.12508153946510112
Ccdc96	0.003876439502456157
Ccna1	0.11546972440152888
Ccnd2	0.00437499829208374
Ccno	0.06527374932621474
Cd38	0.3902689386163006
Cdh10	0.017453236283947716
Cdh20	0.11077222582738483
Cdk5rap2	0.25417462567009674
Cecr2	0.17728599221789884
Celsr1	0.03263252291749701
Chd9	0.0798386240577556
Chic1	0.16583043869805736
Chsy1	0.03815145407428736
Cideb	0.07800244657120242
Ckap5	0.043172690763052204
Cldn10	0.16308623298033287
Clmn	0.18445572974166485
Clu	0.10591858952231753
Cmya5	0.3847556757436639
Cnn1	0.011780734092001923
Col16a1	0.1282662510314477
Col9a1	0.08827427763541576
Crb2	0.0069257550348621215
Creb3l1	0.09213689718568804
Crot	0.11549833094897473
Cry2	0.1089910775566232
Csgalnact1	0.0458863307035904
Cspg5	0.16864041833282067
Cspp1	0.18222768222768226
Cth	0.08414650447801097
Cybrd1	0.2494610778443114
Cyp7b1	0.2618254138894861
D630003M21Rik	0.2512654383478437
Daam2	0.05481981408378963
Dab1	0.049960031974420456
Dag1	0.04453666683536617
Dbi	0.002728609336435765
Dbx2	0.27440708638917993
Dclk2	0.06425293217746048
Ddhd1	0.1044269121192198
Ddit4l	0.08749367088607594
Ddo	0.14424555576059545
Ddr2	0.035852409323716944
Dhtkd1	0.09411327071514927
Dio2	0.17397791703968962
Dlg5	0.10104824532847193
Dlk1	0.004150169411480442
Dmp1	0.08333461793405374
Dnaic1	0.0713128038897893
Dnali1	0.03443180138909414
Dock7	0.02258428778835296
Dpf3	0.10991898401576528
Dpy19l3	0.08418331703227609
Drp2	0.06378896882494005
Dtna	0.03491720662347012
Dynlrb2	0.026406071317184737
Dzip1l	0.1440596053161498
Echdc3	0.1499402078925582
Eda	0.01526177481301799
Ednrb	0.10115329168668907
Egfl6	0.1407437846722827
Egfr	0.1284545967287084
Egln3	0.048972452995190215
Ehbp1	0.13849495336655168
Elf5	0.03530171485972591
Elovl2	0.07173219978746015
Enkur	0.09120498124955777
Entpd2	0.15317616240995416
Ephb3	0.019293742809098152
Eps8	0.06870229007633588
Erbb2	0.0933903806432576
Esco2	0.25698812019566736
Etaa1	0.3983395054354319
Evc	0.17186454849498328
Evc2	0.15348257637605808
Exd1	0.19298998569384831
F3	0.2031903645474188
Fabp7	0.07328200741374394
Fads2	0.0164655475751868
Fam117a	0.14876893939393934
Fam171b	0.13039670724231545
Fam181a	0.10866385996011522
Fam181b	0.006524327937368911
Fam184a	0.09353453883179394
Fam187a	0.07489055054046724
Fam20a	0.11742660836976887
Fam83b	0.07463501837322475
Fat1	0.053839553839553835
Fgd4	0.05418511490617752
Fgd6	0.1738941351888668
Fgf1	0.028467425798021282
Fgf2	0.04467697907188353
Fgfbp3	0.16042780748663102
Fgfr1	0.021600138240884744
Fgfr2	0.05131276829390037
Fgfr3	0.05494291012003514
Fgfrl1	0.07050610820244327
Flnc	0.014348885479649853
Fndc5	0.013214138477227851
Folh1	0.12876466631791347
Fos	0.04618047360553852
Foxr2	0.010127317585402364
Frem2	0.06893577494692145
Frmpd1	0.1978430448667609
Fst	0.042224702380952384
Fut9	0.0568249790644814
Gabbr1	0.050499643112062814
Gabbr2	0.018234112986378684
Gabra4	0.11971522453450165
Gabrg1	0.030945622530194245
Gcnt4	0.13657542224810718
Gdpd2	0.08341920604543894
Gfap	0.03943475380878782
Ggnbp1	0.2363412449619346
Gjb2	0.037596086652690416
Gjb6	0.029572501149190463
Glb1l	0.2318440889869461
Gldc	0.060975609756097573
Gli1	0.1625186998504012
Gli2	0.0942852569233232
Gli3	0.09587462548974417
Glud1	0.04372813593203399
Gm11992	0.10129181600955793
Gm17455	0.09534609973873848
Gpam	0.03832236842105263
Gpc4	0.06815313420277662
Gpld1	0.16032350142721216
Gpr156	0.31118965378745284
Gpr179	0.28067025733093953
Gpr19	0.08712735437195958
Gpr63	0.0848218064843816
Gpt	0.06601106330669944
Gpx8	0.12609841827768015
Gramd1c	0.13502886304693382
Gramd3	0.16182997610105834
Gramd4	0.043545627683269306
Grhl1	0.030433513355714488
Gria2	0.07045271899276721
Grin2c	0.08792070336562692
Grm3	0.02472695500218436
Grm5	0.038931536894877015
Grtp1	0.07326154198648185
Gulp1	0.04086615009022397
Hapln1	0.04564363300207997
Hapln4	0.0031020920094493557
Has2	0.03711711711711712
Hectd2	0.08869734464062283
Hepacam	0.09888591415493568
Herc6	0.3329708023090437
Hes5	0.0017831337157746894
Hey2	0.0425673113386424
Heyl	0.17991771377738242
Hgf	0.059167350287120585
Hhipl1	0.04067324488928757
Hif3a	0.09560937845609377
Hlf	0.037601626016260166
Hmgcr	0.055104941884772975
Hmgn3	0.21249359959037376
Hoga1	0.06956990697047323
Hrh1	0.15410761909742196
Hsd11b1	0.17678965250044704
Hsd17b7	0.13263695799203426
Hsdl2	0.17644887412329274
Htra1	0.05032390583030495
Igdcc4	0.12838485944071426
Igfbp2	0.058982942770604174
Igfbp5	0.03411831465456093
Igsf11	0.10795642126114227
Ikbip	0.1571645185746778
Il15ra	0.3022259205325567
Inhbb	0.020469624958825462
Insig1	0.10840216010165184
Intu	0.14085965820818228
Iqcd	0.016899170239542672
Iqub	0.2234836405382996
Irs2	0.061153343339950615
Itga6	0.05514316012725344
Itga7	0.09384040076201228
Itih3	0.1043540607482727
Iyd	0.15234375000000006
Kbtbd8	0.07254809948381041
Kcna2	0.009728227300802965
Kcnc4	0.030484370599831032
Kcng4	0.03797846078723924
Kcnh5	0.03536199516099014
Kcnj10	0.016302676099661642
Kcnj16	0.0498613037447989
Kcnn2	0.046269612552033296
Kcnn3	0.045282599020916775
Kctd14	0.006050543189025753
Kif18a	0.19088120468488567
Kif7	0.0655596778572075
Kirrel2	0.1241007194244604
Klf15	0.09423302419784672
Klf4	0.0984816533108393
Lama2	0.09756982227058396
Lca5	0.2425161930326195
Lcat	0.05485495790286408
Leng8	0.053364269141531334
Lgals12	0.16400801603206416
Lgi4	0.005371476579785839
Lgr4	0.07041656061762959
Lgr6	0.07775246772968869
Lhcgr	0.1404014410705095
Lhx2	0.014545454545454544
Lipg	0.09898537988335862
Lipt1	0.1491063413041704
Lix1	0.05721393034825871
Lonrf3	0.18902693673000626
Lpin3	0.1869872433252715
Lrig1	0.0967838893898407
Lrp4	0.029976580796252924
Lrrc52	0.17434279705573086
Lrrc9	0.16293126867698995
Lrrk2	0.10401116149284967
Lrtm2	0.032844847638985805
Ltbp1	0.09646041610375572
Luzp2	0.10296311027145273
Lxn	0.24583877284595299
