chr	promoter_start	promoter_end
chr10	83720864	83722864
chr13	68595420	68597420
chr1	16093325	16095325
chr12	72940774	72942774
chr14	8666240	8668240
chr8	105289864	105291864
chr3	108536536	108538536
chr11	26210763	26212763
chr11	71033513	71035513
chr8	120112151	120114151
chr9	107338601	107340601
chr9	22409512	22411512
chr1	11412104	11414104
chr11	110337716	110339716
chr7	46180033	46182033
chr9	44288615	44290615
chr18	61911824	61913824
chr2	3334167	3336167
chr5	137285518	137287518
chr15	89566325	89568325
chr8	123894751	123896751
chr5	137551516	137553516
chr15	101172066	101174066
chr5	8368160	8370160
chr10	61273438	61275438
chr9	30922452	30924452
chr7	66837734	66839734
chr10	77418270	77420270
chr13	8200865	8202865
chr11	7061488	7063488
chr15	64922296	64924296
chr17	93197016	93199016
chr6	86026680	86028680
chr8	13254162	13256162
chr5	35276318	35278318
chrX	69358293	69360293
chr1	38664955	38666955
chr10	127073283	127075283
chr4	110395660	110397660
chr13	59585227	59587227
chr10	20950546	20952546
chr9	52679780	52681780
chr6	48624763	48626763
chr4	153482811	153484811
chr3	152668360	152670360
chr4	45797021	45799021
chr12	28582523	28584523
chr11	69123895	69125895
chr3	108184334	108186334
chr12	111269094	111271094
chr13	18946204	18948204
chr3	113606699	113608699
chr15	42676977	42678977
chr8	22972843	22974843
chr10	69396772	69398772
chr10	81626539	81628539
chr3	96594635	96596635
chr13	92423895	92425895
chr3	96668130	96670130
chr7	92637142	92639142
chr1	161140690	161142690
chr13	112286450	112288450
chr7	51509028	51511028
chr1	58208396	58210396
chr7	81493925	81495925
chr19	23756886	23758886
chr10	80293976	80295976
chr12	79128776	79130776
chr2	43746823	43748823
chr9	51763336	51765336
chr7	30535060	30537060
chrX	49461944	49463944
chr11	65162961	65164961
chr17	26207786	26209786
chrX	134715962	134717962
chrX	93284444	93286444
chr7	126949582	126951582
chr18	22342245	22344245
chr10	81230833	81232833
chr5	24392143	24394143
chr12	69890613	69892613
chr7	25005958	25007958
chr6	114042613	114044613
chrX	73501085	73503085
chr13	90905355	90907355
chr17	35231659	35233659
chr5	132543344	132545344
chr2	130582554	130584554
chr9	39604403	39606403
chr3	69598960	69600960
chr2	67563870	67565870
chr1	143638663	143640663
chr5	123508459	123510459
chr7	141059103	141061103
chr18	20746404	20748404
chrX	8890381	8892381
chr16	17831120	17833120
chr15	79285537	79287537
chr17	25256364	25258364
chr5	106458166	106460166
chr15	25413764	25415764
chr15	76126596	76128596
chr8	58909754	58911754
chr11	24076055	24078055
chr12	108003602	108005602
chr12	109068217	109070217
chr5	67428310	67430310
chr1	33907816	33909816
chrX	136215513	136217513
chrX	136068236	136070236
chrX	136136995	136138995
chr2	143863173	143865173
chr3	18052173	18054173
chr5	98852414	98854414
chr9	75773363	75775363
chr13	38343106	38345106
chr2	154140879	154142879
chr9	108190384	108192384
chr10	85384813	85386813
chr11	118426202	118428202
chr2	90883859	90885859
chr10	79614025	79616025
chr5	76654511	76656511
chr11	4746778	4748778
chr8	84336638	84338638
chr2	24763152	24765152
chr6	119196890	119198890
chr11	94474198	94476198
chr15	80285237	80287237
chr5	15932690	15934690
chr9	107397611	107399611
chr14	29721864	29723864
chr2	14601087	14603087
chr15	98628839	98630839
chr15	78120028	78122028
chr7	122668491	122670491
chr11	107915055	107917055
chr1	173367695	173369695
chr14	12823079	12825079
chr4	15879263	15881263
chr8	110168210	110170210
chr7	114636357	114638357
chr5	130367454	130369454
chr7	140082548	140084548
chr1	193370298	193372298
chr11	6066362	6068362
chr16	20621287	20623287
chr18	32932930	32934930
chr9	107933673	107935673
chr4	151861876	151863876
chr11	93096027	93098027
chr7	45697842	45699842
chr8	46615290	46617290
chr4	148802428	148804428
chr8	87472609	87474609
chr18	86709109	86711109
chr2	172043466	172045466
chr18	66302741	66304741
chr18	46311928	46313928
chr16	17147229	17149229
chrX	7750905	7752905
chr2	59160683	59162683
chr15	3303526	3305526
chr10	70095120	70097120
chr15	98706206	98708206
chr2	104865804	104867804
chr9	121495694	121497694
chr4	42653250	42655250
chr17	24251484	24253484
chr16	45409053	45411053
chr10	43576283	43578283
chr19	29365454	29367454
chr15	20447264	20449264
chr15	22547021	22549021
chr2	179440430	179442430
chr1	109980430	109982430
chr8	99416471	99418471
chr15	16726755	16728755
chr14	37098347	37100347
chr5	5420312	5422312
chr11	80475022	80477022
chr1	74852933	74854933
chr12	69791267	69793267
chr5	92043883	92045883
chrX	160994704	160996704
chr9	35419127	35421127
chrX	61185558	61187558
chr7	19861299	19863299
chr3	94476294	94478294
chr18	25754157	25756157
chr10	81482709	81484709
chr9	59575916	59577916
chr3	108415552	108417552
chr9	108824319	108826319
chr7	141429491	141431491
chr3	94786515	94788515
chr5	30945591	30947591
chr2	119349228	119351228
chr14	32465989	32467989
chr11	69369406	69371406
chr4	152336650	152338650
chr12	102552968	102554968
chr2	132779277	132781277
chr6	103508585	103510585
chr16	78928947	78930947
chr6	36386083	36388083
chr13	10360847	10362847
chr2	91925248	91927248
chr2	112480769	112482769
chr9	55026562	55028562
chr7	63212569	63214569
chr3	89764632	89766632
chr18	59173400	59175400
chr9	54560218	54562218
chr18	67341603	67343603
chr9	65263179	65265179
chr5	115843277	115845277
chr4	127970951	127972951
chr2	121355713	121357713
chr6	42284684	42286684
chr5	134984213	134986213
chr6	38661066	38663066
chr8	83387866	83389866
chr3	58885340	58887340
chr4	149584467	149586467
chr9	98033181	98035181
chr6	124464794	124466794
chr4	9267292	9269292
chr10	33624769	33626769
chr1	37212433	37214433
chr19	5098521	5100521
chr1	181350627	181352627
chrX	158043294	158045294
chr19	43438435	43440435
chr4	33922592	33924592
chr11	17049585	17051585
chr1	132543256	132545256
chr6	102573101	102575101
chr9	10904775	10906775
chr6	45057356	45059356
chr13	64903955	64905955
chr8	112568042	112570042
chr1	115682755	115684755
chr17	57767569	57769569
chr12	51591340	51593340
chr3	114028539	114030539
chr1	24587472	24589472
chr11	51287919	51289919
chr3	130129500	130131500
chr10	76726168	76728168
chr10	76623630	76625630
chr9	106096783	106098783
chr4	149126763	149128763
chr7	81455465	81457465
chr19	37208601	37210601
chr5	108550024	108552024
chr13	54369348	54371348
chr9	57606281	57608281
chr9	104545285	104547285
chr17	29238167	29240167
chr14	55508444	55510444
chr8	123115373	123117373
chr9	54762747	54764747
chr3	87946665	87948665
chr3	19695396	19697396
chr13	95444924	95446924
chr6	55133016	55135016
chr5	37239939	37241939
chr19	42431785	42433785
chr15	100495488	100497488
chr2	65843766	65845766
chr8	4259274	4261274
chr2	125134632	125136632
chr8	94770008	94772008
chr16	78299488	78301488
chr6	117166534	117168534
chr3	134234483	134236483
chr11	105953336	105955336
chr11	116654313	116656313
chr7	25816913	25818913
chr4	115134281	115136281
chr13	24843134	24845134
chr12	105451855	105453855
chr2	104411013	104413013
chr1	65123214	65125214
chr14	98169765	98171765
chr12	71307883	71309883
chr13	60599946	60601946
chr13	55488111	55490111
chr8	123515463	123517463
chr11	106034871	106036871
chr18	72351069	72353069
chr9	111437080	111439080
chrX	143933311	143935311
chr9	35558528	35560528
chr16	22657221	22659221
chrX	6777305	6779305
chr5	123524176	123526176
chr10	81025662	81027662
chr13	52531279	52533279
chr2	118777718	118779718
chr7	112159057	112161057
chr7	45212147	45214147
chr14	62293047	62295047
chr7	90474671	90476671
chr8	14093864	14095864
chr2	71526112	71528112
chr2	71546754	71548754
chr6	6882085	6884085
chr6	6861333	6863333
chr19	25608300	25610300
chr4	109976052	109978052
chr12	4080582	4082582
chr4	101494630	101496630
chr2	32353338	32355338
chr1	162478034	162480034
chr7	126845415	126847415
chr11	75796049	75798049
chr7	29301950	29303950
chr1	124846039	124848039
chr14	66868688	66870688
chr18	43438286	43440286
chr7	139084000	139086000
chr5	30709563	30711563
chr9	49338626	49340626
chr5	38317366	38319366
chr9	45424627	45426627
chr13	38149293	38151293
chr11	84069261	84071261
chr8	31087470	31089470
chr8	34805296	34807296
chr6	5723638	5725638
chr14	67231291	67233291
chr7	137314445	137316445
chr1	87156521	87158521
chr13	88819471	88821471
chr2	181157014	181159014
chr3	89322965	89324965
chr17	62881317	62883317
chr7	28275738	28277738
chr4	91400785	91402785
chr9	22052023	22054023
chr4	110351909	110353909
chr5	139905942	139907942
chr9	53975301	53977301
chr5	134747323	134749323
chr9	83806277	83808277
chr12	98901484	98903484
chr19	59456371	59458371
chr6	124769673	124771673
chr14	77154762	77156762
chr9	118476211	118478211
chr4	124878898	124880898
chr16	63864175	63866175
chr5	84417382	84419382
chr16	60605531	60607531
chr4	28811130	28813130
chr4	136956816	136958816
chr4	136835988	136837988
chr6	41603481	41605481
chr1	69108059	69110059
chr14	27620427	27622427
chr13	12563873	12565873
chr1	187606790	187608790
chr2	165593031	165595031
chr4	130306594	130308594
chr4	141366219	141368219
chr8	9771161	9773161
chr2	27142491	27144491
chr14	63434393	63436393
chr13	97065285	97067285
chr11	102447682	102449682
chr11	58801960	58803960
chr5	45639614	45641614
chr7	65156570	65158570
chr3	89181142	89183142
chr4	138396528	138398528
chr12	12260138	12262138
chr7	126795667	126797667
chr1	166999416	167001416
chr7	133774860	133776860
chr9	16501285	16503285
chr11	35798884	35800884
chr17	25807084	25809084
chr9	114046191	114048191
chr6	85502994	85504994
chr16	28753068	28755068
chrX	59568071	59570071
chr14	124677127	124679127
chr14	58068546	58070546
chr18	24706622	24708622
chr2	31846005	31848005
chr2	110363183	110365183
chr12	4841591	4843591
chr2	140671469	140673469
chr17	23786081	23788081
chr2	113325735	113327735
chr3	122619715	122621715
chr3	27711307	27713307
chr4	120287349	120289349
chr6	14899348	14901348
chr4	74011441	74013441
chrX	140340262	140342262
chrX	168577231	168579231
chr17	55984508	55986508
chr4	53629470	53631470
chr11	52762633	52764633
chr3	76072269	76074269
chr2	25421266	25423266
chr9	45368184	45370184
chr7	31051467	31053467
chr11	42182930	42184930
chr5	71095849	71097849
chr7	57510059	57512059
chr11	42417756	42419756
chr7	57417691	57419691
chr11	42000857	42002857
chr7	57387188	57389188
chr2	70551071	70553071
chr2	22620204	22622204
chr19	5296330	5298330
chr17	73710453	73712453
chr5	110542354	110544354
chr8	58912640	58914640
chr18	82406777	82408777
chr11	116278938	116280938
chr16	42340651	42342651
chr2	33131654	33133654
chr1	89931179	89933179
chr2	62662284	62664284
chr11	120528698	120530698
chr19	21473445	21475445
chr1	17143361	17145361
chr2	163436475	163438475
chr2	155945367	155947367
chr15	7808845	7810845
chr14	70888119	70890119
chr2	131043088	131045088
chr3	27369350	27371350
chr3	152166230	152168230
chr7	19166127	19168127
chr2	114013619	114015619
chr9	26806468	26808468
chr4	107432590	107434590
chrX	8018492	8020492
chrX	165327393	165329393
chr8	55938459	55940459
chr5	127630261	127632261
chr11	53859256	53861256
chr17	7023567	7025567
chr5	33981432	33983432
chr8	85067982	85069982
chr7	105373037	105375037
chr16	45492969	45494969
chr5	5571798	5573798
chr18	67086215	67088215
chr10	74965176	74967176
chr14	19977627	19979627
chr19	8839194	8841194
chr13	13782058	13784058
chrX	151017322	151019322
chr14	67743180	67745180
chr19	42245573	42247573
chr1	92829644	92831644
chr5	146585239	146587239
chr12	72071125	72073125
chr14	45217716	45219716
chr3	62605140	62607140
chr18	42579652	42581652
chr2	21365541	21367541
chrX	152368704	152370704
chr2	37514331	37516331
chr12	31713947	31715947
chr1	136260873	136262873
chr7	131964459	131966459
chr6	99690678	99692678
chr1	42950871	42952871
chr10	41072285	41074285
chr3	108154882	108156882
chr9	14858209	14860209
chr3	116253503	116255503
chrX	135740732	135742732
chrX	135837033	135839033
chr13	54749874	54751874
chr14	34201653	34203653
chr6	59426294	59428294
chr9	59678143	59680143
chr18	10323176	10325176
chr1	174921819	174923819
chr11	57009386	57011386
chr5	143355337	143357337
chr16	88290265	88292265
chr2	25319187	25321187
chr16	9995560	9997560
chr6	136173511	136175511
chr7	45878378	45880378
chr6	91827250	91829250
chr10	11082356	11084356
chr9	106656082	106658082
chr17	27521403	27523403
chr6	110643580	110645580
chr6	28135178	28137178
chrX	163549677	163551677
chrX	94634068	94636068
chr9	3530777	3532777
chr6	100702733	100704733
chr17	36989537	36991537
chr11	100356128	100358128
chr8	106868241	106870241
chr13	117600319	117602319
chr3	89160196	89162196
chr9	58821411	58823411
chr4	130139359	130141359
chr6	91154664	91156664
chr10	18546076	18548076
