ND1	1	MT	4050	5024
MT-ND2	1	MT	5241	6279
MT-CO1	1	MT	6645	8192
COII	1	MT	8331	9014
ATP8	1	MT	9085	9249
ATP6	1	MT	9240	9923
COX3	1	MT	9923	10706
ND3	1	MT	10776	11126
ND4L	1	MT	11196	11492
ND4	1	MT	11486	12863
ND5	1	MT	13071	14888
CYTB	1	MT	14893	16035
ND6	-1	MT	16184	16705
SH3RF1	1	4	25454977	25526708
	1	31	1121591	1126402
PPP1CC	-1	15	6295803	6311046
FRS2	1	1	35566490	35612114
SENP1	1	33	7267803	7281369
IGSF3	1	1	93596025	93648691
CNPY3	1	3	16131319	16133848
	1	10	20487869	20499372
HEPACAM	1	24	269631	274676
PSMB7	-1	17	9673564	9693756
ZMAT2	-1	13	1560388	1571326
	-1	W	67958	141475
	1	31	964534	966826
	1	10	20485987	20487718
BEND5	-1	8	23047528	23885562
	1	22	3710877	3715597
PRKAR1B	-1	14	2436022	2524536
	1	31	963479	963643
	1	25	2538236	2543668
	-1	6	32042789	32050896
CCSER2	1	6	1634831	1751717
RHBDF2	1	18	4361778	4372525
	-1	13	1548787	1552955
	1	31	949730	950175
PCCA	-1	1	145418480	145689429
	1	3	16130010	16131928
AZI2	-1	2	38775654	38800952
ZFYVE26	-1	5	29110081	29151380
CYB5B	1	11	18950606	18962787
NOP58	1	7	11777039	11801661
	-1	13	1524915	1532585
	1	31	941497	945753
YEATS4	1	1	35544311	35549594
ETV3	1	25	2520992	2528858
	1	2	38726423	38770371
	-1	6	1616246	1623255
PPP1R2	1	9	12836912	12849716
POLR1B	1	3	16112592	16128910
CYGB	1	18	4342538	4349605
UBAP2	1	W	787	48077
LYZ	1	1	35542896	35546583
ZNF467	-1	2	462928	465096
LRRC61	-1	2	459048	460783
SPATA6	-1	8	22977670	23027628
CIB4	-1	10	20483878	20486357
EOMES	-1	2	38541856	38546582
	-1	30	1803240	1805564
	1	30	1797373	1808363
SLC5A9	1	8	22961544	22982526
TERF2	-1	11	18938562	18946393
	-1	22	3701007	3708828
	-1	13	1472512	1484929
	1	5	29100045	29107183
KCTD20	1	26	1544510	1563320
GGACT	1	1	145387493	145417076
	1	13	1454654	1458265
	-1	31	934181	938763
	-1	13	1438620	1451031
SEMA4B	1	10	20469938	20483264
	-1	22	3690748	3693782
TRABD2B	-1	8	22557337	22809760
NEK6	1	17	9627008	9673191
	-1	30	1759676	1780337
	-1	31	906894	919642
	1	13	1429210	1432828
TTL	1	3	16096879	16112242
TMEM127	1	22	3666803	3671212
	-1	31	893009	917143
SEC13	-1	12	19853528	19868566
TMED6	-1	11	18934966	18937487
PPME1	-1	1	196023421	196053237
VTI1B	-1	5	29091857	29099825
APOD	1	9	12832591	12836179
	1	30	1697740	1701045
TMTC4	1	1	145329072	145382220
ETV7	-1	26	1539943	1544102
SLAMF8	1	25	2516848	2520385
	-1	24	252913	269196
HADHA	-1	3	104913067	104937303
	-1	30	1492076	1499617
	-1	31	891597	908754
	-1	26	1533127	1536766
	1	22	3663296	3664720
	1	30	1477520	1500970
NEK1	1	4	25395535	25437030
	-1	31	832318	836649
PTGFRN	1	1	93435286	93470481
LHX2	1	17	9524055	9542497
VNN1	1	3	56889501	56916337
COL14A1	1	2	136788122	136908061
KIRREL1	1	25	2487750	2508685
ATE1	-1	6	31972921	32042255
	1	31	779716	790080
SLC22A7	1	3	16081562	16095818
	-1	30	1471476	1477699
SUMO1	-1	7	11763927	11776913
GAREM2	1	3	104904767	104912223
KCNA3	-1	26	1492029	1493771
	1	8	22326174	22327334
	1	31	764722	767822
	-1	25	2473278	2475688
CECR1	-1	1	61651327	61672321
KCNA2	-1	26	1469306	1471568
ST6GALNAC2	1	18	4308786	4315058
ARG2	1	5	29074720	29091937
	1	9	12801542	12825362
FZD7	1	7	11682384	11685456
	1	31	747304	747468
	1	31	728825	731808
SLC37A2	-1	24	243549	252197
SLC4A7	-1	2	38388128	38516426
RARRES2	1	2	457092	458880
P4HA3	1	1	196016274	196022241
KCNA10	-1	26	1438259	1442793
	-1	31	719299	724721
NALCN	1	1	144950412	145152965
	1	1	93356698	93367762
CPSF6	1	1	35503179	35528253
	1	1	196007314	196008356
PIGH	-1	5	29068716	29074495
HVCN1	-1	15	6282908	6293393
NIP7	1	11	18933246	18934623
NEU3	1	1	196009412	196013046
	-1	31	684339	689517
	-1	2	446008	452615
	-1	25	2471754	2479000
GHRL	-1	12	19849378	19852107
HDHD5	-1	1	61644952	61654448
CDK15	1	7	11591958	11617897
HAUS8	1	28	4303372	4312690
RAB10	1	3	104865999	104903427
PFKM	-1	33	7260322	7265353
	1	31	655371	658250
TTBK1	1	3	15979242	16071844
	-1	11	18930459	18933187
SPCS2	1	1	196002497	196007134
SLC18B1	1	3	56867709	56881574
CIAO1	-1	22	3663104	3667638
RNF169	1	1	195964053	195983561
	-1	31	632100	637113
	-1	2	438560	441521
IDH2	-1	10	20466253	20469686
PDF	-1	11	18929070	18930317
ITGBL1	-1	1	144799552	144931151
	1	31	467852	472876
CMPK1	1	8	22291565	22304065
	-1	22	3647323	3649164
CLCN3	-1	4	25336747	25380396
ST6GALNAC1	1	18	4293769	4305245
	1	31	368614	371313
BDH1A	-1	9	12794254	12807370
ALS2	-1	7	11545922	11578947
UBE2S	-1	22	3631644	3634894
ASB8	1	33	7256756	7259786
	1	31	317965	319691
ZNF710	1	10	20457103	20464813
PGA3	1	26	1433283	1436412
CPM	-1	1	35432767	35464430
ACSS1	-1	3	15944552	15976454
BICC1	-1	6	1492814	1589295
ISOC2	1	22	3621116	3626368
CD48	-1	25	2468024	2470555
	-1	33	7248867	7250686
PKNOX2	-1	24	167963	188765
	1	18	4261188	4282078
DEPDC6	1	2	136698116	136770823
TCTN1	1	15	6275510	6287842
	1	11	18925808	18929114
	1	31	314023	318481
SLAMF1	-1	25	2461040	2465729
	-1	2	431018	442278
IL17RA	1	1	61607575	61627406
STIL	-1	8	22273447	22290927
	1	1	93327859	93348148
FGF14	1	1	144408607	144791819
	-1	31	183470	184205
JMJD6	1	18	4247802	4258928
	-1	5	5779258	5836920
PPTC7	-1	15	6252342	6269152
RASIP1	1	22	3612898	3622311
YJU2B	-1	30	1405669	1409396
	-1	10	11903990	11918958
SH3GL3	1	10	11857452	11901262
BNC1	-1	10	11747963	11814277
	-1	2	428825	430417
SNTB2	1	11	18918695	18925489
IL11	-1	22	3602509	3608251
PCDHAC1	-1	13	1335704	1434738
LAMTOR5	-1	26	1424151	1426410
CHRDL2	-1	1	195927366	195949522
	1	1	93298610	93300203
HDGFL3	-1	10	11683975	11720024
TM6SF1	1	10	11664716	11683763
BTBD1	-1	10	11643180	11656460
