Gene name	sscrofa_dNdS
0610010F05Rik	0.14248886805718305
0610010K14Rik	0.12844217151848938
0610030E20Rik	0.09916351861845656
0610040J01Rik	0.3700393658899883
1110004F10Rik	0.034266517357222845
1110017D15Rik	0.2153982300884956
1110032A03Rik	0.3719153200551171
1110038F14Rik	0.3189425017907143
1110051M20Rik	0.1610531714823047
1110059E24Rik	0.26026936026936026
1110059G10Rik	0.17160060210737582
1110065P20Rik	0.2027324812692816
1190007I07Rik	0.314753320683112
1500009C09Rik	0.028210116731517514
1500009L16Rik	0.12410675222400465
1600014C10Rik	0.2609603340292276
1700003E16Rik	0.3367654890821942
1700021F05Rik	0.2426435877261999
1700025G04Rik	0.12728072103759067
1700029J07Rik	0.1791363830696879
1700030K09Rik	0.4228021432823973
1700037C18Rik	0.24160908193484695
1700037H04Rik	0.10584142098516754
1700066M21Rik	0.2812270389419545
1700094D03Rik	0.37828017763423494
1700123O20Rik	0.18598761958356785
1810013L24Rik	0.07356076759061835
1810030O07Rik	0.1651877133105802
1810037I17Rik	0.3045063291139241
1810055G02Rik	0.5585649317837291
2010300C02Rik	0.22202518176981734
2210016F16Rik	0.16782902137232847
2210016L21Rik	0.21706263498920086
2210408I21Rik	0.3912256897331525
2300009A05Rik	0.0813920046016681
2310009B15Rik	0.3166882276843467
2310011J03Rik	0.12082012806416145
2310022A10Rik	0.17770767613038907
2310022B05Rik	0.17073615160349856
2310033P09Rik	0.058173588924387634
2310061I04Rik	0.2675663099115868
2410004B18Rik	0.11265616512764802
2410131K14Rik	0.11233958538993093
2510009E07Rik	0.045046630300897415
2510039O18Rik	0.051009765810183
2610301B20Rik	0.2789937106918239
2610507B11Rik	0.1137762683082148
2700049A03Rik	0.35000762543846275
2700062C07Rik	0.28744716044844704
2700081O15Rik	0.08610772180582188
2810004N23Rik	0.32238667900092505
2810006K23Rik	0.1865322290241268
2810408A11Rik	0.6358752425011192
2810459M11Rik	0.3482212819307319
3110009E18Rik	0.1585546939448936
3110040N11Rik	0.17998533724340174
3110082I17Rik	0.04733821806556661
4833420G17Rik	0.2973193854200719
4833439L19Rik	0.33738783649052845
