Gene name	sscrofa_dNdS
0610040J01Rik	0.3700393658899883
1700003F12Rik	0.3075205640423032
1700017B05Rik	0.2071078431372549
2210016F16Rik	0.16782902137232847
2510039O18Rik	0.051009765810183
2610528A11Rik	0.7465714822468532
4930404N11Rik	0.10663132241652057
5430427O19Rik	0.1807511737089202
Aagab	0.1228620743762749
AB124611	0.18840732169156324
Abca9	0.22492307692307686
Abcc3	0.12193308550185873
Abcg3	0.3591947997483749
Abhd12	0.08674652241112829
Abhd15	0.0788622420524261
Acads	0.09389612030835334
Accs	0.20534689191405608
Acox3	0.1673834628190899
Acp5	0.11029487842731506
Adam15	0.20778748180494905
Adam33	0.21741122565864834
Adam8	0.2340223781528541
Adamts16	0.13225520602569782
Adap2	0.11118486558247594
Adcy7	0.08917748917748917
Adrb2	0.07873029132296126
Afp	0.32820751786269026
Agpat2	0.09645511720983417
AI467606	0.09667453095157848
AI661453	0.32121724429416737
Aif1	0.11103874959296646
Akna	0.3951306112097388
Akr1b3	0.11457073760580412
Aldh16a1	0.1645004061738424
Alox5	0.14162271350016833
Alox5ap	0.04601523114877185
Amz1	0.09405968627895124
Anks6	0.090920245398773
Aoah	0.26703433552748623
Ap1b1	0.025495750708215296
Apbb1ip	0.19848873296451225
Apobec1	0.28468994821404864
Apobec2	0.049209662988368624
Apobec3	0.5100611560465574
Apobr	0.6241626794258374
Arap1	0.07078367641747924
Arap3	0.1119402985074627
Arhgap19	0.1306532663316583
Arhgap22	0.1033677482792527
Arhgap25	0.1521070439864657
Arhgap27	0.0842860112242777
Arhgap30	0.3220900760382141
Arhgap4	0.13516234583438208
Arhgap9	0.1904469359545385
Arhgdib	0.04971173719134123
Arhgef6	0.08844148840553658
Arid3a	0.1006695549428909
Arl11	0.12464015353449195
Armc3	0.096954425942156
Armc5	0.10491573033707864
Arpc4	0.07392539525691699
Arrb2	0.02663798808735936
Arsb	0.19979174801509827
Asb10	0.11496584116140053
Asb2	0.06830931690683094
Atf3	0.03420409697425296
Atp8a2	0.037448429070136464
Aup1	0.12964903090623364
B2m	0.4954250099456306
B3gnt8	0.1550654062828225
B4galnt1	0.1233252131546894
B4galt1	0.1576489533011272
B4galt5	0.08242398559169402
Bank1	0.4032108675517134
Batf3	0.07930404690954533
BC049352	0.08497328294017985
Bcl2l1	0.04818542238487344
Bcl3	0.0999233569649358
Bco2	0.1742077613963735
Bhlhe41	0.14361479413817166
Bid	0.26782897467828976
Bin1	0.031530821377896895
Blnk	0.11781479813897645
Bmf	0.13125221709826182
Bri3	0.06901287553648068
Bst2	0.16854238294293697
Btbd19	0.06642512077294686
Btk	0.015869657215404145
C130050O18Rik	0.12634222376169033
C1qa	0.19539579967689824
C1qb	0.1810093245070824
C1qc	0.16486137334790818
C1rl	0.1793932162945287
C2	0.20082376435346974
C3	0.13550717563213904
Cables1	0.1266360099044924
Cacna1s	0.125861938319315
Calhm2	0.023397894189522945
Camk1	0.047719184729860885
Capn3	0.06990997893123922
Car13	0.08683666436940041
Card11	0.032547889472792
Card9	0.035045168547224864
Casp1	0.3575196008553101
Cass4	0.2698155280762213
Ccl2	0.2929924919556668
Ccl22	0.3117397840645073
Ccl24	0.2414448669201521
Ccl3	0.13561293324028842
Ccl5	0.15980230642504115
Ccr2	0.19654521701262884
Ccr5	0.18733153638814012
Ccr7	0.034344490934449086
Ccrl2	0.4927471044641853
Cd101	0.3560269692484789
Cd14	0.28025159744408945
Cd163	0.2784439894706055
Cd180	0.2708360938121108
Cd19	0.3224216380182002
Cd2	0.5624067057067401
Cd22	0.3233404710920771
Cd300a	0.5176681783824642
Cd300lb	0.313587786259542
Cd36	0.15150544522741835
Cd37	0.15448000693902333
Cd3d	0.5040072859744992
