Gene name	mdomestica_dNdS
1700001C19Rik	0.008124620247166835
1700020L24Rik	0.2274547611984574
2310030G06Rik	0.3823692478284975
4921524J17Rik	0.06555748696299975
4930523C07Rik	0.13297905209170116
4931406P16Rik	0.09149169407201282
9930012K11Rik	0.35646625444020524
A4galt	0.17488346956697964
Abca4	0.11793904497170656
Abcc4	0.08265995496092197
Abcc6	0.12883333333333333
Abcc9	0.03460667135380048
Abhd2	0.019477479164715795
Ablim1	0.04850031908104658
Ace2	0.14332293734051602
Acer2	0.03266550522648084
Acss3	0.061581462447029126
Acta2	0.03066933808251707
Actn1	0.010451539152445498
Actn4	0.012273057371096588
Acvrl1	0.1200587084148728
Adam10	0.04770039421813404
Adamts8	0.13286601879878926
Adamts9	0.08783841127047441
Adamtsl2	0.06665152719427728
Adcy4	0.07489235547398884
Adora2a	0.0016922941897075385
Afap1l1	0.08519530622086481
Agfg1	0.0863994743758213
Ahr	0.07890060419381591
Akap12	0.10684050118523536
Amdhd1	0.08391051667860837
Angpt2	0.06995801164838142
Angptl4	0.11215602705457242
Ankrd37	0.2868093260938997
Ano1	0.0077077303876094926
Anpep	0.09621216014801873
Antxr2	0.15299260255548086
Anxa1	0.0902007516729306
Anxa2	0.020286283060005687
Anxa3	0.0959840026662223
Anxa4	0.07466025853496851
Anxa6	0.0535302261190586
Anxa7	0.061912225705329164
Apcdd1	0.051261567139338264
Aplnr	0.04170035317646058
Apold1	0.04592238617864832
Apool	0.35267639902676395
Aqp11	0.12748871781258295
Arhgap18	0.10392113260692314
Arhgap28	0.1672188788964771
Arhgap29	0.20568252007411986
Arhgef15	0.1764705882352941
Arl4a	0.0010451368476059836
Arpc3	0.02580587552460041
Art3	0.3264750202851513
Aspn	0.0033496463172004863
Atp10a	0.13081879388981393
Atp11c	0.09542225730071033
Atp2a3	0.0046612432525225565
Atp7a	0.13146417445482864
AU021092	0.22330511055613084
B3gnt2	0.10894333159580016
Bambi	0.06798487474397352
Bche	0.12390924956369982
Bcl10	0.16635941302263846
Bcl6b	0.09703504043126683
Bmx	0.09111026325829837
Bnip2	0.030720260567029388
Bok	0.0652829796088223
Bpifb1	0.3040260065016254
Bspry	0.14771820358412538
C130074G19Rik	0.005084118415263529
Calcrl	0.057989842919570087
Cald1	0.0521702172873612
Calml4	0.12312312312312315
Capg	0.05616093880972338
Capn12	0.04460388639760837
Car5a	0.1436556735606484
Casp12	0.3104150899458578
Casp7	0.07807466363464087
Casp8	0.2082366952924215
Casq2	0.09182539094345216
Cast	0.18242211362248012
Cav1	0.06767005016917513
Cav2	0.10516181129262686
Ccdc125	0.2617067159581023
Ccdc85a	0.07727822359019458
Ccng2	0.07779133618059793
Cd109	0.2478300180831827
Cd2ap	0.1483166515013649
Cd300lg	0.23745454545454545
Cd40	0.007160192411097063
Cd69	0.14007617435463393
Cd93	0.18812025685931116
Cdc42ep3	0.08072194983301358
Cdh5	0.004465610592213339
Cdhr4	0.2628302923048758
Cdkn1a	0.06706589378569601
Cdkn2b	0.12261622513142975
Cdkn3	0.09694102112676056
Cep55	0.13415762060069122
Cfi	0.2112337294850028
Cgnl1	0.06268636713907595
Chrnb1	0.06843660584455181
Chst9	0.12176709073116175
Cish	0.04487048745665919
Cldn5	0.07151205575516212
Cldn6	0.10365599093457388
Clec1a	0.20150322118826056
Clec1b	0.2339743589743589
Clic6	0.2270598866343547
Cnn2	0.020427811963665287
Cnot6l	0.1503957783641161
Cnr2	0.15264817555827273
Cobll1	0.27322241289263605
Col4a1	0.047348240058592915
Col4a2	0.11909312594740655
Col4a3	0.14173179506264733
Cox4i2	0.004297586102197748
Cpa1	0.09937842237679444
Cr1l	0.34947866149369544
Crem	0.1391727493917275
Crip2	0.0376936162592891
Crispld1	0.04264735465701066
Crtap	0.06743844174935686
Crybb3	0.01904642566255247
Csf3	0.2911302368589516
Cthrc1	0.08230528447799668
Ctsh	0.12342095360963284
Ctsw	0.1848037222749244
