MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:1915112	2310033P09Rik	RIKEN cDNA 2310033P09 gene	protein coding gene	11	59208361-59210736	37.05	+	
MGI:1913701	2610528J11Rik	RIKEN cDNA 2610528J11 gene	protein coding gene	4	118526997-118530217	54.78	+	
MGI:1919667	2700081O15Rik	RIKEN cDNA 2700081O15 gene	protein coding gene	19	7417625-7425904	5.32	+	
MGI:1920350	2900092D14Rik	RIKEN cDNA 2900092D14 gene	lncRNA gene	1	42700336-42703176	21.22	+	
MGI:1922411	4930544M13Rik	RIKEN cDNA 4930544M13 gene	lncRNA gene	13	114607237-114697822	64.43	+	
MGI:3613760	4933427I04Rik	Riken cDNA 4933427I04 gene	protein coding gene	4	123859679-123863165	57.42	+	
MGI:2443793	6430548M08Rik	RIKEN cDNA 6430548M08 gene	protein coding gene	8	120114152-120165306	68.99	+	
MGI:1914054	8430408J09Rik	RIKEN cDNA 8430408J09 gene	lncRNA gene	5	111109401-111111122			
MGI:1924690	9430087N24Rik	RIKEN cDNA 9430087N24 gene	lncRNA gene	15	43733531-43734735			
MGI:2442281	9630028B13Rik	RIKEN cDNA 9630028B13 gene	lncRNA gene	1	185429357-185441819	89.52	-	
MGI:3609643	A430046D13Rik	Riken cDNA A430046D13 gene	lncRNA gene	10	128499364-128504242	76.79	+	
MGI:3609648	A630031M23Rik	Riken cDNA A630031M23 gene	lncRNA gene	14	55481589-55484027			
MGI:2444673	A630052C17Rik	RIKEN cDNA A630052C17 gene	lncRNA gene	11	29170909-29173558	16.46	-	
MGI:2444908	A730054J21Rik	RIKEN cDNA A730054J21 gene	lncRNA gene	1	178935043-178939199			
MGI:2442193	A730056I06Rik	RIKEN cDNA A730056I06 gene	lncRNA gene	8	72714926-72717875			
MGI:1924414	A930024E05Rik	RIKEN cDNA A930024E05 gene	lncRNA gene	5	122989354-122998345	62.71	+	
MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	protein coding gene	11	120007313-120047167	83.96	-	
MGI:2386846	Abca8a	ATP-binding cassette, sub-family A (ABC1), member 8a	protein coding gene	11	110025634-110095978	73.07	-	
MGI:2661120	Actr3b	ARP3 actin-related protein 3B	protein coding gene	5	25759997-25850688	12.35	+	
MGI:104730	Adam5	a disintegrin and metallopeptidase domain 5	protein coding gene	8	24727093-24824369	13.26	-	
MGI:106673	Adra1d	adrenergic receptor, alpha 1d	protein coding gene	2	131545850-131562283	63.5	-	
MGI:1917542	Afap1	actin filament associated protein 1	protein coding gene	5	35893319-36003923	19.02	+	
MGI:1916847	Afg3l2	AFG3-like AAA ATPase 2	protein coding gene	18	67404760-67449136	39.96	-	
MGI:2443254	Agbl2	ATP/GTP binding protein-like 2	protein coding gene	2	90782587-90834272	50.37	+	
MGI:1923473	Agbl3	ATP/GTP binding protein-like 3	protein coding gene	6	34780432-34859459	15.13	+	
MGI:2139742	AI504432	expressed sequence AI504432	lncRNA gene	3	107039504-107054322	46.59	+	
MGI:2685104	Akap5	A kinase (PRKA) anchor protein 5	protein coding gene	12	76324891-76334153	33.73	+	
MGI:1859150	Akap7	A kinase (PRKA) anchor protein 7	protein coding gene	10	25169090-25299210	12.26	-	
MGI:1914855	Akt1s1	AKT1 substrate 1 (proline-rich)	protein coding gene	7	44849126-44855421	28.94	+	
MGI:2144489	Alkbh5	alkB homolog 5, RNA demethylase	protein coding gene	11	60537683-60558512	37.81	+	
MGI:2443564	Ambra1	autophagy/beclin 1 regulator 1	protein coding gene	2	91730134-91918849	50.63	+	
MGI:104984	Ang2	angiogenin, ribonuclease A family, member 2	protein coding gene	14	51195486-51195923	26.42	-	
MGI:1917976	Angptl6	angiopoietin-like 6	protein coding gene	9	20873808-20879727	7.66	-	
MGI:3605801	Angptl7	angiopoietin-like 7	protein coding gene	4	148495183-148500460	78.76	-	
MGI:1924337	Ankrd11	ankyrin repeat domain 11	protein coding gene	8	122883822-123042277	72.0	-	
MGI:101920	Ap2a2	adaptor-related protein complex 2, alpha 2 subunit	protein coding gene	7	141562180-141633011	86.94	+	
MGI:1337063	Ap4m1	adaptor-related protein complex AP-4, mu 1	protein coding gene	5	138172021-138180429	76.98	+	
MGI:2442988	Arfgef1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	protein coding gene	1	10137571-10232670	2.36	-	
MGI:2442985	Arglu1	arginine and glutamate rich 1	protein coding gene	8	8666297-8690549	3.57	-	
MGI:1353510	Arhgef1	Rho guanine nucleotide exchange factor (GEF) 1	protein coding gene	7	24902917-24926594	13.52	+	
MGI:1920004	Arhgef10l	Rho guanine nucleotide exchange factor (GEF) 10-like	protein coding gene	4	140514485-140665905	71.58	-	
MGI:1918053	Arhgef26	Rho guanine nucleotide exchange factor (GEF) 26	protein coding gene	3	62338777-62462221	29.97	+	
MGI:1344363	Arih1	ariadne RBR E3 ubiquitin protein ligase 1	protein coding gene	9	59388554-59486659	32.01	-	
MGI:1929501	Arl6ip5	ADP-ribosylation factor-like 6 interacting protein 5	protein coding gene	6	97210792-97233315	44.91	+	
MGI:1916449	Armc2	armadillo repeat containing 2	protein coding gene	10	41914990-42018442	22.77	-	
MGI:1915021	Arpc5	actin related protein 2/3 complex, subunit 5	protein coding gene	1	152766542-152775580	65.02	+	
MGI:1913845	Aste1	asteroid homolog 1	protein coding gene	9	105395294-105408298	56.61	+	
MGI:1921241	Atl1	atlastin GTPase 1	protein coding gene	12	69893105-69964085	28.94	+	
MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	1	172223513-172258414	79.54	-	
MGI:1859661	Atp11c	ATPase, class VI, type 11C	protein coding gene	X	60223283-60404861	33.5	-	
MGI:2685783	Baiap3	BAI1-associated protein 3	protein coding gene	17	25242659-25256364	12.53	-	
MGI:2655157	BC005685	cDNA sequence BC005685	protein coding gene	4	46577209-46578785			
MGI:2443910	Bcorl1	BCL6 co-repressor-like 1	protein coding gene	X	48341358-48408049	25.64	+	
MGI:1346332	Best1	bestrophin 1	protein coding gene	19	9985174-10001633	6.24	-	
MGI:1345186	Blmh	bleomycin hydrolase	protein coding gene	11	76945656-76987389	46.16	+	
MGI:2176433	Bmf	BCL2 modifying factor	protein coding gene	2	118528757-118549678	59.4	-	
MGI:1933174	Bri3	brain protein I3	protein coding gene	5	144244437-144446757	83.19	+	
MGI:3032521	C1ql2	complement component 1, q subcomponent-like 2	protein coding gene	1	120340582-120343174	52.68	+	
MGI:3665284	C030029H13Rik	Riken cDNA C030029H13 gene	lncRNA gene	4	142421677-142422952			
MGI:3026916	C230071H18Rik	RIKEN cDNA C230071H18 gene	lncRNA gene	2	93190906-93193424			
MGI:2142622	C230098O21Rik	RIKEN cDNA C230098O21 gene	lncRNA gene	8	69132668-69134710			
MGI:2443412	C730049O14Rik	RIKEN cDNA C730049O14 gene	lncRNA gene	18	20985620-20987350			
MGI:2442632	Cacna2d4	calcium channel, voltage-dependent, alpha 2/delta subunit 4	protein coding gene	6	119236526-119352407	56.62	+	
MGI:1919941	Calhm2	calcium homeostasis modulator family member 2	protein coding gene	19	47132232-47138294	39.28	-	
MGI:1920566	Calr3	calreticulin 3	protein coding gene	8	72424176-72443792	35.08	-	
MGI:1926249	Car5b	carbonic anhydrase 5b, mitochondrial	protein coding gene	X	163976822-164027997	76.03	-	
MGI:1333786	Car6	carbonic anhydrase 6	protein coding gene	4	150187015-150201135	81.12	-	
MGI:1196439	Cbx7	chromobox 7	protein coding gene	15	79915807-79971119	37.85	-	
MGI:2384831	Cc2d1a	coiled-coil and C2 domain containing 1A	protein coding gene	8	84132828-84147931	40.32	-	
