name	length	avg_phastCons	coverage	std
cCREs893	738	0.0669524	1.1084	0.217766
cCREs1423	1054	0.0710143	1.0	0.1067
cCREs1528	599	0.232053	1.0	0.371157
cCREs1865	978	0.222582	1.0	0.365564
cCREs2448	551	0.112914	1.0	0.263686
cCREs2591	1318	0.158268	1.12367	0.330922
cCREs2768	549	0.173334	1.05829	0.334225
cCREs4110	519	0.358672	1.0	0.413292
cCREs5187	511	0.0737312	1.05088	0.22102
cCREs5338	523	0.256941	1.11472	0.376413
cCREs5340	516	0.333646	1.11434	0.438166
cCREs5381	712	0.0527928	1.0	0.155453
cCREs5452	542	0.316117	1.11439	0.44671
cCREs5530	530	0.00643391	1.0	0.023176
cCREs5536	531	0.31381	1.0	0.294817
cCREs5968	528	0.0377135	1.0	0.164402
cCREs5991	502	0.0390128	1.12151	0.154258
cCREs6089	698	0.118971	1.2149	0.200134
cCREs6480	594	0.0840578	1.08586	0.221574
cCREs6704	516	0.149884	1.0	0.300248
cCREs7519	663	0.0611893	1.24434	0.108965
cCREs7554	543	0.0483825	1.07919	0.158171
cCREs7719	815	0.178427	1.07975	0.323679
cCREs9079	545	0.321374	1.2367	0.30905
cCREs9886	522	0.0328564	1.08046	0.109837
cCREs10462	584	0.148318	1.0	0.289355
cCREs10827	751	0.385072	0.972037	0.416953
cCREs11488	556	0.314555	1.0	0.430341
cCREs11641	535	0.129445	1.0	0.299342
cCREs12086	1121	0.522347	1.0	0.463452
cCREs13817	819	0.129351	1.0	0.267339
cCREs14075	1642	0.254228	1.11449	0.396102
cCREs14130	618	0.171668	0.825243	0.174916
cCREs14169	527	0.314414	1.0	0.421739
cCREs14248	517	0.521758	1.0	0.489404
cCREs14346	501	0.40874	1.01597	0.452544
cCREs15093	512	0.237681	1.0	0.376119
cCREs15101	501	0.775457	1.17166	0.375055
cCREs15154	515	0.0388711	1.0	0.146035
cCREs15181	528	0.177212	0.933712	0.292233
cCREs15357	1579	0.194991	1.0019	0.345403
cCREs15365	1149	0.158092	1.21323	0.317496
cCREs15376	543	0.192913	1.0	0.357178
cCREs15956	669	0.0751997	1.0	0.183932
cCREs16405	545	0.28135	1.0	0.409334
cCREs16859	643	0.129536	1.0	0.188467
cCREs16972	661	0.231533	1.04387	0.362955
