Gene name	sscrofa_dNdS
1500009L16Rik	0.12410675222400465
4930444P10Rik	0.2848902419484057
4930447C04Rik	0.2850869488845951
4930452B06Rik	0.2443104454386306
4930539E08Rik	0.4031620553359684
4931428F04Rik	0.11944402016190625
5330417C22Rik	0.0776167947959787
6430548M08Rik	0.036017237468813794
6430571L13Rik	0.16263057929724598
9530077C05Rik	0.13837350442170973
A830018L16Rik	0.14701759850490578
Abca5	0.09855305466237943
Abcc8	0.02368565169769989
Abcg4	0.031309297912713474
Ablim3	0.10051701334615848
Ache	0.11802048766411773
Acr	0.31965386128228657
Acvr1b	0.056682267290691625
Adam22	0.0852530382731725
Adamts14	0.11249716488999773
Adamts17	0.06958424507658642
Adarb1	0.04135744164080421
Adarb2	0.05948955335918929
Adcy1	0.051306234084693016
Adcy8	0.02789355562680346
Adcyap1	0.11234231162632118
Add2	0.049482839680300886
Adra2c	0.03613803097545512
Aff2	0.11669283097854526
Agap2	0.05566600397614314
Agtpbp1	0.07117388919363687
Ahi1	0.1780202235231506
Ajap1	0.12000743080066878
Ak5	0.10969162995594717
Aldh1b1	0.06010568031704095
Aloxe3	0.08429516275450655
Amigo1	0.08555539711963496
Amn	0.2682180705779526
Amph	0.14295136026380872
Angpt1	0.16577143915539913
Ank1	0.051878988418813526
Ank3	0.044745484400656815
Ankrd24	0.16423794438577966
Ankrd34a	0.03634942349032636
Ankrd34b	0.12759295499021528
Ankrd35	0.15794210289485527
Ankrd42	0.14362576595426693
Ankrd45	0.21327849588719155
Ankrd55	0.1297683923705722
Ano5	0.16168091168091167
Aox4	0.17159484114501414
Ap3b2	0.06716529543754675
Apba1	0.05191846522781774
Apc2	0.07224280421772586
Arg2	0.16755201416555998
Arhgap15	0.2673917119819989
Arhgap20	0.25285109156076896
Arhgap33	0.10350786245031968
Arhgap36	0.2610347322720695
Arhgap44	0.04953820319059614
Arhgdig	0.18033946251768032
Armcx1	0.1739519618081456
Arx	0.02700096432015429
Asxl3	0.1836703431372549
Atcay	0.03217085698837524
Atg9b	0.13242204186245196
Atl1	0.038104838709677416
Atp1a3	0.009369070208728654
Atp2b2	0.02344740177439797
Atp2b3	0.02199589181787059
Atp6ap1l	0.2420063646006971
Auts2	0.07093147751605995
Avp	0.06925228698873516
B3galnt1	0.05456238361266294
B3galt1	0.0017046944662995015
B3galt2	0.06528480496164517
B3gnt4	0.2110930815754536
B4galnt4	0.11916574788680633
B4galt6	0.05547602004294918
Baiap2l2	0.043814432989690726
Baiap3	0.06055447470817121
Barhl2	0.039650037230081904
Bcl11a	0.009785932721712538
Bcl11b	0.04157916841663167
Begain	0.0798421372191864
Bend4	0.08668842945230322
Bend6	0.14182825484764544
Bfsp1	0.23236231224396905
Bmp3	0.2445994599459946
Bmp5	0.07306319546504303
Bmp6	0.06901757791437507
Bsn	0.13126213592233008
Btbd11	0.02779468452018665
C1qtnf1	0.07529375386518243
C2cd4c	0.02734992101105845
C530008M17Rik	0.19738017267043764
Cacna1b	0.04172876304023845
Cacna1g	0.04938859774495792
Cacna1i	0.03223926976111866
Cacna2d1	0.0298432810936979
Cacna2d2	0.028835430938346344
Cacna2d3	0.02509311899627524
Cacnb2	0.1012542061792597
Cacnb3	0.007842258570468295
Cacng2	0.01370458994996737
Cacng3	0.009137271568210795
Cacng5	0.07440554531894357
Cadm3	0.05434270457044133
Cadps	0.009552757273122015
Calb1	0.025725457913150857
Calb2	0.01973275326289621
Caly	0.10319035261792092
Camk1g	0.0950765864332604
Camk2b	0.09197707736389683
Camk4	0.22594752186588926
Camkv	0.08726042841037203
Camta1	0.1081317400174876
Car11	0.02019785655399835
Casp3	0.0912459935897436
Cbln1	0.013719987527284068
Cbln2	0.036157024793388434
Cbln4	0.016687880073539812
Ccbe1	0.09179395028451633
Ccdc112	0.14141727399596835
Ccdc116	0.3315044247787611
Ccdc120	0.10537482319660538
Ccdc148	0.21798971222021407
Ccdc152	0.19968281430219148
Ccdc6	0.017923649906890132
Ccdc73	0.5724795184751714
Cck	0.15160740379931806
Ccnf	0.09900596421471172
Cd200	0.3896324622902061
Cd24a	0.37902912621359225
Cd274	0.2536240155233421
Cdh12	0.04558910597986974
Cdh18	0.032395409107737874
Cdh4	0.018718858014993043
Cdh7	0.01779819147409215
Cdh8	0.034121929026387623
Cdh9	0.06848086124401914
Cdhr1	0.13610524606139354
Cdk14	0.029144385026737968
Cdk5r1	0.009769972792480831
Cdk5r2	0.05175754220869084
Cdkl1	0.08215767634854773
Cdkl2	0.13842372100168995
Cdkl5	0.09092298288508556
Cdon	0.16616945107398567
Ceacam16	0.04521213086046327
Celf3	0.13330475782254608
Celf4	0.18716814159292036
Celf6	0.10013175230566536
Celsr2	0.030930720783764867
Celsr3	0.07753824756606398
Cend1	0.23958466863222666
Cgref1	0.306159294493438
Chac1	0.07874966460960559
Chat	0.1286670918367347
Chd3	0.037709738799515655
Chd5	0.020849495733126455
Chga	0.2072564207093355
Chgb	0.28005354752342704
Chl1	0.14013893083660525
Chodl	0.1364470156624806
Chrm2	0.023408924652523776
Chrm3	0.05471226021684737
Chrm5	0.1296029919447641
Chrna3	0.06713399838231329
Chrna7	0.035365021605640215
Chrnb2	0.029726996966632963
Chsy3	0.08370206489675516
Cib2	0.0036680421824850985
Cidea	0.0999687206756334
Cilp	0.08353770692826487
Cit	0.02466676880649609
CK137956	0.25835189309576834
Ckmt1	0.049566294919454766
Clcn1	0.1189146049481245
Cldn3	0.021502698215026983
Clec2l	0.002640275759096372
Clgn	0.12495819864006245
Clrn1	0.10611410518490988
Clstn1	0.06524690310537926
Clstn2	0.061020985265664525
Clstn3	0.04054433221099888
Clvs1	0.09168704156479217
Clvs2	0.02172024326672459
Cnga3	0.09712820512820514
Cnih3	0.07984981226533165
Cnksr2	0.024279210925644917
Cnnm1	0.07568872479409257
Cnr1	0.015515795359239588
Cnrip1	0.032287541882424615
Cntn2	0.06953020134228187
Cntn3	0.08960378044347507
Cntn5	0.09133611691022964
Cntnap3	0.23846336822074216
Cntnap4	0.12788379379094275
Coch	0.07138384470882905
Col11a1	0.0902608369300056
Col19a1	0.2368785898197663
Col23a1	0.19655322862129146
Col25a1	0.14998782566350133
Col6a1	0.034108895220006326
Col6a2	0.0830767027143164
Col6a4	0.3309057806099226
Cort	0.18687759989915545
Cpeb1	0.10214219186588017
Cpeb3	0.025934401220442414
Cplx1	0.02679719879948549
Cplx3	0.023728331912475132
Cpne4	0.002496489311905133
Cpne5	0.013131084446456873
Cpne6	0.017117117117117116
Crabp1	0.004806201550387597
Crabp2	0.060802931867399636
Crh	0.12021498299879348
Crhbp	0.08735385028893966
Crhr2	0.05452445764249774
Crmp1	0.0922038189682456
Crtac1	0.06107598711678398
Csrnp2	0.06775985905949318
Csrnp3	0.04755671902268761
Ctxn2	0.050568900126422255
Cxcl12	0.10452961672473868
Cxxc4	0.03646237393328162
Cyb561	0.06151990349819059
Cyp2s1	0.17801975183590785
D130043K22Rik	0.27033855482566954
D430019H16Rik	0.02846376421505955
D430041D05Rik	0.16116611661166114
Dach1	0.0573913043478261
Dact1	0.15882274956913695
Dapk1	0.03143924751964953
Dbn1	0.2508513053348468
Dbndd1	0.05472421469206035
Dcc	0.05157131345688961
Dclk3	0.14487801001351028
Dcx	0.0034472852628555013
Ddx25	0.04751358969196698
Dgkg	0.09686196263377472
Dgkk	0.2788045615414864
Diablo	0.12208992358272615
Diras1	0.004346021970342222
Disp2	0.1840251572327044
Dkk3	0.1395823876532002
Dkkl1	0.11103678929765888
Dleu7	0.19343336799881147
Dlg2	0.06047087980173482
Dlgap2	0.05093167701863354
Dlx1	0.011263798152737104
Dlx2	0.03610846164327565
Dlx5	0.0440324449594438
Dlx6	0.008203228367292934
Dmrt3	0.03531842945707308
Dmrta2	0.022387300295105324
Dnajc27	0.05962854349951125
Dnajc6	0.07234539089848309
Dnm1	0.043845072222932366
Dnm3	0.017341927562922042
Doc2a	0.04023845007451566
Doc2b	0.021698786581013558
Dpf1	0.013569178580082384
Dpp10	0.09315589353612168
Dpysl2	0.02325241298625329
Dpysl3	0.02229894979139692
Dpysl4	0.038146299377580566
Dpysl5	0.01670220326936745
Drd2	0.022627847337456628
Drd5	0.08174776898467756
Dscaml1	0.01479478205536112
Dsp	0.03004849324558365
Dusp14	0.08431836091410559
Dusp26	0.06890098673018033
Dusp4	0.017276422764227646
Dync1i1	0.015702795863653776
Ebf2	0.0013696284882725562
Ebf3	0.00391389432485323
Ecel1	0.019553605494086232
Edil3	0.04459561602418745
Efna3	0.03789083200847906
Efna5	0.007790077900779006
Elavl2	0.006618863761720904
Elavl3	0.0049125848865770845
Elavl4	0.03588516746411484
Elfn1	0.04664943579398601
Elmod1	0.03392
Eln	0.24020848845867465
Elovl4	0.0727780734433209
Eml5	0.04664310954063605
Eno2	0.014335664335664338
Enox1	0.021349953587057414
Eomes	0.0623768877216021
Epha10	0.07024054982817869
Epha3	0.030785376945950675
Epha5	0.03435283687943262
Epha6	0.05128205128205129
Epha7	0.022099447513812157
Epha8	0.019126162484646433
Ephb2	0.003930817610062893
Ephb6	0.060258249641319934
Erbb4	0.02634069400630915
Erc2	0.037785704848725066
Ero1lb	0.054446177847113884
Eya2	0.05641308342521133
Fam131c	0.07950466618808327
Fam155a	0.16735046426257827
Fam163b	0.024201977968963576
Fam167a	0.14631615358007613
Fam169a	0.17108950057689135
Fam171a2	0.035996488147497806
Fam183b	0.21826852531181207
Fam184b	0.14191839937230286
Fam189a1	0.18040737148399613
Fam189b	0.06225756400310317
Fam43b	0.045513348230036464
Fam49a	0.07485665746442981
Fam57b	0.030721740408643238
Fank1	0.1926528027024174
Fbll1	0.05777270999619916
Fbxl16	0.021912144702842376
Fbxl2	0.05411433266815354
Fbxo41	0.019133669944193462
Fgf12	0.23218613669413474
Fgf14	0.024539877300613498
Fgf9	0.14850854329568494
Fhod3	0.10153499507111674
Fibin	0.02571194427371441
Fkbp1b	0.04954268292682927
Flrt3	0.04226983207874927
Flywch2	0.2473695747479176
Fmn1	0.3373150105708245
Fnbp1l	0.027475375842405392
Fndc3b	0.061330005348546976
Foxo6	0.051941502773575385
Foxp2	0.009911894273127754
Frmd3	0.08149606299212599
Frmpd3	0.07660898308380322
Frmpd4	0.08655775293780453
Fsd1	0.051287440882816615
Fsd1l	0.04856254856254856
Fstl4	0.1204247860604186
Fstl5	0.06606407018476672
Gabra1	0.0611251703328791
Gabra2	0.03181711053499882
Gabra5	0.03893536121673004
Gabrb2	0.0039001560062402493
Gabrb3	0.0735981308411215
Gabrg2	0.015673334708187256
Gabrg3	0.032133477522014516
Gad1	0.02656661934698844
Gad2	0.04644088420198743
