Gene name	sscrofa_dNdS
1700001P01Rik	0.144264378773435
1700019D03Rik	0.5407984730396055
A930003A15Rik	0.061408995280605005
Aatk	0.13615218474829704
Abca6	0.34580141204746884
Ablim2	0.12420225822287677
Abtb2	0.017046911048449114
Acan	0.2547781869191654
Acap3	0.02560553633217993
Acss2	0.1282523601197329
Adam12	0.19441036128152686
Adam9	0.12597472438827642
Adamts2	0.07200000000000001
Adamts4	0.10785937787594332
Adamtsl3	0.1500806097024769
Adamtsl4	0.30737640183225395
Adi1	0.07432102780939989
Adora1	0.03877593795849927
Adssl1	0.020466481309854803
Aldh1a2	0.07310504040015389
Aldh1l2	0.07506457985108646
Anks1b	0.13272010512483573
Anln	0.19867886178861788
Ano4	0.01972101972101972
Apbb1	0.040861159929701234
Aplp1	0.07972160708636508
Apod	0.19334923530237128
Arhgap24	0.04866016369548155
Arsg	0.17866170014633498
Aspa	0.13937082936129647
Atp10b	0.1421518803542907
B3galt5	0.12876580994874445
B3gat2	0.08746577426224521
B3gnt7	0.053989345783204634
Bace1	0.040140296180826186
Barx2	0.1323136323136323
Bcas1	0.4597778525748906
Bcat1	0.18774478837650035
Bfsp2	0.16703523514669025
Bmp4	0.0302788844621514
Bpgm	0.07375099127676447
Brca1	0.6390670553935861
Btbd16	0.2988572255171416
C1ql1	0.015463917525773196
C1ql2	0.01729986431478969
Cacna2d4	0.10765021572135117
Cacnb4	0.01980014803849001
Cacng4	0.014748107543722263
Cadm4	0.0501685247601763
Capn5	0.029588570536341636
Capn6	0.035015916325602546
Car14	0.18342391304347827
Carns1	0.16732522796352586
Caskin2	0.07929279399946422
Casr	0.043928923988154
Ccdc13	0.19308578745198465
Ccdc89	0.1327857631759069
Cdh19	0.2038651004168245
Cdk18	0.06568275495279884
Cdo1	0.06185567010309277
Cela1	0.16381668946648426
Chadl	0.1579947229551451
Chn2	0.02394567548248749
Chrna4	0.05827687511241681
Chrne	0.07510458215779746
Chst3	0.07846846846846846
Chst8	0.053627760252365916
Cldn11	0.021001810500905247
Cmtm5	0.0979769932566442
Cnp	0.09738643434971997
Cntn1	0.03865847414234511
Cntn4	0.052787258248009096
Cntn6	0.0933486993743826
Col11a2	0.09571175950486296
Col13a1	0.15348837209302327
Col1a1	0.20214723926380368
Col1a2	0.1300874857360213
Col3a1	0.12273334605840808
Cpm	0.17174288571688334
Cpox	0.1738854513723624
Cryab	0.0406989604069896
Csmd3	0.022835789910732818
Cspg4	0.11943269470017415
Ctnna3	0.0546218487394958
Cyfip2	0.0009716823986674068
Cyp27a1	0.2885459222272658
D7Ertd443e	0.3942433493240297
Dbndd2	0.13781398506449424
Dcn	0.1765753424657534
Dct	0.1194557111082036
Ddr1	0.0929106808244847
Ddx43	0.18365045806906272
Depdc1b	0.06885196826822333
Dip2a	0.0516040643909122
Dlk2	0.08909551986475063
Dll1	0.07201375543643168
Dll3	0.11698463169051405
Dmrta1	0.3271511097598054
Dnaic2	0.05906526994359389
Dnajb2	0.1769846153846154
Dock10	0.0745388569700635
Dock5	0.04485932840658628
Dpp6	0.04534649844578533
Dpy19l1	0.12458402662229615
Dpyd	0.11989012764582326
Dscam	0.015484064942874324
Dusp15	0.0933264710928118
Dusp19	0.2629884070416488
Dusp9	0.06104677260077208
E130308A19Rik	0.028472821397756688
E2f8	0.15288518738845924
E330009J07Rik	0.03471144348807676
Efhd1	0.09873545776428932
Efnb3	0.09798994974874373
Efs	0.2643678160919541
Ehd3	0.015134423763865387
Elfn2	0.01254015319990116
Emid1	0.38884007029876977
Eml1	0.037107718405428335
En2	0.0856651939126166
Endod1	0.22020375598379774
Enoph1	0.0889438729001172
Enpp2	0.06117150738276812
Enpp4	0.1574792614396575
Enpp6	0.1054444297257915
Epcam	0.13058103975535168
Ephb1	0.01032947462154942
Ephx4	0.13822975517890773
Epn2	0.07770046388336646
Erbb3	0.09690273501177324
Ermn	0.23463921856947798
Erp27	0.3843300192906959
Etnk2	0.113953488372093
Fa2h	0.08642095053346266
Faah	0.1413651622528907
Fah	0.0671001300390117
Fam102a	0.09167437557816836
Fam122b	0.17522775731730952
Fam131b	0.026112946358345133
Fam178b	0.33655206859235826
Fam180a	0.1651426682824722
Fam83d	0.1394270403957131
Fam89a	0.11232416544194834
Fbln7	0.11337250967464528
Fbn2	0.021739130434782608
Fbp1	0.08588832487309644
Fbxo32	0.10370143774854697
Fbxo36	0.16506849315068492
Fcho1	0.07396009133326714
Fez1	0.06067332593414725
Fign	0.04641221374045802
Fntb	0.042817970892216825
Frmd5	0.0695150115473441
Frmd7	0.13138013635526075
Frmd8	0.10262793914246196
Fyn	0.007932804479701353
Gal3st1	0.04487556339408191
Galnt13	0.0716820440028389
Galnt3	0.06609808102345416
Galnt6	0.08424640857073289
Gamt	0.10221627818112344
Gas7	0.08345209817893902
Gfra1	0.05791909240185102
Gjb1	0.010252100840336136
Gjc2	0.055425357393953587
Gjc3	0.3739495798319328
Glra4	0.04112903225806452
Gltp	0.022023250776229332
Gp1bb	0.10575534098684712
Gp2	0.34052350945225396
Gpd1	0.1045492142266336
Gpr15	0.2428043093744975
Gpr176	0.09305835010060362
Gpr37	0.11742339521359875
Gpr62	0.14041698065812608
Gpt2	0.07370054305663305
Gria3	0.015982721382289417
Grik3	0.02126825443497011
Grik4	0.017598748533437625
Gsn	0.055352627142455736
Gss	0.1411956268899744
Gsto2	0.17274088866699952
Gucy1b2	0.17073749110742234
Hapln2	0.07197168327215521
Hhatl	0.0641558069597594
Hhip	0.0619485294117647
Hr	0.2663958212420197
Ick	0.09928263988522236
Ifit2	0.3934935205183585
Igsf9b	0.031139201479882837
Il1rap	0.10895211658570436
Il23a	0.5467549668874172
Insc	0.03460342146189736
Irx1	0.02934291924427353
Itgb4	0.062182998579833636
Itgb7	0.1290718277225024
Itih2	0.11930268796260228
Jam3	0.14017547439298106
Kazn	0.09662847069193478
Kcna1	0.018984547461368656
Kcnh8	0.06867159858475394
Kcnip3	0.0933737012316796
Kcnmb4	0.06432139883430475
Kctd4	0.02959543850122183
Kif19a	0.07203546361285558
Kif5a	0.034667767230705734
Klhl2	0.01150392817059484
Kndc1	0.1423341303048416
Lad1	0.2771572764126748
Larp6	0.06852558200710246
Ldb3	0.08075697957654114
Lgi3	0.016414970453053186
Lhfpl3	0.04759329367225528
Lims2	0.052614485222474826
Llgl1	0.05540947861219779
Lnx1	0.09018987341772153
Lox	0.08836524300441828
Lpar1	0.01823302697895049
Lpar3	0.0806015037593985
Lrrn1	0.037898233428959684
Lrrn3	0.12817412333736394
Lrrtm1	0.032929782082324464
Lrrtm3	0.024363233665559248
Lrrtm4	0.058430989583333336
