Gene name	rnorvegicus_dNdS
0610040J01Rik	0.4273237679351217
1700003F12Rik	0.13675213675213674
1700017B05Rik	0.29613500272182897
2210016F16Rik	0.2175548589341693
2510039O18Rik	0.040442946557534915
2610528A11Rik	0.6083733100741388
4930404N11Rik	0.1749144811858609
5430427O19Rik	0.1354723707664884
A630001G21Rik	1.0155719139297847
Aagab	0.2404411764705882
AB124611	0.23926901827454314
Abca9	0.21606425702811247
Abcc3	0.2281512605042017
Abcd1	0.091792656587473
Abhd12	0.008397480755773267
Abhd15	0.0864086408640864
Abi3	0.17680973734785396
Acads	0.03038829487900957
Accs	0.15768799102132436
Acox3	0.26453726453726456
Acp5	0.08999081726354452
Adam15	0.2542472173403632
Adam33	0.29467213114754104
Adam8	0.4099299809038829
Adamts16	0.1657250470809793
Adap2	0.2657642786398151
Adcy7	0.12021407986825855
Adrb2	0.09931170108161258
Afp	0.3419155509783728
Agpat2	0.10523831996224634
AI467606	0.2506265664160401
AI661453	0.4505356017643352
Aif1	0.24058416602613375
Aim2	0.3272445820433437
Akna	0.6132075471698113
Akr1b3	0.051561911930748966
Aldh16a1	0.22689075630252103
Alox5	0.03929539295392953
Alox5ap	0.07756563245823389
Amz1	0.12525184687709873
Angptl7	0.050822669104204736
Anks6	0.12238095238095238
Aoah	0.33540694660445824
Ap1b1	0.03229278794402583
Apbb1ip	0.29448198198198194
Apobec1	0.25690954773869346
Apobec2	0.024603836530442038
Apobec3	0.547683923705722
Apobr	0.9637681159420288
Arap1	0.0748486516235553
Arap3	0.13531799729364008
Arhgap19	0.1407205982324949
Arhgap22	0.14907407407407405
Arhgap25	0.12459016393442625
Arhgap27	0.10781025395304264
Arhgap30	0.3396111786148238
Arhgap4	0.3037800687285224
Arhgap9	0.15887380593262948
Arhgdib	0.07199140401146131
Arhgef6	0.09942004971002484
Arid3a	0.16503667481662593
Arl11	0.24888558692421994
Arl5c	0.14704575744113724
Armc3	0.16309887869520898
Armc5	0.19550982226379796
Arrb2	0.011213047910295615
Arsb	0.2490322580645161
Asb10	0.20093023255813955
Ascl2	0.3418590143480973
Atf3	0.02931596091205212
Atp8a2	0.118200408997955
Aup1	0.09402654867256638
B2m	0.161665846860141
B3gnt8	0.08683314415437003
B4galnt1	0.15619495008807985
B4galt1	0.1724137931034483
B4galt5	0.03635432667690732
Bank1	0.3437643810400368
Batf3	0.06809848088004193
BC049352	0.0658833403273185
Bcl3	0.11750245821042282
Bco2	0.18838457784285015
Bcor	0.1861888111888112
Bhlhe41	0.2861965491372843
Bid	0.24549387166546505
Bik	0.5342577487765089
Bin1	0.03463522476050111
Blnk	0.0956618464961068
Bmf	0.13696715583508035
Bri3	0.014028934677772907
Bst2	0.4909013965298349
Btbd19	0.12251984126984125
Btg2	0.03219013237063779
Btk	0.129469326307866
C130050O18Rik	0.25280373831775704
C1qa	0.3218029350104822
C1qb	0.15029552490852802
C1qc	0.19071485096280666
C1rl	0.3220338983050848
C2	0.2848794740686633
C3	0.17927287923109067
C3ar1	0.4987251402345742
C5ar1	0.5244258872651357
Cables1	0.08539458186101295
Cacna1s	0.08777573529411764
